airline,alliance
A3,Star Alliance
AC,Star Alliance
AV,Star Alliance
CA,Star Alliance
CM,Star Alliance
ET,Star Alliance
JJ,Star Alliance
JP,Star Alliance
KF,Star Alliance
LH,Star Alliance
LO,Star Alliance
LX,Star Alliance
MS,Star Alliance
NH,Star Alliance
NZ,Star Alliance
OS,Star Alliance
OU,Star Alliance
OZ,Star Alliance
PZ,Star Alliance
SA,Star Alliance
SK,Star Alliance
SN,Star Alliance
SQ,Star Alliance
TA,Star Alliance
TG,Star Alliance
TK,Star Alliance
TP,Star Alliance
UA,Star Alliance
US,Star Alliance
ZH,Star Alliance
4M,oneworld
AA,oneworld
AB,oneworld
BA,oneworld
CX,oneworld
AY,oneworld
HG,oneworld
IB,oneworld
JC,oneworld
JL,oneworld
JO,oneworld
KA,oneworld
LA,oneworld
LP,oneworld
MA,oneworld
MH,oneworld
MN,oneworld
MX,oneworld
NU,oneworld
QF,oneworld
RJ,oneworld
S7,oneworld
XL,oneworld
AF,SkyTeam
AE,SkyTeam
AM,SkyTeam
AR,SkyTeam
AZ,SkyTeam
CI,SkyTeam
CZ,SkyTeam
DL,SkyTeam
FM,SkyTeam
KE,SkyTeam
KL,SkyTeam
KQ,SkyTeam
ME,SkyTeam
MF,SkyTeam
MU,SkyTeam
OK,SkyTeam
RO,SkyTeam
SU,SkyTeam
SV,SkyTeam
UX,SkyTeam
VN,SkyTeam
