Carrier Code,Sum:
SV,47489
MS,22385
XY,18007
TK,16837
EK,9770
6S,9520
NP,8356
WY,6510
GF,4029
FZ,3942
KU,3491
9W,2832
EY,2700
UL,2201
PK,1849
NE,1774
PR,1609
AI,1601
UJ,1193
ET,1008
PC,934
BG,863
RJ,824
KK,678
ME,613
MH,492
A3,445
AT,423
GA,423
J2,421
BA,401
AF,317
LH,259
TR,239
AC,217
KL,169
CZ,122
HY,118
AZ,116
CX,115
SA,108
AA,94
DL,89
KE,80
SQ,79
KQ,73
OD,63
TG,63
UX,60
H9,57
SU,53
9B,51
B8,51
UA,49
TU,39
VY,26
IB,25
SK,25
B6,24
KP,24
GQ,23
OK,23
PS,19
WB,17
8Q,16
VS,16
XQ,14
PG,13
WS,13
LO,11
CA,10
QF,9
QR,9
MI,8
TP,8
AS,7
B2,7
JU,7
VA,6
EI,4
H1,4
KA,4
MU,4
AH,3
LX,3
MN,3
S7,3
U6,3
W2,3
YE,3
AV,2
IG,2
LA,2
MK,2
OS,2
OU,2
RO,2
UK,2
A9,1
BE,1
FM,1
JQ,1
NT,1
V7,1
VN,1
,
,176721
