Carrier Code,Sum:
JP,No
A3,Yes
SU,No
AR,No
AM,Yes
ZI,Yes
KC,Yes
UU,Yes
BT,No
AC,Yes
TX,Yes
CA,Yes
EN,No
UX,Yes
AF,Yes
AI,Yes
IG,Yes
KM,No
MK,Yes
9U,No
SW,No
NZ,Yes
JU,Yes
TN,No
TS,No
AZ,Yes
NH,No
AA,Yes
OZ,Yes
KK,No
OS,Yes
AV,Yes
O6,No
LR,No
2K,No
J2,No
AD,No
JV,#N/A
BM,No
BA,No
SN,Yes
KA,Yes
CX,Yes
CY,Yes
CI,No
CZ,No
CO,Yes
DE,Yes
SS,Yes
OU,No
OK,Yes
DL,No
U2,Yes
LY,Yes
EK,Yes
EY,Yes
FJ,No
AY,Yes
BE,No
F9,No
GA,Yes
4U,No
GF,Yes
HR,No
H1,No
HU,No
HA,Yes
HX,No
IB,Yes
FI,Yes
9W,Yes
KQ,No
KL,Yes
KE,No
4M,Yes
JJ,Yes
4C,Yes
XL,Yes
LA,Yes
LP,Yes
LO,Yes
LH,Yes
LG,Yes
MH,Yes
OM,No
WY,Yes
8Q,No
PC,Yes
PR,Yes
PD,No
QF,Yes
AT,No
BI,Yes
RJ,Yes
7R,No
FR,Yes
S7,Yes
S4,Yes
6S,No
SK,Yes
SA,Yes
NK,No
UL,No
LX,Yes
TA,No
T0,No
TP,Yes
MT,Yes
TO,Yes
HV,Yes
PS,Yes
UA,Yes
U6,Yes
UT,No
VS,No
VA,Yes
UK,No
WS,Yes
XK,#N/A
MD,#N/A
AK,#N/A
I5,#N/A
D7,#N/A
Z2,#N/A
RC,#N/A
PG,#N/A
NT,#N/A
TF,No
MS,#N/A
W2,#N/A
5F,#N/A
BF,#N/A
A5,#N/A
QZ,#N/A
B6,#N/A
NP,#N/A
DY,#N/A
DN,#N/A
D8,#N/A
DI,#N/A
QR,#N/A
SP,#N/A
SV,#N/A
SX,#N/A
FD,#N/A
HQ,#N/A
TU,#N/A
TK,No
VX,#N/A
WF,No
MF,#N/A
