,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AZ0317-AZ0800,727.15,,,1200.0,,1.0,,30.0,,39.0,AF-AH-AZ-UX
1,20180815,ALGPAR,15_3,sabre_unique,AH2000-UX6082-AF1501-AZ0317-AZ0800,777.72,,,750.0,,2.0,,7.0,,7.0,AF-AH-AZ-UX
2,20180815,ALGPAR,15_3,sabre_unique,AH2000-UX6066-AF1501-AZ0317-AZ0800,777.72,,,750.0,,2.0,,7.0,,7.0,AF-AH-AZ-UX
3,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF1554,784.34,,,1045.0,,3.0,,21.0,,26.0,AF-AH-UX
4,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF1854,784.34,,,1045.0,,3.0,,21.0,,26.0,AF-AH-UX
5,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF1354,784.34,,,1050.0,,3.0,,22.0,,27.0,AF-AH-UX
6,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF7554-AF1156,802.29,,,1970.0,,4.0,,78.0,,112.0,AF-AH-UX
7,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF7556-AF1156,802.29,,,2030.0,,4.0,,81.0,,121.0,AF-AH-UX
8,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF7552-AF1156,802.29,,,2095.0,,4.0,,85.0,,127.0,AF-AH-UX
9,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF7544-AF1156,802.29,,,2240.0,,4.0,,91.0,,138.0,AF-AH-UX
10,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF7550-AF1156,802.29,,,2380.0,,4.0,,100.0,,150.0,AF-AH-UX
11,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF7548-AF1156,802.29,,,2430.0,,4.0,,101.0,,153.0,AF-AH-UX
12,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AZ0317-AZ0802,803.15,,,1970.0,,5.0,,78.0,,112.0,AF-AH-AZ-UX
13,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF7684-AF1156,803.43,,,1955.0,,6.0,,77.0,,111.0,AF-AH-UX
14,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF7686-AF1156,803.43,,,2105.0,,6.0,,86.0,,128.0,AF-AH-UX
15,20180815,ALGPAR,15_3,sabre_unique,AH2004-UX4050-AF1401-AF1754,818.34,,,1045.0,,7.0,,21.0,,26.0,AF-AH-UX
16,20180815,ALGPAR,15_3,sabre_unique,AH2000-UX6066-AF1501-AF1854,833.91,,,595.0,,8.0,,5.0,,5.0,AF-AH-UX
17,20180815,ALGPAR,15_3,sabre_unique,AH2000-UX6082-AF1501-AF1854,833.91,,,595.0,,8.0,,5.0,,5.0,AF-AH-UX
18,20180815,ALGPAR,15_3,sabre_unique,AH2000-UX6066-AF1501-AF1554,833.91,,,595.0,,8.0,,5.0,,5.0,AF-AH-UX
