,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,BCNPAR,15_315_3,both,AF1349-AF1448,198.25,211.7,-0.06784363177805795,220.0,220.0,1.0,4.0,3.0,3.0,3.0,AF
1,20180815,BCNPAR,15_315_3,both,AF1149-AF1448,198.25,211.7,-0.06784363177805795,225.0,225.0,1.0,4.0,4.0,4.0,4.0,AF
2,20180815,BCNPAR,15_315_3,both,AF1349-AF1148,209.25,222.7,-0.06427718040621261,220.0,220.0,2.0,9.0,3.0,3.0,3.0,AF
3,20180815,BCNPAR,15_315_3,both,AF1149-AF1148,209.25,222.7,-0.06427718040621261,225.0,225.0,2.0,9.0,4.0,4.0,4.0,AF
4,20180815,BCNPAR,15_315_3,both,IB5268-IB5273,211.11,225.71,-0.06915825872767749,210.0,210.0,3.0,12.0,1.0,1.0,1.0,IB
5,20180815,BCNPAR,15_315_3,both,IB5268-IB5279,211.11,225.71,-0.06915825872767749,210.0,210.0,3.0,12.0,1.0,1.0,1.0,IB
6,20180815,BCNPAR,15_315_3,both,IB5268-IB5443,212.25,226.85,-0.06878680800942283,215.0,215.0,5.0,14.0,2.0,2.0,2.0,IB
7,20180815,BCNPAR,15_315_3,both,AF1549-AF1448,213.25,226.7,-0.06307151230949584,220.0,220.0,6.0,13.0,3.0,3.0,3.0,AF
8,20180815,BCNPAR,15_315_3,both,AF1449-AF1448,213.25,226.7,-0.06307151230949584,225.0,225.0,6.0,13.0,4.0,4.0,4.0,AF
9,20180815,BCNPAR,15_315_3,both,IB5268-IB5277,221.11,235.71,-0.066030482565239,210.0,210.0,7.0,20.0,1.0,1.0,1.0,IB
10,20180815,BCNPAR,15_315_3,both,IB5268-IB5751,221.11,235.71,-0.066030482565239,210.0,210.0,7.0,20.0,1.0,1.0,1.0,IB
11,20180815,BCNPAR,15_315_3,both,IB5268-IB5871,221.11,235.71,-0.066030482565239,210.0,210.0,7.0,20.0,1.0,1.0,1.0,IB
12,20180815,BCNPAR,15_315_3,both,IB5268-IB5269,221.11,235.71,-0.066030482565239,210.0,210.0,7.0,20.0,1.0,1.0,1.0,IB
