,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,BESPAR,8_78_7,both,AF7373-AF7360,123.19,132.48,-0.07541196525692014,140.0,140.0,2.0,4.0,1.0,1.0,1.0,AF
1,20180815,BESPAR,8_78_7,both,AF7737-AF7360,123.19,132.48,-0.07541196525692014,150.0,150.0,2.0,4.0,3.0,3.0,3.0,AF
2,20180815,BESPAR,8_78_7,both,AF7361-AF7360,133.19,145.98,-0.09602823034762364,145.0,145.0,5.0,8.0,2.0,2.0,2.0,AF
3,20180815,BESPAR,8_78_7,both,AF7365-AF7360,143.19,155.68,-0.08722676164536636,150.0,150.0,7.0,9.0,3.0,3.0,3.0,AF
4,20180815,BESPAR,8_78_7,both,AF7739-AF7360,158.19,170.68,-0.07895568620013914,150.0,150.0,10.0,14.0,3.0,3.0,3.0,AF
5,20180815,BESPAR,8_78_7,both,AF7373-AF7732,159.44,171.93,-0.07833667837431015,140.0,140.0,11.0,15.0,1.0,1.0,1.0,AF
6,20180815,BESPAR,8_78_7,both,AF7373-AF7736,159.44,171.93,-0.07833667837431015,145.0,145.0,11.0,15.0,2.0,2.0,2.0,AF
7,20180815,BESPAR,8_78_7,both,AF7737-AF7732,159.44,171.93,-0.07833667837431015,150.0,150.0,11.0,15.0,3.0,3.0,3.0,AF
8,20180815,BESPAR,8_78_7,both,AF7737-AF7736,159.44,171.93,-0.07833667837431015,155.0,155.0,11.0,15.0,4.0,4.0,4.0,AF
9,20180815,BESPAR,8_78_7,both,AF7361-AF7732,168.44,180.93,-0.07415103300878656,145.0,145.0,13.0,19.0,2.0,2.0,2.0,AF
10,20180815,BESPAR,8_78_7,both,AF7361-AF7736,168.44,180.93,-0.07415103300878656,150.0,150.0,13.0,19.0,3.0,3.0,3.0,AF
11,20180815,BESPAR,8_78_7,both,AF7373-AF7366,173.19,185.68,-0.07211732779028818,140.0,140.0,16.0,21.0,1.0,1.0,1.0,AF
12,20180815,BESPAR,8_78_7,both,AF7737-AF7366,173.19,185.68,-0.07211732779028818,150.0,150.0,16.0,21.0,3.0,3.0,3.0,AF
13,20180815,BESPAR,8_78_7,both,AF7365-AF7732,178.44,194.33,-0.08904954046177996,150.0,150.0,18.0,25.0,3.0,3.0,3.0,AF
14,20180815,BESPAR,8_78_7,both,AF7365-AF7736,178.44,194.33,-0.08904954046177996,155.0,155.0,18.0,25.0,4.0,4.0,4.0,AF
15,20180815,BESPAR,8_78_7,both,AF7361-AF7366,182.19,198.08,-0.08721664196717721,145.0,145.0,20.0,27.0,2.0,2.0,2.0,AF
16,20180815,BESPAR,8_78_7,both,AF7365-AF7366,192.19,208.08,-0.08267859930277338,150.0,150.0,23.0,34.0,3.0,3.0,3.0,AF
17,20180815,BESPAR,8_78_7,both,AF7739-AF7732,193.44,209.33,-0.08214433416046327,150.0,150.0,24.0,35.0,3.0,3.0,3.0,AF
18,20180815,BESPAR,8_78_7,both,AF7739-AF7736,193.44,209.33,-0.08214433416046327,155.0,155.0,24.0,35.0,4.0,4.0,4.0,AF
19,20180815,BESPAR,8_7,sabre_unique,AF7479-AF7474,203.13,,,160.0,,28.0,,5.0,,5.0,AF
20,20180815,BESPAR,8_78_7,both,AF7373-AF7376,203.19,218.48,-0.07524976622865295,140.0,140.0,29.0,40.0,1.0,1.0,1.0,AF
21,20180815,BESPAR,8_78_7,both,AF7369-AF7360,203.19,218.48,-0.07524976622865295,145.0,145.0,29.0,40.0,2.0,2.0,2.0,AF
22,20180815,BESPAR,8_78_7,both,AF7737-AF7376,203.19,218.48,-0.07524976622865295,150.0,150.0,29.0,40.0,3.0,3.0,3.0,AF
23,20180815,BESPAR,8_78_7,both,AF7373-AF7738,204.44,219.73,-0.0747896693406378,140.0,140.0,30.0,41.0,1.0,1.0,1.0,AF
24,20180815,BESPAR,8_78_7,both,AF7737-AF7738,204.44,219.73,-0.0747896693406378,150.0,150.0,30.0,41.0,3.0,3.0,3.0,AF
25,20180815,BESPAR,8_78_7,both,AF7739-AF7366,207.19,222.48,-0.07379699792461022,150.0,150.0,33.0,44.0,3.0,3.0,3.0,AF
26,20180815,BESPAR,8_78_7,both,AF7373-AF7648-AF5442,210.92,237.21,-0.12464441494405472,865.0,865.0,36.0,54.0,18.0,17.0,26.0,AF
27,20180815,BESPAR,8_78_7,both,AF7737-AF7648-AF5442,210.92,237.21,-0.12464441494405472,875.0,875.0,36.0,54.0,20.0,19.0,28.0,AF
28,20180815,BESPAR,8_78_7,both,AF7373-AF7646-AF5442,210.92,237.21,-0.12464441494405472,1055.0,1055.0,36.0,54.0,28.0,24.0,36.0,AF
29,20180815,BESPAR,8_78_7,both,AF7737-AF7646-AF5442,210.92,237.21,-0.12464441494405472,1065.0,1065.0,36.0,54.0,30.0,26.0,38.0,AF
