,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,BIAPAR,8_28_2,both,XK0780-XK0785,277.59,298.22,-0.07431823912965184,190.0,190.0,1.0,8.0,2.0,1.0,2.0,XK
1,20180815,BIAPAR,8_28_2,both,XK0780-XK0783,277.59,298.22,-0.07431823912965184,190.0,190.0,1.0,8.0,2.0,1.0,2.0,XK
2,20180815,BIAPAR,8_28_2,both,XK0780-XK1230,277.59,298.22,-0.07431823912965184,195.0,195.0,1.0,8.0,3.0,2.0,3.0,XK
3,20180815,BIAPAR,8_28_2,both,XK0780-XK1202,277.59,298.22,-0.07431823912965184,195.0,195.0,1.0,8.0,3.0,2.0,3.0,XK
4,20180815,BIAPAR,8_28_2,both,XK0780-XK1250,277.59,298.22,-0.07431823912965184,195.0,195.0,1.0,8.0,3.0,2.0,3.0,XK
5,20180815,BIAPAR,8_28_2,both,XK0780-XK1232,277.59,298.22,-0.07431823912965184,195.0,195.0,1.0,8.0,3.0,2.0,3.0,XK
6,20180815,BIAPAR,8_28_2,both,XK0780-XK1204,277.59,298.22,-0.07431823912965184,195.0,195.0,1.0,8.0,3.0,2.0,3.0,XK
7,20180815,BIAPAR,8_28_2,both,XK0780-XK1200,277.59,298.22,-0.07431823912965184,200.0,200.0,1.0,8.0,4.0,3.0,4.0,XK
8,20180815,BIAPAR,8_28_2,both,XK0780-XK1600,278.81,299.43,-0.07395717513719022,205.0,205.0,2.0,9.0,5.0,4.0,5.0,XK
9,20180815,BIAPAR,8_28_2,both,XK1253-XK0783,287.59,308.22,-0.07173406585764475,195.0,195.0,3.0,13.0,3.0,2.0,3.0,XK
10,20180815,BIAPAR,8_28_2,both,XK1253-XK0785,287.59,308.22,-0.07173406585764475,195.0,195.0,3.0,13.0,3.0,2.0,3.0,XK
