,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,BIQPAR,8_78_7,both,AF7481-AF7654,162.84,175.33,-0.07670105625153531,175.0,175.0,1.0,3.0,3.0,3.0,3.0,AF
1,20180815,BIQPAR,8_78_7,both,AF7497-AF7654,172.84,185.33,-0.07226336496181444,170.0,170.0,2.0,7.0,2.0,2.0,2.0,AF
2,20180815,BIQPAR,8_78_7,both,AF7481-AF7480,181.59,197.48,-0.08750481854727675,170.0,170.0,5.0,11.0,2.0,2.0,2.0,AF
3,20180815,BIQPAR,8_78_7,both,AF7697-AF7654,182.84,198.73,-0.08690658499234295,175.0,175.0,6.0,12.0,3.0,3.0,3.0,AF
4,20180815,BIQPAR,8_78_7,both,AF7497-AF7480,191.59,207.48,-0.08293752283522098,165.0,165.0,9.0,16.0,1.0,1.0,1.0,AF
5,20180815,BIQPAR,8_78_7,both,AF7481-AF7490,201.59,216.88,-0.07584701622104267,170.0,170.0,13.0,22.0,2.0,2.0,2.0,AF
6,20180815,BIQPAR,8_78_7,both,AF7697-AF7480,201.59,216.88,-0.07584701622104267,170.0,170.0,13.0,22.0,2.0,2.0,2.0,AF
7,20180815,BIQPAR,8_78_7,both,AF7483-AF7654,202.84,218.13,-0.07537960954446851,170.0,170.0,14.0,24.0,2.0,2.0,2.0,AF
8,20180815,BIQPAR,8_78_7,both,AF7481-AF7656,202.84,218.13,-0.07537960954446851,175.0,175.0,14.0,24.0,3.0,3.0,3.0,AF
9,20180815,BIQPAR,8_78_7,both,AF7657-AF7654,202.84,218.13,-0.07537960954446851,175.0,175.0,14.0,24.0,3.0,3.0,3.0,AF
10,20180815,BIQPAR,8_78_7,both,AF5434-AF7417-AF7654,209.43,232.38,-0.10958315427589164,420.0,420.0,17.0,33.0,9.0,9.0,10.0,AF
11,20180815,BIQPAR,8_78_7,both,AF7497-AF7490,211.59,226.88,-0.07226239425303649,165.0,165.0,18.0,29.0,1.0,1.0,1.0,AF
12,20180815,BIQPAR,8_78_7,both,AF7497-AF7656,212.84,228.13,-0.07183800037586915,170.0,170.0,19.0,30.0,2.0,2.0,2.0,AF
13,20180815,BIQPAR,8_78_7,both,AF5434-AF7643-AF7654,214.32,240.61,-0.12266703994027632,610.0,610.0,20.0,42.0,12.0,12.0,14.0,AF
14,20180815,BIQPAR,8_78_7,both,AF5434-AF7645-AF7654,214.32,240.61,-0.12266703994027632,710.0,710.0,20.0,42.0,15.0,15.0,17.0,AF
15,20180815,BIQPAR,8_78_7,both,AF7481-AF7640-AF5440,214.32,240.61,-0.12266703994027632,865.0,865.0,20.0,42.0,17.0,19.0,21.0,AF
16,20180815,BIQPAR,8_78_7,both,AF5434-AF7415-AF7654,214.32,240.61,-0.12266703994027632,865.0,865.0,20.0,42.0,17.0,19.0,21.0,AF
17,20180815,BIQPAR,8_78_7,both,AF5434-AF7649-AF7654,214.32,240.61,-0.12266703994027632,940.0,940.0,20.0,42.0,22.0,24.0,26.0,AF
18,20180815,BIQPAR,8_78_7,both,AF5434-AF7401-AF7654,214.32,240.61,-0.12266703994027632,1625.0,1625.0,20.0,42.0,53.0,46.0,58.0,AF
19,20180815,BIQPAR,8_78_7,both,AF7487-AF7654,217.84,233.13,-0.07018912963643037,170.0,170.0,23.0,35.0,2.0,2.0,2.0,AF
20,20180815,BIQPAR,8_78_7,both,AF7491-AF7654,217.84,233.13,-0.07018912963643037,170.0,170.0,23.0,35.0,2.0,2.0,2.0,AF
21,20180815,BIQPAR,8_78_7,both,AF7483-AF7480,221.59,236.88,-0.0690013087233178,165.0,165.0,25.0,38.0,1.0,1.0,1.0,AF
22,20180815,BIQPAR,8_78_7,both,AF7657-AF7480,221.59,236.88,-0.0690013087233178,170.0,170.0,25.0,38.0,2.0,2.0,2.0,AF
23,20180815,BIQPAR,8_78_7,both,AF7697-AF7490,221.59,236.88,-0.0690013087233178,170.0,170.0,25.0,38.0,2.0,2.0,2.0,AF
24,20180815,BIQPAR,8_78_7,both,AF7697-AF7656,222.84,238.13,-0.06861425237838804,175.0,175.0,26.0,40.0,3.0,3.0,3.0,AF
25,20180815,BIQPAR,8_78_7,both,AF7497-AF7640-AF5440,224.32,253.11,-0.1283434379457918,860.0,860.0,28.0,56.0,16.0,18.0,20.0,AF
