,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,BKKPAR,22_7,sabre_unique,WY0818-WY0131-WY0132-WY0815,627.68,,,1860.0,,1.0,,13.0,,13.0,WY
1,20180815,BKKPAR,22_7,sabre_unique,WY0818-WY0131-WY0132-WY0817,627.68,,,2600.0,,1.0,,91.0,,102.0,WY
2,20180815,BKKPAR,22_7,sabre_unique,WY0818-WY0131-WY0132-WY0811,627.68,,,2900.0,,1.0,,113.0,,135.0,WY
3,20180815,BKKPAR,22_722_7,both,KL0876-KL1223-KL1234-KL0875,673.38,709.75,-0.054011108141019934,2355.0,2355.0,2.0,10.0,70.0,41.0,75.0,KL
4,20180815,BKKPAR,22_722_7,both,KL0876-KL1223-KL2012-KL0875,673.38,709.75,-0.054011108141019934,2475.0,2475.0,2.0,10.0,79.0,54.0,88.0,KL
5,20180815,BKKPAR,22_722_7,both,KL0876-KL1223-KL2008-KL0875,673.38,709.75,-0.054011108141019934,2520.0,2520.0,2.0,10.0,83.0,59.0,94.0,KL
6,20180815,BKKPAR,22_722_7,both,KL0876-KL1223-KL1230-KL0875,673.38,709.75,-0.054011108141019934,2610.0,2610.0,2.0,10.0,93.0,62.0,104.0,KL
7,20180815,BKKPAR,22_722_7,both,KL0876-KL1223-KL1228-KL0875,673.38,709.75,-0.054011108141019934,2655.0,2655.0,2.0,10.0,97.0,67.0,109.0,KL
8,20180815,BKKPAR,22_722_7,both,KL0876-KL1223-KL1224-KL0875,673.38,709.75,-0.054011108141019934,2700.0,2700.0,2.0,10.0,100.0,71.0,113.0,KL
9,20180815,BKKPAR,22_722_7,both,KL0876-KL1223-KL2006-KL0875,673.38,709.75,-0.054011108141019934,2725.0,2725.0,2.0,10.0,105.0,75.0,118.0,KL
10,20180815,BKKPAR,22_7,sabre_unique,KL0876-AF8223-KL1234-KL0875,684.71,,,2355.0,,3.0,,70.0,,75.0,AF-KL
11,20180815,BKKPAR,22_7,sabre_unique,KL0876-AF8223-KL2012-KL0875,684.71,,,2475.0,,3.0,,79.0,,88.0,AF-KL
12,20180815,BKKPAR,22_7,sabre_unique,KL0876-AF8223-KL2008-KL0875,684.71,,,2520.0,,3.0,,83.0,,94.0,AF-KL
13,20180815,BKKPAR,22_7,sabre_unique,KL0876-AF8223-KL1230-KL0875,684.71,,,2610.0,,3.0,,93.0,,104.0,AF-KL
14,20180815,BKKPAR,22_7,sabre_unique,KL0876-AF8223-KL1228-KL0875,684.71,,,2655.0,,3.0,,97.0,,109.0,AF-KL
15,20180815,BKKPAR,22_7,sabre_unique,KL0876-AF8223-KL1224-KL0875,684.71,,,2700.0,,3.0,,100.0,,113.0,AF-KL
16,20180815,BKKPAR,22_7,sabre_unique,KL0876-AF8223-KL2006-KL0875,684.71,,,2725.0,,3.0,,105.0,,118.0,AF-KL
17,20180815,BKKPAR,22_722_7,both,PS0272-PS0129-PS0128-PS0271,690.58,709.75,-0.02775927481247641,1805.0,1805.0,4.0,10.0,7.0,4.0,7.0,PS
18,20180815,BKKPAR,22_722_7,both,PS0272-PS0129-PS0130-PS0271,690.58,709.75,-0.02775927481247641,2315.0,2315.0,4.0,10.0,66.0,36.0,70.0,PS
19,20180815,BKKPAR,22_7,sabre_unique,WY5557-WY0131-WY0132-WY0815,698.68,,,3000.0,,5.0,,119.0,,145.0,WY
20,20180815,BKKPAR,22_722_7,both,WY5557-WY0131-WY0132-WY0817,698.68,704.75,-0.008687811301311115,3740.0,3740.0,5.0,8.0,145.0,137.0,196.0,WY
21,20180815,BKKPAR,22_722_7,both,WY5557-WY0131-WY0132-WY0811,698.68,704.75,-0.008687811301311115,4040.0,4040.0,5.0,8.0,148.0,150.0,209.0,WY
22,20180815,BKKPAR,22_722_7,both,SU0271-SU3004-SU6638-SU0270,700.63,720.63,-0.028545737407761586,3155.0,3155.0,6.0,18.0,125.0,111.0,159.0,SU
23,20180815,BKKPAR,22_722_7,both,VN0602-VN0011-CA0934-CA0959,702.42,709.75,-0.010435352068563027,1995.0,1995.0,7.0,10.0,33.0,17.0,35.0,CA-VN
