,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,BODLYS,22_1422_14,both,AF5368-AF5455,122.97,132.25,-0.07546556070586323,130.0,130.0,3.0,6.0,1.0,1.0,1.0,AF
1,20180815,BODLYS,22_1422_14,both,AF5368-AF5401,122.97,132.25,-0.07546556070586323,130.0,130.0,3.0,6.0,1.0,1.0,1.0,AF
2,20180815,BODLYS,22_1422_14,both,AF5372-AF5401,122.97,132.25,-0.07546556070586323,130.0,130.0,3.0,6.0,1.0,1.0,1.0,AF
3,20180815,BODLYS,22_1422_14,both,AF5372-AF5455,122.97,132.25,-0.07546556070586323,130.0,130.0,3.0,6.0,1.0,1.0,1.0,AF
4,20180815,BODLYS,22_1422_14,both,AF5368-AF5396,122.97,132.25,-0.07546556070586323,135.0,135.0,3.0,6.0,2.0,2.0,2.0,AF
5,20180815,BODLYS,22_1422_14,both,AF5368-AF5383,122.97,132.25,-0.07546556070586323,135.0,135.0,3.0,6.0,2.0,2.0,2.0,AF
6,20180815,BODLYS,22_1422_14,both,AF5372-AF5396,122.97,132.25,-0.07546556070586323,135.0,135.0,3.0,6.0,2.0,2.0,2.0,AF
7,20180815,BODLYS,22_1422_14,both,AF5372-AF5383,122.97,132.25,-0.07546556070586323,135.0,135.0,3.0,6.0,2.0,2.0,2.0,AF
8,20180815,BODLYS,22_1422_14,both,AF5460-AF5455,122.97,132.25,-0.07546556070586323,135.0,135.0,3.0,6.0,2.0,2.0,2.0,AF
9,20180815,BODLYS,22_1422_14,both,AF5460-AF5401,122.97,132.25,-0.07546556070586323,135.0,135.0,3.0,6.0,2.0,2.0,2.0,AF
10,20180815,BODLYS,22_1422_14,both,AF5460-AF5396,122.97,132.25,-0.07546556070586323,140.0,140.0,3.0,6.0,3.0,3.0,3.0,AF
11,20180815,BODLYS,22_1422_14,both,AF5460-AF5383,122.97,132.25,-0.07546556070586323,140.0,140.0,3.0,6.0,3.0,3.0,3.0,AF
12,20180815,BODLYS,22_1422_14,both,AF5382-AF5401,131.97,144.75,-0.0968401909524892,130.0,130.0,5.0,11.0,1.0,1.0,1.0,AF
13,20180815,BODLYS,22_1422_14,both,AF5382-AF5455,131.97,144.75,-0.0968401909524892,130.0,130.0,5.0,11.0,1.0,1.0,1.0,AF
14,20180815,BODLYS,22_1422_14,both,AF5368-AF5369,131.97,144.75,-0.0968401909524892,135.0,135.0,5.0,11.0,2.0,2.0,2.0,AF
15,20180815,BODLYS,22_1422_14,both,AF5456-AF5401,131.97,144.75,-0.0968401909524892,135.0,135.0,5.0,11.0,2.0,2.0,2.0,AF
16,20180815,BODLYS,22_1422_14,both,AF5456-AF5455,131.97,144.75,-0.0968401909524892,135.0,135.0,5.0,11.0,2.0,2.0,2.0,AF
17,20180815,BODLYS,22_1422_14,both,AF5372-AF5369,131.97,144.75,-0.0968401909524892,135.0,135.0,5.0,11.0,2.0,2.0,2.0,AF
18,20180815,BODLYS,22_1422_14,both,AF5458-AF5455,131.97,144.75,-0.0968401909524892,135.0,135.0,5.0,11.0,2.0,2.0,2.0,AF
19,20180815,BODLYS,22_1422_14,both,AF5458-AF5401,131.97,144.75,-0.0968401909524892,135.0,135.0,5.0,11.0,2.0,2.0,2.0,AF
20,20180815,BODLYS,22_1422_14,both,AF5382-AF5383,131.97,144.75,-0.0968401909524892,135.0,135.0,5.0,11.0,2.0,2.0,2.0,AF
21,20180815,BODLYS,22_1422_14,both,AF5382-AF5396,131.97,144.75,-0.0968401909524892,135.0,135.0,5.0,11.0,2.0,2.0,2.0,AF
22,20180815,BODLYS,22_1422_14,both,AF5456-AF5383,131.97,144.75,-0.0968401909524892,140.0,140.0,5.0,11.0,3.0,3.0,3.0,AF
23,20180815,BODLYS,22_1422_14,both,AF5456-AF5396,131.97,144.75,-0.0968401909524892,140.0,140.0,5.0,11.0,3.0,3.0,3.0,AF
24,20180815,BODLYS,22_1422_14,both,AF5458-AF5383,131.97,144.75,-0.0968401909524892,140.0,140.0,5.0,11.0,3.0,3.0,3.0,AF
25,20180815,BODLYS,22_1422_14,both,AF5458-AF5396,131.97,144.75,-0.0968401909524892,140.0,140.0,5.0,11.0,3.0,3.0,3.0,AF
26,20180815,BODLYS,22_1422_14,both,AF5460-AF5369,131.97,144.75,-0.0968401909524892,140.0,140.0,5.0,11.0,3.0,3.0,3.0,AF
27,20180815,BODLYS,22_1422_14,both,AF5382-AF5369,140.97,153.45,-0.08852947435624593,135.0,135.0,8.0,15.0,2.0,2.0,2.0,AF
28,20180815,BODLYS,22_1422_14,both,AF5456-AF5369,140.97,153.45,-0.08852947435624593,140.0,140.0,8.0,15.0,3.0,3.0,3.0,AF
29,20180815,BODLYS,22_1422_14,both,AF5458-AF5369,140.97,153.45,-0.08852947435624593,140.0,140.0,8.0,15.0,3.0,3.0,3.0,AF
30,20180815,BODLYS,22_1422_14,both,AF5368-AF5392-AF7017,150.7,174.18,-0.1558062375580625,530.0,530.0,12.0,24.0,41.0,37.0,48.0,AF
