,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,CASPAR,3_23_2,both,TB6449-TB1450,404.06,437.06,-0.0816710389546107,405.0,405.0,1.0,7.0,9.0,9.0,9.0,TB
1,20180815,CASPAR,3_23_2,both,AT0778-AT0751,405.06,431.06,-0.06418802152767492,365.0,365.0,2.0,5.0,6.0,6.0,6.0,AT
2,20180815,CASPAR,3_23_2,both,AT0778-AT0777,405.06,431.06,-0.06418802152767492,365.0,365.0,2.0,5.0,6.0,6.0,6.0,AT
3,20180815,CASPAR,3_23_2,both,AT0778-AT0771,405.06,431.06,-0.06418802152767492,370.0,370.0,2.0,5.0,7.0,7.0,7.0,AT
4,20180815,CASPAR,3_23_2,both,AT0778-AT0787,407.58,433.58,-0.06379115756415919,375.0,375.0,3.0,6.0,8.0,8.0,8.0,AT
5,20180815,CASPAR,3_23_2,both,AT0778-AT0779,407.58,433.58,-0.06379115756415919,375.0,375.0,3.0,6.0,8.0,8.0,8.0,AT
6,20180815,CASPAR,3_23_2,both,AT0778-AT0761,422.06,448.06,-0.06160261574183765,360.0,360.0,4.0,11.0,5.0,5.0,5.0,AT
7,20180815,CASPAR,3_23_2,both,AF1197-AF1196,441.58,467.58,-0.058879478237239005,370.0,370.0,8.0,15.0,7.0,7.0,7.0,AF
8,20180815,CASPAR,3_23_2,both,AF1197-AF1496,441.58,467.58,-0.058879478237239005,370.0,370.0,8.0,15.0,7.0,7.0,7.0,AF
9,20180815,CASPAR,3_23_2,both,AT0760-AT0777,444.06,467.58,-0.05296581543034721,345.0,345.0,9.0,15.0,2.0,2.0,2.0,AT
10,20180815,CASPAR,3_23_2,both,AT0760-AT0751,444.06,467.58,-0.05296581543034721,345.0,345.0,9.0,15.0,2.0,2.0,2.0,AT
11,20180815,CASPAR,3_23_2,both,AT0764-AT0751,444.06,467.58,-0.05296581543034721,345.0,345.0,9.0,15.0,2.0,2.0,2.0,AT
12,20180815,CASPAR,3_23_2,both,AT0764-AT0777,444.06,467.58,-0.05296581543034721,345.0,345.0,9.0,15.0,2.0,2.0,2.0,AT
13,20180815,CASPAR,3_23_2,both,AT0760-AT0771,444.06,467.58,-0.05296581543034721,350.0,350.0,9.0,15.0,3.0,3.0,3.0,AT
14,20180815,CASPAR,3_23_2,both,AT0764-AT0771,444.06,467.58,-0.05296581543034721,350.0,350.0,9.0,15.0,3.0,3.0,3.0,AT
15,20180815,CASPAR,3_23_2,both,AT0774-AT0751,444.06,467.58,-0.05296581543034721,355.0,355.0,9.0,15.0,4.0,4.0,4.0,AT
16,20180815,CASPAR,3_23_2,both,AT0774-AT0777,444.06,467.58,-0.05296581543034721,355.0,355.0,9.0,15.0,4.0,4.0,4.0,AT
17,20180815,CASPAR,3_23_2,both,AT0750-AT0751,444.06,467.58,-0.05296581543034721,355.0,355.0,9.0,15.0,4.0,4.0,4.0,AT
18,20180815,CASPAR,3_23_2,both,AT0750-AT0777,444.06,467.58,-0.05296581543034721,355.0,355.0,9.0,15.0,4.0,4.0,4.0,AT
19,20180815,CASPAR,3_23_2,both,AT0774-AT0771,444.06,467.58,-0.05296581543034721,360.0,360.0,9.0,15.0,5.0,5.0,5.0,AT
20,20180815,CASPAR,3_23_2,both,AT0750-AT0771,444.06,467.58,-0.05296581543034721,360.0,360.0,9.0,15.0,5.0,5.0,5.0,AT
21,20180815,CASPAR,3_23_2,both,AT0760-AT0787,446.58,467.58,-0.047024049442429126,355.0,355.0,10.0,15.0,4.0,4.0,4.0,AT
22,20180815,CASPAR,3_23_2,both,AT0760-AT0779,446.58,467.58,-0.047024049442429126,355.0,355.0,10.0,15.0,4.0,4.0,4.0,AT
23,20180815,CASPAR,3_23_2,both,AT0764-AT0787,446.58,467.58,-0.047024049442429126,355.0,355.0,10.0,15.0,4.0,4.0,4.0,AT
24,20180815,CASPAR,3_23_2,both,AT0764-AT0779,446.58,467.58,-0.047024049442429126,355.0,355.0,10.0,15.0,4.0,4.0,4.0,AT
25,20180815,CASPAR,3_23_2,both,AT0774-AT0787,446.58,467.58,-0.047024049442429126,365.0,365.0,10.0,15.0,6.0,6.0,6.0,AT
26,20180815,CASPAR,3_23_2,both,AT0774-AT0779,446.58,467.58,-0.047024049442429126,365.0,365.0,10.0,15.0,6.0,6.0,6.0,AT
27,20180815,CASPAR,3_23_2,both,AT0750-AT0787,446.58,467.58,-0.047024049442429126,365.0,365.0,10.0,15.0,6.0,6.0,6.0,AT
28,20180815,CASPAR,3_23_2,both,AT0750-AT0779,446.58,467.58,-0.047024049442429126,365.0,365.0,10.0,15.0,6.0,6.0,6.0,AT
29,20180815,CASPAR,3_23_2,both,AF1197-AF1896,450.58,476.58,-0.05770340450086555,365.0,365.0,12.0,16.0,6.0,6.0,6.0,AF
30,20180815,CASPAR,3_23_2,both,AT0760-AT0761,461.06,487.06,-0.05639179282522882,340.0,340.0,13.0,19.0,1.0,1.0,1.0,AT
31,20180815,CASPAR,3_23_2,both,AT0764-AT0761,461.06,487.06,-0.05639179282522882,340.0,340.0,13.0,19.0,1.0,1.0,1.0,AT
32,20180815,CASPAR,3_23_2,both,AT0774-AT0761,461.06,487.06,-0.05639179282522882,350.0,350.0,13.0,19.0,3.0,3.0,3.0,AT
33,20180815,CASPAR,3_23_2,both,AT0750-AT0761,461.06,487.06,-0.05639179282522882,350.0,350.0,13.0,19.0,3.0,3.0,3.0,AT
