,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,CMBPAR,8_28_2,both,9W0255-9W0124-9W0123-9W0256,851.62,1028.62,-0.20783917709776648,2615.0,2615.0,1.0,5.0,53.0,38.0,70.0,9W
1,20180815,CMBPAR,8_28_2,both,9W0255-9W0124-9W0123-9W0252,851.62,1028.62,-0.20783917709776648,3540.0,3540.0,1.0,5.0,107.0,77.0,140.0,9W
2,20180815,CMBPAR,8_28_2,both,9W0255-9W0124-9W4948-9W0252,929.62,1128.62,-0.21406596243626416,3545.0,3545.0,2.0,11.0,108.0,78.0,141.0,9W
3,20180815,CMBPAR,8_2,sabre_unique,9W0251-9W0124-9W0123-9W0256,962.62,,,1660.0,,3.0,,4.0,,7.0,9W
4,20180815,CMBPAR,8_2,sabre_unique,9W0251-9W0124-9W0123-9W0252,962.62,,,2585.0,,3.0,,48.0,,64.0,9W
5,20180815,CMBPAR,8_28_2,both,9W0255-9W4947-9W0123-9W0256,962.62,1028.62,-0.06856288047204492,2605.0,2605.0,3.0,5.0,51.0,36.0,68.0,9W
6,20180815,CMBPAR,8_28_2,both,9W0255-9W4947-9W0123-9W0252,962.62,1028.62,-0.06856288047204492,3530.0,3530.0,3.0,5.0,105.0,75.0,138.0,9W
7,20180815,CMBPAR,8_28_2,both,9W0255-9W0124-9W4948-9W0256,979.62,1128.62,-0.15209979379759486,2620.0,2620.0,4.0,11.0,54.0,39.0,71.0,9W
8,20180815,CMBPAR,8_2,sabre_unique,9W0251-9W0124-9W4948-9W0252,1040.62,,,2590.0,,6.0,,49.0,,65.0,9W
9,20180815,CMBPAR,8_28_2,both,9W0255-9W4947-9W4948-9W0252,1040.62,1128.62,-0.08456497088274299,3535.0,3535.0,6.0,11.0,106.0,76.0,139.0,9W
10,20180815,CMBPAR,8_2,sabre_unique,9W0251-9W0124-9W4948-9W0256,1090.62,,,1665.0,,7.0,,5.0,,8.0,9W
11,20180815,CMBPAR,8_28_2,both,9W0255-9W4947-9W4948-9W0256,1090.62,1128.62,-0.03484256661348591,2610.0,2610.0,7.0,11.0,52.0,37.0,69.0,9W
12,20180815,CMBPAR,8_28_2,both,9W0255-9W0124-EY0038-EY0264,1106.41,1282.41,-0.159073038023879,2665.0,2665.0,8.0,31.0,59.0,43.0,77.0,9W-EY
13,20180815,CMBPAR,8_28_2,both,9W0255-9W0124-EY0038-EY0266,1107.61,1283.61,-0.15890069609339028,3370.0,3370.0,9.0,32.0,97.0,73.0,129.0,9W-EY
14,20180815,CMBPAR,8_2,sabre_unique,9W0255-9W0124-EY0038-EY0204-EY8706,1122.41,,,3435.0,,10.0,,102.0,,134.0,9W-EY
15,20180815,CMBPAR,8_2,sabre_unique,BA6369-BA4483-BA8053-BA0327-BA7006-BA6380,1185.82,,,2930.0,,13.0,,78.0,,103.0,BA
16,20180815,CMBPAR,8_2,sabre_unique,BA6369-BA4483-BA8053-BA0327-BA7010-BA2896,1185.82,,,2990.0,,13.0,,81.0,,107.0,BA
17,20180815,CMBPAR,8_2,sabre_unique,BA6369-BA4483-BA8053-BA0327-BA7006-BA2896,1185.82,,,2990.0,,13.0,,81.0,,107.0,BA
18,20180815,CMBPAR,8_2,sabre_unique,BA6369-BA4483-BA8053-BA0327-BA7006-BA6364,1185.82,,,3420.0,,13.0,,101.0,,133.0,BA
19,20180815,CMBPAR,8_2,sabre_unique,BA6369-BA4483-BA8053-BA0327-BA7010-BA6364,1185.82,,,3420.0,,13.0,,101.0,,133.0,BA
20,20180815,CMBPAR,8_28_2,both,BA6369-BA7007-BA0316-BA0327-BA7006-BA6380,1186.54,1206.54,-0.016855731791595732,2540.0,2540.0,14.0,20.0,45.0,28.0,58.0,BA
21,20180815,CMBPAR,8_28_2,both,BA6369-BA7007-BA0316-BA0327-BA7010-BA2896,1186.54,1206.54,-0.016855731791595732,2600.0,2600.0,14.0,20.0,50.0,35.0,67.0,BA
22,20180815,CMBPAR,8_28_2,both,BA6369-BA7007-BA0316-BA0327-BA7006-BA2896,1186.54,1206.54,-0.016855731791595732,2600.0,2600.0,14.0,20.0,50.0,35.0,67.0,BA
23,20180815,CMBPAR,8_28_2,both,BA6369-BA7007-BA0322-BA0327-BA7006-BA6380,1186.54,1206.54,-0.016855731791595732,2725.0,2725.0,14.0,20.0,66.0,49.0,85.0,BA
24,20180815,CMBPAR,8_28_2,both,BA6369-BA7003-BA0322-BA0327-BA7006-BA6380,1186.54,1206.54,-0.016855731791595732,2725.0,2725.0,14.0,20.0,66.0,49.0,85.0,BA
25,20180815,CMBPAR,8_28_2,both,BA6369-BA7003-BA0328-BA0327-BA7006-BA6380,1186.54,1206.54,-0.016855731791595732,2780.0,2780.0,14.0,20.0,67.0,53.0,89.0,BA
26,20180815,CMBPAR,8_28_2,both,BA6369-BA7007-BA0328-BA0327-BA7006-BA6380,1186.54,1206.54,-0.016855731791595732,2780.0,2780.0,14.0,20.0,67.0,53.0,89.0,BA
27,20180815,CMBPAR,8_28_2,both,BA6369-BA7007-BA0322-BA0327-BA7006-BA2896,1186.54,1206.54,-0.016855731791595732,2785.0,2785.0,14.0,20.0,68.0,54.0,90.0,BA
28,20180815,CMBPAR,8_28_2,both,BA6369-BA7003-BA0322-BA0327-BA7010-BA2896,1186.54,1206.54,-0.016855731791595732,2785.0,2785.0,14.0,20.0,68.0,54.0,90.0,BA
29,20180815,CMBPAR,8_28_2,both,BA6369-BA7007-BA0322-BA0327-BA7010-BA2896,1186.54,1206.54,-0.016855731791595732,2785.0,2785.0,14.0,20.0,68.0,54.0,90.0,BA
30,20180815,CMBPAR,8_28_2,both,BA6369-BA7003-BA0322-BA0327-BA7006-BA2896,1186.54,1206.54,-0.016855731791595732,2785.0,2785.0,14.0,20.0,68.0,54.0,90.0,BA
31,20180815,CMBPAR,8_28_2,both,BA6369-BA7003-BA0328-BA0327-BA7006-BA2896,1186.54,1206.54,-0.016855731791595732,2840.0,2840.0,14.0,20.0,72.0,56.0,94.0,BA
32,20180815,CMBPAR,8_28_2,both,BA6369-BA7007-BA0328-BA0327-BA7006-BA2896,1186.54,1206.54,-0.016855731791595732,2840.0,2840.0,14.0,20.0,72.0,56.0,94.0,BA
33,20180815,CMBPAR,8_28_2,both,BA6369-BA7003-BA0328-BA0327-BA7010-BA2896,1186.54,1206.54,-0.016855731791595732,2840.0,2840.0,14.0,20.0,72.0,56.0,94.0,BA
34,20180815,CMBPAR,8_28_2,both,BA6369-BA7007-BA0328-BA0327-BA7010-BA2896,1186.54,1206.54,-0.016855731791595732,2840.0,2840.0,14.0,20.0,72.0,56.0,94.0,BA
35,20180815,CMBPAR,8_28_2,both,BA6369-BA7001-BA0326-BA0327-BA7006-BA6380,1186.54,1206.54,-0.016855731791595732,2895.0,2895.0,14.0,20.0,76.0,59.0,100.0,BA
36,20180815,CMBPAR,8_28_2,both,BA6369-BA7003-BA0326-BA0327-BA7006-BA6380,1186.54,1206.54,-0.016855731791595732,2895.0,2895.0,14.0,20.0,76.0,59.0,100.0,BA
37,20180815,CMBPAR,8_2,sabre_unique,BA6369-BA7007-BA0326-BA0327-BA7006-BA6380,1186.54,,,2895.0,,14.0,,76.0,,100.0,BA
38,20180815,CMBPAR,8_28_2,both,BA6369-BA7003-BA0326-BA0327-BA7010-BA2896,1186.54,1206.54,-0.016855731791595732,2955.0,2955.0,14.0,20.0,79.0,63.0,105.0,BA
39,20180815,CMBPAR,8_2,sabre_unique,BA6369-BA7007-BA0326-BA0327-BA7010-BA2896,1186.54,,,2955.0,,14.0,,79.0,,105.0,BA
40,20180815,CMBPAR,8_28_2,both,BA6369-BA7001-BA0326-BA0327-BA7006-BA2896,1186.54,1206.54,-0.016855731791595732,2955.0,2955.0,14.0,20.0,79.0,63.0,105.0,BA
