,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,DPSPAR,22_722_7,both,TG0432-TG0930-TG0931-TG0431,1037.08,1057.06,-0.01926563042388246,2365.0,2365.0,1.0,2.0,15.0,9.0,15.0,TG
1,20180815,DPSPAR,22_722_7,both,QR0963-QR0037-QR0042-QR0964,1075.67,1094.65,-0.0176448167188822,2985.0,2985.0,3.0,6.0,60.0,54.0,78.0,QR
2,20180815,DPSPAR,22_722_7,both,QR0963-QR0037-QR0038-QR0960,1075.67,1094.65,-0.0176448167188822,3060.0,3060.0,3.0,6.0,66.0,59.0,85.0,QR
3,20180815,DPSPAR,22_722_7,both,QR0963-QR0037-QR0040-QR0960,1075.67,1094.65,-0.0176448167188822,3460.0,3460.0,3.0,6.0,90.0,83.0,123.0,QR
4,20180815,DPSPAR,22_722_7,both,QR0963-QR0037-QR0042-QR0962,1075.67,1094.65,-0.0176448167188822,3545.0,3545.0,3.0,6.0,97.0,85.0,130.0,QR
5,20180815,DPSPAR,22_722_7,both,QR0963-QR0037-QR0038-QR0964,1075.67,1094.65,-0.0176448167188822,3600.0,3600.0,3.0,6.0,102.0,86.0,135.0,QR
6,20180815,DPSPAR,22_722_7,both,QR0963-QR0037-QR0042-QR0960,1078.83,1097.81,-0.017593133301817727,3885.0,3885.0,4.0,7.0,121.0,90.0,155.0,QR
7,20180815,DPSPAR,22_722_7,both,QR0963-QR0037-QR0040-QR0964,1078.83,1097.81,-0.017593133301817727,4000.0,4000.0,4.0,7.0,130.0,96.0,167.0,QR
8,20180815,DPSPAR,22_722_7,both,QR0963-QR0037-QR0038-QR0962,1078.83,1097.81,-0.017593133301817727,4160.0,4160.0,4.0,7.0,134.0,109.0,182.0,QR
9,20180815,DPSPAR,22_722_7,both,QR0963-QR0037-QR0040-QR0962,1090.67,1110.65,-0.018319014917436087,3120.0,3120.0,5.0,9.0,71.0,63.0,91.0,QR
10,20180815,DPSPAR,22_7,sabre_unique,AF8218-AF0257-AF8234-AF8220,1100.75,,,3735.0,,8.0,,113.0,,146.0,AF
11,20180815,DPSPAR,22_7,sabre_unique,EY8192-EY0471-EY0037-EY0032-EY0418-EY2741,1126.2,,,3000.0,,11.0,,62.0,,80.0,EY
12,20180815,DPSPAR,22_7,sabre_unique,EY7109-EY0475-EY0031-EY0032-EY0418-EY2741,1126.2,,,3095.0,,11.0,,69.0,,88.0,EY
13,20180815,DPSPAR,22_7,sabre_unique,EY7109-EY0471-EY0037-EY0032-EY0418-EY2741,1126.2,,,3495.0,,11.0,,92.0,,125.0,EY
14,20180815,DPSPAR,22_7,sabre_unique,EY7109-EY0475-EY0037-EY0032-EY0418-EY2741,1126.2,,,3495.0,,11.0,,92.0,,125.0,EY
