,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,GVAPAR,8_28_2,both,AF1643-AF1242,173.5,186.87,-0.07706051873198849,145.0,145.0,1.0,6.0,2.0,2.0,2.0,AF
1,20180815,GVAPAR,8_28_2,both,AF1443-AF1242,184.5,197.87,-0.07246612466124663,140.0,140.0,2.0,12.0,1.0,1.0,1.0,AF
2,20180815,GVAPAR,8_28_2,both,AF1843-AF1242,184.5,197.87,-0.07246612466124663,145.0,145.0,2.0,12.0,2.0,2.0,2.0,AF
3,20180815,GVAPAR,8_28_2,both,AF1643-AF6014-AF1876,184.84,209.21,-0.1318437567626055,295.0,295.0,3.0,19.0,4.0,10.0,10.0,AF
4,20180815,GVAPAR,8_28_2,both,AF1643-AF6010-AF1876,184.84,209.21,-0.1318437567626055,480.0,480.0,3.0,19.0,15.0,42.0,42.0,AF
5,20180815,GVAPAR,8_28_2,both,AF1643-AF6006-AF1876,184.84,209.21,-0.1318437567626055,685.0,685.0,3.0,19.0,34.0,56.0,67.0,AF
6,20180815,GVAPAR,8_28_2,both,AF1643-AF6002-AF1876,184.84,209.21,-0.1318437567626055,765.0,765.0,3.0,19.0,40.0,59.0,73.0,AF
7,20180815,GVAPAR,8_28_2,both,AF1643-AF1042,185.5,198.87,-0.07207547169811324,145.0,145.0,4.0,13.0,2.0,2.0,2.0,AF
8,20180815,GVAPAR,8_28_2,both,AF1043-AF1242,186.5,199.87,-0.07168900804289546,140.0,140.0,5.0,15.0,1.0,1.0,1.0,AF
9,20180815,GVAPAR,8_28_2,both,AF1643-AF7660-AF1876,190.98,212.87,-0.11461933186721131,720.0,720.0,7.0,23.0,37.0,57.0,70.0,AF
10,20180815,GVAPAR,8_28_2,both,AF1443-AF6014-AF1876,195.84,220.21,-0.12443831699346407,290.0,290.0,8.0,25.0,3.0,9.0,9.0,AF
11,20180815,GVAPAR,8_28_2,both,AF1843-AF6014-AF1876,195.84,220.21,-0.12443831699346407,295.0,295.0,8.0,25.0,4.0,10.0,10.0,AF
12,20180815,GVAPAR,8_28_2,both,AF1443-AF6010-AF1876,195.84,220.21,-0.12443831699346407,475.0,475.0,8.0,25.0,14.0,41.0,41.0,AF
13,20180815,GVAPAR,8_28_2,both,AF1843-AF6010-AF1876,195.84,220.21,-0.12443831699346407,480.0,480.0,8.0,25.0,15.0,42.0,42.0,AF
14,20180815,GVAPAR,8_28_2,both,AF1443-AF6006-AF1876,195.84,220.21,-0.12443831699346407,680.0,680.0,8.0,25.0,33.0,55.0,66.0,AF
15,20180815,GVAPAR,8_28_2,both,AF1843-AF6006-AF1876,195.84,220.21,-0.12443831699346407,685.0,685.0,8.0,25.0,34.0,56.0,67.0,AF
16,20180815,GVAPAR,8_28_2,both,AF1443-AF6002-AF1876,195.84,220.21,-0.12443831699346407,760.0,760.0,8.0,25.0,39.0,58.0,72.0,AF
17,20180815,GVAPAR,8_28_2,both,AF1843-AF6002-AF1876,195.84,220.21,-0.12443831699346407,765.0,765.0,8.0,25.0,40.0,59.0,73.0,AF
18,20180815,GVAPAR,8_28_2,both,AF1443-AF1042,196.5,209.87,-0.0680407124681934,140.0,140.0,9.0,20.0,1.0,1.0,1.0,AF
19,20180815,GVAPAR,8_28_2,both,AF1843-AF1042,196.5,209.87,-0.0680407124681934,145.0,145.0,9.0,20.0,2.0,2.0,2.0,AF
20,20180815,GVAPAR,8_28_2,both,LX2801-LX0632-LX0645-LX2802,196.78,324.46,-0.6488464274824676,880.0,880.0,10.0,67.0,42.0,60.0,75.0,LX
21,20180815,GVAPAR,8_2,sabre_unique,LX2801-LX0632-LX0657-LX2802,196.78,,,1000.0,,10.0,,50.0,,83.0,LX
22,20180815,GVAPAR,8_2,sabre_unique,LX2801-LX0632-LX0639-LX2802,196.78,,,1220.0,,10.0,,70.0,,103.0,LX
23,20180815,GVAPAR,8_2,sabre_unique,LX2801-LX0632-LX0633-LX2802,196.78,,,1535.0,,10.0,,98.0,,131.0,LX
24,20180815,GVAPAR,8_2,sabre_unique,LX2801-LX0632-LX0647-LX2802,196.78,,,1705.0,,10.0,,111.0,,144.0,LX
25,20180815,GVAPAR,8_28_2,both,AF1043-AF6014-AF1876,197.84,222.21,-0.12318034775576225,290.0,290.0,11.0,27.0,3.0,9.0,9.0,AF
26,20180815,GVAPAR,8_28_2,both,AF1043-AF6010-AF1876,197.84,222.21,-0.12318034775576225,475.0,475.0,11.0,27.0,14.0,41.0,41.0,AF
27,20180815,GVAPAR,8_28_2,both,AF1043-AF6006-AF1876,197.84,222.21,-0.12318034775576225,680.0,680.0,11.0,27.0,33.0,55.0,66.0,AF
28,20180815,GVAPAR,8_28_2,both,AF1043-AF6002-AF1876,197.84,222.21,-0.12318034775576225,760.0,760.0,11.0,27.0,39.0,58.0,72.0,AF
