,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,HAVPAR,15_315_3,both,AA0802-AA0786-AA0787-AA0801,1083.96,1103.96,-0.018450865345584707,2455.0,2455.0,1.0,3.0,39.0,23.0,43.0,AA
1,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0151-AA0354-AA0801,1083.96,,,2505.0,,1.0,,44.0,,49.0,AA
2,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0063-AA1698-AA0801,1083.96,,,2520.0,,1.0,,46.0,,52.0,AA
3,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0063-AA1739-AA0801,1083.96,,,2520.0,,1.0,,46.0,,52.0,AA
4,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0063-AA2023-AA0801,1083.96,,,2520.0,,1.0,,46.0,,52.0,AA
5,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0755-AA0756-AA0801,1083.96,,,2605.0,,1.0,,53.0,,62.0,AA
6,20180815,HAVPAR,15_315_3,both,AA0802-AA0412-AA0754-AA0787-AA0801,1083.96,1103.96,-0.018450865345584707,2680.0,2680.0,1.0,3.0,62.0,50.0,74.0,AA
7,20180815,HAVPAR,15_3,sabre_unique,AA2696-AA0342-AA0786-AA0787-AA0801,1083.96,,,3360.0,,1.0,,92.0,,138.0,AA
8,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0412-AA0754-AA0151-AA0354-AA0801,1083.96,,,2730.0,,1.0,,70.0,,83.0,AA
9,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0412-AA0754-AA0063-AA2023-AA0801,1083.96,,,2745.0,,1.0,,71.0,,85.0,AA
10,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0412-AA0754-AA0063-AA1739-AA0801,1083.96,,,2745.0,,1.0,,71.0,,85.0,AA
11,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0412-AA0754-AA0063-AA1698-AA0801,1083.96,,,2745.0,,1.0,,71.0,,85.0,AA
12,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0412-AA0754-AA0755-AA0756-AA0801,1083.96,,,2830.0,,1.0,,75.0,,96.0,AA
13,20180815,HAVPAR,15_3,sabre_unique,AA2696-AA0342-AA0786-AA0151-AA0354-AA0801,1083.96,,,3410.0,,1.0,,97.0,,144.0,AA
14,20180815,HAVPAR,15_3,sabre_unique,AA2696-AA0342-AA0786-AA0063-AA1739-AA0801,1083.96,,,3425.0,,1.0,,98.0,,146.0,AA
15,20180815,HAVPAR,15_3,sabre_unique,AA2696-AA0342-AA0786-AA0063-AA1698-AA0801,1083.96,,,3425.0,,1.0,,98.0,,146.0,AA
16,20180815,HAVPAR,15_3,sabre_unique,AA2696-AA0342-AA0786-AA0063-AA2023-AA0801,1083.96,,,3425.0,,1.0,,98.0,,146.0,AA
17,20180815,HAVPAR,15_3,sabre_unique,AA2696-AA0342-AA0786-AA0755-AA0756-AA0801,1083.96,,,3510.0,,1.0,,100.0,,150.0,AA
18,20180815,HAVPAR,15_315_3,both,AA0802-AA0786-AA0063-AA2699,1085.27,1105.27,-0.018428593806149623,1615.0,1615.0,2.0,4.0,4.0,4.0,4.0,AA
19,20180815,HAVPAR,15_315_3,both,AA0802-AA0786-AA0063-AA0017,1085.27,1105.27,-0.018428593806149623,2335.0,2335.0,2.0,4.0,34.0,17.0,36.0,AA
20,20180815,HAVPAR,15_315_3,both,AA0802-AA0786-AA0063-AA1447,1085.27,1105.27,-0.018428593806149623,2490.0,2490.0,2.0,4.0,42.0,25.0,46.0,AA
21,20180815,HAVPAR,15_315_3,both,AA0802-AA0412-AA0754-AA0063-AA2699,1085.27,1103.96,-0.017221520911846873,1840.0,1840.0,2.0,3.0,11.0,7.0,12.0,AA
22,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0787-AA2700-AA0017,1085.27,,,2270.0,,2.0,,32.0,,34.0,AA
23,20180815,HAVPAR,15_315_3,both,AA0802-AA0786-AA0787-AA1682-AA0017,1085.27,1103.96,-0.017221520911846873,2270.0,2270.0,2.0,3.0,32.0,16.0,34.0,AA
24,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0787-AA0457-AA0017,1085.27,,,2270.0,,2.0,,32.0,,34.0,AA
25,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0151-AA1277-AA0017,1085.27,,,2320.0,,2.0,,33.0,,35.0,AA
26,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0151-AA0160-AA0017,1085.27,,,2320.0,,2.0,,33.0,,35.0,AA
27,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0049-AA2720-AA0017,1085.27,,,2370.0,,2.0,,36.0,,38.0,AA
28,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0049-AA2206-AA0017,1085.27,,,2370.0,,2.0,,36.0,,38.0,AA
29,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0049-AA1219-AA0017,1085.27,,,2370.0,,2.0,,36.0,,38.0,AA
30,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0049-AA2771-AA0017,1085.27,,,2370.0,,2.0,,36.0,,38.0,AA
31,20180815,HAVPAR,15_315_3,both,AA0802-AA0786-AA0787-AA1682-AA1447,1085.27,1103.96,-0.017221520911846873,2425.0,2425.0,2.0,3.0,37.0,20.0,40.0,AA
32,20180815,HAVPAR,15_315_3,both,AA0802-AA0786-AA0787-AA2700-AA1447,1085.27,1103.96,-0.017221520911846873,2425.0,2425.0,2.0,3.0,37.0,20.0,40.0,AA
33,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0151-AA1277-AA1447,1085.27,,,2475.0,,2.0,,40.0,,44.0,AA
34,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0151-AA0160-AA1447,1085.27,,,2475.0,,2.0,,40.0,,44.0,AA
35,20180815,HAVPAR,15_3,sabre_unique,AA2696-AA0342-AA0786-AA0063-AA2699,1085.27,,,2520.0,,2.0,,46.0,,52.0,AA
36,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0049-AA1219-AA1447,1085.27,,,2525.0,,2.0,,47.0,,53.0,AA
37,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0049-AA2206-AA1447,1085.27,,,2525.0,,2.0,,47.0,,53.0,AA
38,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0049-AA2720-AA1447,1085.27,,,2525.0,,2.0,,47.0,,53.0,AA
39,20180815,HAVPAR,15_3,sabre_unique,AA0802-AA0786-AA0049-AA2771-AA1447,1085.27,,,2525.0,,2.0,,47.0,,53.0,AA
40,20180815,HAVPAR,15_315_3,both,AA0802-AA0412-AA0754-AA0063-AA0017,1085.27,1103.96,-0.017221520911846873,2560.0,2560.0,2.0,3.0,49.0,32.0,56.0,AA
