,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,HKTPAR,8_78_7,both,CA0822-CA0875-MU8664-MU9831,888.57,1013.57,-0.14067546732390243,3300.0,3300.0,1.0,18.0,73.0,66.0,106.0,CA-MU
1,20180815,HKTPAR,8_78_7,both,CA0822-CA0875-MU8664-MU9857,888.57,1013.57,-0.14067546732390243,3370.0,3370.0,1.0,18.0,81.0,70.0,114.0,CA-MU
2,20180815,HKTPAR,8_78_7,both,CA0822-CA0875-MU0570-MU9857,888.57,1013.57,-0.14067546732390243,3495.0,3495.0,1.0,18.0,91.0,80.0,127.0,CA-MU
3,20180815,HKTPAR,8_78_7,both,CA0822-CA0875-MU8662-MU9831,888.57,1013.57,-0.14067546732390243,3795.0,3795.0,1.0,18.0,107.0,95.0,147.0,CA-MU
4,20180815,HKTPAR,8_78_7,both,CA0822-CA0875-MU8662-MU9857,888.57,1013.57,-0.14067546732390243,3865.0,3865.0,1.0,18.0,112.0,99.0,153.0,CA-MU
5,20180815,HKTPAR,8_78_7,both,CA0822-CA0875-MU0554-MU9857,888.57,1013.57,-0.14067546732390243,3970.0,3970.0,1.0,18.0,117.0,103.0,159.0,CA-MU
6,20180815,HKTPAR,8_7,sabre_unique,MU9866-MU8663-MU8664-MU9865,907.68,,,2400.0,,2.0,,21.0,,27.0,MU
7,20180815,HKTPAR,8_7,sabre_unique,MU9866-MU8663-MU0570-MU9865,907.68,,,2525.0,,2.0,,27.0,,36.0,MU
8,20180815,HKTPAR,8_7,sabre_unique,MU9866-MU8663-MU8662-MU9865,907.68,,,2895.0,,2.0,,46.0,,62.0,MU
9,20180815,HKTPAR,8_7,sabre_unique,MU9866-MU8663-MU0554-MU9865,907.68,,,3000.0,,2.0,,50.0,,70.0,MU
10,20180815,HKTPAR,8_7,sabre_unique,MU9866-MU8661-MU8664-MU9865,907.68,,,3190.0,,2.0,,64.0,,93.0,MU
11,20180815,HKTPAR,8_7,sabre_unique,MU9866-MU8661-MU0570-MU9865,907.68,,,3315.0,,2.0,,75.0,,108.0,MU
12,20180815,HKTPAR,8_7,sabre_unique,MU9866-MU8661-MU8662-MU9865,907.68,,,3685.0,,2.0,,98.0,,138.0,MU
13,20180815,HKTPAR,8_7,sabre_unique,MU9866-MU8661-MU0554-MU9865,907.68,,,3790.0,,2.0,,106.0,,146.0,MU
14,20180815,HKTPAR,8_78_7,both,CA0822-CA0875-CA0876-CA0821,913.56,1039.56,-0.1379219755681072,3935.0,3935.0,3.0,22.0,115.0,102.0,157.0,CA
15,20180815,HKTPAR,8_78_7,both,MU9858-MU8661-MU8664-MU9831,915.58,935.58,-0.02184407697852727,3125.0,3125.0,4.0,6.0,58.0,51.0,85.0,MU
