,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,LAXPAR,15_315_3,both,SK0940-SK0571-SK2572-SK0939,985.56,1005.56,-0.020293031373026505,2415.0,2415.0,1.0,2.0,95.0,78.0,153.0,SK
1,20180815,LAXPAR,15_315_3,both,SK0940-SK0579-SK2572-SK0939,985.56,1005.56,-0.020293031373026505,2745.0,2745.0,1.0,2.0,107.0,88.0,170.0,SK
2,20180815,LAXPAR,15_315_3,both,SU0107-SU3004-SU2453-SU0106,1178.1,1198.1,-0.01697648756472286,2650.0,2650.0,4.0,7.0,103.0,82.0,162.0,SU
3,20180815,LAXPAR,15_315_3,both,SU0107-SU3004-SU3007-SU0106,1182.54,1202.54,-0.016912747137517548,2820.0,2820.0,5.0,8.0,111.0,91.0,176.0,SU
4,20180815,LAXPAR,15_315_3,both,SU0107-SU3004-SU3003-SU0106,1182.54,1202.54,-0.016912747137517548,2890.0,2890.0,5.0,8.0,114.0,92.0,179.0,SU
5,20180815,LAXPAR,15_3,sabre_unique,EI0144-EI0528-EI0523-EI0145,1219.14,,,1830.0,,9.0,,45.0,,47.0,EI
6,20180815,LAXPAR,15_315_3,both,EI0144-EI0528-EI0521-EI0145,1247.14,1503.14,-0.20526965697515914,1995.0,1995.0,11.0,23.0,75.0,31.0,89.0,EI
7,20180815,LAXPAR,15_3,sabre_unique,DY7098-DY1495-DY7083,1273.01,,,1575.0,,13.0,,5.0,,5.0,DY
8,20180815,LAXPAR,15_3,sabre_unique,DY7088-DY4313-DY1495-DY7083,1349.41,,,2145.0,,18.0,,89.0,,118.0,DY
9,20180815,LAXPAR,15_315_3,both,SU0107-SU3000-SU2453-SU0106,1551.1,1571.1,-0.012894075172458256,2435.0,2435.0,25.0,30.0,96.0,79.0,154.0,SU
10,20180815,LAXPAR,15_315_3,both,SU0107-SU3000-SU3007-SU0106,1555.54,1575.54,-0.012857271429857157,2605.0,2605.0,26.0,31.0,101.0,81.0,160.0,SU
11,20180815,LAXPAR,15_315_3,both,SU0107-SU3000-SU3003-SU0106,1555.54,1575.54,-0.012857271429857157,2675.0,2675.0,26.0,31.0,104.0,83.0,163.0,SU
12,20180815,LAXPAR,15_3,sabre_unique,MU0586-MU0553-MU8664-MU0577,1612.76,,,3635.0,,32.0,,118.0,,208.0,MU
13,20180815,LAXPAR,15_3,sabre_unique,MU0578-MU0569-MU8664-MU0577,1612.76,,,3645.0,,32.0,,119.0,,210.0,MU
14,20180815,LAXPAR,15_3,sabre_unique,MU0586-MU0553-MU8662-MU0583,1612.76,,,3655.0,,32.0,,120.0,,211.0,MU
15,20180815,LAXPAR,15_3,sabre_unique,MU0578-MU0569-MU8662-MU0583,1612.76,,,3665.0,,32.0,,121.0,,212.0,MU
16,20180815,LAXPAR,15_3,sabre_unique,MU0586-MU0553-MU0554-MU0583,1612.76,,,3760.0,,32.0,,123.0,,219.0,MU
17,20180815,LAXPAR,15_3,sabre_unique,MU0586-MU0553-MU0570-MU0577,1612.76,,,3760.0,,32.0,,123.0,,219.0,MU
18,20180815,LAXPAR,15_3,sabre_unique,MU0578-MU0569-MU0554-MU0583,1612.76,,,3770.0,,32.0,,124.0,,220.0,MU
19,20180815,LAXPAR,15_3,sabre_unique,MU0578-MU0569-MU0570-MU0577,1612.76,,,3770.0,,32.0,,124.0,,220.0,MU
20,20180815,LAXPAR,15_3,sabre_unique,MU0586-MU0553-MU8662-MU0577,1612.76,,,4130.0,,32.0,,125.0,,236.0,MU
21,20180815,LAXPAR,15_3,sabre_unique,MU0578-MU0569-MU8662-MU0577,1612.76,,,4140.0,,32.0,,126.0,,238.0,MU
22,20180815,LAXPAR,15_315_3,both,WW0174-WW0410-WW0405-WW0173,1643.33,1682.33,-0.023732299659837038,1635.0,1635.0,35.0,40.0,7.0,2.0,7.0,WW
23,20180815,LAXPAR,15_3,sabre_unique,AM0647-AM0003-AM0004-AM0646,1658.48,,,2350.0,,37.0,,92.0,,148.0,AM
24,20180815,LAXPAR,15_3,sabre_unique,AM0018-AM0005-AM0004-AM0646,1658.48,,,2359.0,,37.0,,93.0,,149.0,AM
