,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,LISPAR,15_715_7,both,LH1793-LH2236-LH2239-LH1790,254.89,270.64,-0.06179136097924595,1210.0,1210.0,1.0,7.0,51.0,36.0,64.0,LH
1,20180815,LISPAR,15_7,sabre_unique,LH1793-LH2236-LH2227-LH1792,254.89,,,1555.0,,1.0,,76.0,,105.0,LH
2,20180815,LISPAR,15_7,sabre_unique,LH1793-LH2236-LH2239-LH1792,254.89,,,1700.0,,1.0,,89.0,,121.0,LH
3,20180815,LISPAR,15_715_7,both,LH1793-LH2236-LH1053-LH1166,257.57,273.32,-0.06114842567069147,1095.0,1095.0,2.0,9.0,41.0,24.0,48.0,LH
4,20180815,LISPAR,15_715_7,both,LH1793-LH2236-OS0412-OS8151,265.41,281.16,-0.0593421498813157,1145.0,1145.0,3.0,16.0,44.0,29.0,54.0,LH-OS
5,20180815,LISPAR,15_715_7,both,LH1793-LH2236-OS0414-OS8153,265.41,281.16,-0.0593421498813157,1300.0,1300.0,3.0,16.0,54.0,44.0,73.0,LH-OS
6,20180815,LISPAR,15_715_7,both,LH1793-LH2236-OS7112-OS8151,265.41,281.16,-0.0593421498813157,1315.0,1315.0,3.0,16.0,57.0,45.0,76.0,LH-OS
7,20180815,LISPAR,15_715_7,both,LH1793-LH2236-OS0412-OS8153,265.41,281.16,-0.0593421498813157,1530.0,1530.0,3.0,16.0,73.0,64.0,101.0,LH-OS
8,20180815,LISPAR,15_715_7,both,LH1793-LH2236-OS7112-OS8153,265.41,281.16,-0.0593421498813157,1700.0,1700.0,3.0,16.0,89.0,71.0,121.0,LH-OS
9,20180815,LISPAR,15_715_7,both,UX1156-UX1021-UX1020-UX1153,265.43,276.18,-0.04050032023509023,545.0,545.0,4.0,12.0,10.0,6.0,10.0,UX
10,20180815,LISPAR,15_715_7,both,UX1150-UX1025-UX1020-UX1153,265.43,276.18,-0.04050032023509023,675.0,675.0,4.0,12.0,16.0,7.0,16.0,UX
11,20180815,LISPAR,15_715_7,both,UX1152-UX1029-UX1020-UX1153,265.43,276.18,-0.04050032023509023,720.0,720.0,4.0,12.0,19.0,8.0,19.0,UX
12,20180815,LISPAR,15_715_7,both,UX1150-UX1021-UX1020-UX1153,265.43,276.18,-0.04050032023509023,805.0,805.0,4.0,12.0,23.0,9.0,23.0,UX
13,20180815,LISPAR,15_7,sabre_unique,UX1156-UX1021-UX1020-UX1155,265.43,,,805.0,,4.0,,23.0,,23.0,UX
14,20180815,LISPAR,15_715_7,both,UX1152-UX1025-UX1020-UX1153,265.43,276.18,-0.04050032023509023,915.0,915.0,4.0,12.0,27.0,10.0,27.0,UX
15,20180815,LISPAR,15_7,sabre_unique,UX1150-UX1025-UX1020-UX1155,265.43,,,935.0,,4.0,,28.0,,28.0,UX
16,20180815,LISPAR,15_7,sabre_unique,UX1152-UX1029-UX1020-UX1155,265.43,,,980.0,,4.0,,30.0,,32.0,UX
17,20180815,LISPAR,15_715_7,both,UX1152-UX1021-UX1020-UX1153,265.43,276.18,-0.04050032023509023,1045.0,1045.0,4.0,12.0,35.0,18.0,40.0,UX
18,20180815,LISPAR,15_7,sabre_unique,UX1150-UX1021-UX1020-UX1155,265.43,,,1065.0,,4.0,,38.0,,43.0,UX
19,20180815,LISPAR,15_7,sabre_unique,UX1152-UX1025-UX1020-UX1155,265.43,,,1175.0,,4.0,,48.0,,59.0,UX
20,20180815,LISPAR,15_7,sabre_unique,UX1152-UX1021-UX1020-UX1155,265.43,,,1305.0,,4.0,,55.0,,74.0,UX
21,20180815,LISPAR,15_7,sabre_unique,LH1791-LH2226-LH2239-LH1790,265.55,,,1485.0,,5.0,,69.0,,95.0,LH
22,20180815,LISPAR,15_7,sabre_unique,LH1791-LH2226-LH2227-LH1792,265.55,,,1830.0,,5.0,,101.0,,138.0,LH
23,20180815,LISPAR,15_7,sabre_unique,LH1793-LH2226-LH2239-LH1790,265.55,,,1970.0,,5.0,,110.0,,151.0,LH
24,20180815,LISPAR,15_7,sabre_unique,LH1791-LH2226-LH2239-LH1792,265.55,,,1975.0,,5.0,,111.0,,152.0,LH
25,20180815,LISPAR,15_7,sabre_unique,LH1793-LH2226-LH2227-LH1792,265.55,,,2315.0,,5.0,,127.0,,184.0,LH
26,20180815,LISPAR,15_7,sabre_unique,LH1793-LH2226-LH2239-LH1792,265.55,,,2460.0,,5.0,,131.0,,192.0,LH
27,20180815,LISPAR,15_7,sabre_unique,LH1791-LH2226-LH1053-LH1166,268.23,,,1370.0,,6.0,,63.0,,82.0,LH
28,20180815,LISPAR,15_7,sabre_unique,LH1793-LH2226-LH1053-LH1166,268.23,,,1855.0,,6.0,,104.0,,142.0,LH
29,20180815,LISPAR,15_715_7,both,UX1156-UX1027-UX1020-UX1153,272.96,283.71,-0.039383059788980074,1265.0,1265.0,8.0,17.0,53.0,41.0,70.0,UX
30,20180815,LISPAR,15_7,sabre_unique,UX1150-UX1027-UX1020-UX1153,272.96,,,1525.0,,8.0,,72.0,,100.0,UX
31,20180815,LISPAR,15_7,sabre_unique,UX1156-UX1027-UX1020-UX1155,272.96,,,1525.0,,8.0,,72.0,,100.0,UX
32,20180815,LISPAR,15_7,sabre_unique,UX1152-UX1027-UX1020-UX1153,272.96,,,1765.0,,8.0,,95.0,,130.0,UX
33,20180815,LISPAR,15_7,sabre_unique,UX1150-UX1027-UX1020-UX1155,272.96,,,1785.0,,8.0,,96.0,,131.0,UX
34,20180815,LISPAR,15_7,sabre_unique,UX1152-UX1027-UX1020-UX1155,272.96,,,2025.0,,8.0,,116.0,,158.0,UX
35,20180815,LISPAR,15_7,sabre_unique,LH1793-LH2236-LH2239-LH6970,274.89,,,1350.0,,10.0,,61.0,,80.0,LH
