,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,LONPAR,8_7,sabre_unique,9F9036-9F9007,171.52,,,280.0,,1.0,,15.0,,15.0,9F
1,20180815,LONPAR,8_7,sabre_unique,9F9046-9F9007,171.52,,,280.0,,1.0,,15.0,,15.0,9F
2,20180815,LONPAR,8_7,sabre_unique,9F9006-9F9007,194.52,,,292.0,,2.0,,21.0,,21.0,9F
3,20180815,LONPAR,8_7,sabre_unique,9F9036-9F9063,197.52,,,263.0,,3.0,,7.0,,7.0,9F
4,20180815,LONPAR,8_7,sabre_unique,9F9036-9F9063,197.52,,,284.0,,3.0,,16.0,,16.0,9F
5,20180815,LONPAR,8_7,sabre_unique,9F9046-9F9063,197.52,,,263.0,,3.0,,7.0,,7.0,9F
6,20180815,LONPAR,8_7,sabre_unique,9F9046-9F9063,197.52,,,284.0,,3.0,,16.0,,16.0,9F
7,20180815,LONPAR,8_7,sabre_unique,9F9036-9F9015,197.52,,,264.0,,3.0,,8.0,,8.0,9F
8,20180815,LONPAR,8_7,sabre_unique,9F9036-9F9015,197.52,,,286.0,,3.0,,18.0,,18.0,9F
9,20180815,LONPAR,8_7,sabre_unique,9F9046-9F9015,197.52,,,264.0,,3.0,,8.0,,8.0,9F
10,20180815,LONPAR,8_7,sabre_unique,9F9046-9F9015,197.52,,,286.0,,3.0,,18.0,,18.0,9F
11,20180815,LONPAR,8_7,sabre_unique,9F9036-9F9009,197.52,,,279.0,,3.0,,14.0,,14.0,9F
12,20180815,LONPAR,8_7,sabre_unique,9F9046-9F9009,197.52,,,279.0,,3.0,,14.0,,14.0,9F
13,20180815,LONPAR,8_7,sabre_unique,9F9036-9F9023,197.52,,,285.0,,3.0,,17.0,,17.0,9F
14,20180815,LONPAR,8_7,sabre_unique,9F9046-9F9023,197.52,,,285.0,,3.0,,17.0,,17.0,9F
15,20180815,LONPAR,8_78_7,both,BA8757-BA0329,206.8,221.4,-0.07059961315280461,160.0,160.0,4.0,9.0,5.0,5.0,5.0,BA
16,20180815,LONPAR,8_7,sabre_unique,9F9036-9F9053,216.0,,,280.0,,5.0,,15.0,,15.0,9F
17,20180815,LONPAR,8_7,sabre_unique,9F9046-9F9053,216.0,,,280.0,,5.0,,15.0,,15.0,9F
18,20180815,LONPAR,8_7,sabre_unique,9F9040-9F9007,217.52,,,280.0,,6.0,,15.0,,15.0,9F
19,20180815,LONPAR,8_7,sabre_unique,BA8051-IB5884,218.99,,,140.0,,7.0,,1.0,,1.0,BA-IB
20,20180815,LONPAR,8_7,sabre_unique,IB5969-BA8055,218.99,,,140.0,,7.0,,1.0,,1.0,BA-IB
21,20180815,LONPAR,8_78_7,both,IB5969-IB5884,218.99,233.59,-0.06666971094570526,140.0,140.0,7.0,16.0,1.0,1.0,1.0,IB
22,20180815,LONPAR,8_78_7,both,BA8051-BA8055,218.99,233.59,-0.06666971094570526,140.0,140.0,7.0,16.0,1.0,1.0,1.0,BA
