,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,LYSNTE,15_315_3,both,AF5451-AF5607-AF7037,194.74,221.01,-0.13489781246790583,820.0,820.0,3.0,18.0,31.0,36.0,55.0,AF
1,20180815,LYSNTE,15_3,sabre_unique,AF5451-AF5607-AF4283,194.74,,,1255.0,,3.0,,50.0,,74.0,AF
2,20180815,LYSNTE,15_315_3,both,AF5451-AF5601-AF5482,197.69,222.68,-0.12641003591481617,865.0,865.0,4.0,21.0,34.0,37.0,58.0,AF
3,20180815,LYSNTE,15_3,sabre_unique,AF5451-AF5601-AF5484,197.69,,,1300.0,,4.0,,54.0,,78.0,AF
4,20180815,LYSNTE,15_3,sabre_unique,AF5451-AF5601-AF5486,197.69,,,1535.0,,4.0,,67.0,,92.0,AF
5,20180815,LYSNTE,15_3,sabre_unique,AF7038-AF5604-AF5607-AF7037,206.08,,,2240.0,,7.0,,97.0,,122.0,AF
6,20180815,LYSNTE,15_3,sabre_unique,AF7038-AF5604-AF5607-AF4283,206.08,,,2675.0,,7.0,,109.0,,135.0,AF
7,20180815,LYSNTE,15_315_3,both,AF5451-AF5312,207.4,222.68,-0.07367405978784956,145.0,145.0,8.0,21.0,1.0,1.0,1.0,AF
8,20180815,LYSNTE,15_3,sabre_unique,AF7038-AF5604-AF5601-AF5482,209.03,,,2285.0,,9.0,,100.0,,125.0,AF
9,20180815,LYSNTE,15_3,sabre_unique,AF7038-AF5604-AF5601-AF5484,209.03,,,2720.0,,9.0,,111.0,,137.0,AF
10,20180815,LYSNTE,15_3,sabre_unique,AF7038-AF5604-AF5601-AF5486,209.03,,,2955.0,,9.0,,116.0,,142.0,AF
11,20180815,LYSNTE,15_315_3,both,AF5311-AF5607-AF7037,209.74,233.18,-0.11175741394106987,820.0,820.0,11.0,31.0,31.0,36.0,55.0,AF
12,20180815,LYSNTE,15_315_3,both,AF5315-AF5607-AF7037,209.74,233.18,-0.11175741394106987,820.0,820.0,11.0,31.0,31.0,36.0,55.0,AF
13,20180815,LYSNTE,15_3,sabre_unique,AF5311-AF5607-AF4283,209.74,,,1255.0,,11.0,,50.0,,74.0,AF
14,20180815,LYSNTE,15_3,sabre_unique,AF5315-AF5607-AF4283,209.74,,,1255.0,,11.0,,50.0,,74.0,AF
15,20180815,LYSNTE,15_315_3,both,AF5311-AF5601-AF5482,212.69,237.68,-0.11749494569561338,865.0,865.0,13.0,39.0,34.0,37.0,58.0,AF
16,20180815,LYSNTE,15_315_3,both,AF5315-AF5601-AF5482,212.69,237.68,-0.11749494569561338,865.0,865.0,13.0,39.0,34.0,37.0,58.0,AF
17,20180815,LYSNTE,15_3,sabre_unique,AF5311-AF5601-AF5484,212.69,,,1300.0,,13.0,,54.0,,78.0,AF
18,20180815,LYSNTE,15_3,sabre_unique,AF5315-AF5601-AF5484,212.69,,,1300.0,,13.0,,54.0,,78.0,AF
19,20180815,LYSNTE,15_3,sabre_unique,AF5311-AF5601-AF5486,212.69,,,1535.0,,13.0,,67.0,,92.0,AF
20,20180815,LYSNTE,15_3,sabre_unique,AF5315-AF5601-AF5486,212.69,,,1535.0,,13.0,,67.0,,92.0,AF
21,20180815,LYSNTE,15_315_3,both,AF4288-AF5604-AF5607-AF7037,216.08,253.35,-0.17248241392077,1540.0,1540.0,15.0,62.0,68.0,42.0,93.0,AF
22,20180815,LYSNTE,15_3,sabre_unique,AF5394-AF5604-AF5607-AF7037,216.08,,,1795.0,,15.0,,84.0,,109.0,AF
23,20180815,LYSNTE,15_3,sabre_unique,AF4288-AF5604-AF5607-AF4283,216.08,,,1975.0,,15.0,,91.0,,116.0,AF
24,20180815,LYSNTE,15_3,sabre_unique,AF5394-AF5604-AF5607-AF4283,216.08,,,2230.0,,15.0,,96.0,,121.0,AF
25,20180815,LYSNTE,15_315_3,both,AF4288-AF5604-AF5601-AF5482,219.03,256.3,-0.1701593389033466,1585.0,1585.0,16.0,67.0,74.0,43.0,99.0,AF
26,20180815,LYSNTE,15_3,sabre_unique,AF5485-AF5598-AF5607-AF7037,219.03,,,1795.0,,16.0,,84.0,,109.0,AF
27,20180815,LYSNTE,15_3,sabre_unique,AF5394-AF5604-AF5601-AF5482,219.03,,,1840.0,,16.0,,86.0,,111.0,AF
28,20180815,LYSNTE,15_3,sabre_unique,AF4288-AF5604-AF5601-AF5484,219.03,,,2020.0,,16.0,,93.0,,118.0,AF
29,20180815,LYSNTE,15_3,sabre_unique,AF5485-AF5598-AF5607-AF4283,219.03,,,2230.0,,16.0,,96.0,,121.0,AF
30,20180815,LYSNTE,15_3,sabre_unique,AF4288-AF5604-AF5601-AF5486,219.03,,,2255.0,,16.0,,98.0,,123.0,AF
31,20180815,LYSNTE,15_3,sabre_unique,AF5394-AF5604-AF5601-AF5484,219.03,,,2275.0,,16.0,,99.0,,124.0,AF
32,20180815,LYSNTE,15_3,sabre_unique,AF5394-AF5604-AF5601-AF5486,219.03,,,2510.0,,16.0,,105.0,,131.0,AF
33,20180815,LYSNTE,15_3,sabre_unique,AF7038-AF5604-AF5312,219.74,,,1565.0,,17.0,,72.0,,97.0,AF
34,20180815,LYSNTE,15_3,sabre_unique,AF5485-AF5598-AF5601-AF5482,221.98,,,1840.0,,19.0,,86.0,,111.0,AF
35,20180815,LYSNTE,15_3,sabre_unique,AF5485-AF5598-AF5601-AF5484,221.98,,,2275.0,,19.0,,99.0,,124.0,AF
36,20180815,LYSNTE,15_3,sabre_unique,AF5485-AF5598-AF5601-AF5486,221.98,,,2510.0,,19.0,,105.0,,131.0,AF
37,20180815,LYSNTE,15_315_3,both,AF5311-AF5312,222.4,237.68,-0.06870503597122303,145.0,145.0,20.0,39.0,1.0,1.0,1.0,AF
38,20180815,LYSNTE,15_315_3,both,AF5451-AF5314,222.4,237.68,-0.06870503597122303,145.0,145.0,20.0,39.0,1.0,1.0,1.0,AF
39,20180815,LYSNTE,15_315_3,both,AF5315-AF5312,222.4,237.68,-0.06870503597122303,145.0,145.0,20.0,39.0,1.0,1.0,1.0,AF
40,20180815,LYSNTE,15_3,sabre_unique,AF5313-AF5607-AF7037,224.74,,,820.0,,22.0,,31.0,,55.0,AF
41,20180815,LYSNTE,15_3,sabre_unique,AF5313-AF5607-AF4283,224.74,,,1255.0,,22.0,,50.0,,74.0,AF
42,20180815,LYSNTE,15_3,sabre_unique,AF5405-AF7000-AF5607-AF7037,227.47,,,1545.0,,23.0,,69.0,,94.0,AF
43,20180815,LYSNTE,15_3,sabre_unique,AF5405-AF7000-AF5607-AF4283,227.47,,,1980.0,,23.0,,92.0,,117.0,AF
44,20180815,LYSNTE,15_3,sabre_unique,AF5392-AF7000-AF5607-AF4283,227.47,,,2670.0,,23.0,,108.0,,134.0,AF
