,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,LYSTLS,22_722_7,both,AF5399-AF7037,123.49,132.77,-0.07514778524576901,120.0,120.0,2.0,3.0,1.0,1.0,1.0,AF
1,20180815,LYSTLS,22_722_7,both,AF7038-AF7037,123.49,132.77,-0.07514778524576901,120.0,120.0,2.0,3.0,1.0,1.0,1.0,AF
2,20180815,LYSTLS,22_722_7,both,AF4288-AF7037,123.49,132.77,-0.07514778524576901,120.0,120.0,2.0,3.0,1.0,1.0,1.0,AF
3,20180815,LYSTLS,22_722_7,both,AF5399-AF4287,152.49,164.97,-0.08184143222506386,120.0,120.0,5.0,15.0,1.0,1.0,1.0,AF
4,20180815,LYSTLS,22_722_7,both,AF7038-AF4287,152.49,164.97,-0.08184143222506386,120.0,120.0,5.0,15.0,1.0,1.0,1.0,AF
5,20180815,LYSTLS,22_722_7,both,AF5394-AF7037,152.49,164.97,-0.08184143222506386,120.0,120.0,5.0,15.0,1.0,1.0,1.0,AF
6,20180815,LYSTLS,22_722_7,both,AF4288-AF4287,152.49,164.97,-0.08184143222506386,120.0,120.0,5.0,15.0,1.0,1.0,1.0,AF
7,20180815,LYSTLS,22_7,sabre_unique,AF5392-AF5583-AF7037,161.22,,,1555.0,,11.0,,71.0,,82.0,AF
8,20180815,LYSTLS,22_7,sabre_unique,AF5487-AF7034-AF7037,162.78,,,765.0,,12.0,,53.0,,64.0,AF
9,20180815,LYSTLS,22_722_7,both,AF7401-AF6110-AF7037,163.03,186.5,-0.14396123412868797,260.0,260.0,13.0,35.0,3.0,5.0,5.0,AF
10,20180815,LYSTLS,22_722_7,both,AF7401-AF6114-AF7037,163.03,186.5,-0.14396123412868797,335.0,335.0,13.0,35.0,12.0,13.0,17.0,AF
11,20180815,LYSTLS,22_722_7,both,AF7401-AF6116-AF7037,163.03,186.5,-0.14396123412868797,380.0,380.0,13.0,35.0,15.0,15.0,20.0,AF
12,20180815,LYSTLS,22_722_7,both,AF7401-AF6118-AF7037,163.03,186.5,-0.14396123412868797,470.0,470.0,13.0,35.0,25.0,28.0,35.0,AF
13,20180815,LYSTLS,22_7,sabre_unique,AF5415-AF4390-AF7037,164.61,,,800.0,,14.0,,54.0,,65.0,AF
14,20180815,LYSTLS,22_722_7,both,AF5399-AF5604-AF5312,165.0,188.48,-0.14230303030303024,475.0,475.0,16.0,37.0,26.0,29.0,36.0,AF
15,20180815,LYSTLS,22_722_7,both,AF7038-AF5604-AF5312,165.0,188.48,-0.14230303030303024,475.0,475.0,16.0,37.0,26.0,29.0,36.0,AF
16,20180815,LYSTLS,22_722_7,both,AF4288-AF5604-AF5312,165.0,188.48,-0.14230303030303024,475.0,475.0,16.0,37.0,26.0,29.0,36.0,AF
17,20180815,LYSTLS,22_722_7,both,AF5311-AF5605-AF7037,165.0,188.48,-0.14230303030303024,525.0,525.0,16.0,37.0,32.0,30.0,42.0,AF
18,20180815,LYSTLS,22_7,sabre_unique,AF5399-AF5608-AF5309,165.0,,,705.0,,16.0,,46.0,,57.0,AF
19,20180815,LYSTLS,22_7,sabre_unique,AF7038-AF5608-AF5309,165.0,,,705.0,,16.0,,46.0,,57.0,AF
20,20180815,LYSTLS,22_7,sabre_unique,AF4288-AF5608-AF5309,165.0,,,705.0,,16.0,,46.0,,57.0,AF
21,20180815,LYSTLS,22_7,sabre_unique,AF7038-AF5604-AF5454,165.0,,,895.0,,16.0,,58.0,,69.0,AF
22,20180815,LYSTLS,22_7,sabre_unique,AF4288-AF5604-AF5454,165.0,,,895.0,,16.0,,58.0,,69.0,AF
23,20180815,LYSTLS,22_722_7,both,AF5392-AF5585-AF7037,166.22,189.7,-0.14125857297557448,610.0,610.0,17.0,40.0,40.0,33.0,50.0,AF
24,20180815,LYSTLS,22_7,sabre_unique,AF5392-AF5587-AF7037,166.22,,,850.0,,17.0,,57.0,,68.0,AF
25,20180815,LYSTLS,22_722_7,both,AF5399-AF4283,167.49,179.97,-0.0745119111588751,120.0,120.0,18.0,32.0,1.0,1.0,1.0,AF
26,20180815,LYSTLS,22_722_7,both,AF7038-AF4283,167.49,179.97,-0.0745119111588751,120.0,120.0,18.0,32.0,1.0,1.0,1.0,AF
27,20180815,LYSTLS,22_722_7,both,AF4288-AF4283,167.49,179.97,-0.0745119111588751,120.0,120.0,18.0,32.0,1.0,1.0,1.0,AF
28,20180815,LYSTLS,22_722_7,both,AF5399-AF7517-AF7652,167.73,191.21,-0.13998688368210827,305.0,305.0,19.0,42.0,7.0,12.0,12.0,AF
29,20180815,LYSTLS,22_722_7,both,AF7038-AF7517-AF7652,167.73,191.21,-0.13998688368210827,305.0,305.0,19.0,42.0,7.0,12.0,12.0,AF
