,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,MADPAR,15_315_3,both,LX2033-LX0632-LX0645-LX2020,224.54,239.14,-0.06502182239244676,1550.0,1550.0,1.0,4.0,43.0,58.0,74.0,LX
1,20180815,MADPAR,15_315_3,both,LX2027-LX0632-LX0645-LX2020,224.54,239.14,-0.06502182239244676,1800.0,1800.0,1.0,4.0,72.0,86.0,112.0,LX
2,20180815,MADPAR,15_315_3,both,LX2033-LX0632-LX0639-LX2020,224.54,239.14,-0.06502182239244676,1915.0,1915.0,1.0,4.0,88.0,99.0,130.0,LX
3,20180815,MADPAR,15_3,sabre_unique,LX2021-LX0632-LX0645-LX2020,224.54,,,2135.0,,1.0,,108.0,,158.0,LX
4,20180815,MADPAR,15_315_3,both,LX2027-LX0632-LX0639-LX2020,224.54,239.14,-0.06502182239244676,2165.0,2165.0,1.0,4.0,109.0,117.0,160.0,LX
5,20180815,MADPAR,15_3,sabre_unique,LX2033-LX0632-LX0633-LX2020,224.54,,,2205.0,,1.0,,112.0,,163.0,LX
6,20180815,MADPAR,15_3,sabre_unique,LX2027-LX0632-LX0633-LX2020,224.54,,,2455.0,,1.0,,130.0,,182.0,LX
7,20180815,MADPAR,15_3,sabre_unique,LX2021-LX0632-LX0639-LX2020,224.54,,,2500.0,,1.0,,132.0,,185.0,LX
8,20180815,MADPAR,15_3,sabre_unique,LX2021-LX0632-LX0633-LX2020,224.54,,,2790.0,,1.0,,142.0,,196.0,LX
9,20180815,MADPAR,15_3,sabre_unique,AF1401-AF1000,231.28,,,250.0,,2.0,,4.0,,4.0,AF
10,20180815,MADPAR,15_3,sabre_unique,LX2033-LX0632-LX0647-LX2020,234.54,,,2350.0,,3.0,,123.0,,175.0,LX
11,20180815,MADPAR,15_3,sabre_unique,LX2027-LX0632-LX0647-LX2020,234.54,,,2600.0,,3.0,,138.0,,192.0,LX
12,20180815,MADPAR,15_3,sabre_unique,LX2021-LX0632-LX0647-LX2020,234.54,,,2935.0,,3.0,,145.0,,199.0,LX
13,20180815,MADPAR,15_315_3,both,LH1807-LH2236-LX0645-LX2020,239.98,254.58,-0.06083840320026679,1475.0,1475.0,5.0,10.0,34.0,48.0,62.0,LH-LX
14,20180815,MADPAR,15_315_3,both,LH1807-LH2236-LX0639-LX2020,239.98,254.58,-0.06083840320026679,1840.0,1840.0,5.0,10.0,77.0,91.0,117.0,LH-LX
15,20180815,MADPAR,15_3,sabre_unique,LH1807-LH2236-LX0633-LX2020,239.98,,,2130.0,,5.0,,107.0,,157.0,LH-LX
16,20180815,MADPAR,15_315_3,both,LH1805-LH2226-LX0645-LX2020,243.18,257.78,-0.060037832058557304,1545.0,1545.0,6.0,11.0,42.0,57.0,73.0,LH-LX
17,20180815,MADPAR,15_315_3,both,LH1805-LH2226-LX0639-LX2020,243.18,257.78,-0.060037832058557304,1910.0,1910.0,6.0,11.0,87.0,98.0,129.0,LH-LX
18,20180815,MADPAR,15_3,sabre_unique,LH1805-LH2226-LX0633-LX2020,243.18,,,2200.0,,6.0,,111.0,,162.0,LH-LX
19,20180815,MADPAR,15_3,sabre_unique,LH1807-LH2236-LX0647-LX2020,249.98,,,2275.0,,7.0,,119.0,,171.0,LH-LX
20,20180815,MADPAR,15_3,sabre_unique,LH1803-LH2226-LX0645-LX2020,250.64,,,1755.0,,8.0,,67.0,,105.0,LH-LX
21,20180815,MADPAR,15_3,sabre_unique,LH1801-LH2226-LX0645-LX2020,250.64,,,1970.0,,8.0,,94.0,,137.0,LH-LX
22,20180815,MADPAR,15_3,sabre_unique,LH1803-LH2226-LX0639-LX2020,250.64,,,2120.0,,8.0,,106.0,,156.0,LH-LX
23,20180815,MADPAR,15_3,sabre_unique,LH1807-LH2226-LX0645-LX2020,250.64,,,2235.0,,8.0,,115.0,,166.0,LH-LX
24,20180815,MADPAR,15_3,sabre_unique,LH1801-LH2226-LX0639-LX2020,250.64,,,2335.0,,8.0,,121.0,,173.0,LH-LX
25,20180815,MADPAR,15_3,sabre_unique,LH1803-LH2226-LX0633-LX2020,250.64,,,2410.0,,8.0,,126.0,,178.0,LH-LX
26,20180815,MADPAR,15_3,sabre_unique,LH1807-LH2226-LX0639-LX2020,250.64,,,2600.0,,8.0,,138.0,,192.0,LH-LX
27,20180815,MADPAR,15_3,sabre_unique,LH1801-LH2226-LX0633-LX2020,250.64,,,2625.0,,8.0,,139.0,,193.0,LH-LX
28,20180815,MADPAR,15_3,sabre_unique,LH1807-LH2226-LX0633-LX2020,250.64,,,2890.0,,8.0,,144.0,,198.0,LH-LX
29,20180815,MADPAR,15_3,sabre_unique,LH1805-LH2226-LX0647-LX2020,253.18,,,2345.0,,9.0,,122.0,,174.0,LH-LX
30,20180815,MADPAR,15_3,sabre_unique,LH1803-LH2226-LX0647-LX2020,260.64,,,2555.0,,12.0,,134.0,,188.0,LH-LX
31,20180815,MADPAR,15_3,sabre_unique,LH1801-LH2226-LX0647-LX2020,260.64,,,2770.0,,12.0,,141.0,,195.0,LH-LX
32,20180815,MADPAR,15_3,sabre_unique,LH1807-LH2226-LX0647-LX2020,260.64,,,3035.0,,12.0,,146.0,,200.0,LH-LX
33,20180815,MADPAR,15_315_3,both,AF1501-AF1000,263.28,277.88,-0.05545426921908244,250.0,250.0,13.0,17.0,4.0,4.0,4.0,AF
34,20180815,MADPAR,15_315_3,both,KL3390-KL2007-AF1000,271.97,297.57,-0.09412802882670869,410.0,410.0,14.0,26.0,7.0,8.0,8.0,AF-KL
35,20180815,MADPAR,15_315_3,both,LH1115-LH1026-LX0645-LX2020,272.89,288.64,-0.057715563047381735,1680.0,1680.0,15.0,20.0,57.0,72.0,93.0,LH-LX
36,20180815,MADPAR,15_315_3,both,LH1115-LH1026-LX0639-LX2020,272.89,288.64,-0.057715563047381735,2045.0,2045.0,15.0,20.0,102.0,110.0,148.0,LH-LX
37,20180815,MADPAR,15_3,sabre_unique,LH1115-LH1026-LX0633-LX2020,272.89,,,2335.0,,15.0,,121.0,,173.0,LH-LX
38,20180815,MADPAR,15_315_3,both,IB3442-IB3743,273.28,289.03,-0.05763319672131148,250.0,250.0,16.0,21.0,4.0,4.0,4.0,IB
39,20180815,MADPAR,15_3,sabre_unique,AF1401-AF1300,280.28,,,250.0,,18.0,,4.0,,4.0,AF
40,20180815,MADPAR,15_3,sabre_unique,AF1401-AF1100,280.28,,,250.0,,18.0,,4.0,,4.0,AF
41,20180815,MADPAR,15_3,sabre_unique,AF1401-AF1400,280.28,,,255.0,,18.0,,5.0,,5.0,AF
42,20180815,MADPAR,15_3,sabre_unique,LH1113-LH1026-LX0645-LX2020,280.35,,,1925.0,,19.0,,90.0,,132.0,LH-LX
43,20180815,MADPAR,15_3,sabre_unique,LH1117-LH1026-LX0645-LX2020,280.35,,,2070.0,,19.0,,103.0,,149.0,LH-LX
44,20180815,MADPAR,15_3,sabre_unique,LH1123-LH1026-LX0645-LX2020,280.35,,,2190.0,,19.0,,110.0,,161.0,LH-LX
45,20180815,MADPAR,15_3,sabre_unique,LH1113-LH1026-LX0639-LX2020,280.35,,,2290.0,,19.0,,120.0,,172.0,LH-LX
46,20180815,MADPAR,15_3,sabre_unique,LH1117-LH1026-LX0639-LX2020,280.35,,,2435.0,,19.0,,128.0,,180.0,LH-LX
47,20180815,MADPAR,15_3,sabre_unique,LH1123-LH1026-LX0639-LX2020,280.35,,,2555.0,,19.0,,134.0,,188.0,LH-LX
48,20180815,MADPAR,15_3,sabre_unique,LH1113-LH1026-LX0633-LX2020,280.35,,,2580.0,,19.0,,136.0,,190.0,LH-LX
49,20180815,MADPAR,15_3,sabre_unique,LH1117-LH1026-LX0633-LX2020,280.35,,,2725.0,,19.0,,140.0,,194.0,LH-LX
50,20180815,MADPAR,15_3,sabre_unique,LH1123-LH1026-LX0633-LX2020,280.35,,,2845.0,,19.0,,143.0,,197.0,LH-LX
51,20180815,MADPAR,15_3,sabre_unique,AF1401-AF1800,290.28,,,250.0,,22.0,,4.0,,4.0,AF
52,20180815,MADPAR,15_3,sabre_unique,AF1401-AF1500,290.28,,,255.0,,22.0,,5.0,,5.0,AF
53,20180815,MADPAR,15_315_3,both,LX2033-LX0632-LH2237-LH1800,293.18,308.93,-0.05372126338767992,1690.0,1690.0,23.0,37.0,59.0,74.0,95.0,LH-LX
54,20180815,MADPAR,15_315_3,both,LX2027-LX0632-LH2237-LH1800,293.18,308.93,-0.05372126338767992,1940.0,1940.0,23.0,37.0,91.0,101.0,133.0,LH-LX
55,20180815,MADPAR,15_315_3,both,LX2033-LX0632-LX0633-LX2026,294.54,310.29,-0.053473212466897534,1100.0,1100.0,24.0,39.0,22.0,27.0,34.0,LX
