,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,MILPAR,8_78_7,both,AZ0300-AZ0351,161.62,175.07,-0.08321989852740991,175.0,175.0,1.0,4.0,2.0,2.0,2.0,AZ
1,20180815,MILPAR,8_78_7,both,AZ0300-AZ0305,162.76,176.21,-0.08263701155074968,180.0,180.0,2.0,6.0,3.0,3.0,3.0,AZ
2,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5140-AF5157-AF5304,163.87,,,1358.0,,3.0,,69.0,,93.0,AF
3,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5140-AF5155-AF5304,163.87,,,1449.0,,3.0,,75.0,,107.0,AF
4,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5142-AF5157-AF5304,163.87,,,1480.0,,3.0,,78.0,,114.0,AF
5,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5140-AF5169-AF5302,163.87,,,1564.0,,3.0,,84.0,,124.0,AF
6,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5142-AF5155-AF5304,163.87,,,1571.0,,3.0,,86.0,,126.0,AF
7,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5140-AF5167-AF5302,163.87,,,1673.0,,3.0,,94.0,,139.0,AF
8,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5142-AF5169-AF5302,163.87,,,1686.0,,3.0,,95.0,,141.0,AF
9,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5142-AF5167-AF5302,163.87,,,1795.0,,3.0,,103.0,,152.0,AF
10,20180815,MILPAR,8_78_7,both,AZ0352-AZ0351,175.62,189.07,-0.0765858102721785,170.0,170.0,5.0,12.0,1.0,1.0,1.0,AZ
11,20180815,MILPAR,8_78_7,both,AZ0352-AZ0305,176.76,190.21,-0.07609187599004309,175.0,175.0,7.0,13.0,2.0,2.0,2.0,AZ
12,20180815,MILPAR,8_7,sabre_unique,AF5305-AF7401-AF5157-AF5304,178.85,,,1383.0,,8.0,,70.0,,99.0,AF
13,20180815,MILPAR,8_7,sabre_unique,AF5305-AF7401-AF5155-AF5304,178.85,,,1474.0,,8.0,,77.0,,113.0,AF
14,20180815,MILPAR,8_7,sabre_unique,AF5305-AF7401-AF5169-AF5302,178.85,,,1589.0,,8.0,,88.0,,129.0,AF
15,20180815,MILPAR,8_7,sabre_unique,AF5305-AF7401-AF5167-AF5302,178.85,,,1698.0,,8.0,,97.0,,144.0,AF
16,20180815,MILPAR,8_78_7,both,AZ0300-AZ0357,180.87,194.32,-0.0743628020124951,175.0,175.0,9.0,14.0,2.0,2.0,2.0,AZ
17,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5140-AF7648-AF5302,185.1,,,1575.0,,10.0,,87.0,,127.0,AF
18,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5142-AF7648-AF5302,185.1,,,1697.0,,10.0,,96.0,,143.0,AF
19,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5140-AF7646-AF5302,185.1,,,1765.0,,10.0,,101.0,,149.0,AF
20,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5142-AF7646-AF5302,185.1,,,1887.0,,10.0,,104.0,,155.0,AF
21,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5140-AF1212,187.12,,,900.0,,11.0,,49.0,,54.0,AF
22,20180815,MILPAR,8_7,sabre_unique,AF5305-AF5142-AF1212,187.12,,,1022.0,,11.0,,54.0,,64.0,AF
23,20180815,MILPAR,8_78_7,both,AZ0352-AZ0357,194.87,208.32,-0.06902037255606296,170.0,170.0,15.0,22.0,1.0,1.0,1.0,AZ
24,20180815,MILPAR,8_78_7,both,AZ0300-AZ0311,196.01,209.46,-0.06861894801285658,180.0,180.0,16.0,23.0,3.0,3.0,3.0,AZ
25,20180815,MILPAR,8_78_7,both,AZ0356-AZ0351,197.62,211.07,-0.06805991296427481,170.0,170.0,17.0,26.0,1.0,1.0,1.0,AZ
26,20180815,MILPAR,8_78_7,both,AZ0356-AZ0305,198.76,212.21,-0.06766955121754889,175.0,175.0,18.0,27.0,2.0,2.0,2.0,AZ
27,20180815,MILPAR,8_78_7,both,IB5409-IB5408,199.98,213.43,-0.06725672567256735,175.0,175.0,19.0,28.0,2.0,2.0,2.0,IB
28,20180815,MILPAR,8_78_7,both,AF5305-AF7401-AF7648-AF5302,200.08,231.47,-0.15688724510195914,1600.0,1600.0,20.0,35.0,90.0,100.0,131.0,AF
29,20180815,MILPAR,8_78_7,both,AF5305-AF7401-AF7646-AF5302,200.08,231.47,-0.15688724510195914,1790.0,1790.0,20.0,35.0,102.0,109.0,151.0,AF
30,20180815,MILPAR,8_78_7,both,AF5305-AF7401-AF1212,202.1,224.58,-0.11123206333498277,925.0,925.0,21.0,33.0,50.0,46.0,55.0,AF
31,20180815,MILPAR,8_78_7,both,IB5769-IB5408,209.98,224.58,-0.0695304314696639,175.0,175.0,24.0,33.0,2.0,2.0,2.0,IB
32,20180815,MILPAR,8_78_7,both,AZ0352-AZ0311,210.01,224.61,-0.06952049902385612,175.0,175.0,25.0,34.0,2.0,2.0,2.0,AZ
33,20180815,MILPAR,8_78_7,both,AZ0356-AZ0357,216.87,231.47,-0.06732143680545946,170.0,170.0,29.0,35.0,1.0,1.0,1.0,AZ
34,20180815,MILPAR,8_78_7,both,AZ0350-AZ0351,217.62,232.22,-0.06708942192813158,170.0,170.0,30.0,38.0,1.0,1.0,1.0,AZ
35,20180815,MILPAR,8_78_7,both,AZ0350-AZ0305,218.76,233.36,-0.066739806180289,175.0,175.0,31.0,39.0,2.0,2.0,2.0,AZ
36,20180815,MILPAR,8_78_7,both,IB5409-IB5768,221.98,236.58,-0.06577169114334636,175.0,175.0,32.0,40.0,2.0,2.0,2.0,IB
37,20180815,MILPAR,8_78_7,both,IB5769-IB5768,231.98,246.58,-0.06293646003965869,175.0,175.0,36.0,45.0,2.0,2.0,2.0,IB
38,20180815,MILPAR,8_78_7,both,AZ0356-AZ0311,232.01,246.61,-0.06292832205508393,175.0,175.0,37.0,46.0,2.0,2.0,2.0,AZ
39,20180815,MILPAR,8_78_7,both,AZ0350-AZ0357,236.87,251.47,-0.06163718495377209,170.0,170.0,41.0,48.0,1.0,1.0,1.0,AZ
40,20180815,MILPAR,8_78_7,both,AZ0300-AZ0313,238.01,252.61,-0.06134196042183111,180.0,180.0,42.0,51.0,3.0,3.0,3.0,AZ
