,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,MRUPAR,22_722_7,both,UU0109-UU0979-UU0974-UU0108,858.76,878.76,-0.02328939400996786,2260.0,2260.0,1.0,2.0,21.0,27.0,32.0,UU
1,20180815,MRUPAR,22_722_7,both,UU0103-UU0979-UU0974-UU0108,858.76,878.76,-0.02328939400996786,2845.0,2845.0,1.0,2.0,50.0,40.0,62.0,UU
2,20180815,MRUPAR,22_722_7,both,UU0109-UU0979-UU0974-UU0102,858.76,878.76,-0.02328939400996786,3115.0,3115.0,1.0,2.0,67.0,45.0,79.0,UU
3,20180815,MRUPAR,22_722_7,both,UU0103-UU0979-UU0974-UU0102,858.76,878.76,-0.02328939400996786,3700.0,3700.0,1.0,2.0,86.0,54.0,99.0,UU
4,20180815,MRUPAR,22_722_7,both,HM0048-HM0018-HM5008-HM5017-HM0187-HM0049,996.6,1016.6,-0.02006823198876179,2475.0,2475.0,3.0,5.0,33.0,31.0,44.0,HM
5,20180815,MRUPAR,22_722_7,both,HM0048-HM5502-HM5008-HM5017-HM0187-HM0049,996.6,1016.6,-0.02006823198876179,3915.0,3915.0,3.0,5.0,89.0,57.0,103.0,HM
6,20180815,MRUPAR,22_722_7,both,HM0048-HM0018-HM5008-HM5017-HM5501-HM0049,997.8,1017.8,-0.020044097013429546,3915.0,3915.0,4.0,6.0,89.0,57.0,103.0,HM
7,20180815,MRUPAR,22_722_7,both,HM0048-HM5502-HM5008-HM5017-HM5501-HM0049,997.8,1017.8,-0.020044097013429546,5355.0,5355.0,4.0,6.0,92.0,92.0,139.0,HM
8,20180815,MRUPAR,22_7,sabre_unique,HM0048-EY4118-EY0031-EY0032-EY4111-HM0049,1072.58,,,2475.0,,7.0,,33.0,,44.0,EY-HM
9,20180815,MRUPAR,22_7,sabre_unique,HM0048-EY4118-EY0037-EY0032-EY4111-HM0049,1072.58,,,2875.0,,7.0,,53.0,,65.0,EY-HM
10,20180815,MRUPAR,22_7,sabre_unique,MK0042-AF1681-MK0923,1103.18,,,1580.0,,8.0,,3.0,,3.0,AF-MK
11,20180815,MRUPAR,22_7,sabre_unique,MK0042-AF1681-MK0045,1103.18,,,1595.0,,8.0,,4.0,,4.0,AF-MK
