,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,MUCPAR,8_78_7,both,AF1823-AF1422,241.41,256.01,-0.06047802493682944,190.0,190.0,1.0,2.0,2.0,4.0,4.0,AF
1,20180815,MUCPAR,8_78_7,both,AF1023-AF1422,241.41,256.01,-0.06047802493682944,190.0,190.0,1.0,2.0,2.0,4.0,4.0,AF
2,20180815,MUCPAR,8_78_7,both,AF1823-AF1722,260.41,275.01,-0.056065435275142905,190.0,190.0,3.0,6.0,2.0,4.0,4.0,AF
3,20180815,MUCPAR,8_78_7,both,AF1023-AF1722,260.41,275.01,-0.056065435275142905,190.0,190.0,3.0,6.0,2.0,4.0,4.0,AF
4,20180815,MUCPAR,8_78_7,both,AF1823-AF1022,273.41,289.16,-0.05760579349694597,190.0,190.0,4.0,10.0,2.0,4.0,4.0,AF
5,20180815,MUCPAR,8_78_7,both,AF1023-AF1022,273.41,289.16,-0.05760579349694597,190.0,190.0,4.0,10.0,2.0,4.0,4.0,AF
6,20180815,MUCPAR,8_7,sabre_unique,LG9732-LG8011-LG8020-LG9731,273.99,,,2300.0,,5.0,,105.0,,130.0,LG
7,20180815,MUCPAR,8_7,sabre_unique,AF1823-KL2016-KL1799,276.1,,,300.0,,7.0,,7.0,,9.0,AF-KL
8,20180815,MUCPAR,8_7,sabre_unique,AF1023-KL2016-KL1799,276.1,,,300.0,,7.0,,7.0,,9.0,AF-KL
9,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-EW9409-EW1915,278.68,,,1360.0,,8.0,,79.0,,81.0,EW
10,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-LH2231,280.54,,,1130.0,,9.0,,58.0,,60.0,EW-LH
11,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-LH2229,280.54,,,1130.0,,9.0,,58.0,,60.0,EW-LH
12,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-LH2227,280.54,,,1130.0,,9.0,,58.0,,60.0,EW-LH
13,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-LH2239,280.54,,,1130.0,,9.0,,58.0,,60.0,EW-LH
14,20180815,MUCPAR,8_7,sabre_unique,AF1823-KL1244-KL1801,290.1,,,330.0,,11.0,,10.0,,12.0,AF-KL
15,20180815,MUCPAR,8_7,sabre_unique,AF1023-KL1244-KL1801,290.1,,,330.0,,11.0,,10.0,,12.0,AF-KL
16,20180815,MUCPAR,8_78_7,both,AF1123-AF1422,291.41,307.16,-0.054047561854431894,195.0,195.0,12.0,19.0,3.0,5.0,5.0,AF
17,20180815,MUCPAR,8_78_7,both,AF1423-AF1422,291.41,307.16,-0.054047561854431894,195.0,195.0,12.0,19.0,3.0,5.0,5.0,AF
18,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-EW7403-EW1975,293.21,,,1375.0,,13.0,,80.0,,82.0,EW
19,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-EW7403-EW1979,293.21,,,1865.0,,13.0,,95.0,,112.0,EW
20,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-EW7407-EW1973,293.21,,,1885.0,,13.0,,97.0,,114.0,EW
21,20180815,MUCPAR,8_78_7,both,SK4760-SK0839-SK0580-SK2659,301.38,317.16,-0.052359147919570075,1275.0,1275.0,14.0,25.0,70.0,24.0,72.0,SK
22,20180815,MUCPAR,8_78_7,both,AF1723-AF1422,301.41,317.16,-0.05225440429979098,190.0,190.0,15.0,25.0,2.0,4.0,4.0,AF
23,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-EW9407-EW1913,301.72,,,2380.0,,16.0,,107.0,,135.0,EW
24,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-EW9409-EW1913,301.72,,,2545.0,,16.0,,108.0,,137.0,EW
25,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-EW7403-LH2067,302.21,,,1310.0,,17.0,,74.0,,76.0,EW-LH
26,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-EW7403-LH2069,302.21,,,1380.0,,17.0,,81.0,,83.0,EW-LH
27,20180815,MUCPAR,8_7,sabre_unique,KL1800-KL1227-KL2016-KL1799,306.79,,,910.0,,18.0,,44.0,,46.0,KL
28,20180815,MUCPAR,8_7,sabre_unique,KL1800-KL1227-KL1234-KL1799,306.79,,,1045.0,,18.0,,54.0,,56.0,KL
29,20180815,MUCPAR,8_7,sabre_unique,KL1800-KL1227-KL1224-KL1799,306.79,,,1395.0,,18.0,,82.0,,84.0,KL
30,20180815,MUCPAR,8_78_7,both,SK4760-SK0839-SK0566-SK2657,308.07,317.16,-0.029506281040023476,750.0,750.0,20.0,25.0,32.0,8.0,34.0,SK
31,20180815,MUCPAR,8_78_7,both,SK4760-SK0839-SK1560-SK0661,308.07,317.16,-0.029506281040023476,1150.0,1150.0,20.0,25.0,60.0,18.0,62.0,SK
32,20180815,MUCPAR,8_78_7,both,SK4760-SK0839-SK0566-SK0661,308.07,317.16,-0.029506281040023476,1675.0,1675.0,20.0,25.0,90.0,43.0,99.0,SK
33,20180815,MUCPAR,8_78_7,both,AF1123-AF1722,310.41,326.16,-0.0507393447376051,195.0,195.0,21.0,30.0,3.0,5.0,5.0,AF
34,20180815,MUCPAR,8_78_7,both,AF1423-AF1722,310.41,326.16,-0.0507393447376051,195.0,195.0,21.0,30.0,3.0,5.0,5.0,AF
35,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-EW9409-LH2009,311.68,,,1320.0,,22.0,,75.0,,77.0,EW-LH
36,20180815,MUCPAR,8_78_7,both,AF1823-AF1822,313.41,329.16,-0.05025366133818321,190.0,190.0,23.0,32.0,2.0,4.0,4.0,AF
37,20180815,MUCPAR,8_78_7,both,AF1023-AF1822,313.41,329.16,-0.05025366133818321,190.0,190.0,23.0,32.0,2.0,4.0,4.0,AF
38,20180815,MUCPAR,8_78_7,both,AF1823-AF1122,313.41,329.16,-0.05025366133818321,195.0,195.0,23.0,32.0,3.0,5.0,5.0,AF
39,20180815,MUCPAR,8_78_7,both,AF1023-AF1122,313.41,329.16,-0.05025366133818321,195.0,195.0,23.0,32.0,3.0,5.0,5.0,AF
40,20180815,MUCPAR,8_78_7,both,SK4760-SK0839-SK1560-SK3200,316.07,326.16,-0.03192330812794644,1080.0,1080.0,24.0,30.0,56.0,15.0,58.0,SK
41,20180815,MUCPAR,8_78_7,both,SK4760-SK0839-SK0566-SK3200,316.07,326.16,-0.03192330812794644,1605.0,1605.0,24.0,30.0,88.0,38.0,94.0,SK
42,20180815,MUCPAR,8_7,sabre_unique,SK4760-SK0839-SK0566-SK3689,316.07,,,1755.0,,24.0,,93.0,,106.0,SK
43,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-LH1029-LH0106,318.79,,,1265.0,,26.0,,69.0,,71.0,EW-LH
44,20180815,MUCPAR,8_7,sabre_unique,EW1976-EW7402-LH1031-LH0108,318.79,,,1275.0,,26.0,,70.0,,72.0,EW-LH
45,20180815,MUCPAR,8_78_7,both,AF1723-AF1722,320.41,336.16,-0.04915576917074997,190.0,190.0,27.0,35.0,2.0,4.0,4.0,AF
46,20180815,MUCPAR,8_7,sabre_unique,KL1800-KL1227-KL1244-KL1801,320.79,,,940.0,,28.0,,47.0,,49.0,KL
47,20180815,MUCPAR,8_7,sabre_unique,KL1800-KL1227-KL2022-KL1801,320.79,,,975.0,,28.0,,50.0,,52.0,KL
48,20180815,MUCPAR,8_7,sabre_unique,KL1800-KL1227-KL2012-KL1797,320.79,,,980.0,,28.0,,51.0,,53.0,KL
49,20180815,MUCPAR,8_7,sabre_unique,KL1800-KL1227-KL2016-KL1801,320.79,,,1050.0,,28.0,,55.0,,57.0,KL
50,20180815,MUCPAR,8_7,sabre_unique,KL1800-KL1227-KL2012-KL1799,320.79,,,1165.0,,28.0,,62.0,,64.0,KL
51,20180815,MUCPAR,8_7,sabre_unique,KL1800-KL1227-KL1234-KL1801,320.79,,,1185.0,,28.0,,63.0,,65.0,KL
52,20180815,MUCPAR,8_7,sabre_unique,KL1800-KL1227-KL1224-KL1797,320.79,,,1210.0,,28.0,,64.0,,66.0,KL
