,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,OPOPAR,3_23_2,both,LH1795-LH2234-LH2237-LH1794,293.74,309.49,-0.053618846599033154,1215.0,1215.0,1.0,4.0,78.0,44.0,84.0,LH
1,20180815,OPOPAR,3_23_2,both,LH1795-LH2234-LH2235-LH1794,301.2,318.1,-0.056108897742363995,1355.0,1355.0,2.0,5.0,89.0,60.0,104.0,LH
2,20180815,OPOPAR,3_23_2,both,LH1795-LH2234-LH1053-LH1176,303.22,320.12,-0.055735109821251815,690.0,690.0,3.0,6.0,31.0,22.0,32.0,LH
3,20180815,OPOPAR,3_23_2,both,LH1795-LH2234-LH1031-LH1178,323.22,340.12,-0.05228636841779585,620.0,620.0,7.0,14.0,26.0,18.0,27.0,LH
4,20180815,OPOPAR,3_23_2,both,LH1795-LH2234-LH1041-LH1180,323.22,340.12,-0.05228636841779585,630.0,630.0,7.0,14.0,27.0,19.0,28.0,LH
5,20180815,OPOPAR,3_23_2,both,LH1795-LH2234-LH1029-LH1178,323.22,340.12,-0.05228636841779585,675.0,675.0,7.0,14.0,30.0,21.0,31.0,LH
6,20180815,OPOPAR,3_23_2,both,LH1795-LH2234-LH1027-LH1178,323.22,340.12,-0.05228636841779585,745.0,745.0,7.0,14.0,35.0,26.0,36.0,LH
7,20180815,OPOPAR,3_23_2,both,LH1795-LH2234-LH1051-LH1178,323.22,340.12,-0.05228636841779585,840.0,840.0,7.0,14.0,41.0,31.0,43.0,LH
8,20180815,OPOPAR,3_2,sabre_unique,LH1181-LH0106-LH2234-LH2237-LH1794,328.99,,,1505.0,,8.0,,103.0,,124.0,LH
9,20180815,OPOPAR,3_23_2,both,LH1795-LH2234-LH1047-LH1176,335.91,352.81,-0.05031109523384233,1335.0,1335.0,9.0,19.0,86.0,56.0,100.0,LH
10,20180815,OPOPAR,3_23_2,both,LH1795-LH2234-LH1041-LH1176,335.91,352.81,-0.05031109523384233,1395.0,1395.0,9.0,19.0,92.0,64.0,109.0,LH
11,20180815,OPOPAR,3_2,sabre_unique,LH1795-LH2234-LH2237-LH0095-LH1176,335.99,,,1295.0,,10.0,,81.0,,94.0,LH
12,20180815,OPOPAR,3_2,sabre_unique,LH1795-LH2234-LH1041-LH0120-LH1794,335.99,,,1315.0,,10.0,,83.0,,96.0,LH
13,20180815,OPOPAR,3_2,sabre_unique,LH1795-LH2234-LH1041-LH0122-LH1794,335.99,,,1315.0,,10.0,,83.0,,96.0,LH
14,20180815,OPOPAR,3_2,sabre_unique,LH1795-LH2234-LH2235-LH0095-LH1176,335.99,,,1435.0,,10.0,,98.0,,116.0,LH
15,20180815,OPOPAR,3_2,sabre_unique,LH1181-LH0106-LH2234-LH2235-LH1794,336.45,,,1645.0,,11.0,,114.0,,140.0,LH
16,20180815,OPOPAR,3_23_2,both,TP0452-TP0459,338.26,355.16,-0.049961568024596566,250.0,250.0,12.0,23.0,2.0,2.0,2.0,TP
17,20180815,OPOPAR,3_23_2,both,TP0452-TP0457,338.26,355.16,-0.049961568024596566,250.0,250.0,12.0,23.0,2.0,2.0,2.0,TP
18,20180815,OPOPAR,3_2,sabre_unique,LH1181-LH0106-LH2234-LH1053-LH1176,338.47,,,980.0,,13.0,,55.0,,58.0,LH
19,20180815,OPOPAR,3_2,sabre_unique,UX1146-UX3441-UX1020-UX1143,344.08,,,890.0,,15.0,,45.0,,47.0,UX
20,20180815,OPOPAR,3_2,sabre_unique,UX1146-UX3449-UX1020-UX1143,344.08,,,1180.0,,15.0,,73.0,,78.0,UX
21,20180815,OPOPAR,3_23_2,both,LH1181-LH1034-LH2237-LH1794,346.42,363.32,-0.048784712199064655,1300.0,1300.0,16.0,30.0,82.0,53.0,95.0,LH
22,20180815,OPOPAR,3_2,sabre_unique,UX1146-UX3441-UX1028-UX1143,349.08,,,705.0,,17.0,,32.0,,33.0,UX
23,20180815,OPOPAR,3_2,sabre_unique,UX1146-UX3449-UX1028-UX1143,349.08,,,995.0,,17.0,,56.0,,59.0,UX
24,20180815,OPOPAR,3_2,sabre_unique,LH1795-LH2234-LH2237-LH0093-LH1176,349.99,,,1295.0,,18.0,,81.0,,94.0,LH
25,20180815,OPOPAR,3_23_2,both,LH1181-LH1034-LH2235-LH1794,353.88,371.88,-0.0508646998982706,1440.0,1440.0,20.0,35.0,99.0,70.0,117.0,LH
