,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARPRG,15_315_3,both,AF1382-AF5037,173.06,186.51,-0.07771871027389338,210.0,210.0,1.0,3.0,3.0,3.0,3.0,AF
1,20180815,PARPRG,15_315_3,both,AF1382-AF1383,173.06,186.51,-0.07771871027389338,210.0,210.0,1.0,3.0,3.0,3.0,3.0,AF
2,20180815,PARPRG,15_315_3,both,AF5034-AF1383,179.06,192.51,-0.07511448676421305,210.0,210.0,2.0,6.0,3.0,3.0,3.0,AF
3,20180815,PARPRG,15_315_3,both,AF5034-AF5037,179.06,192.51,-0.07511448676421305,210.0,210.0,2.0,6.0,3.0,3.0,3.0,AF
4,20180815,PARPRG,15_315_3,both,AF1382-AF1583,187.06,200.51,-0.07190206350903447,205.0,205.0,4.0,8.0,2.0,2.0,2.0,AF
5,20180815,PARPRG,15_315_3,both,AF1082-AF5037,187.06,200.51,-0.07190206350903447,205.0,205.0,4.0,8.0,2.0,2.0,2.0,AF
6,20180815,PARPRG,15_315_3,both,AF1082-AF1383,187.06,200.51,-0.07190206350903447,205.0,205.0,4.0,8.0,2.0,2.0,2.0,AF
7,20180815,PARPRG,15_315_3,both,AF1582-AF1383,187.06,200.51,-0.07190206350903447,205.0,205.0,4.0,8.0,2.0,2.0,2.0,AF
8,20180815,PARPRG,15_315_3,both,AF1582-AF5037,187.06,200.51,-0.07190206350903447,205.0,205.0,4.0,8.0,2.0,2.0,2.0,AF
9,20180815,PARPRG,15_315_3,both,AF5036-AF5037,187.06,200.51,-0.07190206350903447,210.0,210.0,4.0,8.0,3.0,3.0,3.0,AF
10,20180815,PARPRG,15_315_3,both,AF5036-AF1383,187.06,200.51,-0.07190206350903447,210.0,210.0,4.0,8.0,3.0,3.0,3.0,AF
11,20180815,PARPRG,15_315_3,both,AF5032-AF5037,187.06,200.51,-0.07190206350903447,215.0,215.0,4.0,8.0,4.0,4.0,4.0,AF
