,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARPTP,3_23_2,both,SS0926-SS4101-SS0925,895.64,915.64,-0.022330400607386898,1770.0,1770.0,1.0,3.0,67.0,53.0,73.0,SS
1,20180815,PARPTP,3_23_2,both,SS3540-SS4101-SS0925,900.64,920.64,-0.022206430982412508,1780.0,1780.0,2.0,4.0,68.0,54.0,74.0,SS
2,20180815,PARPTP,3_23_2,both,SS3542-SS4101-SS0925,900.64,920.64,-0.022206430982412508,1785.0,1785.0,2.0,4.0,69.0,55.0,75.0,SS
3,20180815,PARPTP,3_23_2,both,AF0792-AF4543-AF0841,927.64,958.64,-0.033418136345996295,1685.0,1685.0,5.0,6.0,59.0,43.0,62.0,AF
4,20180815,PARPTP,3_23_2,both,AF0766-AF4543-AF0841,927.64,958.64,-0.033418136345996295,1685.0,1685.0,5.0,6.0,59.0,43.0,62.0,AF
5,20180815,PARPTP,3_23_2,both,AF0792-AF4543-AF0847,927.64,958.64,-0.033418136345996295,1865.0,1865.0,5.0,6.0,81.0,65.0,88.0,AF
6,20180815,PARPTP,3_23_2,both,AF0766-AF4543-AF0847,927.64,958.64,-0.033418136345996295,1865.0,1865.0,5.0,6.0,81.0,65.0,88.0,AF
7,20180815,PARPTP,3_23_2,both,SS0926-SS4211-SS0925,1005.64,1025.64,-0.019887832624000748,1530.0,1530.0,7.0,10.0,46.0,32.0,46.0,SS
8,20180815,PARPTP,3_23_2,both,SS3540-SS4211-SS0925,1010.64,1030.64,-0.019789440354626885,1540.0,1540.0,8.0,12.0,48.0,34.0,48.0,SS
9,20180815,PARPTP,3_23_2,both,SS3542-SS4211-SS0925,1010.64,1030.64,-0.019789440354626885,1545.0,1545.0,8.0,12.0,49.0,35.0,49.0,SS
10,20180815,PARPTP,3_23_2,both,AF0792-AF0797,1011.98,1031.98,-0.019763236427597385,995.0,995.0,9.0,13.0,3.0,3.0,3.0,AF
11,20180815,PARPTP,3_23_2,both,AF0766-AF0797,1011.98,1031.98,-0.019763236427597385,995.0,995.0,9.0,13.0,3.0,3.0,3.0,AF
