,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARPUF,15_315_3,both,AF7450-AF7451,163.14,175.62,-0.07649871276204499,160.0,160.0,2.0,5.0,1.0,1.0,1.0,AF
1,20180815,PARPUF,15_315_3,both,AF7536-AF7451,164.39,176.88,-0.07597785753391331,165.0,165.0,3.0,6.0,2.0,2.0,2.0,AF
2,20180815,PARPUF,15_315_3,both,AF7534-AF7451,174.39,190.28,-0.09111760995469934,175.0,175.0,4.0,13.0,4.0,4.0,4.0,AF
3,20180815,PARPUF,15_315_3,both,AF7532-AF7451,174.39,190.28,-0.09111760995469934,175.0,175.0,4.0,13.0,4.0,4.0,4.0,AF
4,20180815,PARPUF,15_315_3,both,AF7450-AF7463,178.14,194.02,-0.08914337038284509,165.0,165.0,8.0,16.0,2.0,2.0,2.0,AF
5,20180815,PARPUF,15_315_3,both,AF7536-AF7463,179.39,195.28,-0.0885779586376053,170.0,170.0,9.0,18.0,3.0,3.0,3.0,AF
6,20180815,PARPUF,15_315_3,both,AF7460-AF7451,183.14,199.02,-0.0867096210549308,160.0,160.0,10.0,20.0,1.0,1.0,1.0,AF
7,20180815,PARPUF,15_315_3,both,AF7534-AF7463,189.39,205.28,-0.08390094513965898,180.0,180.0,12.0,24.0,5.0,5.0,5.0,AF
8,20180815,PARPUF,15_315_3,both,AF7532-AF7463,189.39,205.28,-0.08390094513965898,180.0,180.0,12.0,24.0,5.0,5.0,5.0,AF
9,20180815,PARPUF,15_315_3,both,AF7450-AF7457,193.14,209.02,-0.08222015118566856,165.0,165.0,14.0,28.0,2.0,2.0,2.0,AF
10,20180815,PARPUF,15_315_3,both,AF7450-AF7537,193.14,209.02,-0.08222015118566856,170.0,170.0,14.0,28.0,3.0,3.0,3.0,AF
11,20180815,PARPUF,15_315_3,both,AF7536-AF7457,194.39,209.68,-0.07865630948094049,170.0,170.0,17.0,29.0,3.0,3.0,3.0,AF
12,20180815,PARPUF,15_315_3,both,AF7536-AF7537,194.39,209.68,-0.07865630948094049,175.0,175.0,17.0,29.0,4.0,4.0,4.0,AF
13,20180815,PARPUF,15_315_3,both,AF7460-AF7463,198.14,213.42,-0.0771171898657515,165.0,165.0,19.0,33.0,2.0,2.0,2.0,AF
14,20180815,PARPUF,15_315_3,both,AF7450-AF5428-AF7415,200.73,227.01,-0.13092213421013302,445.0,445.0,21.0,43.0,13.0,20.0,23.0,AF
15,20180815,PARPUF,15_315_3,both,AF7536-AF5428-AF7415,201.98,228.26,-0.13011189226656106,450.0,450.0,22.0,45.0,14.0,21.0,24.0,AF
16,20180815,PARPUF,15_315_3,both,AF7534-AF7457,204.39,219.68,-0.07480796516463634,180.0,180.0,23.0,38.0,5.0,5.0,5.0,AF
17,20180815,PARPUF,15_315_3,both,AF7532-AF7457,204.39,219.68,-0.07480796516463634,180.0,180.0,23.0,38.0,5.0,5.0,5.0,AF
18,20180815,PARPUF,15_315_3,both,AF7534-AF7537,204.39,219.68,-0.07480796516463634,185.0,185.0,23.0,38.0,6.0,6.0,6.0,AF
19,20180815,PARPUF,15_315_3,both,AF7532-AF7537,204.39,219.68,-0.07480796516463634,185.0,185.0,23.0,38.0,6.0,6.0,6.0,AF
20,20180815,PARPUF,15_315_3,both,AF7450-AF5432-AF7643,205.62,231.9,-0.1278085789320105,1365.0,1365.0,25.0,48.0,43.0,40.0,59.0,AF
21,20180815,PARPUF,15_315_3,both,AF7450-AF5428-AF7643,205.62,231.9,-0.1278085789320105,1635.0,1635.0,25.0,48.0,64.0,54.0,83.0,AF
22,20180815,PARPUF,15_315_3,both,AF7536-AF5432-AF7643,206.87,233.15,-0.12703630299221733,1370.0,1370.0,27.0,49.0,44.0,41.0,60.0,AF
23,20180815,PARPUF,15_315_3,both,AF7536-AF5428-AF7643,206.87,233.15,-0.12703630299221733,1640.0,1640.0,27.0,49.0,65.0,55.0,84.0,AF
24,20180815,PARPUF,15_315_3,both,AF7534-AF5428-AF7415,211.98,238.26,-0.12397395980752902,460.0,460.0,31.0,55.0,15.0,22.0,25.0,AF
25,20180815,PARPUF,15_315_3,both,AF7532-AF5428-AF7415,211.98,238.26,-0.12397395980752902,460.0,460.0,31.0,55.0,15.0,22.0,25.0,AF
26,20180815,PARPUF,15_315_3,both,AF7460-AF7457,213.14,228.42,-0.07168996903443747,165.0,165.0,32.0,46.0,2.0,2.0,2.0,AF
27,20180815,PARPUF,15_315_3,both,AF7460-AF7537,213.14,228.42,-0.07168996903443747,170.0,170.0,32.0,46.0,3.0,3.0,3.0,AF
28,20180815,PARPUF,15_315_3,both,AF7534-AF5432-AF7643,216.87,243.15,-0.1211785862498271,1380.0,1380.0,35.0,62.0,45.0,42.0,61.0,AF
29,20180815,PARPUF,15_315_3,both,AF7532-AF5432-AF7643,216.87,243.15,-0.1211785862498271,1380.0,1380.0,35.0,62.0,45.0,42.0,61.0,AF
30,20180815,PARPUF,15_315_3,both,AF7534-AF5428-AF7643,216.87,243.15,-0.1211785862498271,1650.0,1650.0,35.0,62.0,66.0,56.0,85.0,AF
31,20180815,PARPUF,15_315_3,both,AF7532-AF5428-AF7643,216.87,243.15,-0.1211785862498271,1650.0,1650.0,35.0,62.0,66.0,56.0,85.0,AF
32,20180815,PARPUF,15_315_3,both,AF7450-AF7533,218.14,233.42,-0.07004675896213441,175.0,175.0,36.0,50.0,4.0,4.0,4.0,AF
33,20180815,PARPUF,15_315_3,both,AF7536-AF7533,219.39,234.68,-0.0696932403482384,180.0,180.0,37.0,53.0,5.0,5.0,5.0,AF
34,20180815,PARPUF,15_315_3,both,AF7460-AF5428-AF7415,220.73,247.01,-0.11905948443800118,445.0,445.0,39.0,63.0,13.0,20.0,23.0,AF
35,20180815,PARPUF,15_315_3,both,AF7450-AF7461,223.14,238.42,-0.06847718920856861,160.0,160.0,40.0,56.0,1.0,1.0,1.0,AF
36,20180815,PARPUF,15_315_3,both,AF7450-AF7535,223.14,238.42,-0.06847718920856861,175.0,175.0,40.0,56.0,4.0,4.0,4.0,AF
37,20180815,PARPUF,15_315_3,both,AF7536-AF7461,224.39,242.18,-0.0792816079147913,165.0,165.0,41.0,59.0,2.0,2.0,2.0,AF
38,20180815,PARPUF,15_315_3,both,AF7536-AF7535,224.39,242.18,-0.0792816079147913,180.0,180.0,41.0,59.0,5.0,5.0,5.0,AF
39,20180815,PARPUF,15_315_3,both,AF7460-AF5432-AF7643,225.62,254.4,-0.12755961350944064,1365.0,1365.0,42.0,66.0,43.0,40.0,59.0,AF
40,20180815,PARPUF,15_315_3,both,AF7460-AF5428-AF7643,225.62,254.4,-0.12755961350944064,1635.0,1635.0,42.0,66.0,64.0,54.0,83.0,AF
41,20180815,PARPUF,15_3,sabre_unique,AF5425-AF5475,227.67,,,160.0,,44.0,,1.0,,1.0,AF
42,20180815,PARPUF,15_3,sabre_unique,AF5430-AF5475,227.67,,,160.0,,44.0,,1.0,,1.0,AF
43,20180815,PARPUF,15_315_3,both,AF7534-AF7533,229.39,247.18,-0.07755351148698732,190.0,190.0,47.0,64.0,7.0,7.0,7.0,AF
44,20180815,PARPUF,15_315_3,both,AF7532-AF7533,229.39,247.18,-0.07755351148698732,190.0,190.0,47.0,64.0,7.0,7.0,7.0,AF
45,20180815,PARPUF,15_315_3,both,AF7534-AF7461,234.39,252.18,-0.07589914245488298,175.0,175.0,52.0,65.0,4.0,4.0,4.0,AF
46,20180815,PARPUF,15_315_3,both,AF7532-AF7461,234.39,252.18,-0.07589914245488298,175.0,175.0,52.0,65.0,4.0,4.0,4.0,AF
47,20180815,PARPUF,15_315_3,both,AF7534-AF7535,234.39,252.18,-0.07589914245488298,190.0,190.0,52.0,65.0,7.0,7.0,7.0,AF
48,20180815,PARPUF,15_315_3,both,AF7532-AF7535,234.39,252.18,-0.07589914245488298,190.0,190.0,52.0,65.0,7.0,7.0,7.0,AF
49,20180815,PARPUF,15_315_3,both,AF7460-AF7533,238.14,255.92,-0.07466196355085244,175.0,175.0,54.0,67.0,4.0,4.0,4.0,AF
50,20180815,PARPUF,15_315_3,both,AF7640-AF5431-AF7451,241.87,270.65,-0.11898953983544867,615.0,615.0,58.0,77.0,18.0,24.0,29.0,AF
51,20180815,PARPUF,15_315_3,both,AF7648-AF5433-AF7451,241.87,270.65,-0.11898953983544867,1530.0,1530.0,58.0,77.0,55.0,46.0,71.0,AF
52,20180815,PARPUF,15_3,sabre_unique,AF5425-AF5429,242.67,,,160.0,,60.0,,1.0,,1.0,AF
53,20180815,PARPUF,15_3,sabre_unique,AF5430-AF5429,242.67,,,160.0,,60.0,,1.0,,1.0,AF
54,20180815,PARPUF,15_3,sabre_unique,AF5437-AF5475,242.67,,,160.0,,60.0,,1.0,,1.0,AF
55,20180815,PARPUF,15_315_3,both,AF7460-AF7461,243.14,260.92,-0.07312659373200638,160.0,160.0,61.0,74.0,1.0,1.0,1.0,AF
56,20180815,PARPUF,15_315_3,both,AF7456-AF7451,243.14,260.92,-0.07312659373200638,160.0,160.0,61.0,74.0,1.0,1.0,1.0,AF
