,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARRAK,8_2,sabre_unique,IB3417-IB3340-IB5763-IB5272,556.42,,,745.0,,1.0,,6.0,,9.0,IB
1,20180815,PARRAK,8_2,sabre_unique,IB3417-IB3340-IB5763-IB5294,556.42,,,895.0,,1.0,,8.0,,16.0,IB
2,20180815,PARRAK,8_2,sabre_unique,IB3417-IB3340-IB5763-IB5276,556.42,,,1060.0,,1.0,,10.0,,23.0,IB
3,20180815,PARRAK,8_2,sabre_unique,IB3417-IB3340-IB5763-IB5278,556.42,,,1135.0,,1.0,,11.0,,25.0,IB
4,20180815,PARRAK,8_2,sabre_unique,IB3417-IB3340-IB5763-IB5268,563.54,,,1760.0,,2.0,,21.0,,52.0,IB
5,20180815,PARRAK,8_2,sabre_unique,IB3417-IB3340-IB5763-IB5292,563.54,,,1790.0,,2.0,,23.0,,55.0,IB
6,20180815,PARRAK,8_2,sabre_unique,IB3417-IB3340-IB5763-IB5270,563.54,,,2005.0,,2.0,,32.0,,73.0,IB
7,20180815,PARRAK,8_2,sabre_unique,IB3445-IB3340-IB5763-IB5272,566.4,,,1515.0,,3.0,,15.0,,37.0,IB
8,20180815,PARRAK,8_2,sabre_unique,IB3443-IB3340-IB5763-IB5272,566.4,,,1610.0,,3.0,,18.0,,43.0,IB
9,20180815,PARRAK,8_2,sabre_unique,IB3445-IB3340-IB5763-IB5294,566.4,,,1665.0,,3.0,,19.0,,46.0,IB
10,20180815,PARRAK,8_2,sabre_unique,IB3443-IB3340-IB5763-IB5294,566.4,,,1760.0,,3.0,,21.0,,52.0,IB
11,20180815,PARRAK,8_2,sabre_unique,IB3405-IB3340-IB5763-IB5272,566.4,,,1770.0,,3.0,,22.0,,53.0,IB
12,20180815,PARRAK,8_2,sabre_unique,IB3445-IB3340-IB5763-IB5276,566.4,,,1830.0,,3.0,,25.0,,57.0,IB
13,20180815,PARRAK,8_2,sabre_unique,IB3435-IB3340-IB5763-IB5272,566.4,,,1890.0,,3.0,,26.0,,63.0,IB
14,20180815,PARRAK,8_2,sabre_unique,IB3445-IB3340-IB5763-IB5278,566.4,,,1905.0,,3.0,,27.0,,65.0,IB
15,20180815,PARRAK,8_2,sabre_unique,IB3405-IB3340-IB5763-IB5294,566.4,,,1920.0,,3.0,,28.0,,66.0,IB
16,20180815,PARRAK,8_2,sabre_unique,IB3443-IB3340-IB5763-IB5276,566.4,,,1925.0,,3.0,,29.0,,67.0,IB
17,20180815,PARRAK,8_2,sabre_unique,IB3443-IB3340-IB5763-IB5278,566.4,,,2000.0,,3.0,,31.0,,72.0,IB
18,20180815,PARRAK,8_2,sabre_unique,IB3403-IB3340-IB5763-IB5272,566.4,,,2040.0,,3.0,,33.0,,75.0,IB
19,20180815,PARRAK,8_2,sabre_unique,IB3435-IB3340-IB5763-IB5294,566.4,,,2040.0,,3.0,,33.0,,75.0,IB
20,20180815,PARRAK,8_2,sabre_unique,IB3405-IB3340-IB5763-IB5276,566.4,,,2085.0,,3.0,,34.0,,77.0,IB
21,20180815,PARRAK,8_2,sabre_unique,IB3405-IB3340-IB5763-IB5278,566.4,,,2160.0,,3.0,,36.0,,81.0,IB
22,20180815,PARRAK,8_2,sabre_unique,IB3403-IB3340-IB5763-IB5294,566.4,,,2190.0,,3.0,,37.0,,83.0,IB
23,20180815,PARRAK,8_2,sabre_unique,IB3435-IB3340-IB5763-IB5276,566.4,,,2205.0,,3.0,,38.0,,84.0,IB
