,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARROM,8_28_2,both,LX0645-LX1726-LX1733-LX0632,259.76,275.51,-0.060632891900215584,1505.0,1505.0,1.0,4.0,75.0,81.0,117.0,LX
1,20180815,PARROM,8_28_2,both,LX0657-LX1726-LX1733-LX0632,259.76,275.51,-0.060632891900215584,1625.0,1625.0,1.0,4.0,87.0,88.0,131.0,LX
2,20180815,PARROM,8_28_2,both,LX0645-LX1726-LX1737-LX0632,259.76,275.51,-0.060632891900215584,1810.0,1810.0,1.0,4.0,100.0,93.0,146.0,LX
3,20180815,PARROM,8_28_2,both,LX0639-LX1726-LX1733-LX0632,259.76,275.51,-0.060632891900215584,1850.0,1850.0,1.0,4.0,103.0,94.0,149.0,LX
4,20180815,PARROM,8_28_2,both,LX0657-LX1726-LX1737-LX0632,259.76,275.51,-0.060632891900215584,1930.0,1930.0,1.0,4.0,107.0,95.0,153.0,LX
5,20180815,PARROM,8_2,sabre_unique,LX0645-LX1726-LX1727-LX0632,259.76,,,2125.0,,1.0,,114.0,,161.0,LX
6,20180815,PARROM,8_28_2,both,LX0639-LX1726-LX1737-LX0632,259.76,275.51,-0.060632891900215584,2155.0,2155.0,1.0,4.0,116.0,99.0,163.0,LX
7,20180815,PARROM,8_2,sabre_unique,LX0633-LX1726-LX1733-LX0632,259.76,,,2160.0,,1.0,,117.0,,164.0,LX
8,20180815,PARROM,8_2,sabre_unique,LX0657-LX1726-LX1727-LX0632,259.76,,,2245.0,,1.0,,118.0,,165.0,LX
9,20180815,PARROM,8_2,sabre_unique,LX0633-LX1726-LX1737-LX0632,259.76,,,2465.0,,1.0,,120.0,,168.0,LX
10,20180815,PARROM,8_2,sabre_unique,LX0639-LX1726-LX1727-LX0632,259.76,,,2470.0,,1.0,,121.0,,169.0,LX
11,20180815,PARROM,8_2,sabre_unique,LX0633-LX1726-LX1727-LX0632,259.76,,,2780.0,,1.0,,122.0,,170.0,LX
12,20180815,PARROM,8_28_2,both,LX0633-LX1736-LX1733-LX0632,269.76,285.51,-0.05838523131672598,1050.0,1050.0,2.0,8.0,36.0,51.0,70.0,LX
13,20180815,PARROM,8_28_2,both,LX0647-LX1736-LX1733-LX0632,269.76,285.51,-0.05838523131672598,1195.0,1195.0,2.0,8.0,49.0,60.0,85.0,LX
14,20180815,PARROM,8_28_2,both,LX0633-LX1736-LX1737-LX0632,269.76,285.51,-0.05838523131672598,1355.0,1355.0,2.0,8.0,64.0,70.0,103.0,LX
15,20180815,PARROM,8_28_2,both,LX0647-LX1736-LX1737-LX0632,269.76,285.51,-0.05838523131672598,1500.0,1500.0,2.0,8.0,74.0,80.0,116.0,LX
16,20180815,PARROM,8_2,sabre_unique,LX0633-LX1736-LX1727-LX0632,269.76,,,1670.0,,2.0,,91.0,,136.0,LX
17,20180815,PARROM,8_2,sabre_unique,LX0647-LX1736-LX1727-LX0632,269.76,,,1815.0,,2.0,,101.0,,147.0,LX
18,20180815,PARROM,8_28_2,both,LH1027-LH0234-LX1733-LX0632,272.88,288.63,-0.057717678100263854,1055.0,1055.0,3.0,9.0,37.0,52.0,71.0,LH-LX
19,20180815,PARROM,8_28_2,both,LH1051-LH0234-LX1733-LX0632,272.88,288.63,-0.057717678100263854,1150.0,1150.0,3.0,9.0,46.0,57.0,81.0,LH-LX
20,20180815,PARROM,8_28_2,both,LH1053-LH0234-LX1733-LX0632,272.88,288.63,-0.057717678100263854,1245.0,1245.0,3.0,9.0,53.0,63.0,90.0,LH-LX
