,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARSGN,8_28_2,both,QR0042-QR0972-QR0973-QR0037,1148.85,1168.85,-0.017408713060886975,2090.0,2090.0,1.0,6.0,14.0,12.0,15.0,QR
1,20180815,PARSGN,8_28_2,both,QR0042-QR0970-QR0973-QR0037,1148.85,1168.85,-0.017408713060886975,2475.0,2475.0,1.0,6.0,38.0,26.0,43.0,QR
2,20180815,PARSGN,8_28_2,both,QR0042-QR0972-QR0973-QR0041,1152.01,1172.01,-0.01736096040832979,2670.0,2670.0,2.0,7.0,58.0,40.0,66.0,QR
3,20180815,PARSGN,8_28_2,both,QR0042-QR0970-QR0973-QR0041,1152.01,1172.01,-0.01736096040832979,3055.0,3055.0,2.0,7.0,98.0,68.0,110.0,QR
4,20180815,PARSGN,8_28_2,both,QR0040-QR0970-QR0973-QR0037,1163.85,1183.85,-0.01718434506164884,2050.0,2050.0,3.0,8.0,12.0,9.0,12.0,QR
5,20180815,PARSGN,8_2,sabre_unique,CX0278-CX0799-CX0772-CX0239-BA0326,1164.08,,,2230.0,,4.0,,17.0,,20.0,BA-CX
6,20180815,PARSGN,8_2,sabre_unique,CX0260-CX0767-CX0772-CX0239-BA0326,1164.08,,,2250.0,,4.0,,18.0,,21.0,BA-CX
7,20180815,PARSGN,8_2,sabre_unique,CX0278-CX0721-CX0772-CX0239-BA0326,1164.08,,,2605.0,,4.0,,51.0,,59.0,BA-CX
8,20180815,PARSGN,8_2,sabre_unique,CX0260-CX0799-CX0772-CX0239-BA0326,1164.08,,,2710.0,,4.0,,62.0,,71.0,BA-CX
9,20180815,PARSGN,8_2,sabre_unique,CX0260-CX0721-CX0772-CX0239-BA0326,1164.08,,,3085.0,,4.0,,102.0,,114.0,BA-CX
10,20180815,PARSGN,8_28_2,both,QR0040-QR0970-QR0973-QR0041,1167.01,1187.01,-0.01713781372910258,2630.0,2630.0,5.0,9.0,54.0,38.0,62.0,QR
11,20180815,PARSGN,8_28_2,both,QR0042-QR0972-QR0973-QR0039,1250.01,1270.01,-0.01599987200102399,3075.0,3075.0,10.0,14.0,101.0,71.0,113.0,QR
