,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARTLV,3_23_2,both,LH2227-LH0688-LX0253-LX0632,440.93,457.47,-0.03751162316013884,1485.0,1485.0,1.0,5.0,63.0,84.0,106.0,LH-LX
1,20180815,PARTLV,3_23_2,both,LH2239-LH0688-LX0253-LX0632,440.93,457.47,-0.03751162316013884,1630.0,1630.0,1.0,5.0,76.0,93.0,120.0,LH-LX
2,20180815,PARTLV,3_2,sabre_unique,LH2227-LH0688-LX0253-LX0638,440.93,,,1780.0,,1.0,,92.0,,140.0,LH-LX
3,20180815,PARTLV,3_2,sabre_unique,LH2239-LH0688-LX0253-LX0638,440.93,,,1925.0,,1.0,,99.0,,149.0,LH-LX
4,20180815,PARTLV,3_23_2,both,LH1029-LH0694-LX0253-LX0632,444.76,461.3,-0.03718859609677134,1525.0,1525.0,2.0,8.0,67.0,88.0,111.0,LH-LX
5,20180815,PARTLV,3_23_2,both,LH1053-LH0694-LX0253-LX0632,444.76,461.3,-0.03718859609677134,1785.0,1785.0,2.0,8.0,93.0,106.0,141.0,LH-LX
6,20180815,PARTLV,3_2,sabre_unique,LH1029-LH0694-LX0253-LX0638,444.76,,,1820.0,,2.0,,94.0,,142.0,LH-LX
7,20180815,PARTLV,3_2,sabre_unique,LH1053-LH0694-LX0253-LX0638,444.76,,,2080.0,,2.0,,109.0,,169.0,LH-LX
8,20180815,PARTLV,3_23_2,both,LH2227-LH0688-OS0860-OS0415,453.89,471.5,-0.038797946639053546,1000.0,1000.0,3.0,11.0,22.0,34.0,43.0,LH-OS
9,20180815,PARTLV,3_23_2,both,OS7112-OS0857-OS0860-OS0415,454.56,472.17,-0.03874076029567057,995.0,995.0,4.0,12.0,21.0,33.0,42.0,OS
10,20180815,PARTLV,3_23_2,both,LH1029-LH0694-OS0860-OS0415,457.72,475.33,-0.038473302455649644,1040.0,1040.0,6.0,15.0,25.0,40.0,49.0,LH-OS
11,20180815,PARTLV,3_23_2,both,LH2227-LH0688-LH0689-LH2228,463.37,480.98,-0.03800418671903665,1480.0,1480.0,9.0,16.0,62.0,83.0,105.0,LH
12,20180815,PARTLV,3_23_2,both,LH2239-LH0688-LH0689-LH2228,463.37,480.98,-0.03800418671903665,1625.0,1625.0,9.0,16.0,75.0,92.0,119.0,LH
13,20180815,PARTLV,3_23_2,both,LH1029-LH0694-LH0689-LH2228,467.2,484.81,-0.0376926369863014,1520.0,1520.0,10.0,18.0,66.0,87.0,110.0,LH
14,20180815,PARTLV,3_23_2,both,LH1053-LH0694-LH0689-LH2228,467.2,484.81,-0.0376926369863014,1780.0,1780.0,10.0,18.0,92.0,105.0,140.0,LH
15,20180815,PARTLV,3_2,sabre_unique,AF6236-AF1794-AF1621,472.9,,,675.0,,13.0,,7.0,,7.0,AF
16,20180815,PARTLV,3_2,sabre_unique,AF6226-AF1794-AF1621,472.9,,,845.0,,13.0,,14.0,,24.0,AF
17,20180815,PARTLV,3_2,sabre_unique,AF6220-AF1794-AF1621,472.9,,,1000.0,,13.0,,22.0,,43.0,AF
