,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARTUN,3_23_2,both,TU0725-TU0724,394.96,420.96,-0.06582945108365404,285.0,285.0,1.0,2.0,1.0,1.0,1.0,TU
1,20180815,PARTUN,3_23_2,both,TU0717-TU0724,394.96,420.96,-0.06582945108365404,285.0,285.0,1.0,2.0,1.0,1.0,1.0,TU
2,20180815,PARTUN,3_23_2,both,TU0719-TU0724,394.96,420.96,-0.06582945108365404,285.0,285.0,1.0,2.0,1.0,1.0,1.0,TU
3,20180815,PARTUN,3_23_2,both,TU0723-TU0724,394.96,420.96,-0.06582945108365404,285.0,285.0,1.0,2.0,1.0,1.0,1.0,TU
4,20180815,PARTUN,3_23_2,both,TU0725-TU0716,394.96,420.96,-0.06582945108365404,290.0,290.0,1.0,2.0,2.0,2.0,2.0,TU
5,20180815,PARTUN,3_23_2,both,TU0717-TU0716,394.96,420.96,-0.06582945108365404,290.0,290.0,1.0,2.0,2.0,2.0,2.0,TU
6,20180815,PARTUN,3_23_2,both,TU0719-TU0716,394.96,420.96,-0.06582945108365404,290.0,290.0,1.0,2.0,2.0,2.0,2.0,TU
7,20180815,PARTUN,3_23_2,both,TU0723-TU0716,394.96,420.96,-0.06582945108365404,290.0,290.0,1.0,2.0,2.0,2.0,2.0,TU
8,20180815,PARTUN,3_23_2,both,TU0721-TU0724,428.96,454.96,-0.060611712047743384,285.0,285.0,3.0,5.0,1.0,1.0,1.0,TU
9,20180815,PARTUN,3_23_2,both,TU0721-TU0716,428.96,454.96,-0.060611712047743384,290.0,290.0,3.0,5.0,2.0,2.0,2.0,TU
10,20180815,PARTUN,3_23_2,both,LH1053-LH1322-LH1327-LH1028,448.32,799.32,-0.7829229122055676,710.0,710.0,4.0,99.0,7.0,40.0,40.0,LH
11,20180815,PARTUN,3_2,sabre_unique,LH1035-LH1326-LH1327-LH1028,448.32,,,980.0,,4.0,,20.0,,59.0,LH
12,20180815,PARTUN,3_2,sabre_unique,LH1031-LH1326-LH1327-LH1028,448.32,,,1170.0,,4.0,,25.0,,67.0,LH
13,20180815,PARTUN,3_2,sabre_unique,LH1029-LH1326-LH1327-LH1028,448.32,,,1220.0,,4.0,,28.0,,71.0,LH
14,20180815,PARTUN,3_2,sabre_unique,LH1051-LH1326-LH1327-LH1028,455.78,,,1385.0,,6.0,,34.0,,79.0,LH
15,20180815,PARTUN,3_2,sabre_unique,LH1053-LH1326-LH1327-LH1028,455.78,,,1480.0,,6.0,,43.0,,90.0,LH
16,20180815,PARTUN,3_23_2,both,LH1053-LH1322-LH1323-LH1028,461.01,487.01,-0.05639790893906857,1580.0,1580.0,7.0,10.0,54.0,78.0,104.0,LH
17,20180815,PARTUN,3_23_2,both,LH1035-LH1326-LH1323-LH1028,461.01,487.01,-0.05639790893906857,1850.0,1850.0,7.0,10.0,77.0,101.0,134.0,LH
18,20180815,PARTUN,3_23_2,both,LH1031-LH1326-LH1323-LH1028,461.01,487.01,-0.05639790893906857,2040.0,2040.0,7.0,10.0,88.0,108.0,145.0,LH
19,20180815,PARTUN,3_23_2,both,LH1029-LH1326-LH1323-LH1028,461.01,661.57,-0.4350447929545998,2090.0,2090.0,7.0,74.0,90.0,110.0,147.0,LH
20,20180815,PARTUN,3_23_2,both,LH1041-LH1326-LH1327-LH1028,468.32,973.88,-1.0795182781004442,740.0,740.0,8.0,109.0,9.0,43.0,43.0,LH
21,20180815,PARTUN,3_23_2,both,LH1051-LH1326-LH1323-LH1028,468.47,669.03,-0.4281170619249897,2255.0,2255.0,9.0,78.0,102.0,117.0,160.0,LH
22,20180815,PARTUN,3_23_2,both,LH1053-LH1326-LH1323-LH1028,468.47,669.03,-0.4281170619249897,2350.0,2350.0,9.0,78.0,109.0,121.0,167.0,LH
23,20180815,PARTUN,3_2,sabre_unique,LH1041-LH1322-LH1327-LH1028,488.01,,,1410.0,,11.0,,36.0,,81.0,LH
24,20180815,PARTUN,3_2,sabre_unique,LH1035-LH1322-LH1327-LH1028,488.01,,,1650.0,,11.0,,62.0,,115.0,LH
25,20180815,PARTUN,3_2,sabre_unique,LH1031-LH1322-LH1327-LH1028,488.01,,,1840.0,,11.0,,76.0,,133.0,LH
26,20180815,PARTUN,3_2,sabre_unique,LH1029-LH1322-LH1327-LH1028,488.01,,,1890.0,,11.0,,79.0,,136.0,LH
27,20180815,PARTUN,3_23_2,both,TU0725-TU0720,509.96,535.96,-0.05098439093262228,285.0,285.0,12.0,18.0,1.0,1.0,1.0,TU
28,20180815,PARTUN,3_23_2,both,TU0717-TU0720,509.96,535.96,-0.05098439093262228,285.0,285.0,12.0,18.0,1.0,1.0,1.0,TU
29,20180815,PARTUN,3_23_2,both,TU0719-TU0720,509.96,535.96,-0.05098439093262228,285.0,285.0,12.0,18.0,1.0,1.0,1.0,TU
30,20180815,PARTUN,3_23_2,both,TU0723-TU0720,509.96,535.96,-0.05098439093262228,285.0,285.0,12.0,18.0,1.0,1.0,1.0,TU
31,20180815,PARTUN,3_2,sabre_unique,LH2235-LH0121-LH1322-LH1327-LH1028,520.12,,,1450.0,,13.0,,41.0,,87.0,LH
32,20180815,PARTUN,3_2,sabre_unique,LH2235-LH0123-LH1322-LH1327-LH1028,520.12,,,1450.0,,13.0,,41.0,,87.0,LH
33,20180815,PARTUN,3_2,sabre_unique,LH2231-LH0121-LH1322-LH1327-LH1028,520.12,,,1640.0,,13.0,,61.0,,113.0,LH
