,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARTYO,8_28_2,both,BR0088-BR0198-BR0197-BR0087,754.23,774.23,-0.02651711016533418,2590.0,2590.0,1.0,3.0,35.0,30.0,46.0,BR
1,20180815,PARTYO,8_2,sabre_unique,BR0088-BR0198-BR0191-BR0087,754.71,,,2685.0,,2.0,,41.0,,55.0,BR
2,20180815,PARTYO,8_2,sabre_unique,BR0088-BR0198-BR0189-BR0087,754.71,,,2795.0,,2.0,,48.0,,63.0,BR
3,20180815,PARTYO,8_2,sabre_unique,BR0088-BR0196-BR0197-BR0087,875.23,,,2975.0,,4.0,,56.0,,76.0,BR
4,20180815,PARTYO,8_2,sabre_unique,BR0088-BR0196-BR0191-BR0087,875.71,,,3070.0,,5.0,,64.0,,84.0,BR
5,20180815,PARTYO,8_2,sabre_unique,BR0088-BR0196-BR0189-BR0087,875.71,,,3180.0,,5.0,,69.0,,94.0,BR
6,20180815,PARTYO,8_28_2,both,CI9238-CI0104-CI0109-CI9237,1083.23,1065.23,0.016616969618640547,2980.0,2980.0,9.0,8.0,57.0,50.0,77.0,CI
7,20180815,PARTYO,8_28_2,both,CI9238-CI0108-CI0109-CI9237,1083.23,1065.23,0.016616969618640547,3095.0,3095.0,9.0,8.0,66.0,56.0,88.0,CI
8,20180815,PARTYO,8_28_2,both,CI9238-CI0106-CI0109-CI9237,1083.23,1065.23,0.016616969618640547,3195.0,3195.0,9.0,8.0,71.0,60.0,96.0,CI
9,20180815,PARTYO,8_28_2,both,MU0554-MU0523-MU0576-MU0569,1568.49,1333.49,0.14982562847069475,2040.0,2040.0,13.0,10.0,1.0,7.0,7.0,MU
10,20180815,PARTYO,8_2,sabre_unique,MU0570-MU0271-MU0576-MU0569,1568.49,,,2050.0,,13.0,,2.0,,8.0,MU
