,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARWNZ,15_3,sabre_unique,CZ0348-CZ3811-CZ3770-CZ0355-AF1845,588.66,,,2795.0,,1.0,,50.0,,79.0,AF-CZ
1,20180815,PARWNZ,15_3,sabre_unique,CZ0348-CZ3763-CZ3770-CZ0355-AF1845,588.66,,,3000.0,,1.0,,73.0,,105.0,AF-CZ
2,20180815,PARWNZ,15_3,sabre_unique,CZ0348-CZ3527-CZ3770-CZ0355-AF1845,588.66,,,3240.0,,1.0,,90.0,,128.0,AF-CZ
3,20180815,PARWNZ,15_3,sabre_unique,CZ0348-CZ3809-CZ3770-CZ0355-AF1845,588.66,,,3355.0,,1.0,,96.0,,140.0,AF-CZ
4,20180815,PARWNZ,15_3,sabre_unique,CZ0348-CZ3769-CZ3770-CZ0355-AF1845,588.66,,,3650.0,,1.0,,99.0,,158.0,AF-CZ
5,20180815,PARWNZ,15_3,sabre_unique,KL1230-CZ0308-CZ3763-CZ3770-CZ0355-AF1845,609.69,,,3135.0,,2.0,,84.0,,118.0,AF-CZ-KL
6,20180815,PARWNZ,15_3,sabre_unique,AF1204-CZ0646-CZ6707-CZ3770-CZ0355-AF1845,636.22,,,3185.0,,3.0,,87.0,,124.0,AF-CZ
7,20180815,PARWNZ,15_3,sabre_unique,MU0774-FM9540-MU9530-MU0569,657.32,,,3065.0,,4.0,,79.0,,112.0,FM-MU
8,20180815,PARWNZ,15_3,sabre_unique,MU0774-FM9540-MU9516-MU0569,657.32,,,3185.0,,4.0,,87.0,,124.0,FM-MU
9,20180815,PARWNZ,15_3,sabre_unique,MU0774-FM9540-MU9526-MU0569,657.32,,,3195.0,,4.0,,88.0,,125.0,FM-MU
10,20180815,PARWNZ,15_3,sabre_unique,MU0554-MU5501-MU9530-MU0569,659.32,,,2830.0,,5.0,,53.0,,83.0,MU
11,20180815,PARWNZ,15_3,sabre_unique,MU0570-MU9525-MU9530-MU0569,659.32,,,2845.0,,5.0,,55.0,,85.0,MU
12,20180815,PARWNZ,15_3,sabre_unique,MU0554-MU9517-MU9530-MU0569,659.32,,,2860.0,,5.0,,57.0,,87.0,MU
13,20180815,PARWNZ,15_3,sabre_unique,MU0570-FM9525-MU9516-MU0569,659.32,,,2965.0,,5.0,,67.0,,98.0,FM-MU
14,20180815,PARWNZ,15_3,sabre_unique,MU0570-FM9525-MU9526-MU0569,659.32,,,2975.0,,5.0,,68.0,,100.0,FM-MU
15,20180815,PARWNZ,15_3,sabre_unique,MU0554-FM9517-MU9516-MU0569,659.32,,,2980.0,,5.0,,69.0,,101.0,FM-MU
16,20180815,PARWNZ,15_3,sabre_unique,MU8664-MU9519-MU9530-MU0569,659.32,,,2980.0,,5.0,,69.0,,101.0,MU
17,20180815,PARWNZ,15_3,sabre_unique,MU0554-FM9517-MU9526-MU0569,659.32,,,2990.0,,5.0,,71.0,,103.0,FM-MU
18,20180815,PARWNZ,15_3,sabre_unique,MU8664-FM9519-MU9516-MU0569,659.32,,,3100.0,,5.0,,83.0,,116.0,FM-MU
19,20180815,PARWNZ,15_3,sabre_unique,AF0116-FM9519-MU9530-MU0569,702.32,,,2980.0,,6.0,,69.0,,101.0,AF-FM-MU
20,20180815,PARWNZ,15_3,sabre_unique,AF0116-FM9519-MU9516-MU0569,702.32,,,3100.0,,6.0,,83.0,,116.0,AF-FM-MU
21,20180815,PARWNZ,15_3,sabre_unique,AF0102-CZ3769-MU9530-MU0569,703.81,,,2985.0,,7.0,,70.0,,102.0,AF-CZ-MU
22,20180815,PARWNZ,15_3,sabre_unique,AF0102-AF7778-MU9530-MU0569,703.81,,,2985.0,,7.0,,70.0,,102.0,AF-MU
23,20180815,PARWNZ,15_3,sabre_unique,MU0554-MU5501-MU9530-MU8663,732.32,,,2665.0,,10.0,,36.0,,63.0,MU
24,20180815,PARWNZ,15_3,sabre_unique,MU0570-MU9525-MU9530-MU8663,732.32,,,2680.0,,10.0,,37.0,,65.0,MU
25,20180815,PARWNZ,15_3,sabre_unique,CA0834-CA1966-CA1957-CA0933,732.74,,,2980.0,,11.0,,69.0,,101.0,CA
26,20180815,PARWNZ,15_3,sabre_unique,CA0834-CA1966-CA1568-CA0933,732.74,,,3250.0,,11.0,,92.0,,130.0,CA
27,20180815,PARWNZ,15_3,sabre_unique,MU0774-FM9540-MU9520-MU8273-MU1781,761.52,,,3000.0,,14.0,,73.0,,105.0,FM-MU
28,20180815,PARWNZ,15_3,sabre_unique,MU0774-FM9540-MU5586-MU8273-MU1781,761.52,,,3015.0,,14.0,,75.0,,108.0,FM-MU
29,20180815,PARWNZ,15_3,sabre_unique,MU0774-MU2494-MU9520-MU8273-MU1781,761.52,,,3075.0,,14.0,,80.0,,113.0,MU
30,20180815,PARWNZ,15_3,sabre_unique,MU0774-MU2494-MU5586-MU8273-MU1781,761.52,,,3090.0,,14.0,,82.0,,115.0,MU
31,20180815,PARWNZ,15_3,sabre_unique,MU0554-MU5501-MU9520-MU8273-MU1781,764.52,,,2765.0,,15.0,,47.0,,76.0,MU
32,20180815,PARWNZ,15_3,sabre_unique,MU0554-MU5501-MU5586-MU8273-MU1781,764.52,,,2780.0,,15.0,,49.0,,78.0,MU
33,20180815,PARWNZ,15_3,sabre_unique,MU0570-MU9525-MU9520-MU8273-MU1781,764.52,,,2780.0,,15.0,,49.0,,78.0,MU
34,20180815,PARWNZ,15_3,sabre_unique,MU0570-MU9519-MU9520-MU8273-MU1781,764.52,,,3040.0,,15.0,,76.0,,109.0,MU
35,20180815,PARWNZ,15_3,sabre_unique,MU0570-MU9519-MU5586-MU8273-MU1781,764.52,,,3055.0,,15.0,,78.0,,111.0,MU
36,20180815,PARWNZ,15_3,sabre_unique,MU8662-MU9525-MU9520-MU8273-MU1781,764.52,,,3150.0,,15.0,,85.0,,120.0,MU
37,20180815,PARWNZ,15_3,sabre_unique,MU8662-MU9525-MU5586-MU8273-MU1781,764.52,,,3165.0,,15.0,,86.0,,121.0,MU
38,20180815,PARWNZ,15_3,sabre_unique,MU0554-MU9525-MU9520-MU8273-MU1781,764.52,,,3255.0,,15.0,,93.0,,131.0,MU
39,20180815,PARWNZ,15_3,sabre_unique,MU0554-MU9525-MU5586-MU8273-MU1781,764.52,,,3270.0,,15.0,,95.0,,133.0,MU
40,20180815,PARWNZ,15_3,sabre_unique,MU8662-MU5205-MU5206-MU0569,766.32,,,2770.0,,16.0,,48.0,,77.0,MU
41,20180815,PARWNZ,15_3,sabre_unique,MU0554-MU5205-MU5206-MU0569,766.32,,,2875.0,,16.0,,60.0,,90.0,MU
42,20180815,PARWNZ,15_3,sabre_unique,MU8664-MU5205-MU5206-MU0569,766.32,,,3715.0,,16.0,,102.0,,163.0,MU
43,20180815,PARWNZ,15_3,sabre_unique,MU0570-MU5205-MU5206-MU0569,766.32,,,3840.0,,16.0,,104.0,,169.0,MU
44,20180815,PARWNZ,15_3,sabre_unique,MU1782-MU0772-MU5205-MU5206-MU0569,781.86,,,4250.0,,18.0,,111.0,,177.0,MU
45,20180815,PARWNZ,15_315_3,both,CA0834-CA1966-CA1959-CA0457,787.74,807.74,-0.02538908777007642,2190.0,2190.0,19.0,24.0,13.0,23.0,25.0,CA
46,20180815,PARWNZ,15_3,sabre_unique,CA0834-CA1966-CA1963-CA0457,787.74,,,2515.0,,19.0,,29.0,,54.0,CA
47,20180815,PARWNZ,15_3,sabre_unique,CA0458-CA1964-CA1959-CA0457,787.74,,,2605.0,,19.0,,32.0,,59.0,CA
48,20180815,PARWNZ,15_3,sabre_unique,CA0458-CA1964-CA1963-CA0457,787.74,,,2930.0,,19.0,,62.0,,93.0,CA
49,20180815,PARWNZ,15_3,sabre_unique,AF1504-CZ0646-CZ6707-CZ3770-CZ0355-AF1845,793.22,,,3045.0,,20.0,,77.0,,110.0,AF-CZ
50,20180815,PARWNZ,15_3,sabre_unique,CZ0348-CZ9164-CZ3770-CZ0355-AF1845,801.66,,,3245.0,,23.0,,91.0,,129.0,AF-CZ
51,20180815,PARWNZ,15_315_3,both,HU7908-HU7559-HU7560-HU7971-HU8247,808.53,828.53,-0.02473624973717735,2405.0,2405.0,25.0,30.0,23.0,41.0,44.0,HU
52,20180815,PARWNZ,15_3,sabre_unique,MU0774-FM9540-MU9520-MU0569,811.32,,,2235.0,,27.0,,14.0,,27.0,FM-MU
53,20180815,PARWNZ,15_3,sabre_unique,MU0774-FM9540-MU5586-MU0569,811.32,,,2250.0,,27.0,,15.0,,28.0,FM-MU
54,20180815,PARWNZ,15_3,sabre_unique,MU0774-FM9540-MU9518-MU0569,811.32,,,2950.0,,27.0,,65.0,,96.0,FM-MU
55,20180815,PARWNZ,15_315_3,both,MU0554-MU5501-MU9520-MU0569,814.32,752.32,0.07613714510266234,2000.0,2000.0,28.0,13.0,3.0,5.0,6.0,MU
56,20180815,PARWNZ,15_315_3,both,MU0554-MU5501-MU5586-MU0569,814.32,752.32,0.07613714510266234,2015.0,2015.0,28.0,13.0,4.0,6.0,7.0,MU
57,20180815,PARWNZ,15_315_3,both,MU0570-MU9525-MU9520-MU0569,814.32,752.32,0.07613714510266234,2015.0,2015.0,28.0,13.0,4.0,6.0,7.0,MU
58,20180815,PARWNZ,15_3,sabre_unique,MU0570-FM9525-MU9520-MU0569,814.32,,,2015.0,,28.0,,4.0,,7.0,FM-MU
59,20180815,PARWNZ,15_3,sabre_unique,MU0554-FM9517-MU9520-MU0569,814.32,,,2030.0,,28.0,,5.0,,8.0,FM-MU
60,20180815,PARWNZ,15_315_3,both,MU0554-MU9517-MU9520-MU0569,814.32,752.32,0.07613714510266234,2030.0,2030.0,28.0,13.0,5.0,7.0,8.0,MU
61,20180815,PARWNZ,15_3,sabre_unique,MU0570-FM9525-MU5586-MU0569,814.32,,,2030.0,,28.0,,5.0,,8.0,FM-MU
62,20180815,PARWNZ,15_315_3,both,MU0570-MU9525-MU5586-MU0569,814.32,752.32,0.07613714510266234,2030.0,2030.0,28.0,13.0,5.0,7.0,8.0,MU
63,20180815,PARWNZ,15_3,sabre_unique,MU0554-FM9517-MU5586-MU0569,814.32,,,2045.0,,28.0,,6.0,,9.0,FM-MU
64,20180815,PARWNZ,15_315_3,both,MU0554-MU9517-MU5586-MU0569,814.32,752.32,0.07613714510266234,2045.0,2045.0,28.0,13.0,6.0,8.0,9.0,MU
65,20180815,PARWNZ,15_3,sabre_unique,MU8664-FM9519-MU9520-MU0569,814.32,,,2150.0,,28.0,,8.0,,17.0,FM-MU
