,search_date,ond,ap_los,provider,itinerary,fare_sabre,fare_competitor,fare_difference,travel_time_sabre,travel_time_competitor,price_rank_abs_sabre,price_rank_abs_competitor,time_rank_sabre,time_rank_competitor,time_rank_abs_sabre,itinerary_carrier
0,20180815,PARYMQ,15_715_7,both,AC0871-AC0870,410.86,427.4,-0.0402570218565934,845.0,845.0,1.0,2.0,2.0,1.0,2.0,AC
1,20180815,PARYMQ,15_715_7,both,AC0885-AC0870,410.86,427.4,-0.0402570218565934,865.0,865.0,1.0,2.0,5.0,2.0,5.0,AC
2,20180815,PARYMQ,15_715_7,both,AC0881-AC8820-AC0870,410.86,604.61,-0.4715718249525386,1196.0,1196.0,1.0,31.0,30.0,21.0,33.0,AC
3,20180815,PARYMQ,15_7,sabre_unique,LH6818-AC0870,430.86,,,845.0,,3.0,,2.0,,2.0,AC-LH
4,20180815,PARYMQ,15_7,sabre_unique,SN9633-AC0870,430.86,,,845.0,,3.0,,2.0,,2.0,AC-SN
5,20180815,PARYMQ,15_7,sabre_unique,LH6806-AC0870,430.86,,,865.0,,3.0,,5.0,,5.0,AC-LH
6,20180815,PARYMQ,15_7,sabre_unique,SN9635-AC0870,430.86,,,865.0,,3.0,,5.0,,5.0,AC-SN
7,20180815,PARYMQ,15_715_7,both,AC0871-LX0087-LX0656,434.99,451.53,-0.03802386261753135,1600.0,1600.0,4.0,6.0,62.0,62.0,97.0,AC-LX
8,20180815,PARYMQ,15_715_7,both,AC0885-LX0087-LX0656,434.99,451.53,-0.03802386261753135,1620.0,1620.0,4.0,6.0,64.0,64.0,99.0,AC-LX
9,20180815,PARYMQ,15_715_7,both,AC0871-LX0087-LX0644,434.99,451.53,-0.03802386261753135,1720.0,1720.0,4.0,6.0,73.0,68.0,110.0,AC-LX
10,20180815,PARYMQ,15_715_7,both,AC0885-LX0087-LX0644,434.99,451.53,-0.03802386261753135,1740.0,1740.0,4.0,6.0,75.0,69.0,112.0,AC-LX
11,20180815,PARYMQ,15_715_7,both,AC0881-AC8820-LX0087-LX0656,434.99,628.99,-0.4459872640750362,1951.0,1951.0,4.0,44.0,88.0,85.0,135.0,AC-LX
12,20180815,PARYMQ,15_715_7,both,AC0881-AC8820-LX0087-LX0644,434.99,628.99,-0.4459872640750362,2071.0,2071.0,4.0,44.0,96.0,100.0,152.0,AC-LX
13,20180815,PARYMQ,15_715_7,both,AC0871-SN9552-SN3633,447.22,463.76,-0.03698403470327794,2235.0,2235.0,5.0,8.0,105.0,122.0,176.0,AC-SN
14,20180815,PARYMQ,15_715_7,both,AC0871-SN9552-SN3631,447.22,463.76,-0.03698403470327794,2235.0,2235.0,5.0,8.0,105.0,122.0,176.0,AC-SN
15,20180815,PARYMQ,15_715_7,both,AC0885-SN9552-SN3633,447.22,463.76,-0.03698403470327794,2255.0,2255.0,5.0,8.0,106.0,123.0,177.0,AC-SN
16,20180815,PARYMQ,15_715_7,both,AC0885-SN9552-SN3631,447.22,463.76,-0.03698403470327794,2255.0,2255.0,5.0,8.0,106.0,123.0,177.0,AC-SN
17,20180815,PARYMQ,15_7,sabre_unique,AC0881-AC8820-SN9552-SN3633,447.22,,,2586.0,,5.0,,110.0,,197.0,AC-SN
18,20180815,PARYMQ,15_7,sabre_unique,AC0881-AC8820-SN9552-SN3631,447.22,,,2586.0,,5.0,,110.0,,197.0,AC-SN
19,20180815,PARYMQ,15_715_7,both,UA0914-UA4651-AC0870,454.32,471.93,-0.0387612255678817,1145.0,1145.0,7.0,11.0,24.0,14.0,24.0,AC-UA
20,20180815,PARYMQ,15_7,sabre_unique,AC0871-AC7595-UA0987,454.32,,,1280.0,,7.0,,35.0,,45.0,AC-UA
21,20180815,PARYMQ,15_7,sabre_unique,AC0885-AC7595-UA0987,454.32,,,1300.0,,7.0,,38.0,,50.0,AC-UA
22,20180815,PARYMQ,15_715_7,both,UA0986-UA3627-AC0870,454.32,471.93,-0.0387612255678817,1351.0,1351.0,7.0,11.0,43.0,38.0,61.0,AC-UA
23,20180815,PARYMQ,15_715_7,both,AC0871-UA3488-UA0057,454.32,471.93,-0.0387612255678817,1365.0,1365.0,7.0,11.0,44.0,40.0,63.0,AC-UA
24,20180815,PARYMQ,15_715_7,both,AC0885-UA3488-UA0057,454.32,471.93,-0.0387612255678817,1385.0,1385.0,7.0,11.0,46.0,42.0,66.0,AC-UA
25,20180815,PARYMQ,15_7,sabre_unique,AC0871-AC7593-UA0987,454.32,,,1450.0,,7.0,,50.0,,76.0,AC-UA
26,20180815,PARYMQ,15_715_7,both,UA0914-UA4604-AC0870,454.32,471.93,-0.0387612255678817,1450.0,1450.0,7.0,11.0,50.0,49.0,76.0,AC-UA
27,20180815,PARYMQ,15_7,sabre_unique,AC0885-AC7593-UA0987,454.32,,,1470.0,,7.0,,54.0,,81.0,AC-UA
28,20180815,PARYMQ,15_715_7,both,AC0871-UA4341-UA0057,454.32,471.93,-0.0387612255678817,1590.0,1590.0,7.0,11.0,61.0,61.0,96.0,AC-UA
29,20180815,PARYMQ,15_715_7,both,AC0885-UA4341-UA0057,454.32,471.93,-0.0387612255678817,1610.0,1610.0,7.0,11.0,63.0,63.0,98.0,AC-UA
30,20180815,PARYMQ,15_7,sabre_unique,AC0871-AC7591-UA0987,454.32,,,1620.0,,7.0,,64.0,,99.0,AC-UA
31,20180815,PARYMQ,15_7,sabre_unique,AC0885-AC7591-UA0987,454.32,,,1640.0,,7.0,,67.0,,102.0,AC-UA
32,20180815,PARYMQ,15_7,sabre_unique,AC0881-AC8820-AC7595-UA0987,454.32,,,1631.0,,7.0,,65.0,,100.0,AC-UA
33,20180815,PARYMQ,15_7,sabre_unique,AC0881-AC8820-UA3488-UA0057,454.32,,,1716.0,,7.0,,72.0,,109.0,AC-UA
34,20180815,PARYMQ,15_7,sabre_unique,AC0881-AC8820-AC7593-UA0987,454.32,,,1801.0,,7.0,,78.0,,115.0,AC-UA
35,20180815,PARYMQ,15_7,sabre_unique,AC0881-AC8820-UA4341-UA0057,454.32,,,1941.0,,7.0,,87.0,,133.0,AC-UA
36,20180815,PARYMQ,15_7,sabre_unique,AC0881-AC8820-AC7591-UA0987,454.32,,,1971.0,,7.0,,92.0,,140.0,AC-UA
37,20180815,PARYMQ,15_7,sabre_unique,LH6818-LX0087-LX0656,470.99,,,1600.0,,9.0,,62.0,,97.0,LH-LX
38,20180815,PARYMQ,15_7,sabre_unique,SN9633-LX0087-LX0656,470.99,,,1600.0,,9.0,,62.0,,97.0,LX-SN
39,20180815,PARYMQ,15_7,sabre_unique,LH6806-LX0087-LX0656,470.99,,,1620.0,,9.0,,64.0,,99.0,LH-LX
40,20180815,PARYMQ,15_7,sabre_unique,SN9635-LX0087-LX0656,470.99,,,1620.0,,9.0,,64.0,,99.0,LX-SN
41,20180815,PARYMQ,15_7,sabre_unique,LH6818-LX0087-LX0644,470.99,,,1720.0,,9.0,,73.0,,110.0,LH-LX
42,20180815,PARYMQ,15_7,sabre_unique,SN9633-LX0087-LX0644,470.99,,,1720.0,,9.0,,73.0,,110.0,LX-SN
43,20180815,PARYMQ,15_7,sabre_unique,SN9635-LX0087-LX0644,470.99,,,1740.0,,9.0,,75.0,,112.0,LX-SN
44,20180815,PARYMQ,15_7,sabre_unique,LH6806-LX0087-LX0644,470.99,,,1740.0,,9.0,,75.0,,112.0,LH-LX
45,20180815,PARYMQ,15_7,sabre_unique,SN9633-AC7595-UA0987,474.32,,,1280.0,,12.0,,35.0,,45.0,AC-SN-UA
46,20180815,PARYMQ,15_7,sabre_unique,LH6818-AC7595-UA0987,474.32,,,1280.0,,12.0,,35.0,,45.0,AC-LH-UA
47,20180815,PARYMQ,15_7,sabre_unique,SN9635-AC7595-UA0987,474.32,,,1300.0,,12.0,,38.0,,50.0,AC-SN-UA
48,20180815,PARYMQ,15_7,sabre_unique,LH6806-AC7595-UA0987,474.32,,,1300.0,,12.0,,38.0,,50.0,AC-LH-UA
49,20180815,PARYMQ,15_7,sabre_unique,SN9633-UA3488-UA0057,474.32,,,1365.0,,12.0,,44.0,,63.0,SN-UA
50,20180815,PARYMQ,15_7,sabre_unique,LH6818-UA3488-UA0057,474.32,,,1365.0,,12.0,,44.0,,63.0,LH-UA
51,20180815,PARYMQ,15_7,sabre_unique,SN9635-UA3488-UA0057,474.32,,,1385.0,,12.0,,46.0,,66.0,SN-UA
52,20180815,PARYMQ,15_7,sabre_unique,LH6806-UA3488-UA0057,474.32,,,1385.0,,12.0,,46.0,,66.0,LH-UA
53,20180815,PARYMQ,15_7,sabre_unique,SN9633-AC7593-UA0987,474.32,,,1450.0,,12.0,,50.0,,76.0,AC-SN-UA
54,20180815,PARYMQ,15_7,sabre_unique,LH6818-AC7593-UA0987,474.32,,,1450.0,,12.0,,50.0,,76.0,AC-LH-UA
55,20180815,PARYMQ,15_7,sabre_unique,LH6806-AC7593-UA0987,474.32,,,1470.0,,12.0,,54.0,,81.0,AC-LH-UA
56,20180815,PARYMQ,15_7,sabre_unique,SN9635-AC7593-UA0987,474.32,,,1470.0,,12.0,,54.0,,81.0,AC-SN-UA
57,20180815,PARYMQ,15_7,sabre_unique,LH6818-UA4341-UA0057,474.32,,,1590.0,,12.0,,61.0,,96.0,LH-UA
58,20180815,PARYMQ,15_7,sabre_unique,SN9633-UA4341-UA0057,474.32,,,1590.0,,12.0,,61.0,,96.0,SN-UA
59,20180815,PARYMQ,15_7,sabre_unique,LH6806-UA4341-UA0057,474.32,,,1610.0,,12.0,,63.0,,98.0,LH-UA
60,20180815,PARYMQ,15_7,sabre_unique,SN9635-UA4341-UA0057,474.32,,,1610.0,,12.0,,63.0,,98.0,SN-UA
61,20180815,PARYMQ,15_7,sabre_unique,LH6818-AC7591-UA0987,474.32,,,1620.0,,12.0,,64.0,,99.0,AC-LH-UA
62,20180815,PARYMQ,15_7,sabre_unique,SN9633-AC7591-UA0987,474.32,,,1620.0,,12.0,,64.0,,99.0,AC-SN-UA
63,20180815,PARYMQ,15_7,sabre_unique,LH6806-AC7591-UA0987,474.32,,,1640.0,,12.0,,67.0,,102.0,AC-LH-UA
64,20180815,PARYMQ,15_7,sabre_unique,SN9635-AC7591-UA0987,474.32,,,1640.0,,12.0,,67.0,,102.0,AC-SN-UA
65,20180815,PARYMQ,15_715_7,both,UA0914-UA4651-LX0087-LX0656,478.45,496.06,-0.03680635385097714,1900.0,1900.0,13.0,17.0,84.0,79.0,128.0,LX-UA
66,20180815,PARYMQ,15_715_7,both,UA0914-UA4651-LX0087-LX0644,478.45,496.06,-0.03680635385097714,2020.0,2020.0,13.0,17.0,94.0,93.0,145.0,LX-UA
67,20180815,PARYMQ,15_715_7,both,UA0986-UA3627-LX0087-LX0656,478.45,496.06,-0.03680635385097714,2106.0,2106.0,13.0,17.0,99.0,107.0,159.0,LX-UA
68,20180815,PARYMQ,15_715_7,both,UA0914-UA4604-LX0087-LX0656,478.45,496.06,-0.03680635385097714,2205.0,2205.0,13.0,17.0,102.0,117.0,170.0,LX-UA
69,20180815,PARYMQ,15_715_7,both,UA0986-UA3627-LX0087-LX0644,478.45,496.06,-0.03680635385097714,2226.0,2226.0,13.0,17.0,104.0,121.0,175.0,LX-UA
70,20180815,PARYMQ,15_715_7,both,UA0914-UA4604-LX0087-LX0644,478.45,496.06,-0.03680635385097714,2325.0,2325.0,13.0,17.0,107.0,129.0,183.0,LX-UA
71,20180815,PARYMQ,15_715_7,both,SN9633-SN9552-SN3631,483.22,500.83,-0.036443028020363304,2235.0,2235.0,14.0,18.0,105.0,122.0,176.0,SN
72,20180815,PARYMQ,15_715_7,both,SN9633-SN9552-SN3633,483.22,500.83,-0.036443028020363304,2235.0,2235.0,14.0,18.0,105.0,122.0,176.0,SN
73,20180815,PARYMQ,15_7,sabre_unique,LH6818-SN9552-SN3633,483.22,,,2235.0,,14.0,,105.0,,176.0,LH-SN
74,20180815,PARYMQ,15_7,sabre_unique,LH6818-SN9552-SN3631,483.22,,,2235.0,,14.0,,105.0,,176.0,LH-SN
75,20180815,PARYMQ,15_715_7,both,SN9635-SN9552-SN3631,483.22,500.83,-0.036443028020363304,2255.0,2255.0,14.0,18.0,106.0,123.0,177.0,SN
76,20180815,PARYMQ,15_7,sabre_unique,LH6806-SN9552-SN3633,483.22,,,2255.0,,14.0,,106.0,,177.0,LH-SN
77,20180815,PARYMQ,15_7,sabre_unique,LH6806-SN9552-SN3631,483.22,,,2255.0,,14.0,,106.0,,177.0,LH-SN
78,20180815,PARYMQ,15_715_7,both,SN9635-SN9552-SN3633,483.22,500.83,-0.036443028020363304,2255.0,2255.0,14.0,18.0,106.0,123.0,177.0,SN
79,20180815,PARYMQ,15_715_7,both,UA0914-UA4651-SN9552-SN3633,490.68,508.29,-0.035888970408412844,2535.0,2535.0,15.0,20.0,109.0,139.0,194.0,SN-UA
80,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4651-SN9552-SN3631,490.68,,,2535.0,,15.0,,109.0,,194.0,SN-UA
81,20180815,PARYMQ,15_7,sabre_unique,UA0986-UA3627-SN9552-SN3631,490.68,,,2741.0,,15.0,,112.0,,207.0,SN-UA
82,20180815,PARYMQ,15_715_7,both,UA0986-UA3627-SN9552-SN3633,490.68,508.29,-0.035888970408412844,2741.0,2741.0,15.0,20.0,112.0,150.0,207.0,SN-UA
83,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4604-SN9552-SN3631,490.68,,,2840.0,,15.0,,113.0,,218.0,SN-UA
84,20180815,PARYMQ,15_715_7,both,UA0914-UA4604-SN9552-SN3633,490.68,508.29,-0.035888970408412844,2840.0,2840.0,15.0,20.0,113.0,161.0,218.0,SN-UA
85,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4651-AC7595-UA0987,493.83,,,1580.0,,16.0,,60.0,,95.0,AC-UA
86,20180815,PARYMQ,15_715_7,both,UA0914-UA4651-UA3488-UA0057,493.83,511.44,-0.03566004495474154,1665.0,1665.0,16.0,21.0,69.0,66.0,105.0,UA
87,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4651-AC7593-UA0987,493.83,,,1750.0,,16.0,,76.0,,113.0,AC-UA
88,20180815,PARYMQ,15_7,sabre_unique,UA0986-UA3627-AC7595-UA0987,493.83,,,1786.0,,16.0,,77.0,,114.0,AC-UA
89,20180815,PARYMQ,15_715_7,both,UA0986-UA3627-UA3488-UA0057,493.83,511.44,-0.03566004495474154,1871.0,1871.0,16.0,21.0,81.0,72.0,120.0,UA
90,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4604-AC7595-UA0987,493.83,,,1885.0,,16.0,,82.0,,124.0,AC-UA
91,20180815,PARYMQ,15_715_7,both,UA0914-UA4651-UA4341-UA0057,493.83,511.44,-0.03566004495474154,1890.0,1890.0,16.0,21.0,83.0,76.0,125.0,UA
92,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4651-AC7591-UA0987,493.83,,,1920.0,,16.0,,85.0,,130.0,AC-UA
93,20180815,PARYMQ,15_7,sabre_unique,UA0986-UA3627-AC7593-UA0987,493.83,,,1956.0,,16.0,,90.0,,137.0,AC-UA
94,20180815,PARYMQ,15_715_7,both,UA0914-UA4604-UA3488-UA0057,493.83,511.44,-0.03566004495474154,1970.0,1970.0,16.0,21.0,91.0,88.0,139.0,UA
95,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4604-AC7593-UA0987,493.83,,,2055.0,,16.0,,95.0,,149.0,AC-UA
96,20180815,PARYMQ,15_715_7,both,UA0986-UA3627-UA4341-UA0057,493.83,511.44,-0.03566004495474154,2096.0,2096.0,16.0,21.0,97.0,105.0,157.0,UA
97,20180815,PARYMQ,15_7,sabre_unique,UA0986-UA3627-AC7591-UA0987,493.83,,,2126.0,,16.0,,100.0,,160.0,AC-UA
98,20180815,PARYMQ,15_715_7,both,UA0914-UA4604-UA4341-UA0057,493.83,511.44,-0.03566004495474154,2195.0,2195.0,16.0,21.0,101.0,115.0,168.0,UA
99,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4604-AC7591-UA0987,493.83,,,2225.0,,16.0,,103.0,,174.0,AC-UA
100,20180815,PARYMQ,15_715_7,both,AC0881-AC7978-AC0870,539.86,604.61,-0.11993850257474159,1260.0,1260.0,22.0,31.0,33.0,27.0,41.0,AC
101,20180815,PARYMQ,15_715_7,both,LH6824-LH6581-AC0870,542.89,623.89,-0.14920149569894453,1068.0,1068.0,23.0,41.0,13.0,9.0,13.0,AC-LH
102,20180815,PARYMQ,15_7,sabre_unique,LH6824-LH6829-AC0870,542.89,,,1128.0,,23.0,,20.0,,20.0,AC-LH
103,20180815,PARYMQ,15_7,sabre_unique,LH6824-AC0834-AC0870,542.89,,,1128.0,,23.0,,20.0,,20.0,AC-LH
104,20180815,PARYMQ,15_7,sabre_unique,LH6824-AC0424-AC0870,542.89,,,1188.0,,23.0,,28.0,,31.0,AC-LH
105,20180815,PARYMQ,15_7,sabre_unique,SN8926-UA4651-AC0870,563.32,,,1145.0,,24.0,,24.0,,24.0,AC-SN-UA
106,20180815,PARYMQ,15_715_7,both,IB2687-IB2688,569.34,612.09,-0.07508694277584571,875.0,875.0,25.0,34.0,7.0,4.0,7.0,IB
107,20180815,PARYMQ,15_715_7,both,TS0251-TS0456,583.86,602.77,-0.03238790120919393,865.0,865.0,27.0,29.0,5.0,2.0,5.0,TS
108,20180815,PARYMQ,15_7,sabre_unique,AC0881-AC0420-AC0870,587.89,,,1068.0,,28.0,,13.0,,13.0,AC
109,20180815,PARYMQ,15_7,sabre_unique,SN9637-SN9554-AC0870,587.89,,,1068.0,,28.0,,13.0,,13.0,AC-SN
110,20180815,PARYMQ,15_7,sabre_unique,SN9637-AC0420-AC0870,587.89,,,1068.0,,28.0,,13.0,,13.0,AC-SN
111,20180815,PARYMQ,15_715_7,both,AC0881-AC0834-AC0870,587.89,607.64,-0.03359472010069911,1128.0,1128.0,28.0,32.0,20.0,13.0,20.0,AC
112,20180815,PARYMQ,15_7,sabre_unique,SN9637-SN9624-AC0870,587.89,,,1128.0,,28.0,,20.0,,20.0,AC-SN
113,20180815,PARYMQ,15_715_7,both,SN9637-AC0834-AC0870,587.89,578.64,0.015734235996529962,1128.0,1128.0,28.0,26.0,20.0,13.0,20.0,AC-SN
114,20180815,PARYMQ,15_715_7,both,AC0881-AC0424-AC0870,587.89,607.64,-0.03359472010069911,1188.0,1188.0,28.0,32.0,28.0,19.0,31.0,AC
115,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4668-AC7595-UA0987,602.83,,,2490.0,,30.0,,108.0,,192.0,AC-UA
116,20180815,PARYMQ,15_715_7,both,TS0397-TS0456,608.86,628.86,-0.03284827382321059,870.0,870.0,33.0,43.0,6.0,3.0,6.0,TS
117,20180815,PARYMQ,15_7,sabre_unique,IB9120-AA4567-IB2688,622.01,,,1323.0,,37.0,,41.0,,55.0,AA-IB
118,20180815,PARYMQ,15_715_7,both,IB4176-IB4439-IB2688,623.32,686.32,-0.10107168067766155,1111.0,1111.0,40.0,63.0,18.0,12.0,18.0,IB
119,20180815,PARYMQ,15_7,sabre_unique,IB4176-AA3940-IB2688,623.32,,,1111.0,,40.0,,18.0,,18.0,AA-IB
120,20180815,PARYMQ,15_715_7,both,IB9096-AA4845-IB2688,623.32,686.32,-0.10107168067766155,1148.0,1148.0,40.0,63.0,25.0,15.0,25.0,AA-IB
121,20180815,PARYMQ,15_7,sabre_unique,IB9096-AA4998-IB2688,623.32,,,1341.0,,40.0,,42.0,,59.0,AA-IB
122,20180815,PARYMQ,15_7,sabre_unique,IB9096-AA4677-IB2688,623.32,,,1514.0,,40.0,,57.0,,86.0,AA-IB
123,20180815,PARYMQ,15_7,sabre_unique,UA0056-UA4402-AC7595-UA0987,647.83,,,1839.0,,47.0,,80.0,,118.0,AC-UA
124,20180815,PARYMQ,15_715_7,both,UA0056-UA4402-UA3488-UA0057,647.83,667.83,-0.030872296744516307,1924.0,1924.0,47.0,59.0,86.0,82.0,131.0,UA
125,20180815,PARYMQ,15_7,sabre_unique,AC0871-AC6820-LX0632,659.99,,,1055.0,,56.0,,12.0,,12.0,AC-LX
126,20180815,PARYMQ,15_7,sabre_unique,AC0885-AC6820-LX0632,659.99,,,1075.0,,56.0,,14.0,,14.0,AC-LX
127,20180815,PARYMQ,15_7,sabre_unique,AC0871-AC0874-LH1030,663.61,,,1005.0,,58.0,,8.0,,8.0,AC-LH
128,20180815,PARYMQ,15_7,sabre_unique,AC0885-AC0874-LH1030,663.61,,,1025.0,,58.0,,9.0,,9.0,AC-LH
129,20180815,PARYMQ,15_7,sabre_unique,AC0871-AC9634-LH1030,663.61,,,1090.0,,58.0,,16.0,,16.0,AC-LH
130,20180815,PARYMQ,15_7,sabre_unique,WW0405-WW0251-WW0252-WW0410,676.29,,,1675.0,,60.0,,70.0,,106.0,WW
131,20180815,PARYMQ,15_7,sabre_unique,WW0405-WW0251-WW0252-WW0404,693.29,,,1315.0,,66.0,,39.0,,52.0,WW
132,20180815,PARYMQ,15_7,sabre_unique,LH6818-UA4722-LH7640,699.32,,,1068.0,,68.0,,13.0,,13.0,LH-UA
133,20180815,PARYMQ,15_7,sabre_unique,LH6806-UA4722-LH7640,699.32,,,1088.0,,68.0,,15.0,,15.0,LH-UA
134,20180815,PARYMQ,15_7,sabre_unique,LH6818-AC8172-LH7640,699.32,,,1140.0,,68.0,,22.0,,22.0,AC-LH
135,20180815,PARYMQ,15_7,sabre_unique,SN9633-AC7636-SN9008,699.32,,,1175.0,,68.0,,26.0,,28.0,AC-SN
136,20180815,PARYMQ,15_7,sabre_unique,SN9635-AC7636-SN9008,699.32,,,1195.0,,68.0,,29.0,,32.0,AC-SN
137,20180815,PARYMQ,15_7,sabre_unique,LH6818-LH6795-LH1030,699.61,,,1005.0,,69.0,,8.0,,8.0,LH
138,20180815,PARYMQ,15_7,sabre_unique,LH6806-LH6795-LH1030,699.61,,,1025.0,,69.0,,9.0,,9.0,LH
139,20180815,PARYMQ,15_7,sabre_unique,LH6818-LH0479-LH1028,699.61,,,1030.0,,69.0,,10.0,,10.0,LH
140,20180815,PARYMQ,15_7,sabre_unique,LH6806-LH0479-LH1028,699.61,,,1050.0,,69.0,,11.0,,11.0,LH
141,20180815,PARYMQ,15_7,sabre_unique,LH6818-LH0479-LH1030,699.61,,,1090.0,,69.0,,16.0,,16.0,LH
142,20180815,PARYMQ,15_7,sabre_unique,LH6806-LH0479-LH1030,699.61,,,1110.0,,69.0,,17.0,,17.0,LH
143,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4651-AC8172-UA0915,718.83,,,1440.0,,73.0,,49.0,,74.0,AC-UA
144,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4651-AC7740-UA0057,718.83,,,1460.0,,73.0,,52.0,,78.0,AC-UA
145,20180815,PARYMQ,15_7,sabre_unique,SN9633-AC0419-SN9638,723.89,,,1090.0,,74.0,,16.0,,16.0,AC-SN
146,20180815,PARYMQ,15_7,sabre_unique,SN9635-AC0419-SN9638,723.89,,,1110.0,,74.0,,17.0,,17.0,AC-SN
147,20180815,PARYMQ,15_7,sabre_unique,SN9633-SN9634,736.86,,,845.0,,75.0,,2.0,,2.0,SN
148,20180815,PARYMQ,15_7,sabre_unique,SN9635-SN9634,736.86,,,865.0,,75.0,,5.0,,5.0,SN
149,20180815,PARYMQ,15_7,sabre_unique,SN9633-UA4722-SN8925,744.32,,,1068.0,,76.0,,13.0,,13.0,SN-UA
150,20180815,PARYMQ,15_7,sabre_unique,SN9635-UA4722-SN8925,744.32,,,1088.0,,76.0,,15.0,,15.0,SN-UA
151,20180815,PARYMQ,15_7,sabre_unique,SN9633-AC8172-SN8925,744.32,,,1140.0,,76.0,,22.0,,22.0,AC-SN
152,20180815,PARYMQ,15_7,sabre_unique,UA0914-UA4651-UA8184-UA0057,750.97,,,1475.0,,77.0,,56.0,,83.0,UA
153,20180815,PARYMQ,15_7,sabre_unique,LX0633-LX0086-LX0087-LX0656,777.46,,,1835.0,,78.0,,79.0,,117.0,LX
