,itinerary,ap_los,ond,travel_time,fare,provider,search_date
64446,XK0770-XK0771,22_7,AJAPAR,190.0,198.93,sabre,20180815
64448,XK0772-XK0771,22_7,AJAPAR,190.0,218.93,sabre,20180815
64450,XK0774-XK0771,22_7,AJAPAR,190.0,218.93,sabre,20180815
64452,XK0776-XK0771,22_7,AJAPAR,190.0,218.93,sabre,20180815
64454,AF4442-AF4453,22_7,AJAPAR,190.0,222.37,sabre,20180815
64456,AF4445-AF4453,22_7,AJAPAR,190.0,242.37,sabre,20180815
64458,AF4443-AF4453,22_7,AJAPAR,190.0,242.37,sabre,20180815
64460,AF4449-AF4453,22_7,AJAPAR,190.0,242.37,sabre,20180815
64462,XK1301-XK1300,22_7,AJAPAR,190.0,258.28,sabre,20180815
64464,XK0570-XK1400,22_7,AJAPAR,210.0,258.56,sabre,20180815
64466,XK0770-XK0775,22_7,AJAPAR,190.0,268.93,sabre,20180815
64468,XK0770-XK0773,22_7,AJAPAR,190.0,268.93,sabre,20180815
64470,XK0770-XK0777,22_7,AJAPAR,190.0,268.93,sabre,20180815
64472,XK1401-XK1400,22_7,AJAPAR,210.0,278.56,sabre,20180815
64474,AF7571-AF7570,22_7,AJAPAR,190.0,281.72,sabre,20180815
64476,AF4778-AF7558,22_7,AJAPAR,210.0,282.0,sabre,20180815
64478,XK0772-XK0775,22_7,AJAPAR,190.0,288.93,sabre,20180815
64480,XK0772-XK0773,22_7,AJAPAR,190.0,288.93,sabre,20180815
64482,XK0772-XK0777,22_7,AJAPAR,190.0,288.93,sabre,20180815
64484,XK0774-XK0773,22_7,AJAPAR,190.0,288.93,sabre,20180815
64486,XK0774-XK0775,22_7,AJAPAR,190.0,288.93,sabre,20180815
64488,XK0774-XK0777,22_7,AJAPAR,190.0,288.93,sabre,20180815
64490,XK0776-XK0777,22_7,AJAPAR,190.0,288.93,sabre,20180815
64492,XK0776-XK0773,22_7,AJAPAR,190.0,288.93,sabre,20180815
64494,XK0776-XK0775,22_7,AJAPAR,190.0,288.93,sabre,20180815
64496,AF4442-AF4454,22_7,AJAPAR,190.0,292.37,sabre,20180815
64498,AF4442-AF4457,22_7,AJAPAR,190.0,292.37,sabre,20180815
64500,AF7559-AF7558,22_7,AJAPAR,210.0,302.0,sabre,20180815
64502,AF4445-AF4454,22_7,AJAPAR,190.0,312.37,sabre,20180815
64504,AF4445-AF4457,22_7,AJAPAR,190.0,312.37,sabre,20180815
64506,AF4443-AF4457,22_7,AJAPAR,190.0,312.37,sabre,20180815
64508,AF4443-AF4454,22_7,AJAPAR,190.0,312.37,sabre,20180815
64510,AF4449-AF4457,22_7,AJAPAR,190.0,312.37,sabre,20180815
64512,AF4449-AF4454,22_7,AJAPAR,190.0,312.37,sabre,20180815
64514,AF4778-AF6016-AF4716,22_7,AJAPAR,495.0,314.67,sabre,20180815
64516,AF4778-AF6014-AF4716,22_7,AJAPAR,545.0,314.67,sabre,20180815
64518,AF4778-AF6012-AF4716,22_7,AJAPAR,615.0,314.67,sabre,20180815
64520,AF4778-AF6010-AF4716,22_7,AJAPAR,755.0,314.67,sabre,20180815
64522,AF4778-AF6008-AF4716,22_7,AJAPAR,860.0,314.67,sabre,20180815
64524,AF4778-AF6006-AF4716,22_7,AJAPAR,915.0,314.67,sabre,20180815
64526,AF4442-AF6026-AF4696,22_7,AJAPAR,275.0,315.04,sabre,20180815
64528,AF4442-AF6014-AF4694,22_7,AJAPAR,295.0,315.04,sabre,20180815
64530,AF4442-AF6012-AF4694,22_7,AJAPAR,365.0,315.04,sabre,20180815
64532,AF4442-AF6010-AF4694,22_7,AJAPAR,505.0,315.04,sabre,20180815
64534,AF4442-AF6016-AF4696,22_7,AJAPAR,530.0,315.04,sabre,20180815
64536,AF4442-AF6014-AF4696,22_7,AJAPAR,580.0,315.04,sabre,20180815
64538,AF4442-AF6008-AF4694,22_7,AJAPAR,610.0,315.04,sabre,20180815
64540,AF4442-AF6012-AF4696,22_7,AJAPAR,650.0,315.04,sabre,20180815
64542,AF4442-AF6006-AF4694,22_7,AJAPAR,665.0,315.04,sabre,20180815
64544,AF4442-AF6010-AF4696,22_7,AJAPAR,790.0,315.04,sabre,20180815
64546,AF4442-AF6008-AF4696,22_7,AJAPAR,895.0,315.04,sabre,20180815
64548,AF4442-AF6006-AF4696,22_7,AJAPAR,950.0,315.04,sabre,20180815
64550,AF4442-AF6224-AF4732,22_7,AJAPAR,470.0,316.01,sabre,20180815
64551,AF4442-AF6222-AF4732,22_7,AJAPAR,565.0,316.01,sabre,20180815
64553,AF4442-AF6216-AF4732,22_7,AJAPAR,665.0,316.01,sabre,20180815
64555,AF4442-AF6214-AF4732,22_7,AJAPAR,700.0,316.01,sabre,20180815
64557,AF4442-AF6212-AF4732,22_7,AJAPAR,725.0,316.01,sabre,20180815
64559,AF4442-AF6210-AF4732,22_7,AJAPAR,745.0,316.01,sabre,20180815
64561,AF4778-AF7700-AF4750,22_7,AJAPAR,435.0,316.89,sabre,20180815
64563,AF4778-AF7706-AF4750,22_7,AJAPAR,1430.0,316.89,sabre,20180815
64565,AF4442-AF7706-AF4732,22_7,AJAPAR,510.0,317.26,sabre,20180815
64567,AF4442-AF7710-AF4732,22_7,AJAPAR,675.0,317.26,sabre,20180815
64569,AF4711-AF6007-AF7558,22_7,AJAPAR,340.0,325.67,sabre,20180815
64571,AF4711-AF7669-AF7558,22_7,AJAPAR,350.0,325.67,sabre,20180815
64573,AF4711-AF7663-AF7558,22_7,AJAPAR,410.0,325.67,sabre,20180815
64575,AF4711-AF6009-AF7558,22_7,AJAPAR,460.0,325.67,sabre,20180815
64577,AF4711-AF6011-AF7558,22_7,AJAPAR,500.0,325.67,sabre,20180815
64579,AF4711-AF7665-AF7558,22_7,AJAPAR,530.0,325.67,sabre,20180815
64581,AF4711-AF6015-AF7558,22_7,AJAPAR,705.0,325.67,sabre,20180815
64583,AF4711-AF6027-AF7558,22_7,AJAPAR,1000.0,325.67,sabre,20180815
64585,AF4717-AF6005-AF7558,22_7,AJAPAR,1020.0,325.67,sabre,20180815
64587,AF4717-AF6007-AF7558,22_7,AJAPAR,1065.0,325.67,sabre,20180815
64589,AF4717-AF7669-AF7558,22_7,AJAPAR,1075.0,325.67,sabre,20180815
64591,AF4717-AF7663-AF7558,22_7,AJAPAR,1135.0,325.67,sabre,20180815
64593,AF4717-AF6009-AF7558,22_7,AJAPAR,1185.0,325.67,sabre,20180815
64595,AF4717-AF6011-AF7558,22_7,AJAPAR,1225.0,325.67,sabre,20180815
64597,AF4778-AF6200-AF4750,22_7,AJAPAR,490.0,328.64,sabre,20180815
64599,AF4778-AF6234-AF4750,22_7,AJAPAR,1030.0,328.64,sabre,20180815
64601,AF4778-AF6226-AF4750,22_7,AJAPAR,1300.0,328.64,sabre,20180815
64603,AF4778-AF6224-AF4750,22_7,AJAPAR,1390.0,328.64,sabre,20180815
64606,AF4778-AF7660-AF4716,22_7,AJAPAR,980.0,328.92,sabre,20180815
64608,AF4442-AF6200-AF4728,22_7,AJAPAR,280.0,329.01,sabre,20180815
64610,AF4442-AF6226-AF4732,22_7,AJAPAR,380.0,329.01,sabre,20180815
64612,AF4442-AF6218-AF4732,22_7,AJAPAR,605.0,329.01,sabre,20180815
64614,AF4442-AF6208-AF4732,22_7,AJAPAR,790.0,329.01,sabre,20180815
64616,AF4442-AF6234-AF4728,22_7,AJAPAR,820.0,329.01,sabre,20180815
64618,AF4442-AF6226-AF4728,22_7,AJAPAR,1090.0,329.01,sabre,20180815
64620,AF4442-AF6224-AF4728,22_7,AJAPAR,1180.0,329.01,sabre,20180815
64622,AF4442-AF7714-AF4732,22_7,AJAPAR,640.0,330.26,sabre,20180815
64624,AF4442-AF7706-AF4728,22_7,AJAPAR,1220.0,330.26,sabre,20180815
64626,AF4711-AF6005-AF7558,22_7,AJAPAR,295.0,332.67,sabre,20180815
64628,AF4711-AF7667-AF7558,22_7,AJAPAR,695.0,332.67,sabre,20180815
64630,AF4711-AF6019-AF7558,22_7,AJAPAR,825.0,332.67,sabre,20180815
64632,AF4711-AF6021-AF7558,22_7,AJAPAR,885.0,332.67,sabre,20180815
64634,AF4711-AF6023-AF7558,22_7,AJAPAR,910.0,332.67,sabre,20180815
64636,AF4711-AF6025-AF7558,22_7,AJAPAR,960.0,332.67,sabre,20180815
64638,AF4691-AF6007-AF4453,22_7,AJAPAR,330.0,334.02,sabre,20180815
64640,AF4691-AF7669-AF4453,22_7,AJAPAR,340.0,334.02,sabre,20180815
64642,AF4691-AF7663-AF4453,22_7,AJAPAR,400.0,334.02,sabre,20180815
64644,AF4691-AF6009-AF4453,22_7,AJAPAR,450.0,334.02,sabre,20180815
64646,AF4695-AF6027-AF4453,22_7,AJAPAR,470.0,334.02,sabre,20180815
64648,AF4691-AF6011-AF4453,22_7,AJAPAR,490.0,334.02,sabre,20180815
64650,AF4691-AF7665-AF4453,22_7,AJAPAR,520.0,334.02,sabre,20180815
64652,AF4697-AF7673-AF4453,22_7,AJAPAR,840.0,334.02,sabre,20180815
64654,AF4697-AF6005-AF4453,22_7,AJAPAR,935.0,334.02,sabre,20180815
64656,AF4697-AF6007-AF4453,22_7,AJAPAR,980.0,334.02,sabre,20180815
64658,AF4691-AF6027-AF4453,22_7,AJAPAR,990.0,334.02,sabre,20180815
64660,AF4697-AF7669-AF4453,22_7,AJAPAR,990.0,334.02,sabre,20180815
