,itinerary,ap_los,ond,travel_time,fare,provider,search_date
5248,AH2004-UX4050-AF1401-AZ0317-AZ0800,15_7,ALGPAR,1560.0,727.15,sabre,20180815
5249,AH2004-UX4050-AF1401-AZ0317-AZ0802,15_7,ALGPAR,1970.0,727.15,sabre,20180815
5250,AH2004-UX4050-AF1401-AZ0319-AZ0800,15_7,ALGPAR,1275.0,775.15,sabre,20180815
5251,AH2004-UX4050-AF1401-AZ0319-AZ0802,15_7,ALGPAR,1685.0,775.15,sabre,20180815
5252,AH2004-UX4050-AF1401-AZ0319-AZ0800,15_7,ALGPAR,2355.0,775.15,sabre,20180815
5253,AH2000-UX6082-AF1501-AZ0317-AZ0800,15_7,ALGPAR,1110.0,777.72,sabre,20180815
5254,AH2000-UX6066-AF1501-AZ0317-AZ0800,15_7,ALGPAR,1110.0,777.72,sabre,20180815
5255,AH2000-UX6082-AF1501-AZ0317-AZ0802,15_7,ALGPAR,1520.0,777.72,sabre,20180815
5256,AH2000-UX6066-AF1501-AZ0317-AZ0802,15_7,ALGPAR,1520.0,777.72,sabre,20180815
5257,AH2004-UX4050-AF1401-AF1754,15_7,ALGPAR,1045.0,784.34,sabre,20180815
5258,AH2000-UX6082-AF1501-AZ0319-AZ0800,15_7,ALGPAR,825.0,825.72,sabre,20180815
5259,AH2000-UX6066-AF1501-AZ0319-AZ0800,15_7,ALGPAR,825.0,825.72,sabre,20180815
5260,AH2000-UX6082-AF1501-AZ0319-AZ0802,15_7,ALGPAR,1235.0,825.72,sabre,20180815
5261,AH2000-UX6066-AF1501-AZ0319-AZ0802,15_7,ALGPAR,1235.0,825.72,sabre,20180815
5262,AH2000-UX6082-AF1501-AZ0319-AZ0800,15_7,ALGPAR,1905.0,825.72,sabre,20180815
5263,AH2000-UX6066-AF1501-AZ0319-AZ0800,15_7,ALGPAR,1905.0,825.72,sabre,20180815
5264,AH2000-UX6082-AF1501-AF1754,15_7,ALGPAR,595.0,833.91,sabre,20180815
5265,AH2000-UX6066-AF1501-AF1754,15_7,ALGPAR,595.0,833.91,sabre,20180815
5266,AH2000-UX6066-AF1501-AF1854,15_7,ALGPAR,595.0,833.91,sabre,20180815
5267,AH2000-UX6066-AF1501-AF1554,15_7,ALGPAR,595.0,833.91,sabre,20180815
5268,AH2000-UX6082-AF1501-AF1854,15_7,ALGPAR,595.0,833.91,sabre,20180815
5269,AH2000-UX6082-AF1501-AF1554,15_7,ALGPAR,595.0,833.91,sabre,20180815
5270,AH2000-UX6082-AF1501-AF1354,15_7,ALGPAR,600.0,833.91,sabre,20180815
5271,AH2000-UX6066-AF1501-AF1354,15_7,ALGPAR,600.0,833.91,sabre,20180815
5272,AT0561-AT0760-AT0777-AT0560,15_7,ALGPAR,1580.0,917.27,sabre,20180815
5273,AT0561-AT0760-AT0751-AT0560,15_7,ALGPAR,2205.0,917.27,sabre,20180815
5274,AT0561-AT0760-AT0763-AT0560,15_7,ALGPAR,2240.0,917.27,sabre,20180815
5275,AT0561-AT0760-AT0771-AT0560,15_7,ALGPAR,2325.0,917.27,sabre,20180815
5276,AT0561-AT0760-AT0765-AT0560,15_7,ALGPAR,2445.0,917.27,sabre,20180815
5277,AT0561-AT0760-AT0775-AT0560,15_7,ALGPAR,2565.0,917.27,sabre,20180815
5278,AT0561-AT0760-AT0761-AT0560,15_7,ALGPAR,2720.0,917.27,sabre,20180815
5279,AT0561-AT0760-AT0787-AT0560,15_7,ALGPAR,1620.0,919.79,sabre,20180815
5280,AT0561-AT0760-AT0789-AT0560,15_7,ALGPAR,2395.0,919.79,sabre,20180815
5281,AT0561-AT0760-AT0779-AT0560,15_7,ALGPAR,2710.0,919.79,sabre,20180815
5282,VY7479-VY8036-VY8031-VY7478,15_7,ALGPAR,935.0,920.75,sabre,20180815
5283,VY7479-VY8012-VY8031-VY7478,15_7,ALGPAR,995.0,920.75,sabre,20180815
5284,VY7479-VY8242-VY8031-VY7478,15_7,ALGPAR,1025.0,920.75,sabre,20180815
5285,VY7479-VY8036-VY8017-VY7478,15_7,ALGPAR,1035.0,920.75,sabre,20180815
5286,VY7479-VY8024-VY8031-VY7478,15_7,ALGPAR,1070.0,920.75,sabre,20180815
5287,VY7479-VY8012-VY8017-VY7478,15_7,ALGPAR,1095.0,920.75,sabre,20180815
5288,VY7479-VY8242-VY8017-VY7478,15_7,ALGPAR,1125.0,920.75,sabre,20180815
5289,VY7479-VY8008-VY8031-VY7478,15_7,ALGPAR,1155.0,920.75,sabre,20180815
5290,VY7479-VY8024-VY8017-VY7478,15_7,ALGPAR,1170.0,920.75,sabre,20180815
5291,VY7479-VY8036-VY8015-VY7478,15_7,ALGPAR,1205.0,920.75,sabre,20180815
5292,VY7479-VY8016-VY8031-VY7478,15_7,ALGPAR,1240.0,920.75,sabre,20180815
5293,VY7479-VY8008-VY8017-VY7478,15_7,ALGPAR,1255.0,920.75,sabre,20180815
5294,VY7479-VY8012-VY8015-VY7478,15_7,ALGPAR,1265.0,920.75,sabre,20180815
5295,VY7479-VY8036-VY8013-VY7478,15_7,ALGPAR,1280.0,920.75,sabre,20180815
5296,VY7479-VY8242-VY8015-VY7478,15_7,ALGPAR,1295.0,920.75,sabre,20180815
5297,VY7479-VY8036-VY8037-VY7478,15_7,ALGPAR,1305.0,920.75,sabre,20180815
5298,VY7479-VY8030-VY8031-VY7478,15_7,ALGPAR,1330.0,920.75,sabre,20180815
5299,VY7479-VY8024-VY8015-VY7478,15_7,ALGPAR,1340.0,920.75,sabre,20180815
5300,VY7479-VY8016-VY8017-VY7478,15_7,ALGPAR,1340.0,920.75,sabre,20180815
5301,VY7479-VY8012-VY8013-VY7478,15_7,ALGPAR,1340.0,920.75,sabre,20180815
5302,VY7479-VY8012-VY8037-VY7478,15_7,ALGPAR,1365.0,920.75,sabre,20180815
5303,VY7479-VY8242-VY8013-VY7478,15_7,ALGPAR,1370.0,920.75,sabre,20180815
5304,VY7479-VY8242-VY8037-VY7478,15_7,ALGPAR,1395.0,920.75,sabre,20180815
5305,VY7479-VY8024-VY8013-VY7478,15_7,ALGPAR,1415.0,920.75,sabre,20180815
5306,VY7479-VY8008-VY8015-VY7478,15_7,ALGPAR,1425.0,920.75,sabre,20180815
5307,VY7479-VY8030-VY8017-VY7478,15_7,ALGPAR,1430.0,920.75,sabre,20180815
5308,VY7479-VY8024-VY8037-VY7478,15_7,ALGPAR,1440.0,920.75,sabre,20180815
5309,VY7479-VY8008-VY8013-VY7478,15_7,ALGPAR,1500.0,920.75,sabre,20180815
5310,VY7479-VY8016-VY8015-VY7478,15_7,ALGPAR,1510.0,920.75,sabre,20180815
5311,VY7479-VY8008-VY8037-VY7478,15_7,ALGPAR,1525.0,920.75,sabre,20180815
5312,VY7479-VY8016-VY8013-VY7478,15_7,ALGPAR,1585.0,920.75,sabre,20180815
5313,VY7479-VY8030-VY8015-VY7478,15_7,ALGPAR,1600.0,920.75,sabre,20180815
5314,VY7479-VY8016-VY8037-VY7478,15_7,ALGPAR,1610.0,920.75,sabre,20180815
5315,VY7479-VY8030-VY8013-VY7478,15_7,ALGPAR,1675.0,920.75,sabre,20180815
5316,VY7479-VY8030-VY8037-VY7478,15_7,ALGPAR,1700.0,920.75,sabre,20180815
5317,VY7479-VY8036-VY8019-VY7478,15_7,ALGPAR,845.0,940.75,sabre,20180815
5318,VY7479-VY8012-VY8019-VY7478,15_7,ALGPAR,905.0,940.75,sabre,20180815
5319,IB5267-IB5516-IB5281-IB5850,15_7,ALGPAR,935.0,940.75,sabre,20180815
5320,VY7479-VY8242-VY8019-VY7478,15_7,ALGPAR,935.0,940.75,sabre,20180815
5321,VY7479-VY8024-VY8019-VY7478,15_7,ALGPAR,980.0,940.75,sabre,20180815
5322,IB5267-IB5268-IB5281-IB5850,15_7,ALGPAR,995.0,940.75,sabre,20180815
5323,IB5267-IB5292-IB5281-IB5850,15_7,ALGPAR,1025.0,940.75,sabre,20180815
5324,IB5267-IB5516-IB5271-IB5850,15_7,ALGPAR,1035.0,940.75,sabre,20180815
5325,VY7479-VY8008-VY8019-VY7478,15_7,ALGPAR,1065.0,940.75,sabre,20180815
5326,IB5267-IB5754-IB5281-IB5850,15_7,ALGPAR,1070.0,940.75,sabre,20180815
5327,IB5267-IB5268-IB5271-IB5850,15_7,ALGPAR,1095.0,940.75,sabre,20180815
5328,IB5267-IB5292-IB5271-IB5850,15_7,ALGPAR,1125.0,940.75,sabre,20180815
5329,VY7479-VY8016-VY8019-VY7478,15_7,ALGPAR,1150.0,940.75,sabre,20180815
5330,IB5267-IB5752-IB5281-IB5850,15_7,ALGPAR,1155.0,940.75,sabre,20180815
5331,IB5267-IB5754-IB5271-IB5850,15_7,ALGPAR,1170.0,940.75,sabre,20180815
5332,IB5267-IB5516-IB5753-IB5850,15_7,ALGPAR,1205.0,940.75,sabre,20180815
5333,IB5267-IB5270-IB5281-IB5850,15_7,ALGPAR,1240.0,940.75,sabre,20180815
5334,VY7479-VY8030-VY8019-VY7478,15_7,ALGPAR,1240.0,940.75,sabre,20180815
5335,IB5267-IB5752-IB5271-IB5850,15_7,ALGPAR,1255.0,940.75,sabre,20180815
5336,IB5267-IB5268-IB5753-IB5850,15_7,ALGPAR,1265.0,940.75,sabre,20180815
5337,IB5267-IB5516-IB5269-IB5850,15_7,ALGPAR,1280.0,940.75,sabre,20180815
5338,IB5267-IB5292-IB5753-IB5850,15_7,ALGPAR,1295.0,940.75,sabre,20180815
5339,IB5267-IB5516-IB5703-IB5850,15_7,ALGPAR,1305.0,940.75,sabre,20180815
5340,IB5267-IB5280-IB5281-IB5850,15_7,ALGPAR,1330.0,940.75,sabre,20180815
5341,IB5267-IB5270-IB5271-IB5850,15_7,ALGPAR,1340.0,940.75,sabre,20180815
5342,IB5267-IB5754-IB5753-IB5850,15_7,ALGPAR,1340.0,940.75,sabre,20180815
5343,IB5267-IB5268-IB5269-IB5850,15_7,ALGPAR,1340.0,940.75,sabre,20180815
5344,IB5267-IB5268-IB5703-IB5850,15_7,ALGPAR,1365.0,940.75,sabre,20180815
5345,VY7479-VY8036-VY8243-VY7478,15_7,ALGPAR,1245.0,941.89,sabre,20180815
5346,VY7479-VY8012-VY8243-VY7478,15_7,ALGPAR,1305.0,941.89,sabre,20180815
5347,VY7479-VY8242-VY8243-VY7478,15_7,ALGPAR,1335.0,941.89,sabre,20180815
5348,VY7479-VY8024-VY8243-VY7478,15_7,ALGPAR,1380.0,941.89,sabre,20180815
5349,VY7479-VY8008-VY8243-VY7478,15_7,ALGPAR,1465.0,941.89,sabre,20180815
5350,IB5267-IB5516-IB3417-IB8720,15_7,ALGPAR,785.0,956.19,sabre,20180815
5351,IB5267-IB5268-IB3417-IB8720,15_7,ALGPAR,845.0,956.19,sabre,20180815
5352,IB5267-IB5292-IB3417-IB8720,15_7,ALGPAR,875.0,956.19,sabre,20180815
5353,IB5267-IB5754-IB3417-IB8720,15_7,ALGPAR,920.0,956.19,sabre,20180815
5354,IB5267-IB5752-IB3417-IB8720,15_7,ALGPAR,1005.0,956.19,sabre,20180815
5355,IB5267-IB5270-IB3417-IB8720,15_7,ALGPAR,1090.0,956.19,sabre,20180815
5356,IB5267-IB5280-IB3417-IB8720,15_7,ALGPAR,1180.0,956.19,sabre,20180815
5357,AT0561-AT0786-AT0777-AT0560,15_7,ALGPAR,1250.0,966.27,sabre,20180815
5358,AT0561-AT0778-AT0777-AT0560,15_7,ALGPAR,1600.0,966.27,sabre,20180815
5359,AT0561-AT0774-AT0777-AT0560,15_7,ALGPAR,1730.0,966.27,sabre,20180815
5360,AT0561-AT0786-AT0751-AT0560,15_7,ALGPAR,1875.0,966.27,sabre,20180815
5361,AT0561-AT0786-AT0763-AT0560,15_7,ALGPAR,1910.0,966.27,sabre,20180815
5362,AT0561-AT0788-AT0777-AT0560,15_7,ALGPAR,1915.0,966.27,sabre,20180815
5363,AT0561-AT0786-AT0771-AT0560,15_7,ALGPAR,1995.0,966.27,sabre,20180815
5364,AT0561-AT0750-AT0777-AT0560,15_7,ALGPAR,2090.0,966.27,sabre,20180815
5365,AT0561-AT0786-AT0765-AT0560,15_7,ALGPAR,2115.0,966.27,sabre,20180815
5366,AT0561-AT0778-AT0751-AT0560,15_7,ALGPAR,2225.0,966.27,sabre,20180815
5367,AT0561-AT0786-AT0775-AT0560,15_7,ALGPAR,2235.0,966.27,sabre,20180815
5368,AT0561-AT0778-AT0763-AT0560,15_7,ALGPAR,2260.0,966.27,sabre,20180815
5369,AT0561-AT0778-AT0771-AT0560,15_7,ALGPAR,2345.0,966.27,sabre,20180815
5370,AT0561-AT0774-AT0751-AT0560,15_7,ALGPAR,2355.0,966.27,sabre,20180815
5371,AT0561-AT0786-AT0761-AT0560,15_7,ALGPAR,2390.0,966.27,sabre,20180815
5372,AT0561-AT0774-AT0763-AT0560,15_7,ALGPAR,2390.0,966.27,sabre,20180815
5373,AT0561-AT0786-AT0787-AT0560,15_7,ALGPAR,1290.0,968.79,sabre,20180815
5374,AT0561-AT0778-AT0787-AT0560,15_7,ALGPAR,1640.0,968.79,sabre,20180815
5375,AT0561-AT0774-AT0787-AT0560,15_7,ALGPAR,1770.0,968.79,sabre,20180815
5376,AT0561-AT0788-AT0787-AT0560,15_7,ALGPAR,1955.0,968.79,sabre,20180815
5377,AT0561-AT0786-AT0789-AT0560,15_7,ALGPAR,2065.0,968.79,sabre,20180815
5378,AT0561-AT0750-AT0787-AT0560,15_7,ALGPAR,2130.0,968.79,sabre,20180815
5379,AT0561-AT0786-AT0779-AT0560,15_7,ALGPAR,2380.0,968.79,sabre,20180815
5380,AT0561-AT0778-AT0789-AT0560,15_7,ALGPAR,2415.0,968.79,sabre,20180815
5381,VY7479-VY8036-VY8029-VY7478,15_7,ALGPAR,760.0,1030.75,sabre,20180815
5382,VY7479-VY8012-VY8029-VY7478,15_7,ALGPAR,820.0,1030.75,sabre,20180815
5383,VY7479-VY8242-VY8029-VY7478,15_7,ALGPAR,850.0,1030.75,sabre,20180815
