,itinerary,ap_los,ond,travel_time,fare,provider,search_date
68078,LH1279-LH1026-LX0647-LX1830,8_7,ATHPAR,1445.0,280.6,sabre,20180815
68079,LH1279-LH1026-LX0657-LX1842,8_7,ATHPAR,1450.0,280.6,sabre,20180815
68080,LH1279-LH1026-LX0633-LX1838,8_7,ATHPAR,1515.0,280.6,sabre,20180815
68081,LH1279-LH1026-LX0647-LX1838,8_7,ATHPAR,1660.0,280.6,sabre,20180815
68082,LH1279-LH1026-LX0639-LX1842,8_7,ATHPAR,1675.0,280.6,sabre,20180815
68083,LH1279-LH1026-LX0633-LX1842,8_7,ATHPAR,1985.0,280.6,sabre,20180815
68084,LH1279-LH1026-LX0647-LX1842,8_7,ATHPAR,2130.0,280.6,sabre,20180815
68085,LH1279-LH1026-OS0416-OS0803,8_7,ATHPAR,1560.0,294.56,sabre,20180815
68086,LH1279-LH1026-OS0414-OS0803,8_7,ATHPAR,1745.0,294.56,sabre,20180815
68087,LH1279-LH1026-OS0412-OS0803,8_7,ATHPAR,1975.0,294.56,sabre,20180815
68088,AZ0717-AZ0316-AZ0317-AZ0716,8_7,ATHPAR,635.0,298.07,sabre,20180815
68089,AZ0717-AZ0316-AZ0319-AZ0718,8_7,ATHPAR,705.0,298.07,sabre,20180815
68090,AZ0717-AZ0318-AZ0317-AZ0716,8_7,ATHPAR,765.0,298.07,sabre,20180815
68091,AZ0717-AZ0318-AZ0319-AZ0718,8_7,ATHPAR,835.0,298.07,sabre,20180815
68092,AZ0715-AZ0332-AZ0317-AZ0716,8_7,ATHPAR,970.0,298.07,sabre,20180815
68093,AZ0717-AZ0316-AZ0317-AZ0718,8_7,ATHPAR,990.0,298.07,sabre,20180815
68094,AZ0715-AZ0332-AZ0319-AZ0718,8_7,ATHPAR,1040.0,298.07,sabre,20180815
68095,AZ0717-AZ0316-AZ0319-AZ0722,8_7,ATHPAR,1080.0,298.07,sabre,20180815
68096,AZ0717-AZ0318-AZ0317-AZ0718,8_7,ATHPAR,1120.0,298.07,sabre,20180815
68097,AZ0717-AZ0318-AZ0319-AZ0722,8_7,ATHPAR,1210.0,298.07,sabre,20180815
68098,AZ0715-AZ0332-AZ0317-AZ0718,8_7,ATHPAR,1325.0,298.07,sabre,20180815
68099,AZ0717-AZ0316-AZ0317-AZ0722,8_7,ATHPAR,1365.0,298.07,sabre,20180815
68100,AZ0715-AZ0332-AZ0319-AZ0722,8_7,ATHPAR,1415.0,298.07,sabre,20180815
68101,AZ0717-AZ0318-AZ0317-AZ0722,8_7,ATHPAR,1495.0,298.07,sabre,20180815
68102,AZ0715-AZ0316-AZ0317-AZ0716,8_7,ATHPAR,1625.0,298.07,sabre,20180815
68103,AZ0715-AZ0316-AZ0319-AZ0718,8_7,ATHPAR,1695.0,298.07,sabre,20180815
68104,LH1279-LH1026-LH2227-LH1754,8_7,ATHPAR,1915.0,300.04,sabre,20180815
68105,LH1279-LH1026-LH2239-LH1754,8_7,ATHPAR,2060.0,300.04,sabre,20180815
68106,LH1279-LH1026-LH1031-LH1284,8_7,ATHPAR,1860.0,302.72,sabre,20180815
68107,LH1279-LH1026-LH1029-LH1284,8_7,ATHPAR,1910.0,302.72,sabre,20180815
68108,LH1279-LH1026-LH1027-LH1284,8_7,ATHPAR,1980.0,302.72,sabre,20180815
