,itinerary,ap_los,ond,travel_time,fare,provider,search_date
34181,OS8878-OS0415-LX0657-LX1950,3_2,BCNPAR,585.0,275.47,sabre,20180815
34183,OS8878-OS0415-LX0647-LX1958,3_2,BCNPAR,975.0,275.47,sabre,20180815
34185,OS8878-OS0415-LX0647-LX1956,3_2,BCNPAR,1060.0,275.47,sabre,20180815
34187,OS8878-OS0415-LX0645-LX1952,3_2,BCNPAR,1075.0,275.47,sabre,20180815
34189,OS8878-OS0415-LX0657-LX1952,3_2,BCNPAR,1195.0,275.47,sabre,20180815
34191,OS8878-OS0415-LX0647-LX1950,3_2,BCNPAR,1265.0,275.47,sabre,20180815
34193,OS8878-OS0415-LX0647-LX1952,3_2,BCNPAR,1875.0,275.47,sabre,20180815
34195,OS8878-OS0415-LH2237-LH1810,3_2,BCNPAR,1240.0,280.11,sabre,20180815
34197,AF1349-AF1148,3_2,BCNPAR,220.0,281.25,sabre,20180815
34199,AF1349-AF1048,3_2,BCNPAR,220.0,281.25,sabre,20180815
34201,AF1349-AF1448,3_2,BCNPAR,220.0,281.25,sabre,20180815
34203,AF1849-AF1048,3_2,BCNPAR,220.0,281.25,sabre,20180815
34205,AF1849-AF1148,3_2,BCNPAR,220.0,281.25,sabre,20180815
34207,AF1849-AF1448,3_2,BCNPAR,220.0,281.25,sabre,20180815
34209,AF1649-AF1448,3_2,BCNPAR,220.0,281.25,sabre,20180815
34211,AF1649-AF1048,3_2,BCNPAR,220.0,281.25,sabre,20180815
34213,AF1649-AF1148,3_2,BCNPAR,220.0,281.25,sabre,20180815
34215,AF1549-AF1448,3_2,BCNPAR,220.0,281.25,sabre,20180815
34217,AF1549-AF1048,3_2,BCNPAR,220.0,281.25,sabre,20180815
34219,AF1549-AF1148,3_2,BCNPAR,220.0,281.25,sabre,20180815
34221,AF1449-AF1448,3_2,BCNPAR,225.0,281.25,sabre,20180815
34223,AF1449-AF1048,3_2,BCNPAR,225.0,281.25,sabre,20180815
34224,AF1449-AF1148,3_2,BCNPAR,225.0,281.25,sabre,20180815
34226,AF1149-AF1148,3_2,BCNPAR,225.0,281.25,sabre,20180815
34228,AF1149-AF1448,3_2,BCNPAR,225.0,281.25,sabre,20180815
