,itinerary,ap_los,ond,travel_time,fare,provider,search_date
44210,ZI0608-ZI0607,8_2,BERPAR,215.0,149.33,sabre,20180815
44211,AF1735-AF1634,8_2,BERPAR,205.0,159.47,sabre,20180815
44212,AF1735-AF1534,8_2,BERPAR,205.0,159.47,sabre,20180815
44213,AF1735-AF1134,8_2,BERPAR,205.0,159.47,sabre,20180815
44214,AF1535-AF1634,8_2,BERPAR,205.0,159.47,sabre,20180815
44215,AF1535-AF1534,8_2,BERPAR,205.0,159.47,sabre,20180815
44216,AF1535-AF1134,8_2,BERPAR,205.0,159.47,sabre,20180815
44217,AF1435-AF1534,8_2,BERPAR,210.0,159.47,sabre,20180815
44218,AF1435-AF1634,8_2,BERPAR,210.0,159.47,sabre,20180815
44219,AF1435-AF1134,8_2,BERPAR,210.0,159.47,sabre,20180815
44220,AF1335-AF1134,8_2,BERPAR,210.0,159.47,sabre,20180815
44221,AF1335-AF1534,8_2,BERPAR,210.0,159.47,sabre,20180815
44222,AF1335-AF1634,8_2,BERPAR,210.0,159.47,sabre,20180815
44223,AF1735-AF1434,8_2,BERPAR,210.0,159.47,sabre,20180815
44224,AF1735-AF1334,8_2,BERPAR,210.0,159.47,sabre,20180815
44225,AF1535-AF1334,8_2,BERPAR,210.0,159.47,sabre,20180815
44226,AF1535-AF1434,8_2,BERPAR,210.0,159.47,sabre,20180815
44227,AF1435-AF1434,8_2,BERPAR,215.0,159.47,sabre,20180815
44228,AF1435-AF1334,8_2,BERPAR,215.0,159.47,sabre,20180815
44229,AF1335-AF1434,8_2,BERPAR,215.0,159.47,sabre,20180815
44230,AF1335-AF1334,8_2,BERPAR,215.0,159.47,sabre,20180815
44231,AF1735-AF1834,8_2,BERPAR,205.0,164.47,sabre,20180815
44232,AF1535-AF1834,8_2,BERPAR,205.0,164.47,sabre,20180815
44233,AF1435-AF1834,8_2,BERPAR,210.0,164.47,sabre,20180815
44234,AF1335-AF1834,8_2,BERPAR,210.0,164.47,sabre,20180815
44235,AF1635-AF1634,8_2,BERPAR,205.0,169.47,sabre,20180815
44236,AF1635-AF1534,8_2,BERPAR,205.0,169.47,sabre,20180815
44237,AF1635-AF1134,8_2,BERPAR,205.0,169.47,sabre,20180815
44238,AF1135-AF1634,8_2,BERPAR,210.0,169.47,sabre,20180815
44239,AF1135-AF1534,8_2,BERPAR,210.0,169.47,sabre,20180815
44240,AF1135-AF1134,8_2,BERPAR,210.0,169.47,sabre,20180815
44241,AF1635-AF1434,8_2,BERPAR,210.0,169.47,sabre,20180815
44242,AF1635-AF1334,8_2,BERPAR,210.0,169.47,sabre,20180815
44243,AF1135-AF1334,8_2,BERPAR,215.0,169.47,sabre,20180815
44244,AF1135-AF1434,8_2,BERPAR,215.0,169.47,sabre,20180815
44245,AF1635-AF1834,8_2,BERPAR,205.0,173.47,sabre,20180815
44246,AF1135-AF1834,8_2,BERPAR,210.0,173.47,sabre,20180815
44247,AF1735-KL2008-KL1829,8_2,BERPAR,400.0,192.16,sabre,20180815
44248,AF1535-KL2008-KL1829,8_2,BERPAR,400.0,192.16,sabre,20180815
44249,AF1435-KL2008-KL1829,8_2,BERPAR,405.0,192.16,sabre,20180815
44250,AF1335-KL2008-KL1829,8_2,BERPAR,405.0,192.16,sabre,20180815
44251,AF1735-KL1230-KL1829,8_2,BERPAR,495.0,192.16,sabre,20180815
44252,AF1535-KL1230-KL1829,8_2,BERPAR,495.0,192.16,sabre,20180815
44253,AF1435-KL1230-KL1829,8_2,BERPAR,500.0,192.16,sabre,20180815
44254,AF1335-KL1230-KL1829,8_2,BERPAR,500.0,192.16,sabre,20180815
44255,AF1735-KL2006-KL1829,8_2,BERPAR,605.0,192.16,sabre,20180815
44256,AF1535-KL2006-KL1829,8_2,BERPAR,605.0,192.16,sabre,20180815
44257,AF1435-KL2006-KL1829,8_2,BERPAR,610.0,192.16,sabre,20180815
44258,AF1335-KL2006-KL1829,8_2,BERPAR,610.0,192.16,sabre,20180815
44259,AF1735-KL2008-KL1835,8_2,BERPAR,720.0,192.16,sabre,20180815
44260,AF1535-KL2008-KL1835,8_2,BERPAR,720.0,192.16,sabre,20180815
44261,AF1435-KL2008-KL1835,8_2,BERPAR,725.0,192.16,sabre,20180815
44262,AF1335-KL2008-KL1835,8_2,BERPAR,725.0,192.16,sabre,20180815
44263,AF1735-KL1230-KL1835,8_2,BERPAR,815.0,192.16,sabre,20180815
44264,AF1535-KL1230-KL1835,8_2,BERPAR,815.0,192.16,sabre,20180815
44265,AF1435-KL1230-KL1835,8_2,BERPAR,820.0,192.16,sabre,20180815
44266,AF1335-KL1230-KL1835,8_2,BERPAR,820.0,192.16,sabre,20180815
44267,AF1735-KL2006-KL1835,8_2,BERPAR,925.0,192.16,sabre,20180815
44268,AF1535-KL2006-KL1835,8_2,BERPAR,925.0,192.16,sabre,20180815
44269,AF1435-KL2006-KL1835,8_2,BERPAR,930.0,192.16,sabre,20180815
44270,AF1335-KL2006-KL1835,8_2,BERPAR,930.0,192.16,sabre,20180815
44271,AF1735-KL2008-KL1821,8_2,BERPAR,1340.0,192.16,sabre,20180815
44272,AF1535-KL2008-KL1821,8_2,BERPAR,1340.0,192.16,sabre,20180815
44273,AF1435-KL2008-KL1821,8_2,BERPAR,1345.0,192.16,sabre,20180815
44274,AF1335-KL2008-KL1821,8_2,BERPAR,1345.0,192.16,sabre,20180815
44275,AF1735-AF1734,8_2,BERPAR,210.0,193.47,sabre,20180815
44276,AF1535-AF1734,8_2,BERPAR,210.0,193.47,sabre,20180815
44277,AF1435-AF1734,8_2,BERPAR,215.0,193.47,sabre,20180815
44278,AF1335-AF1734,8_2,BERPAR,215.0,193.47,sabre,20180815
44279,AF1635-KL2008-KL1829,8_2,BERPAR,400.0,202.16,sabre,20180815
44280,AF1135-KL2008-KL1829,8_2,BERPAR,405.0,202.16,sabre,20180815
44281,AF1635-KL1230-KL1829,8_2,BERPAR,495.0,202.16,sabre,20180815
44282,AF1135-KL1230-KL1829,8_2,BERPAR,500.0,202.16,sabre,20180815
44283,AF1635-KL2006-KL1829,8_2,BERPAR,605.0,202.16,sabre,20180815
44284,AF1135-KL2006-KL1829,8_2,BERPAR,610.0,202.16,sabre,20180815
44285,AF1635-KL2008-KL1835,8_2,BERPAR,720.0,202.16,sabre,20180815
44286,AF1135-KL2008-KL1835,8_2,BERPAR,725.0,202.16,sabre,20180815
44287,AF1635-KL1230-KL1835,8_2,BERPAR,815.0,202.16,sabre,20180815
44288,AF1135-KL1230-KL1835,8_2,BERPAR,820.0,202.16,sabre,20180815
44289,AF1635-KL2006-KL1835,8_2,BERPAR,925.0,202.16,sabre,20180815
44290,AF1135-KL2006-KL1835,8_2,BERPAR,930.0,202.16,sabre,20180815
44291,AF1635-KL2008-KL1821,8_2,BERPAR,1340.0,202.16,sabre,20180815
44292,AF1135-KL2008-KL1821,8_2,BERPAR,1345.0,202.16,sabre,20180815
44293,AF1635-AF1734,8_2,BERPAR,210.0,202.47,sabre,20180815
44294,AF1135-AF1734,8_2,BERPAR,215.0,202.47,sabre,20180815
44295,AF1735-KL1234-KL1831,8_2,BERPAR,315.0,204.16,sabre,20180815
44296,AF1535-KL1234-KL1831,8_2,BERPAR,315.0,204.16,sabre,20180815
44297,AF1435-KL1234-KL1831,8_2,BERPAR,320.0,204.16,sabre,20180815
44298,AF1335-KL1234-KL1831,8_2,BERPAR,320.0,204.16,sabre,20180815
44299,AF1735-KL2008-KL1831,8_2,BERPAR,480.0,204.16,sabre,20180815
44300,AF1535-KL2008-KL1831,8_2,BERPAR,480.0,204.16,sabre,20180815
44301,AF1435-KL2008-KL1831,8_2,BERPAR,485.0,204.16,sabre,20180815
44302,AF1335-KL2008-KL1831,8_2,BERPAR,485.0,204.16,sabre,20180815
44303,AF1735-KL1228-KL1829,8_2,BERPAR,530.0,204.16,sabre,20180815
44304,AF1535-KL1228-KL1829,8_2,BERPAR,530.0,204.16,sabre,20180815
44305,AF1435-KL1228-KL1829,8_2,BERPAR,535.0,204.16,sabre,20180815
44306,AF1335-KL1228-KL1829,8_2,BERPAR,535.0,204.16,sabre,20180815
44307,AF1735-KL1230-KL1831,8_2,BERPAR,575.0,204.16,sabre,20180815
44308,AF1535-KL1230-KL1831,8_2,BERPAR,575.0,204.16,sabre,20180815
44309,AF1435-KL1230-KL1831,8_2,BERPAR,580.0,204.16,sabre,20180815
44310,AF1335-KL1230-KL1831,8_2,BERPAR,580.0,204.16,sabre,20180815
44311,AF1735-KL1228-KL1831,8_2,BERPAR,610.0,204.16,sabre,20180815
44312,AF1535-KL1228-KL1831,8_2,BERPAR,610.0,204.16,sabre,20180815
44313,AF1435-KL1228-KL1831,8_2,BERPAR,615.0,204.16,sabre,20180815
44314,AF1335-KL1228-KL1831,8_2,BERPAR,615.0,204.16,sabre,20180815
44315,AF1535-KL2006-KL1831,8_2,BERPAR,685.0,204.16,sabre,20180815
44316,AF1635-KL1234-KL1831,8_2,BERPAR,315.0,214.16,sabre,20180815
44317,AF1135-KL1234-KL1831,8_2,BERPAR,320.0,214.16,sabre,20180815
44318,AF1635-KL2008-KL1831,8_2,BERPAR,480.0,214.16,sabre,20180815
44319,AF1135-KL2008-KL1831,8_2,BERPAR,485.0,214.16,sabre,20180815
44320,AF1735-AF8234-KL1831,8_2,BERPAR,315.0,215.16,sabre,20180815
44321,AF1535-AF8234-KL1831,8_2,BERPAR,315.0,215.16,sabre,20180815
44322,AF1435-AF8234-KL1831,8_2,BERPAR,320.0,215.16,sabre,20180815
44323,AF1335-AF8234-KL1831,8_2,BERPAR,320.0,215.16,sabre,20180815
44324,AF1735-AF1640-KL1829,8_2,BERPAR,400.0,215.16,sabre,20180815
44325,AF1535-AF1640-KL1829,8_2,BERPAR,400.0,215.16,sabre,20180815
44326,AF1435-AF1640-KL1829,8_2,BERPAR,405.0,215.16,sabre,20180815
44327,AF1335-AF1640-KL1829,8_2,BERPAR,405.0,215.16,sabre,20180815
44328,AF1735-KL1230-KL1825,8_2,BERPAR,320.0,218.16,sabre,20180815
44329,AF1535-KL1230-KL1825,8_2,BERPAR,320.0,218.16,sabre,20180815
44330,AF1435-KL1230-KL1825,8_2,BERPAR,325.0,218.16,sabre,20180815
44331,AF1335-KL1230-KL1825,8_2,BERPAR,325.0,218.16,sabre,20180815
44332,AF1735-KL2002-KL1823,8_2,BERPAR,355.0,218.16,sabre,20180815
44333,AF1735-KL1228-KL1825,8_2,BERPAR,355.0,218.16,sabre,20180815
44334,AF1535-KL2002-KL1823,8_2,BERPAR,355.0,218.16,sabre,20180815
44335,AF1535-KL1228-KL1825,8_2,BERPAR,355.0,218.16,sabre,20180815
44336,AF1435-KL2002-KL1823,8_2,BERPAR,360.0,218.16,sabre,20180815
44337,AF1435-KL1228-KL1825,8_2,BERPAR,360.0,218.16,sabre,20180815
44338,AF1335-KL2002-KL1823,8_2,BERPAR,360.0,218.16,sabre,20180815
44339,AF1335-KL1228-KL1825,8_2,BERPAR,360.0,218.16,sabre,20180815
44340,AF1735-KL2006-KL1825,8_2,BERPAR,430.0,218.16,sabre,20180815
44341,AF1535-KL2006-KL1825,8_2,BERPAR,430.0,218.16,sabre,20180815
44342,AF1435-KL2006-KL1825,8_2,BERPAR,435.0,218.16,sabre,20180815
44343,AF1335-KL2006-KL1825,8_2,BERPAR,435.0,218.16,sabre,20180815
44344,AF1735-KL1234-KL1821,8_2,BERPAR,1175.0,218.16,sabre,20180815
44345,AF1535-KL1234-KL1821,8_2,BERPAR,1175.0,218.16,sabre,20180815
44346,AF1435-KL1234-KL1821,8_2,BERPAR,1180.0,218.16,sabre,20180815
44347,AF1335-KL1234-KL1821,8_2,BERPAR,1180.0,218.16,sabre,20180815
44348,AF1635-AF8234-KL1831,8_2,BERPAR,315.0,225.16,sabre,20180815
44349,AF1135-AF8234-KL1831,8_2,BERPAR,320.0,225.16,sabre,20180815
44350,AF1635-AF1640-KL1829,8_2,BERPAR,400.0,225.16,sabre,20180815
44351,AF1135-AF1640-KL1829,8_2,BERPAR,405.0,225.16,sabre,20180815
44352,AF1835-AF1634,8_2,BERPAR,205.0,226.47,sabre,20180815
44353,AF1835-AF1534,8_2,BERPAR,205.0,226.47,sabre,20180815
44354,AF1835-AF1134,8_2,BERPAR,205.0,226.47,sabre,20180815
44355,AF1835-AF1434,8_2,BERPAR,210.0,226.47,sabre,20180815
44356,AF1835-AF1334,8_2,BERPAR,210.0,226.47,sabre,20180815
44357,AF1635-KL1234-KL1821,8_2,BERPAR,1175.0,227.16,sabre,20180815
44358,AF1135-KL1234-KL1821,8_2,BERPAR,1180.0,227.16,sabre,20180815
44359,AF1735-AF8230-KL1825,8_2,BERPAR,320.0,229.16,sabre,20180815
44360,AF1535-AF8230-KL1825,8_2,BERPAR,320.0,229.16,sabre,20180815
44361,AF1435-AF8230-KL1825,8_2,BERPAR,325.0,229.16,sabre,20180815
44362,AF1335-AF8230-KL1825,8_2,BERPAR,325.0,229.16,sabre,20180815
44363,AF1735-AF1240-KL1823,8_2,BERPAR,355.0,229.16,sabre,20180815
44364,AF1735-AF8228-KL1825,8_2,BERPAR,355.0,229.16,sabre,20180815
44365,AF1535-AF8228-KL1825,8_2,BERPAR,355.0,229.16,sabre,20180815
44366,AF1535-AF1240-KL1823,8_2,BERPAR,355.0,229.16,sabre,20180815
44367,AF1435-AF1240-KL1823,8_2,BERPAR,360.0,229.16,sabre,20180815
44368,AF1435-AF8228-KL1825,8_2,BERPAR,360.0,229.16,sabre,20180815
44369,AF1335-AF1240-KL1823,8_2,BERPAR,360.0,229.16,sabre,20180815
44370,AF1335-AF8228-KL1825,8_2,BERPAR,360.0,229.16,sabre,20180815
44371,AF1835-AF1834,8_2,BERPAR,205.0,230.47,sabre,20180815
44372,KL1818-KL2009-KL2008-KL1829,8_2,BERPAR,845.0,258.85,sabre,20180815
44373,KL1818-KL2009-KL1230-KL1829,8_2,BERPAR,940.0,258.85,sabre,20180815
44374,KL1818-KL2009-KL2006-KL1829,8_2,BERPAR,1050.0,258.85,sabre,20180815
44375,KL1818-KL2009-KL2008-KL1835,8_2,BERPAR,1165.0,258.85,sabre,20180815
44376,KL1818-KL2009-KL1230-KL1835,8_2,BERPAR,1260.0,258.85,sabre,20180815
44377,KL1818-KL2009-KL2006-KL1835,8_2,BERPAR,1370.0,258.85,sabre,20180815
44378,KL1818-KL2009-KL2008-KL1821,8_2,BERPAR,1785.0,258.85,sabre,20180815
44379,AF1835-AF1734,8_2,BERPAR,210.0,259.47,sabre,20180815
44380,KL1818-KL2009-KL1234-KL1821,8_2,BERPAR,1620.0,284.85,sabre,20180815
44381,LH2055-LH2228-LH1051-LH0190,8_2,BERPAR,755.0,297.29,sabre,20180815
44382,LH2055-LH2228-LH1051-LH0166,8_2,BERPAR,785.0,297.29,sabre,20180815
44383,LH2037-LH2234-LH1051-LH0190,8_2,BERPAR,800.0,297.29,sabre,20180815
44384,LH0045-LH1030-LH1051-LH0190,8_2,BERPAR,750.0,299.97,sabre,20180815
44385,LH0173-LH1030-LH1051-LH0190,8_2,BERPAR,780.0,299.97,sabre,20180815
44386,LH0045-LH1030-LH1051-LH0166,8_2,BERPAR,780.0,299.97,sabre,20180815
44387,LH0045-LH1030-LH1051-LH0192,8_2,BERPAR,810.0,299.97,sabre,20180815
44388,LX0965-LX0656-LX0657-LX0962,8_2,BERPAR,530.0,349.73,sabre,20180815
44389,LX0965-LX0656-LX0639-LX0982,8_2,BERPAR,550.0,349.73,sabre,20180815
