,itinerary,ap_los,ond,travel_time,fare,provider,search_date
60380,AF7737-AF7374,3_2,BESPAR,150.0,182.19,sabre,20180815
60381,AF7737-AF7370,3_2,BESPAR,150.0,192.19,sabre,20180815
60382,AF7737-AF7362,3_2,BESPAR,160.0,192.19,sabre,20180815
60383,AF7737-AF7732,3_2,BESPAR,150.0,193.44,sabre,20180815
60384,AF7737-AF7736,3_2,BESPAR,155.0,193.44,sabre,20180815
60385,AF7737-AF7738,3_2,BESPAR,150.0,223.44,sabre,20180815
60386,AF7737-AF7646-AF5446,3_2,BESPAR,305.0,256.03,sabre,20180815
60387,AF7737-AF7652-AF5446,3_2,BESPAR,635.0,260.92,sabre,20180815
60388,AF7365-AF7374,3_2,BESPAR,150.0,267.19,sabre,20180815
60389,AF7737-AF6026-AF4293,3_2,BESPAR,1570.0,276.92,sabre,20180815
60390,AF7365-AF7370,3_2,BESPAR,150.0,277.19,sabre,20180815
60391,AF7365-AF7362,3_2,BESPAR,160.0,277.19,sabre,20180815
60392,AF7365-AF7732,3_2,BESPAR,150.0,278.44,sabre,20180815
60393,AF7365-AF7736,3_2,BESPAR,155.0,278.44,sabre,20180815
60394,AF5441-AF7643-AF7374,3_2,BESPAR,570.0,289.78,sabre,20180815
60395,AF5441-AF7645-AF7374,3_2,BESPAR,670.0,294.67,sabre,20180815
60396,AF5441-AF7649-AF7374,3_2,BESPAR,900.0,294.67,sabre,20180815
60397,AF5441-AF7643-AF7370,3_2,BESPAR,570.0,299.78,sabre,20180815
60398,AF5441-AF7643-AF7362,3_2,BESPAR,580.0,299.78,sabre,20180815
60399,AF5441-AF7643-AF7732,3_2,BESPAR,570.0,301.03,sabre,20180815
60400,AF5441-AF7643-AF7736,3_2,BESPAR,575.0,301.03,sabre,20180815
60401,AF5441-AF7645-AF7370,3_2,BESPAR,670.0,304.67,sabre,20180815
60402,AF5441-AF7645-AF7362,3_2,BESPAR,680.0,304.67,sabre,20180815
60403,AF5441-AF7649-AF7370,3_2,BESPAR,900.0,304.67,sabre,20180815
60404,AF5441-AF7649-AF7362,3_2,BESPAR,910.0,304.67,sabre,20180815
60405,AF5441-AF7645-AF7732,3_2,BESPAR,670.0,305.92,sabre,20180815
60406,AF5441-AF7645-AF7736,3_2,BESPAR,675.0,305.92,sabre,20180815
60407,AF5441-AF7649-AF7732,3_2,BESPAR,900.0,305.92,sabre,20180815
60408,AF5441-AF7649-AF7736,3_2,BESPAR,905.0,305.92,sabre,20180815
60409,AF7365-AF7738,3_2,BESPAR,150.0,308.44,sabre,20180815
60410,AF7737-AF7652-AF5444,3_2,BESPAR,380.0,331.03,sabre,20180815
60411,AF5441-AF7643-AF7738,3_2,BESPAR,570.0,331.03,sabre,20180815
60412,AF7737-AF7668-AF4293,3_2,BESPAR,1685.0,332.17,sabre,20180815
60413,AF5441-AF7645-AF7738,3_2,BESPAR,670.0,335.92,sabre,20180815
60414,AF5441-AF7649-AF7738,3_2,BESPAR,900.0,335.92,sabre,20180815
60415,AF7737-AF6266-AF5382-AF5446,3_2,BESPAR,375.0,339.38,sabre,20180815
60416,AF7737-AF6270-AF4331-AF5424,3_2,BESPAR,2710.0,339.91,sabre,20180815
60417,AF7365-AF7646-AF5446,3_2,BESPAR,305.0,341.03,sabre,20180815
60418,AF7361-AF7374,3_2,BESPAR,145.0,342.19,sabre,20180815
60419,AF7369-AF7374,3_2,BESPAR,145.0,342.19,sabre,20180815
60420,AF7739-AF7374,3_2,BESPAR,150.0,342.19,sabre,20180815
60421,AF7365-AF7652-AF5446,3_2,BESPAR,635.0,345.92,sabre,20180815
60422,AF7737-AF7646-AF5412-AF5424,3_2,BESPAR,2800.0,348.04,sabre,20180815
60423,AF7737-AF7644-AF5446,3_2,BESPAR,535.0,352.03,sabre,20180815
60424,AF7361-AF7370,3_2,BESPAR,145.0,352.19,sabre,20180815
60425,AF7369-AF7370,3_2,BESPAR,145.0,352.19,sabre,20180815
60426,AF7739-AF7370,3_2,BESPAR,150.0,352.19,sabre,20180815
60427,AF7361-AF7362,3_2,BESPAR,155.0,352.19,sabre,20180815
60428,AF7369-AF7362,3_2,BESPAR,155.0,352.19,sabre,20180815
60429,AF7739-AF7362,3_2,BESPAR,160.0,352.19,sabre,20180815
60430,AF7361-AF7732,3_2,BESPAR,145.0,353.44,sabre,20180815
60431,AF7369-AF7732,3_2,BESPAR,145.0,353.44,sabre,20180815
60432,AF7361-AF7736,3_2,BESPAR,150.0,353.44,sabre,20180815
60433,AF7739-AF7732,3_2,BESPAR,150.0,353.44,sabre,20180815
60434,AF7369-AF7736,3_2,BESPAR,150.0,353.44,sabre,20180815
60435,AF7739-AF7736,3_2,BESPAR,155.0,353.44,sabre,20180815
60436,AF7737-AF7630-AF4331-AF5424,3_2,BESPAR,2610.0,356.16,sabre,20180815
60437,AF7739-AF7738,3_2,BESPAR,150.0,358.44,sabre,20180815
60438,AF7365-AF6026-AF4293,3_2,BESPAR,1570.0,361.92,sabre,20180815
60439,AF5441-AF7643-AF7646-AF5446,3_2,BESPAR,725.0,362.62,sabre,20180815
60440,AF7737-AF7728-AF7001-AF4293,3_2,BESPAR,1440.0,363.68,sabre,20180815
60441,AF7737-AF7644-AF5444,3_2,BESPAR,280.0,366.03,sabre,20180815
60442,AF7737-AF7626-AF4331-AF5424,3_2,BESPAR,2735.0,366.16,sabre,20180815
60443,AF5441-AF7645-AF7646-AF5446,3_2,BESPAR,825.0,367.51,sabre,20180815
60444,AF5441-AF7649-AF7646-AF5446,3_2,BESPAR,1055.0,367.51,sabre,20180815
60445,AF5441-AF7643-AF7652-AF5446,3_2,BESPAR,1055.0,367.51,sabre,20180815
60446,AF5441-AF7645-AF7652-AF5446,3_2,BESPAR,1155.0,372.4,sabre,20180815
60447,AF5441-AF7649-AF7652-AF5446,3_2,BESPAR,1385.0,372.4,sabre,20180815
60448,AF7737-AF7634-AF5382-AF5446,3_2,BESPAR,405.0,375.63,sabre,20180815
60449,AF7737-AF7366,3_2,BESPAR,150.0,382.19,sabre,20180815
60450,AF7361-AF7738,3_2,BESPAR,145.0,383.44,sabre,20180815
60451,AF7369-AF7738,3_2,BESPAR,145.0,383.44,sabre,20180815
60452,AF5441-AF7643-AF6026-AF4293,3_2,BESPAR,1990.0,383.51,sabre,20180815
