,itinerary,ap_los,ond,travel_time,fare,provider,search_date
69011,XK0780-XK0785,8_2,BIAPAR,190.0,277.59,sabre,20180815
69013,XK0780-XK0783,8_2,BIAPAR,190.0,277.59,sabre,20180815
69014,XK0780-XK1230,8_2,BIAPAR,195.0,277.59,sabre,20180815
69016,XK0780-XK1202,8_2,BIAPAR,195.0,277.59,sabre,20180815
69018,XK0780-XK1250,8_2,BIAPAR,195.0,277.59,sabre,20180815
69020,XK0780-XK1232,8_2,BIAPAR,195.0,277.59,sabre,20180815
69022,XK0780-XK1204,8_2,BIAPAR,195.0,277.59,sabre,20180815
69024,XK0780-XK1200,8_2,BIAPAR,200.0,277.59,sabre,20180815
69026,XK0780-XK1600,8_2,BIAPAR,205.0,278.81,sabre,20180815
69028,XK1253-XK0783,8_2,BIAPAR,195.0,287.59,sabre,20180815
69030,XK1253-XK0785,8_2,BIAPAR,195.0,287.59,sabre,20180815
69032,XK1253-XK1230,8_2,BIAPAR,200.0,287.59,sabre,20180815
69034,XK1253-XK1202,8_2,BIAPAR,200.0,287.59,sabre,20180815
69036,XK1253-XK1250,8_2,BIAPAR,200.0,287.59,sabre,20180815
69038,XK1253-XK1232,8_2,BIAPAR,200.0,287.59,sabre,20180815
69040,XK1253-XK1204,8_2,BIAPAR,200.0,287.59,sabre,20180815
69042,XK1253-XK1200,8_2,BIAPAR,205.0,287.59,sabre,20180815
69044,XK1351-XK1300,8_2,BIAPAR,190.0,288.28,sabre,20180815
69046,XK1351-XK0761,8_2,BIAPAR,190.0,288.28,sabre,20180815
69048,XK1351-XK1334,8_2,BIAPAR,190.0,288.28,sabre,20180815
69050,XK1351-XK1330,8_2,BIAPAR,190.0,288.28,sabre,20180815
69052,XK1301-XK1300,8_2,BIAPAR,190.0,288.28,sabre,20180815
69054,XK1301-XK1330,8_2,BIAPAR,190.0,288.28,sabre,20180815
69056,XK1301-XK1334,8_2,BIAPAR,190.0,288.28,sabre,20180815
69058,XK1301-XK0761,8_2,BIAPAR,190.0,288.28,sabre,20180815
69060,XK1351-XK1332,8_2,BIAPAR,195.0,288.28,sabre,20180815
69062,XK1351-XK1302,8_2,BIAPAR,195.0,288.28,sabre,20180815
69064,XK1301-XK1332,8_2,BIAPAR,195.0,288.28,sabre,20180815
69066,XK1301-XK1302,8_2,BIAPAR,195.0,288.28,sabre,20180815
69068,XK1701-XK1334,8_2,BIAPAR,205.0,288.28,sabre,20180815
69070,XK1701-XK0761,8_2,BIAPAR,205.0,288.28,sabre,20180815
69072,XK1701-XK1330,8_2,BIAPAR,205.0,288.28,sabre,20180815
69074,XK1701-XK1300,8_2,BIAPAR,205.0,288.28,sabre,20180815
69076,XK1701-XK1332,8_2,BIAPAR,210.0,288.28,sabre,20180815
69078,XK1701-XK1302,8_2,BIAPAR,210.0,288.28,sabre,20180815
69080,XK1253-XK1600,8_2,BIAPAR,210.0,288.81,sabre,20180815
69082,XK1351-XK1700,8_2,BIAPAR,205.0,289.5,sabre,20180815
69084,XK1301-XK1700,8_2,BIAPAR,205.0,289.5,sabre,20180815
69086,XK1701-XK1700,8_2,BIAPAR,220.0,289.5,sabre,20180815
69088,XK0780-XK0781,8_2,BIAPAR,190.0,297.59,sabre,20180815
69090,AF4458-AF4465,8_2,BIAPAR,190.0,301.03,sabre,20180815
69092,AF4458-AF4463,8_2,BIAPAR,190.0,301.03,sabre,20180815
69094,AF4458-AF4242,8_2,BIAPAR,195.0,301.03,sabre,20180815
69096,AF4458-AF7596,8_2,BIAPAR,195.0,301.03,sabre,20180815
69098,AF4458-AF4110,8_2,BIAPAR,195.0,301.03,sabre,20180815
69100,AF4458-AF7594,8_2,BIAPAR,195.0,301.03,sabre,20180815
69102,AF4458-AF4240,8_2,BIAPAR,195.0,301.03,sabre,20180815
69104,AF4458-AF7592,8_2,BIAPAR,200.0,301.03,sabre,20180815
69106,AF4458-AF7582,8_2,BIAPAR,205.0,302.25,sabre,20180815
69108,XK0782-XK0783,8_2,BIAPAR,190.0,307.59,sabre,20180815
69110,XK0782-XK0785,8_2,BIAPAR,190.0,307.59,sabre,20180815
69112,XK0784-XK0783,8_2,BIAPAR,190.0,307.59,sabre,20180815
69114,XK0784-XK0785,8_2,BIAPAR,190.0,307.59,sabre,20180815
69116,XK1253-XK0781,8_2,BIAPAR,195.0,307.59,sabre,20180815
69118,XK0782-XK1204,8_2,BIAPAR,195.0,307.59,sabre,20180815
69120,XK0782-XK1232,8_2,BIAPAR,195.0,307.59,sabre,20180815
69122,XK0782-XK1250,8_2,BIAPAR,195.0,307.59,sabre,20180815
69124,XK0782-XK1202,8_2,BIAPAR,195.0,307.59,sabre,20180815
69126,XK0782-XK1230,8_2,BIAPAR,195.0,307.59,sabre,20180815
69128,XK1201-XK0785,8_2,BIAPAR,195.0,307.59,sabre,20180815
69130,XK1201-XK0783,8_2,BIAPAR,195.0,307.59,sabre,20180815
69132,XK0784-XK1230,8_2,BIAPAR,195.0,307.59,sabre,20180815
69134,XK0784-XK1204,8_2,BIAPAR,195.0,307.59,sabre,20180815
69136,XK0784-XK1232,8_2,BIAPAR,195.0,307.59,sabre,20180815
69138,XK0784-XK1250,8_2,BIAPAR,195.0,307.59,sabre,20180815
69140,XK0784-XK1202,8_2,BIAPAR,195.0,307.59,sabre,20180815
69142,XK1251-XK0785,8_2,BIAPAR,195.0,307.59,sabre,20180815
69143,XK1251-XK0783,8_2,BIAPAR,195.0,307.59,sabre,20180815
69145,XK0782-XK1200,8_2,BIAPAR,200.0,307.59,sabre,20180815
69147,XK1201-XK1204,8_2,BIAPAR,200.0,307.59,sabre,20180815
69149,XK1201-XK1230,8_2,BIAPAR,200.0,307.59,sabre,20180815
69151,XK1201-XK1232,8_2,BIAPAR,200.0,307.59,sabre,20180815
69153,XK1201-XK1250,8_2,BIAPAR,200.0,307.59,sabre,20180815
69155,XK1201-XK1202,8_2,BIAPAR,200.0,307.59,sabre,20180815
69157,XK0784-XK1200,8_2,BIAPAR,200.0,307.59,sabre,20180815
69159,XK1251-XK1230,8_2,BIAPAR,200.0,307.59,sabre,20180815
69161,XK1251-XK1204,8_2,BIAPAR,200.0,307.59,sabre,20180815
69163,XK1251-XK1202,8_2,BIAPAR,200.0,307.59,sabre,20180815
69165,XK1251-XK1250,8_2,BIAPAR,200.0,307.59,sabre,20180815
69167,XK1251-XK1232,8_2,BIAPAR,200.0,307.59,sabre,20180815
69169,XK1201-XK1200,8_2,BIAPAR,205.0,307.59,sabre,20180815
69171,XK1251-XK1200,8_2,BIAPAR,205.0,307.59,sabre,20180815
69173,XK0760-XK1330,8_2,BIAPAR,185.0,308.28,sabre,20180815
69175,XK0760-XK1300,8_2,BIAPAR,185.0,308.28,sabre,20180815
69177,XK0760-XK0761,8_2,BIAPAR,185.0,308.28,sabre,20180815
69179,XK0760-XK1334,8_2,BIAPAR,185.0,308.28,sabre,20180815
69181,XK0760-XK1332,8_2,BIAPAR,190.0,308.28,sabre,20180815
69183,XK0760-XK1302,8_2,BIAPAR,190.0,308.28,sabre,20180815
69184,XK1335-XK0761,8_2,BIAPAR,190.0,308.28,sabre,20180815
69186,XK1335-XK1334,8_2,BIAPAR,190.0,308.28,sabre,20180815
69188,XK1335-XK1330,8_2,BIAPAR,190.0,308.28,sabre,20180815
69190,XK1335-XK1300,8_2,BIAPAR,190.0,308.28,sabre,20180815
69192,XK1335-XK1332,8_2,BIAPAR,195.0,308.28,sabre,20180815
69195,XK1335-XK1302,8_2,BIAPAR,195.0,308.28,sabre,20180815
69197,XK0782-XK1600,8_2,BIAPAR,205.0,308.81,sabre,20180815
69199,XK0784-XK1600,8_2,BIAPAR,205.0,308.81,sabre,20180815
69201,XK1201-XK1600,8_2,BIAPAR,210.0,308.81,sabre,20180815
69203,XK1251-XK1600,8_2,BIAPAR,210.0,308.81,sabre,20180815
69205,XK0760-XK1700,8_2,BIAPAR,200.0,309.5,sabre,20180815
69206,XK1335-XK1700,8_2,BIAPAR,205.0,309.5,sabre,20180815
69208,AF4113-AF4465,8_2,BIAPAR,195.0,311.03,sabre,20180815
69210,AF4113-AF4463,8_2,BIAPAR,195.0,311.03,sabre,20180815
69212,AF4113-AF4240,8_2,BIAPAR,200.0,311.03,sabre,20180815
69214,AF4113-AF7596,8_2,BIAPAR,200.0,311.03,sabre,20180815
69216,AF4113-AF4242,8_2,BIAPAR,200.0,311.03,sabre,20180815
69218,AF4113-AF4110,8_2,BIAPAR,200.0,311.03,sabre,20180815
69220,AF4113-AF7594,8_2,BIAPAR,200.0,311.03,sabre,20180815
69222,AF4113-AF7592,8_2,BIAPAR,205.0,311.03,sabre,20180815
69224,AF4121-AF4260,8_2,BIAPAR,190.0,311.72,sabre,20180815
69226,AF4121-AF7570,8_2,BIAPAR,190.0,311.72,sabre,20180815
69228,AF4121-AF4468,8_2,BIAPAR,190.0,311.72,sabre,20180815
69230,AF4121-AF4264,8_2,BIAPAR,190.0,311.72,sabre,20180815
69232,AF7571-AF7570,8_2,BIAPAR,190.0,311.72,sabre,20180815
69234,AF7571-AF4468,8_2,BIAPAR,190.0,311.72,sabre,20180815
69236,AF7571-AF4264,8_2,BIAPAR,190.0,311.72,sabre,20180815
69238,AF7571-AF4260,8_2,BIAPAR,190.0,311.72,sabre,20180815
69240,AF4121-AF4262,8_2,BIAPAR,195.0,311.72,sabre,20180815
69242,AF4121-AF7572,8_2,BIAPAR,195.0,311.72,sabre,20180815
69244,AF7571-AF4262,8_2,BIAPAR,195.0,311.72,sabre,20180815
69246,AF7571-AF7572,8_2,BIAPAR,195.0,311.72,sabre,20180815
69248,AF4113-AF7582,8_2,BIAPAR,210.0,312.25,sabre,20180815
69250,AF4121-AF7580,8_2,BIAPAR,205.0,312.94,sabre,20180815
69252,AF7571-AF7580,8_2,BIAPAR,205.0,312.94,sabre,20180815
69254,AF4458-AF4462,8_2,BIAPAR,190.0,321.03,sabre,20180815
69256,XK0782-XK0781,8_2,BIAPAR,190.0,327.59,sabre,20180815
69258,XK0784-XK0781,8_2,BIAPAR,190.0,327.59,sabre,20180815
69260,XK1201-XK0781,8_2,BIAPAR,195.0,327.59,sabre,20180815
69262,XK1251-XK0781,8_2,BIAPAR,195.0,327.59,sabre,20180815
69264,AF4459-AF4465,8_2,BIAPAR,190.0,331.03,sabre,20180815
69266,AF4459-AF4463,8_2,BIAPAR,190.0,331.03,sabre,20180815
69268,AF4460-AF4465,8_2,BIAPAR,190.0,331.03,sabre,20180815
69270,AF4460-AF4463,8_2,BIAPAR,190.0,331.03,sabre,20180815
69272,AF4113-AF4462,8_2,BIAPAR,195.0,331.03,sabre,20180815
69274,AF4459-AF7594,8_2,BIAPAR,195.0,331.03,sabre,20180815
69275,AF4459-AF4240,8_2,BIAPAR,195.0,331.03,sabre,20180815
69277,AF4459-AF4110,8_2,BIAPAR,195.0,331.03,sabre,20180815
69279,AF4459-AF7596,8_2,BIAPAR,195.0,331.03,sabre,20180815
69281,AF4459-AF4242,8_2,BIAPAR,195.0,331.03,sabre,20180815
69283,AF7593-AF4463,8_2,BIAPAR,195.0,331.03,sabre,20180815
69285,AF7593-AF4465,8_2,BIAPAR,195.0,331.03,sabre,20180815
69287,AF4460-AF4110,8_2,BIAPAR,195.0,331.03,sabre,20180815
69289,AF4460-AF7594,8_2,BIAPAR,195.0,331.03,sabre,20180815
69290,AF4460-AF4240,8_2,BIAPAR,195.0,331.03,sabre,20180815
69291,AF4460-AF7596,8_2,BIAPAR,195.0,331.03,sabre,20180815
69292,AF4460-AF4242,8_2,BIAPAR,195.0,331.03,sabre,20180815
69293,AF4111-AF4465,8_2,BIAPAR,195.0,331.03,sabre,20180815
69294,AF4111-AF4463,8_2,BIAPAR,195.0,331.03,sabre,20180815
69295,AF4459-AF7592,8_2,BIAPAR,200.0,331.03,sabre,20180815
69296,AF7593-AF4242,8_2,BIAPAR,200.0,331.03,sabre,20180815
69297,AF7593-AF7594,8_2,BIAPAR,200.0,331.03,sabre,20180815
69298,AF7593-AF7596,8_2,BIAPAR,200.0,331.03,sabre,20180815
69299,AF7593-AF4110,8_2,BIAPAR,200.0,331.03,sabre,20180815
69300,AF7593-AF4240,8_2,BIAPAR,200.0,331.03,sabre,20180815
69301,AF4460-AF7592,8_2,BIAPAR,200.0,331.03,sabre,20180815
69302,AF4111-AF4110,8_2,BIAPAR,200.0,331.03,sabre,20180815
69303,AF4111-AF7594,8_2,BIAPAR,200.0,331.03,sabre,20180815
69304,AF4111-AF4240,8_2,BIAPAR,200.0,331.03,sabre,20180815
69305,AF4111-AF4242,8_2,BIAPAR,200.0,331.03,sabre,20180815
69306,AF4111-AF7596,8_2,BIAPAR,200.0,331.03,sabre,20180815
69307,AF7593-AF7592,8_2,BIAPAR,205.0,331.03,sabre,20180815
69308,AF4111-AF7592,8_2,BIAPAR,205.0,331.03,sabre,20180815
69309,AF4467-AF4260,8_2,BIAPAR,185.0,331.72,sabre,20180815
69310,AF4467-AF7570,8_2,BIAPAR,185.0,331.72,sabre,20180815
