,itinerary,ap_los,ond,travel_time,fare,provider,search_date
61999,AF7481-AF7484,3_2,BIQPAR,165.0,301.59,sabre,20180815
62000,IB8523-IB3742-IB3445-IB8526,3_2,BIQPAR,1740.0,303.1,sabre,20180815
62001,IB8523-IB3742-IB3443-IB8526,3_2,BIQPAR,1835.0,303.1,sabre,20180815
62002,IB8523-IB3742-IB3405-IB8526,3_2,BIQPAR,1995.0,303.1,sabre,20180815
62003,IB8523-IB3742-IB3435-IB8526,3_2,BIQPAR,2115.0,303.1,sabre,20180815
62004,IB8523-IB3742-IB3743-IB8526,3_2,BIQPAR,2365.0,309.24,sabre,20180815
62005,IB8523-IB3742-IB3417-IB8526,3_2,BIQPAR,2410.0,311.38,sabre,20180815
62006,AF7481-AF7488,3_2,BIQPAR,165.0,311.59,sabre,20180815
62007,AF7481-AF7496,3_2,BIQPAR,170.0,311.59,sabre,20180815
62008,AF7481-AF7696,3_2,BIQPAR,170.0,322.84,sabre,20180815
62009,AF7481-AF7490,3_2,BIQPAR,165.0,351.59,sabre,20180815
62010,AF7481-AF7480,3_2,BIQPAR,165.0,351.59,sabre,20180815
62011,IB8529-IB3742-IB3445-IB8526,3_2,BIQPAR,1270.0,359.1,sabre,20180815
62012,IB8529-IB3742-IB3443-IB8526,3_2,BIQPAR,1365.0,359.1,sabre,20180815
62013,IB8529-IB3742-IB3405-IB8526,3_2,BIQPAR,1525.0,359.1,sabre,20180815
62014,IB8529-IB3742-IB3435-IB8526,3_2,BIQPAR,1645.0,359.1,sabre,20180815
62015,9B4348-UX3249-UX1020-9B4015,3_2,BIQPAR,1527.0,364.39,sabre,20180815
62016,9B4348-UX3249-UX1020-9B4015,3_2,BIQPAR,1527.0,364.39,sabre,20180815
62017,9B4348-UX3249-UX1020-9B4015,3_2,BIQPAR,1527.0,364.39,sabre,20180815
62018,9B4348-UX3249-UX1020-9B4015,3_2,BIQPAR,1527.0,364.39,sabre,20180815
62019,9B4350-UX3249-UX1020-9B4015,3_2,BIQPAR,1557.0,364.39,sabre,20180815
62020,9B4349-UX3249-UX1020-9B4015,3_2,BIQPAR,1557.0,364.39,sabre,20180815
62021,9B4349-UX3249-UX1020-9B4015,3_2,BIQPAR,1557.0,364.39,sabre,20180815
62022,9B4350-UX3249-UX1020-9B4015,3_2,BIQPAR,1557.0,364.39,sabre,20180815
62023,9B4350-UX3249-UX1020-9B4015,3_2,BIQPAR,1557.0,364.39,sabre,20180815
62024,9B4349-UX3249-UX1020-9B4015,3_2,BIQPAR,1557.0,364.39,sabre,20180815
62025,9B4349-UX3249-UX1020-9B4015,3_2,BIQPAR,1557.0,364.39,sabre,20180815
62026,9B4350-UX3249-UX1020-9B4015,3_2,BIQPAR,1557.0,364.39,sabre,20180815
62027,9B4775-UX3249-UX1020-9B4015,3_2,BIQPAR,1693.0,364.39,sabre,20180815
62028,9B4775-UX3249-UX1020-9B4015,3_2,BIQPAR,1693.0,364.39,sabre,20180815
62029,9B4775-UX3249-UX1020-9B4015,3_2,BIQPAR,1693.0,364.39,sabre,20180815
62030,9B4775-UX3249-UX1020-9B4015,3_2,BIQPAR,1693.0,364.39,sabre,20180815
62031,9B4348-UX3249-UX1020-9B4017,3_2,BIQPAR,1781.0,364.39,sabre,20180815
62032,9B4348-UX3249-UX1020-9B4017,3_2,BIQPAR,1781.0,364.39,sabre,20180815
62033,9B4348-UX3249-UX1020-9B4017,3_2,BIQPAR,1781.0,364.39,sabre,20180815
62034,9B4348-UX3249-UX1020-9B4017,3_2,BIQPAR,1781.0,364.39,sabre,20180815
11052,AF7481-AF7484,3_2,BIQPAR,165,319.38,competitor,20180815
11053,AF7481-AF7496,3_2,BIQPAR,170,329.38,competitor,20180815
11054,AF7481-AF7488,3_2,BIQPAR,165,329.38,competitor,20180815
11055,AF7481-AF7696,3_2,BIQPAR,170,339.83,competitor,20180815
11056,A55481-A55484,3_2,BIQPAR,165,366.58,competitor,20180815
11057,AF7481-AF7480,3_2,BIQPAR,165,368.58,competitor,20180815
11058,AF7481-AF7490,3_2,BIQPAR,165,368.58,competitor,20180815
11059,A55481-A55496,3_2,BIQPAR,170,376.58,competitor,20180815
