,itinerary,ap_los,ond,travel_time,fare,provider,search_date
9709,WY0818-WY0131-WY0132-WY0815,22_14,BKKPAR,1860.0,659.68,sabre,20180815
9710,WY0818-WY0131-WY0132-WY0817,22_14,BKKPAR,2600.0,659.68,sabre,20180815
9711,WY0818-WY0131-WY0132-WY0811,22_14,BKKPAR,2900.0,659.68,sabre,20180815
9712,SU0271-SU3004-SU6638-SU0270,22_14,BKKPAR,3155.0,665.63,sabre,20180815
9713,SU0271-SU3004-SU2459-SU0270,22_14,BKKPAR,3000.0,673.08,sabre,20180815
9714,SU0271-SU3004-SU2463-SU0270,22_14,BKKPAR,3135.0,673.08,sabre,20180815
9715,SU0271-SU3004-SU3005-SU0270,22_14,BKKPAR,1870.0,677.52,sabre,20180815
9716,SU0271-SU3004-SU3001-SU0270,22_14,BKKPAR,2075.0,677.52,sabre,20180815
9717,SU0271-SU3004-SU3007-SU0270,22_14,BKKPAR,2845.0,677.52,sabre,20180815
9718,SU0271-SU3004-SU3003-SU0270,22_14,BKKPAR,2915.0,677.52,sabre,20180815
9719,KL0876-KL1223-KL1228-KL0875,22_14,BKKPAR,2655.0,689.38,sabre,20180815
9720,KL0876-KL1223-KL1224-KL0875,22_14,BKKPAR,2700.0,689.38,sabre,20180815
9721,SU0271-SU3000-SU6638-SU0270,22_14,BKKPAR,4380.0,700.63,sabre,20180815
9722,KL0876-AF8223-KL1228-KL0875,22_14,BKKPAR,2655.0,700.71,sabre,20180815
9723,KL0876-AF8223-KL1224-KL0875,22_14,BKKPAR,2700.0,700.71,sabre,20180815
9724,VN0602-VN0011-CA0458-CA0471,22_14,BKKPAR,2335.0,702.42,sabre,20180815
9725,VN0604-VN0011-CA0458-CA0471,22_14,BKKPAR,2640.0,702.42,sabre,20180815
9726,KL0876-KL1223-KL1230-KL0875,22_14,BKKPAR,2610.0,705.38,sabre,20180815
9727,SU0271-SU3004-SU0260-SU0270,22_14,BKKPAR,1945.0,708.08,sabre,20180815
9728,SU0271-SU3000-SU2459-SU0270,22_14,BKKPAR,4225.0,708.08,sabre,20180815
9729,SU0271-SU3000-SU2463-SU0270,22_14,BKKPAR,4360.0,708.08,sabre,20180815
9730,SU0271-SU3000-SU3005-SU0270,22_14,BKKPAR,3095.0,712.52,sabre,20180815
9731,SU0271-SU3000-SU3001-SU0270,22_14,BKKPAR,3300.0,712.52,sabre,20180815
9732,SU0271-SU3000-SU3007-SU0270,22_14,BKKPAR,4070.0,712.52,sabre,20180815
9733,SU0271-SU3000-SU3003-SU0270,22_14,BKKPAR,4140.0,712.52,sabre,20180815
9734,PS0272-PS0129-PS0128-PS0271,22_14,BKKPAR,1805.0,712.58,sabre,20180815
9735,PS0272-PS0129-PS0130-PS0271,22_14,BKKPAR,2315.0,712.58,sabre,20180815
9736,KL0876-AF8223-KL1230-KL0875,22_14,BKKPAR,2610.0,716.71,sabre,20180815
9737,EY0401-EY0031-EY0032-EY0406,22_14,BKKPAR,2010.0,718.66,sabre,20180815
9738,EY0407-EY0037-EY0032-EY0406,22_14,BKKPAR,2085.0,718.66,sabre,20180815
9739,EY0405-EY0031-EY0032-EY0406,22_14,BKKPAR,2150.0,718.66,sabre,20180815
9740,EY0401-EY0037-EY0032-EY0406,22_14,BKKPAR,2410.0,718.66,sabre,20180815
9741,EY0401-EY0031-EY0032-EY0408,22_14,BKKPAR,2565.0,719.86,sabre,20180815
9742,EY0407-EY0037-EY0032-EY0408,22_14,BKKPAR,2640.0,719.86,sabre,20180815
9743,EY0405-EY0031-EY0032-EY0408,22_14,BKKPAR,2705.0,719.86,sabre,20180815
9744,EY0401-EY0037-EY0032-EY0408,22_14,BKKPAR,2965.0,719.86,sabre,20180815
9745,EY0407-EY0031-EY0032-EY0406,22_14,BKKPAR,3125.0,719.86,sabre,20180815
9746,EY0407-EY0031-EY0032-EY0408,22_14,BKKPAR,3680.0,721.06,sabre,20180815
9747,KL0876-KL1223-KL2012-KL0875,22_14,BKKPAR,2475.0,721.38,sabre,20180815
9748,KL0876-KL1223-KL2008-KL0875,22_14,BKKPAR,2520.0,721.38,sabre,20180815
9749,GF0153-GF0019-GF0018-GF0152,22_14,BKKPAR,2520.0,728.04,sabre,20180815
9750,GF0153-GF0019-GF0018-GF0150,22_14,BKKPAR,3160.0,728.04,sabre,20180815
9751,KL0876-KL1227-KL1228-KL0875,22_14,BKKPAR,2695.0,729.38,sabre,20180815
9752,KL0876-KL1227-KL1224-KL0875,22_14,BKKPAR,2740.0,729.38,sabre,20180815
9753,CA0806-CA0833-MU0554-MU9833,22_14,BKKPAR,3205.0,730.57,sabre,20180815
9754,CA0806-CA0833-MU8662-MU9855,22_14,BKKPAR,3235.0,730.57,sabre,20180815
9755,CA0806-CA0833-MU0554-MU9855,22_14,BKKPAR,3340.0,730.57,sabre,20180815
9756,CA0806-CA0833-MU8662-MU9853,22_14,BKKPAR,3465.0,730.57,sabre,20180815
9757,WY5557-WY0131-WY0132-WY0815,22_14,BKKPAR,3000.0,730.68,sabre,20180815
9758,WY5557-WY0131-WY0132-WY0817,22_14,BKKPAR,3740.0,730.68,sabre,20180815
9759,WY5557-WY0131-WY0132-WY0811,22_14,BKKPAR,4040.0,730.68,sabre,20180815
9760,KL0876-AF8223-KL2012-KL0875,22_14,BKKPAR,2475.0,732.71,sabre,20180815
9761,KL0876-AF8223-KL2008-KL0875,22_14,BKKPAR,2520.0,732.71,sabre,20180815
9762,9W0067-9W4947-9W0123-9W0062,22_14,BKKPAR,1840.0,737.14,sabre,20180815
9763,9W0069-9W4947-9W0123-9W0062,22_14,BKKPAR,2180.0,737.14,sabre,20180815
9764,9W0067-9W4947-9W0123-9W0070,22_14,BKKPAR,2270.0,737.14,sabre,20180815
9765,9W0067-9W4947-9W0123-9W0060,22_14,BKKPAR,2545.0,737.14,sabre,20180815
9766,9W0069-9W4947-9W0123-9W0070,22_14,BKKPAR,2610.0,737.14,sabre,20180815
9767,9W0069-9W4947-9W0123-9W0060,22_14,BKKPAR,2885.0,737.14,sabre,20180815
9768,VN0602-VN0011-VN2106-VN0601,22_14,BKKPAR,1920.0,740.28,sabre,20180815
9769,VN0602-VN0011-VN2106-VN0605,22_14,BKKPAR,2090.0,740.28,sabre,20180815
9770,VN0602-VN0011-VN0018-VN0615,22_14,BKKPAR,2145.0,740.28,sabre,20180815
9771,VN0604-VN0011-VN2106-VN0601,22_14,BKKPAR,2225.0,740.28,sabre,20180815
9772,VN0602-VN0011-VN0018-VN0613,22_14,BKKPAR,2345.0,740.28,sabre,20180815
9773,VN0604-VN0011-VN2106-VN0605,22_14,BKKPAR,2395.0,740.28,sabre,20180815
9774,VN0602-VN0011-VN2106-VN0603,22_14,BKKPAR,2410.0,740.28,sabre,20180815
9775,VN0604-VN0011-VN0018-VN0615,22_14,BKKPAR,2450.0,740.28,sabre,20180815
9776,VN0604-VN0011-VN0018-VN0613,22_14,BKKPAR,2650.0,740.28,sabre,20180815
9777,VN0604-VN0011-VN2106-VN0603,22_14,BKKPAR,2715.0,740.28,sabre,20180815
9778,SU0271-SU3000-SU0260-SU0270,22_14,BKKPAR,3170.0,744.08,sabre,20180815
9779,KL0876-KL1227-KL1230-KL0875,22_14,BKKPAR,2650.0,744.38,sabre,20180815
9780,EY0401-EY0031-EY0038-EY0408,22_14,BKKPAR,1885.0,750.66,sabre,20180815
9781,EY0407-EY0037-EY0038-EY0408,22_14,BKKPAR,1960.0,750.66,sabre,20180815
9782,EY0405-EY0031-EY0038-EY0408,22_14,BKKPAR,2025.0,750.66,sabre,20180815
9783,EY0401-EY0037-EY0038-EY0408,22_14,BKKPAR,2285.0,750.66,sabre,20180815
9784,EY0405-EY0037-EY0032-EY0406,22_14,BKKPAR,2550.0,750.66,sabre,20180815
9785,EY0407-EY0031-EY0038-EY0408,22_14,BKKPAR,3000.0,751.86,sabre,20180815
9786,EY0405-EY0037-EY0032-EY0408,22_14,BKKPAR,3105.0,751.86,sabre,20180815
9787,CA0806-CA0833-CA0458-CA0471,22_14,BKKPAR,3295.0,755.56,sabre,20180815
9788,CA0806-CA0833-CA0834-CA0805,22_14,BKKPAR,3910.0,755.56,sabre,20180815
9789,SU0271-SU3002-SU3005-SU0270,22_14,BKKPAR,2720.0,756.52,sabre,20180815
9790,SU0271-SU3002-SU3001-SU0270,22_14,BKKPAR,2925.0,756.52,sabre,20180815
9791,EK0373-EK0071-EK0072-EK0374,22_14,BKKPAR,1955.0,757.68,sabre,20180815
9792,EK0373-EK0071-EK0074-EK0384,22_14,BKKPAR,1975.0,757.68,sabre,20180815
9793,EK0373-EK0071-EK0076-EK0372,22_14,BKKPAR,2000.0,757.68,sabre,20180815
9794,KL0876-KL1227-KL2012-KL0875,22_14,BKKPAR,2515.0,760.38,sabre,20180815
9795,KL0876-KL1227-KL2008-KL0875,22_14,BKKPAR,2560.0,760.38,sabre,20180815
9796,VN0602-VN2107-VN2106-VN0601,22_14,BKKPAR,2535.0,771.28,sabre,20180815
9797,VN0602-VN2107-VN2106-VN0605,22_14,BKKPAR,2705.0,771.28,sabre,20180815
9798,VN0602-VN2107-VN0018-VN0615,22_14,BKKPAR,2760.0,771.28,sabre,20180815
9799,VN0602-VN2107-VN0018-VN0613,22_14,BKKPAR,2960.0,771.28,sabre,20180815
