,itinerary,ap_los,ond,travel_time,fare,provider,search_date
5860,AF6263-AF6252,8_2,BODPAR,135.0,255.59,sabre,20180815
5861,AF6263-AF6260,8_2,BODPAR,135.0,255.59,sabre,20180815
5862,AF6259-AF6260,8_2,BODPAR,140.0,255.59,sabre,20180815
5863,AF6259-AF6252,8_2,BODPAR,140.0,255.59,sabre,20180815
5864,AF6263-AF6264,8_2,BODPAR,140.0,255.59,sabre,20180815
5865,AF6259-AF6264,8_2,BODPAR,145.0,255.59,sabre,20180815
5866,AF7625-AF6260,8_2,BODPAR,145.0,255.59,sabre,20180815
5867,AF7625-AF6252,8_2,BODPAR,145.0,255.59,sabre,20180815
5868,AF7627-AF6260,8_2,BODPAR,145.0,255.59,sabre,20180815
5869,AF7627-AF6252,8_2,BODPAR,145.0,255.59,sabre,20180815
5870,AF7629-AF6260,8_2,BODPAR,145.0,255.59,sabre,20180815
5871,AF7629-AF6252,8_2,BODPAR,145.0,255.59,sabre,20180815
5872,AF7633-AF6260,8_2,BODPAR,145.0,255.59,sabre,20180815
5873,AF7633-AF6252,8_2,BODPAR,145.0,255.59,sabre,20180815
5874,AF7625-AF6264,8_2,BODPAR,150.0,255.59,sabre,20180815
5875,AF7627-AF6264,8_2,BODPAR,150.0,255.59,sabre,20180815
5876,AF7629-AF6264,8_2,BODPAR,150.0,255.59,sabre,20180815
5877,AF7633-AF6264,8_2,BODPAR,150.0,255.59,sabre,20180815
5878,AF6273-AF6252,8_2,BODPAR,140.0,262.59,sabre,20180815
5879,AF6273-AF6260,8_2,BODPAR,140.0,262.59,sabre,20180815
5880,AF6255-AF6252,8_2,BODPAR,145.0,262.59,sabre,20180815
5881,AF6255-AF6260,8_2,BODPAR,145.0,262.59,sabre,20180815
5882,AF6269-AF6260,8_2,BODPAR,145.0,262.59,sabre,20180815
5883,AF6269-AF6252,8_2,BODPAR,145.0,262.59,sabre,20180815
5884,AF6273-AF6264,8_2,BODPAR,145.0,262.59,sabre,20180815
5885,AF6255-AF6264,8_2,BODPAR,150.0,262.59,sabre,20180815
5886,AF6269-AF6264,8_2,BODPAR,150.0,262.59,sabre,20180815
5887,AF5372-AF7645-AF6252,8_2,BODPAR,235.0,324.18,sabre,20180815
5888,AF5372-AF7645-AF6260,8_2,BODPAR,235.0,324.18,sabre,20180815
5889,AF5372-AF7645-AF6264,8_2,BODPAR,240.0,324.18,sabre,20180815
5890,AF5372-AF7415-AF6260,8_2,BODPAR,390.0,324.18,sabre,20180815
5891,AF5372-AF7415-AF6252,8_2,BODPAR,390.0,324.18,sabre,20180815
5892,AF5372-AF7415-AF6264,8_2,BODPAR,395.0,324.18,sabre,20180815
5893,AF5372-AF7649-AF6252,8_2,BODPAR,465.0,324.18,sabre,20180815
5894,AF5372-AF7649-AF6260,8_2,BODPAR,465.0,324.18,sabre,20180815
5895,AF5372-AF7649-AF6264,8_2,BODPAR,470.0,324.18,sabre,20180815
5896,AF5372-AF7651-AF6260,8_2,BODPAR,1090.0,329.07,sabre,20180815
5897,AF5372-AF7651-AF6252,8_2,BODPAR,1090.0,329.07,sabre,20180815
5898,AF5372-AF7651-AF6264,8_2,BODPAR,1095.0,329.07,sabre,20180815
5899,AF5372-AF7401-AF6252,8_2,BODPAR,1150.0,329.07,sabre,20180815
5900,AF5372-AF7401-AF6260,8_2,BODPAR,1150.0,329.07,sabre,20180815
5901,AF5372-AF7401-AF6264,8_2,BODPAR,1155.0,329.07,sabre,20180815
5902,AF6263-AF6254,8_2,BODPAR,135.0,340.59,sabre,20180815
5903,AF6259-AF6254,8_2,BODPAR,140.0,340.59,sabre,20180815
5904,AF7625-AF6254,8_2,BODPAR,145.0,340.59,sabre,20180815
5905,AF7627-AF6254,8_2,BODPAR,145.0,340.59,sabre,20180815
5906,AF7629-AF6254,8_2,BODPAR,145.0,340.59,sabre,20180815
5907,AF7633-AF6254,8_2,BODPAR,145.0,340.59,sabre,20180815
5908,AF6273-AF6254,8_2,BODPAR,140.0,348.59,sabre,20180815
5909,AF6255-AF6254,8_2,BODPAR,145.0,348.59,sabre,20180815
5910,AF6269-AF6254,8_2,BODPAR,145.0,348.59,sabre,20180815
5911,KL1312-KL2007-KL1244-KL1297,8_2,BODPAR,1460.0,349.13,sabre,20180815
5912,KL1312-KL2007-KL2022-KL1297,8_2,BODPAR,1495.0,349.13,sabre,20180815
