,itinerary,ap_los,ond,travel_time,fare,provider,search_date
30042,AF1597-AF1596,8_2,CASPAR,365.0,486.58,sabre,20180815
30044,AF1597-AF1896,8_2,CASPAR,365.0,512.58,sabre,20180815
30046,AF1597-AF1496,8_2,CASPAR,370.0,512.58,sabre,20180815
30047,AF1597-AF1196,8_2,CASPAR,370.0,512.58,sabre,20180815
30048,AF1197-AF1596,8_2,CASPAR,365.0,538.58,sabre,20180815
30050,AF1497-AF1596,8_2,CASPAR,370.0,538.58,sabre,20180815
30052,AF1197-AF1896,8_2,CASPAR,365.0,564.58,sabre,20180815
30054,AF1497-AF1896,8_2,CASPAR,370.0,564.58,sabre,20180815
30056,AF1197-AF1496,8_2,CASPAR,370.0,564.58,sabre,20180815
30058,AF1197-AF1196,8_2,CASPAR,370.0,564.58,sabre,20180815
30060,AF1497-AF1496,8_2,CASPAR,375.0,564.58,sabre,20180815
30062,AF1497-AF1196,8_2,CASPAR,375.0,564.58,sabre,20180815
30064,AZ7135-AZ0332-AZ0319-AZ7138,8_2,CASPAR,2265.0,569.34,sabre,20180815
30066,AZ0875-AZ0318-AZ0319-AZ7138,8_2,CASPAR,2890.0,569.34,sabre,20180815
30068,AZ7135-AZ0316-AZ0319-AZ7138,8_2,CASPAR,2920.0,569.34,sabre,20180815
30070,AZ7135-AZ0318-AZ0319-AZ7138,8_2,CASPAR,3050.0,569.34,sabre,20180815
30072,TP1443-TP0436-TP0437-TP1434,8_2,CASPAR,1350.0,571.37,sabre,20180815
30074,TP1443-TP0436-TP0443-TP1434,8_2,CASPAR,1525.0,571.37,sabre,20180815
30076,TP1443-TP0436-TP0447-TP1434,8_2,CASPAR,1605.0,571.37,sabre,20180815
30078,TP1443-TP0436-TP0449-TP1434,8_2,CASPAR,2180.0,571.37,sabre,20180815
30080,TP1443-TP0436-TP0431-TP1434,8_2,CASPAR,2295.0,571.37,sabre,20180815
30082,AZ7145-AZ7428-AZ0319-AZ7138,8_2,CASPAR,3220.0,573.81,sabre,20180815
30084,TP1443-TP0436-TP0441-TP1434,8_2,CASPAR,2435.0,575.39,sabre,20180815
30086,TP1443-TP0436-TP0439-TP1434,8_2,CASPAR,2585.0,575.39,sabre,20180815
30088,TB4449-TB6450,8_2,CASPAR,405.0,584.06,sabre,20180815
30090,AZ0875-AZ0316-AZ0319-AZ7138,8_2,CASPAR,2760.0,609.34,sabre,20180815
30092,AF1897-AF1596,8_2,CASPAR,365.0,646.58,sabre,20180815
30094,AZ0875-AZ0332-AZ0319-AZ7138,8_2,CASPAR,2105.0,650.34,sabre,20180815
30097,TP1443-TP0434-TP0437-TP1434,8_2,CASPAR,1440.0,660.09,sabre,20180815
30099,TP1443-TP0440-TP0437-TP1434,8_2,CASPAR,1555.0,660.09,sabre,20180815
30101,TP1443-TP0434-TP0443-TP1434,8_2,CASPAR,1615.0,660.09,sabre,20180815
30103,TP1443-TP0434-TP0447-TP1434,8_2,CASPAR,1695.0,660.09,sabre,20180815
30105,TP1443-TP0440-TP0443-TP1434,8_2,CASPAR,1730.0,660.09,sabre,20180815
30107,TP1443-TP0440-TP0447-TP1434,8_2,CASPAR,1810.0,660.09,sabre,20180815
30109,TP1443-TP0434-TP0449-TP1434,8_2,CASPAR,2270.0,660.09,sabre,20180815
30111,TP1443-TP0440-TP0449-TP1434,8_2,CASPAR,2385.0,660.09,sabre,20180815
30113,TP1443-TP0434-TP0431-TP1434,8_2,CASPAR,2385.0,660.09,sabre,20180815
30115,TP1443-TP0440-TP0431-TP1434,8_2,CASPAR,2500.0,660.09,sabre,20180815
30117,TP1443-TP0442-TP0437-TP1434,8_2,CASPAR,1710.0,662.35,sabre,20180815
30119,TP1443-TP0442-TP0443-TP1434,8_2,CASPAR,1885.0,662.35,sabre,20180815
30120,TP1443-TP0438-TP0437-TP1434,8_2,CASPAR,1960.0,662.35,sabre,20180815
30122,TP1443-TP0442-TP0447-TP1434,8_2,CASPAR,1965.0,662.35,sabre,20180815
30124,TP1443-TP0448-TP0437-TP1434,8_2,CASPAR,2050.0,662.35,sabre,20180815
30126,TP1443-TP0438-TP0443-TP1434,8_2,CASPAR,2135.0,662.35,sabre,20180815
30128,TP1443-TP0438-TP0447-TP1434,8_2,CASPAR,2215.0,662.35,sabre,20180815
30130,TP1443-TP0448-TP0443-TP1434,8_2,CASPAR,2225.0,662.35,sabre,20180815
30132,TP1443-TP0448-TP0447-TP1434,8_2,CASPAR,2305.0,662.35,sabre,20180815
30134,TP1443-TP0442-TP0449-TP1434,8_2,CASPAR,2540.0,662.35,sabre,20180815
30136,TP1443-TP0442-TP0431-TP1434,8_2,CASPAR,2655.0,662.35,sabre,20180815
30138,TP1443-TP0438-TP0449-TP1434,8_2,CASPAR,2790.0,662.35,sabre,20180815
30140,TP1443-TP0448-TP0449-TP1434,8_2,CASPAR,2880.0,662.35,sabre,20180815
30142,TP1443-TP0438-TP0431-TP1434,8_2,CASPAR,2905.0,662.35,sabre,20180815
30144,TP1443-TP0434-TP0441-TP1434,8_2,CASPAR,2525.0,664.11,sabre,20180815
30146,TP1443-TP0440-TP0441-TP1434,8_2,CASPAR,2640.0,664.11,sabre,20180815
30148,TP1443-TP0434-TP0439-TP1434,8_2,CASPAR,2675.0,664.11,sabre,20180815
30150,TP1443-TP0440-TP0439-TP1434,8_2,CASPAR,2790.0,664.11,sabre,20180815
30152,AZ7135-AZ0332-AZ0317-AZ0874,8_2,CASPAR,1130.0,666.34,sabre,20180815
30153,AZ0875-AZ0318-AZ0317-AZ0874,8_2,CASPAR,1755.0,666.34,sabre,20180815
30155,AZ7135-AZ0316-AZ0317-AZ0874,8_2,CASPAR,1785.0,666.34,sabre,20180815
30157,AZ7135-AZ0332-AZ0325-AZ7138,8_2,CASPAR,1835.0,666.34,sabre,20180815
30158,AZ7135-AZ0332-AZ0325-AZ0874,8_2,CASPAR,1855.0,666.34,sabre,20180815
30159,AZ7135-AZ0318-AZ0317-AZ0874,8_2,CASPAR,1915.0,666.34,sabre,20180815
30160,AZ7135-AZ0332-AZ0325-AZ7136,8_2,CASPAR,2190.0,666.34,sabre,20180815
30161,AZ0875-AZ0318-AZ0325-AZ7138,8_2,CASPAR,2460.0,666.34,sabre,20180815
30162,AZ0875-AZ0318-AZ0325-AZ0874,8_2,CASPAR,2480.0,666.34,sabre,20180815
30163,AZ7135-AZ0316-AZ0325-AZ7138,8_2,CASPAR,2490.0,666.34,sabre,20180815
30164,AZ7135-AZ0316-AZ0325-AZ0874,8_2,CASPAR,2510.0,666.34,sabre,20180815
30165,AZ7135-AZ0318-AZ0325-AZ7138,8_2,CASPAR,2620.0,666.34,sabre,20180815
30166,AZ7135-AZ0318-AZ0325-AZ0874,8_2,CASPAR,2640.0,666.34,sabre,20180815
30167,AZ0875-AZ0318-AZ0325-AZ7136,8_2,CASPAR,2815.0,666.34,sabre,20180815
30168,TP1443-TP0442-TP0441-TP1434,8_2,CASPAR,2795.0,666.37,sabre,20180815
30169,TP1443-TP0442-TP0439-TP1434,8_2,CASPAR,2945.0,666.37,sabre,20180815
30170,AZ7145-AZ7428-AZ0325-AZ7138,8_2,CASPAR,2790.0,670.81,sabre,20180815
30171,AZ7145-AZ7428-AZ0325-AZ0874,8_2,CASPAR,2810.0,670.81,sabre,20180815
30172,AZ7145-AZ7428-AZ0325-AZ7136,8_2,CASPAR,3145.0,670.81,sabre,20180815
30173,AF1897-AF1896,8_2,CASPAR,365.0,672.58,sabre,20180815
30174,AF1897-AF1196,8_2,CASPAR,370.0,672.58,sabre,20180815
30175,AF1897-AF1496,8_2,CASPAR,370.0,672.58,sabre,20180815
30176,AZ7145-AZ7428-AZ0317-AZ0874,8_2,CASPAR,2085.0,677.55,sabre,20180815
30177,AZ0875-AZ0316-AZ0317-AZ0874,8_2,CASPAR,1625.0,706.34,sabre,20180815
30178,AT0427-AT0662-AT0667-AT0471,8_2,CASPAR,1610.0,710.07,sabre,20180815
30179,AT0427-AT0662-AT0651-AT0457,8_2,CASPAR,910.0,722.07,sabre,20180815
30180,AT0427-AT0662-AT0643-AT0404,8_2,CASPAR,1075.0,726.07,sabre,20180815
30181,AT0760-AT0667-AT0471,8_2,CASPAR,1155.0,726.17,sabre,20180815
30182,AT0764-AT0667-AT0471,8_2,CASPAR,1155.0,726.17,sabre,20180815
30183,AT0774-AT0667-AT0471,8_2,CASPAR,1160.0,726.17,sabre,20180815
30184,AT0770-AT0667-AT0471,8_2,CASPAR,1160.0,726.17,sabre,20180815
30185,AT0766-AT0667-AT0471,8_2,CASPAR,1160.0,726.17,sabre,20180815
30186,AT0776-AT0667-AT0471,8_2,CASPAR,1160.0,726.17,sabre,20180815
30187,AT0786-AT0667-AT0471,8_2,CASPAR,1170.0,726.17,sabre,20180815
30188,AT0778-AT0667-AT0471,8_2,CASPAR,1170.0,726.17,sabre,20180815
30189,AT0788-AT0667-AT0471,8_2,CASPAR,1170.0,726.17,sabre,20180815
