,itinerary,ap_los,ond,travel_time,fare,provider,search_date
23774,UL0127-9W0128-9W0123-9W0256,22_14,CMBPAR,2135.0,623.84,sabre,20180815
23776,UL0127-9W0128-9W4948-9W0256,22_14,CMBPAR,2140.0,623.84,sabre,20180815
23778,UL0125-9W0128-9W0123-9W0256,22_14,CMBPAR,2895.0,623.84,sabre,20180815
23780,UL0125-9W0128-9W4948-9W0256,22_14,CMBPAR,2900.0,623.84,sabre,20180815
23782,UL0127-9W0128-9W0123-9W0252,22_14,CMBPAR,3060.0,623.84,sabre,20180815
23784,UL0127-9W0128-9W4948-9W0252,22_14,CMBPAR,3065.0,623.84,sabre,20180815
23786,UL0125-9W0128-9W0123-9W0252,22_14,CMBPAR,3820.0,623.84,sabre,20180815
23788,UL0125-9W0128-9W4948-9W0252,22_14,CMBPAR,3825.0,623.84,sabre,20180815
23790,9W0255-9W4947-9W0123-9W0256,22_14,CMBPAR,2605.0,653.62,sabre,20180815
23792,9W0255-9W4947-9W4948-9W0256,22_14,CMBPAR,2610.0,653.62,sabre,20180815
23794,9W0255-9W4947-9W0123-9W0252,22_14,CMBPAR,3530.0,653.62,sabre,20180815
23796,9W0255-9W4947-9W4948-9W0252,22_14,CMBPAR,3535.0,653.62,sabre,20180815
23798,AZ5607-AZ7045-AZ0318-AZ0317-AZ7044-AZ5746,22_14,CMBPAR,2325.0,735.46,sabre,20180815
23800,AZ5607-AZ7045-AZ0318-AZ0317-AZ7044-AZ5606,22_14,CMBPAR,2420.0,735.46,sabre,20180815
23802,AZ5607-AZ7039-AZ0324-AZ0317-AZ7044-AZ5746,22_14,CMBPAR,2625.0,735.46,sabre,20180815
23804,AZ5607-AZ7045-AZ0324-AZ0317-AZ7044-AZ5746,22_14,CMBPAR,2625.0,735.46,sabre,20180815
23806,AZ5607-AZ7039-AZ0324-AZ0317-AZ7044-AZ5606,22_14,CMBPAR,2720.0,735.46,sabre,20180815
23808,AZ5607-AZ7045-AZ0324-AZ0317-AZ7044-AZ5606,22_14,CMBPAR,2720.0,735.46,sabre,20180815
23810,AZ5607-AZ7039-AZ0332-AZ0317-AZ7044-AZ5746,22_14,CMBPAR,2980.0,735.46,sabre,20180815
