,itinerary,ap_los,ond,travel_time,fare,provider,search_date
42587,TP1484-TP0434-TP0441-TP1485,8_2,DKRPAR,1065.0,936.82,sabre,20180815
42588,TP1484-TP0440-TP0441-TP1485,8_2,DKRPAR,1180.0,936.82,sabre,20180815
42589,TP1484-TP0434-TP0439-TP1485,8_2,DKRPAR,1215.0,936.82,sabre,20180815
42590,TP1484-TP0440-TP0439-TP1485,8_2,DKRPAR,1330.0,936.82,sabre,20180815
42591,TP1484-TP0434-TP0433-TP1485,8_2,DKRPAR,1330.0,936.82,sabre,20180815
42592,TP1484-TP0434-TP0437-TP1485,8_2,DKRPAR,1420.0,936.82,sabre,20180815
42593,TP1484-TP0440-TP0433-TP1485,8_2,DKRPAR,1445.0,936.82,sabre,20180815
42594,TP1484-TP0432-TP0441-TP1485,8_2,DKRPAR,1475.0,936.82,sabre,20180815
42595,TP1484-TP0440-TP0437-TP1485,8_2,DKRPAR,1535.0,936.82,sabre,20180815
42596,TP1484-TP0434-TP0449-TP1487,8_2,DKRPAR,1575.0,936.82,sabre,20180815
42597,TP1484-TP0434-TP0443-TP1485,8_2,DKRPAR,1595.0,936.82,sabre,20180815
42598,TP1484-TP0432-TP0439-TP1485,8_2,DKRPAR,1625.0,936.82,sabre,20180815
42599,TP1484-TP0434-TP0447-TP1485,8_2,DKRPAR,1675.0,936.82,sabre,20180815
42600,TP1484-TP0448-TP0441-TP1485,8_2,DKRPAR,1675.0,936.82,sabre,20180815
42601,TP1484-TP0440-TP0449-TP1487,8_2,DKRPAR,1690.0,936.82,sabre,20180815
42602,TP1484-TP0434-TP0431-TP1487,8_2,DKRPAR,1690.0,936.82,sabre,20180815
42603,TP1484-TP0440-TP0443-TP1485,8_2,DKRPAR,1710.0,936.82,sabre,20180815
42604,TP1484-TP0432-TP0433-TP1485,8_2,DKRPAR,1740.0,936.82,sabre,20180815
42605,TP1484-TP0440-TP0447-TP1485,8_2,DKRPAR,1790.0,936.82,sabre,20180815
42606,TP1484-TP0440-TP0431-TP1487,8_2,DKRPAR,1805.0,936.82,sabre,20180815
42607,TP1484-TP0448-TP0439-TP1485,8_2,DKRPAR,1825.0,936.82,sabre,20180815
42608,TP1484-TP0432-TP0437-TP1485,8_2,DKRPAR,1830.0,936.82,sabre,20180815
42609,TP1484-TP0434-TP0441-TP1487,8_2,DKRPAR,1830.0,936.82,sabre,20180815
42610,TP1484-TP0448-TP0433-TP1485,8_2,DKRPAR,1940.0,936.82,sabre,20180815
42611,TP1484-TP0440-TP0441-TP1487,8_2,DKRPAR,1945.0,936.82,sabre,20180815
42612,TP1484-TP0432-TP0449-TP1487,8_2,DKRPAR,1985.0,936.82,sabre,20180815
42613,TP1484-TP0432-TP0443-TP1485,8_2,DKRPAR,2005.0,936.82,sabre,20180815
42614,TP1484-TP0448-TP0437-TP1485,8_2,DKRPAR,2030.0,936.82,sabre,20180815
42615,TP1484-TP0432-TP0447-TP1485,8_2,DKRPAR,2085.0,936.82,sabre,20180815
42616,TP1484-TP0432-TP0431-TP1487,8_2,DKRPAR,2100.0,936.82,sabre,20180815
42617,TP1484-TP0448-TP0449-TP1487,8_2,DKRPAR,2185.0,936.82,sabre,20180815
42618,TP1484-TP0448-TP0443-TP1485,8_2,DKRPAR,2205.0,936.82,sabre,20180815
42619,TP1484-TP0432-TP0441-TP1487,8_2,DKRPAR,2240.0,936.82,sabre,20180815
42620,TP1484-TP0448-TP0447-TP1485,8_2,DKRPAR,2285.0,936.82,sabre,20180815
42621,TP1484-TP0448-TP0431-TP1487,8_2,DKRPAR,2300.0,936.82,sabre,20180815
42622,TP1484-TP0448-TP0441-TP1487,8_2,DKRPAR,2440.0,936.82,sabre,20180815
42623,TP1484-TP0434-TP0439-TP1487,8_2,DKRPAR,1980.0,940.84,sabre,20180815
42624,TP1484-TP0440-TP0439-TP1487,8_2,DKRPAR,2095.0,940.84,sabre,20180815
42625,TP1484-TP0434-TP0433-TP1487,8_2,DKRPAR,2095.0,940.84,sabre,20180815
42626,TP1484-TP0434-TP0437-TP1487,8_2,DKRPAR,2185.0,940.84,sabre,20180815
42627,TP1484-TP0440-TP0433-TP1487,8_2,DKRPAR,2210.0,940.84,sabre,20180815
42628,TP1484-TP0440-TP0437-TP1487,8_2,DKRPAR,2300.0,940.84,sabre,20180815
42629,TP1484-TP0432-TP0439-TP1487,8_2,DKRPAR,2390.0,940.84,sabre,20180815
42630,TP1484-TP0432-TP0433-TP1487,8_2,DKRPAR,2505.0,940.84,sabre,20180815
42631,TP1484-TP0448-TP0439-TP1487,8_2,DKRPAR,2590.0,940.84,sabre,20180815
42632,TP1484-TP0432-TP0437-TP1487,8_2,DKRPAR,2595.0,940.84,sabre,20180815
42633,TP1484-TP0448-TP0433-TP1487,8_2,DKRPAR,2705.0,940.84,sabre,20180815
42634,TP1484-TP0448-TP0437-TP1487,8_2,DKRPAR,2795.0,940.84,sabre,20180815
42635,TP1484-TP0434-TP0457-TP1943-TP1487,8_2,DKRPAR,1635.0,963.52,sabre,20180815
42636,TP1484-TP0434-TP0457-TP1933-TP1487,8_2,DKRPAR,1635.0,963.52,sabre,20180815
42637,TP1484-TP0440-TP0457-TP1933-TP1487,8_2,DKRPAR,1750.0,963.52,sabre,20180815
42638,TP1484-TP0440-TP0457-TP1943-TP1487,8_2,DKRPAR,1750.0,963.52,sabre,20180815
42639,TP1484-TP0432-TP0457-TP1943-TP1487,8_2,DKRPAR,2045.0,963.52,sabre,20180815
42640,TP1484-TP0432-TP0457-TP1933-TP1487,8_2,DKRPAR,2045.0,963.52,sabre,20180815
42641,TP1484-TP0448-TP0457-TP1943-TP1487,8_2,DKRPAR,2245.0,963.52,sabre,20180815
42642,TP1484-TP0448-TP0457-TP1933-TP1487,8_2,DKRPAR,2245.0,963.52,sabre,20180815
42643,TP1484-TP0434-TP0449-TP1485,8_2,DKRPAR,2250.0,964.84,sabre,20180815
42644,TP1484-TP0440-TP0449-TP1485,8_2,DKRPAR,2365.0,964.84,sabre,20180815
42645,TP1484-TP0432-TP0449-TP1485,8_2,DKRPAR,2660.0,964.84,sabre,20180815
42646,TP1484-TP0448-TP0449-TP1485,8_2,DKRPAR,2860.0,964.84,sabre,20180815
42647,AT0502-AT0760-AT0751-AT0503,8_2,DKRPAR,915.0,975.17,sabre,20180815
42648,AT0500-AT0764-AT0751-AT0503,8_2,DKRPAR,920.0,975.17,sabre,20180815
42649,AT0502-AT0778-AT0751-AT0503,8_2,DKRPAR,930.0,975.17,sabre,20180815
42650,AT0502-AT0760-AT0753-AT0503,8_2,DKRPAR,930.0,975.17,sabre,20180815
42651,AT0500-AT0764-AT0753-AT0503,8_2,DKRPAR,935.0,975.17,sabre,20180815
42652,AT0502-AT0778-AT0753-AT0503,8_2,DKRPAR,945.0,975.17,sabre,20180815
42653,AT0500-AT0788-AT0751-AT0503,8_2,DKRPAR,990.0,975.17,sabre,20180815
42654,AT0500-AT0788-AT0753-AT0503,8_2,DKRPAR,1005.0,975.17,sabre,20180815
42655,AT0504-AT0786-AT0751-AT0503,8_2,DKRPAR,1010.0,975.17,sabre,20180815
42656,AT0504-AT0786-AT0753-AT0503,8_2,DKRPAR,1025.0,975.17,sabre,20180815
42657,AT0502-AT0760-AT0771-AT0503,8_2,DKRPAR,1035.0,975.17,sabre,20180815
42658,AT0500-AT0764-AT0771-AT0503,8_2,DKRPAR,1040.0,975.17,sabre,20180815
42659,AT0500-AT0770-AT0751-AT0503,8_2,DKRPAR,1045.0,975.17,sabre,20180815
42660,AT0502-AT0778-AT0771-AT0503,8_2,DKRPAR,1050.0,975.17,sabre,20180815
42661,AT0502-AT0774-AT0751-AT0503,8_2,DKRPAR,1060.0,975.17,sabre,20180815
42662,AT0500-AT0770-AT0753-AT0503,8_2,DKRPAR,1060.0,975.17,sabre,20180815
42663,AT0502-AT0774-AT0753-AT0503,8_2,DKRPAR,1075.0,975.17,sabre,20180815
42664,AT0500-AT0788-AT0771-AT0503,8_2,DKRPAR,1110.0,975.17,sabre,20180815
42665,AT0504-AT0786-AT0771-AT0503,8_2,DKRPAR,1130.0,975.17,sabre,20180815
42666,AT0500-AT0766-AT0751-AT0503,8_2,DKRPAR,1145.0,975.17,sabre,20180815
42667,AT0500-AT0766-AT0753-AT0503,8_2,DKRPAR,1160.0,975.17,sabre,20180815
42668,AT0500-AT0770-AT0771-AT0503,8_2,DKRPAR,1165.0,975.17,sabre,20180815
42669,AT0502-AT0764-AT0751-AT0503,8_2,DKRPAR,1175.0,975.17,sabre,20180815
42670,AT0502-AT0774-AT0771-AT0503,8_2,DKRPAR,1180.0,975.17,sabre,20180815
42671,AT0502-AT0764-AT0753-AT0503,8_2,DKRPAR,1190.0,975.17,sabre,20180815
42672,AT0502-AT0788-AT0751-AT0503,8_2,DKRPAR,1245.0,975.17,sabre,20180815
42673,AT0502-AT0788-AT0753-AT0503,8_2,DKRPAR,1260.0,975.17,sabre,20180815
42674,AT0500-AT0766-AT0771-AT0503,8_2,DKRPAR,1265.0,975.17,sabre,20180815
42675,AT0502-AT0760-AT0775-AT0503,8_2,DKRPAR,1280.0,975.17,sabre,20180815
42676,AT0500-AT0764-AT0775-AT0503,8_2,DKRPAR,1285.0,975.17,sabre,20180815
42677,AT0502-AT0764-AT0771-AT0503,8_2,DKRPAR,1295.0,975.17,sabre,20180815
42678,AT0502-AT0778-AT0775-AT0503,8_2,DKRPAR,1295.0,975.17,sabre,20180815
42679,AT0500-AT0776-AT0751-AT0503,8_2,DKRPAR,1295.0,975.17,sabre,20180815
42680,AT0502-AT0770-AT0751-AT0503,8_2,DKRPAR,1300.0,975.17,sabre,20180815
42681,AT0500-AT0776-AT0753-AT0503,8_2,DKRPAR,1310.0,975.17,sabre,20180815
42682,AT0502-AT0770-AT0753-AT0503,8_2,DKRPAR,1315.0,975.17,sabre,20180815
42683,AT0504-AT0760-AT0751-AT0503,8_2,DKRPAR,1340.0,975.17,sabre,20180815
42684,AT0500-AT0788-AT0775-AT0503,8_2,DKRPAR,1355.0,975.17,sabre,20180815
42685,AT0504-AT0760-AT0753-AT0503,8_2,DKRPAR,1355.0,975.17,sabre,20180815
42686,AT0502-AT0788-AT0771-AT0503,8_2,DKRPAR,1365.0,975.17,sabre,20180815
42687,AT0504-AT0786-AT0775-AT0503,8_2,DKRPAR,1375.0,975.17,sabre,20180815
42688,AT0502-AT0766-AT0751-AT0503,8_2,DKRPAR,1400.0,975.17,sabre,20180815
42689,AT0500-AT0770-AT0775-AT0503,8_2,DKRPAR,1410.0,975.17,sabre,20180815
42690,AT0502-AT0766-AT0753-AT0503,8_2,DKRPAR,1415.0,975.17,sabre,20180815
42691,AT0500-AT0776-AT0771-AT0503,8_2,DKRPAR,1415.0,975.17,sabre,20180815
42692,AT0502-AT0760-AT0761-AT0503,8_2,DKRPAR,1420.0,975.17,sabre,20180815
42693,AT0502-AT0770-AT0771-AT0503,8_2,DKRPAR,1420.0,975.17,sabre,20180815
42694,AT0502-AT0774-AT0775-AT0503,8_2,DKRPAR,1425.0,975.17,sabre,20180815
42695,AT0500-AT0764-AT0761-AT0503,8_2,DKRPAR,1425.0,975.17,sabre,20180815
42696,AT0502-AT0778-AT0761-AT0503,8_2,DKRPAR,1435.0,975.17,sabre,20180815
42697,AT0504-AT0760-AT0771-AT0503,8_2,DKRPAR,1460.0,975.17,sabre,20180815
42698,AT0500-AT0788-AT0761-AT0503,8_2,DKRPAR,1495.0,975.17,sabre,20180815
42699,AT0500-AT0766-AT0775-AT0503,8_2,DKRPAR,1510.0,975.17,sabre,20180815
42700,AT0502-AT0760-AT0789-AT0503,8_2,DKRPAR,1105.0,977.69,sabre,20180815
42701,AT0500-AT0764-AT0789-AT0503,8_2,DKRPAR,1110.0,977.69,sabre,20180815
42702,AT0502-AT0778-AT0789-AT0503,8_2,DKRPAR,1120.0,977.69,sabre,20180815
42703,AT0500-AT0788-AT0789-AT0503,8_2,DKRPAR,1180.0,977.69,sabre,20180815
42704,AT0504-AT0786-AT0789-AT0503,8_2,DKRPAR,1200.0,977.69,sabre,20180815
42705,AT0500-AT0770-AT0789-AT0503,8_2,DKRPAR,1235.0,977.69,sabre,20180815
42706,AT0502-AT0774-AT0789-AT0503,8_2,DKRPAR,1250.0,977.69,sabre,20180815
42707,AT0500-AT0766-AT0789-AT0503,8_2,DKRPAR,1335.0,977.69,sabre,20180815
42708,AT0502-AT0764-AT0789-AT0503,8_2,DKRPAR,1365.0,977.69,sabre,20180815
42709,AT0502-AT0760-AT0779-AT0503,8_2,DKRPAR,1420.0,977.69,sabre,20180815
42710,AT0500-AT0764-AT0779-AT0503,8_2,DKRPAR,1425.0,977.69,sabre,20180815
42711,AT0502-AT0778-AT0779-AT0503,8_2,DKRPAR,1435.0,977.69,sabre,20180815
42712,AT0502-AT0788-AT0789-AT0503,8_2,DKRPAR,1435.0,977.69,sabre,20180815
42713,AT0500-AT0776-AT0789-AT0503,8_2,DKRPAR,1485.0,977.69,sabre,20180815
42714,AT0502-AT0770-AT0789-AT0503,8_2,DKRPAR,1490.0,977.69,sabre,20180815
42715,AT0500-AT0788-AT0779-AT0503,8_2,DKRPAR,1495.0,977.69,sabre,20180815
42716,TP1484-TP0434-TP0457-TP1931-TP1485,8_2,DKRPAR,2310.0,987.52,sabre,20180815
42717,TP1484-TP0440-TP0457-TP1931-TP1485,8_2,DKRPAR,2425.0,987.52,sabre,20180815
42718,TP1484-TP0432-TP0457-TP1931-TP1485,8_2,DKRPAR,2720.0,987.52,sabre,20180815
42719,TP1484-TP0448-TP0457-TP1931-TP1485,8_2,DKRPAR,2920.0,987.52,sabre,20180815
42720,AT0502-AT0760-AT0765-AT0503,8_2,DKRPAR,1155.0,1051.17,sabre,20180815
42721,AT0500-AT0764-AT0765-AT0503,8_2,DKRPAR,1160.0,1051.17,sabre,20180815
42722,AT0502-AT0778-AT0765-AT0503,8_2,DKRPAR,1170.0,1051.17,sabre,20180815
42723,AT0500-AT0788-AT0765-AT0503,8_2,DKRPAR,1230.0,1051.17,sabre,20180815
42724,IB3329-IB3402-IB5271-IB5758,8_2,DKRPAR,1070.0,1084.27,sabre,20180815
42725,IB3329-IB3436-IB5271-IB5758,8_2,DKRPAR,1155.0,1084.27,sabre,20180815
42726,AT0502-AT0760-AT0771-AT0501,8_2,DKRPAR,905.0,1086.17,sabre,20180815
42727,AT0500-AT0764-AT0771-AT0501,8_2,DKRPAR,910.0,1086.17,sabre,20180815
42728,AT0502-AT0778-AT0771-AT0501,8_2,DKRPAR,920.0,1086.17,sabre,20180815
42729,AT0500-AT0788-AT0771-AT0501,8_2,DKRPAR,980.0,1086.17,sabre,20180815
42730,AT0504-AT0786-AT0771-AT0501,8_2,DKRPAR,1000.0,1086.17,sabre,20180815
42731,AT0502-AT0760-AT0765-AT0501,8_2,DKRPAR,1025.0,1086.17,sabre,20180815
42732,AT0500-AT0764-AT0765-AT0501,8_2,DKRPAR,1030.0,1086.17,sabre,20180815
42733,AT0500-AT0770-AT0771-AT0501,8_2,DKRPAR,1035.0,1086.17,sabre,20180815
42734,AT0502-AT0778-AT0765-AT0501,8_2,DKRPAR,1040.0,1086.17,sabre,20180815
42735,AT0502-AT0774-AT0771-AT0501,8_2,DKRPAR,1050.0,1086.17,sabre,20180815
42736,AT0500-AT0788-AT0765-AT0501,8_2,DKRPAR,1100.0,1086.17,sabre,20180815
42737,AT0504-AT0786-AT0765-AT0501,8_2,DKRPAR,1120.0,1086.17,sabre,20180815
42738,AT0502-AT0760-AT0775-AT0501,8_2,DKRPAR,1150.0,1086.17,sabre,20180815
42739,AT0500-AT0764-AT0775-AT0501,8_2,DKRPAR,1155.0,1086.17,sabre,20180815
42740,AT0500-AT0770-AT0765-AT0501,8_2,DKRPAR,1155.0,1086.17,sabre,20180815
42741,AT0502-AT0778-AT0775-AT0501,8_2,DKRPAR,1165.0,1086.17,sabre,20180815
42742,AT0502-AT0774-AT0765-AT0501,8_2,DKRPAR,1170.0,1086.17,sabre,20180815
42743,AT0502-AT0760-AT0789-AT0501,8_2,DKRPAR,975.0,1088.69,sabre,20180815
42744,AT0500-AT0764-AT0789-AT0501,8_2,DKRPAR,980.0,1088.69,sabre,20180815
42745,AT0502-AT0778-AT0789-AT0501,8_2,DKRPAR,990.0,1088.69,sabre,20180815
42746,AT0500-AT0788-AT0789-AT0501,8_2,DKRPAR,1050.0,1088.69,sabre,20180815
42747,AT0504-AT0786-AT0789-AT0501,8_2,DKRPAR,1070.0,1088.69,sabre,20180815
42748,AT0500-AT0770-AT0789-AT0501,8_2,DKRPAR,1105.0,1088.69,sabre,20180815
42749,AT0502-AT0774-AT0789-AT0501,8_2,DKRPAR,1120.0,1088.69,sabre,20180815
42750,IB3329-IB3402-IB3435-IB3328,8_2,DKRPAR,1190.0,1122.71,sabre,20180815
42751,IB3329-IB3436-IB3435-IB3328,8_2,DKRPAR,1275.0,1122.71,sabre,20180815
42752,IB3329-IB3402-IB3417-IB3328,8_2,DKRPAR,1485.0,1122.71,sabre,20180815
42753,IB3329-IB3436-IB3417-IB3328,8_2,DKRPAR,1570.0,1122.71,sabre,20180815
42754,IB3329-IB3402-IB3405-IB3328,8_2,DKRPAR,1060.0,1188.27,sabre,20180815
42755,IB3329-IB3436-IB3405-IB3328,8_2,DKRPAR,1145.0,1188.27,sabre,20180815
42756,IB3329-IB3402-IB3743-IB3328,8_2,DKRPAR,1440.0,1189.41,sabre,20180815
42757,IB3329-IB3436-IB3743-IB3328,8_2,DKRPAR,1525.0,1189.41,sabre,20180815
42758,IB3329-IB3402-IB5269-IB5758,8_2,DKRPAR,1315.0,1217.27,sabre,20180815
42759,IB3329-IB3436-IB5269-IB5758,8_2,DKRPAR,1400.0,1217.27,sabre,20180815
42760,IB3329-IB3402-IB5293-IB5758,8_2,DKRPAR,1280.0,1218.41,sabre,20180815
42761,IB3329-IB3436-IB5293-IB5758,8_2,DKRPAR,1365.0,1218.41,sabre,20180815
42762,TK0595-TK1823-TK1834-TK0595,8_2,DKRPAR,2520.0,1385.77,sabre,20180815
42763,TK0595-TK1825-TK1834-TK0595,8_2,DKRPAR,2685.0,1385.77,sabre,20180815
42764,TK0595-TK1823-TK1824-TK0595,8_2,DKRPAR,2735.0,1385.77,sabre,20180815
42765,TK0595-TK1833-TK1834-TK0595,8_2,DKRPAR,2770.0,1385.77,sabre,20180815
42766,TK0595-TK1827-TK1834-TK0595,8_2,DKRPAR,2850.0,1385.77,sabre,20180815
42767,TK0595-TK1825-TK1824-TK0595,8_2,DKRPAR,2900.0,1385.77,sabre,20180815
42768,TK0595-TK1823-TK1822-TK0595,8_2,DKRPAR,2920.0,1385.77,sabre,20180815
42769,TK0595-TK1833-TK1824-TK0595,8_2,DKRPAR,2985.0,1385.77,sabre,20180815
