,itinerary,ap_los,ond,travel_time,fare,provider,search_date
27803,TG0432-TG0930-TG0931-TG0431,22_7,DPSPAR,2365.0,1037.08,sabre,20180815
27805,QR0963-QR0037-QR0042-QR0964,22_7,DPSPAR,2985.0,1075.67,sabre,20180815
27807,QR0963-QR0037-QR0038-QR0960,22_7,DPSPAR,3060.0,1075.67,sabre,20180815
27809,QR0963-QR0037-QR0040-QR0960,22_7,DPSPAR,3460.0,1075.67,sabre,20180815
27811,QR0963-QR0037-QR0042-QR0962,22_7,DPSPAR,3545.0,1075.67,sabre,20180815
27813,QR0963-QR0037-QR0038-QR0964,22_7,DPSPAR,3600.0,1075.67,sabre,20180815
27815,QR0963-QR0037-QR0042-QR0960,22_7,DPSPAR,3885.0,1078.83,sabre,20180815
27817,QR0963-QR0037-QR0040-QR0964,22_7,DPSPAR,4000.0,1078.83,sabre,20180815
27819,QR0963-QR0037-QR0038-QR0962,22_7,DPSPAR,4160.0,1078.83,sabre,20180815
27821,QR0963-QR0037-QR0040-QR0962,22_7,DPSPAR,3120.0,1090.67,sabre,20180815
27823,AF8218-AF0257-AF8234-AF8220,22_7,DPSPAR,3735.0,1100.75,sabre,20180815
27825,EY8192-EY0471-EY0037-EY0032-EY0418-EY2741,22_7,DPSPAR,3000.0,1126.2,sabre,20180815
27827,EY7109-EY0475-EY0031-EY0032-EY0418-EY2741,22_7,DPSPAR,3095.0,1126.2,sabre,20180815
27829,EY7109-EY0471-EY0037-EY0032-EY0418-EY2741,22_7,DPSPAR,3495.0,1126.2,sabre,20180815
27830,EY7109-EY0475-EY0037-EY0032-EY0418-EY2741,22_7,DPSPAR,3495.0,1126.2,sabre,20180815
27832,KL0836-KL2009-AF8234-AF8220,22_7,DPSPAR,2845.0,1132.44,sabre,20180815
27834,KL0836-KL1223-AF8234-AF8220,22_7,DPSPAR,3850.0,1132.44,sabre,20180815
27836,KL0836-KL1227-AF8234-AF8220,22_7,DPSPAR,3895.0,1132.44,sabre,20180815
27838,EY8192-EY0471-EY0037-EY0032-EY0472-EY7110,22_7,DPSPAR,3850.0,1135.21,sabre,20180815
27840,EY7109-EY0475-EY0031-EY0032-EY0472-EY7110,22_7,DPSPAR,3945.0,1135.21,sabre,20180815
27842,EY7109-EY0471-EY0037-EY0032-EY0472-EY7110,22_7,DPSPAR,4345.0,1135.21,sabre,20180815
27844,KL0836-AF8223-AF8234-AF8220,22_7,DPSPAR,3850.0,1142.95,sabre,20180815
27846,KL0836-AF8227-AF8234-AF8220,22_7,DPSPAR,3895.0,1142.95,sabre,20180815
27848,KL0836-KL2009-AF0256-AF3929,22_7,DPSPAR,3620.0,1145.41,sabre,20180815
27850,KL0836-KL1223-AF0256-AF3929,22_7,DPSPAR,4625.0,1145.41,sabre,20180815
27852,KL0836-KL1227-AF0256-AF3929,22_7,DPSPAR,4670.0,1145.41,sabre,20180815
27854,TK9363-TK0057-TK1825-TK1834-TK0056-TK9368,22_7,DPSPAR,4440.0,1151.87,sabre,20180815
27856,TK9363-TK0057-TK1825-TK1830-TK0056-TK9362,22_7,DPSPAR,4935.0,1151.87,sabre,20180815
27858,KL0836-AF8223-AF0256-AF3929,22_7,DPSPAR,4625.0,1155.92,sabre,20180815
27860,AF8218-AF0257-AF0256-AF3929,22_7,DPSPAR,4510.0,1159.72,sabre,20180815
27861,AF8218-AF1641-AF8234-AF8220,22_7,DPSPAR,2845.0,1165.44,sabre,20180815
27862,EY8192-EY0471-EY0037-EY0032-EY0474-EY7110,22_7,DPSPAR,3850.0,1166.01,sabre,20180815
27863,EY7109-EY0475-EY0031-EY0032-EY0474-EY7110,22_7,DPSPAR,3945.0,1166.01,sabre,20180815
27864,EY7109-EY0471-EY0037-EY0032-EY0474-EY7110,22_7,DPSPAR,4345.0,1166.01,sabre,20180815
27865,AF8218-AF1641-AF0256-AF3929,22_7,DPSPAR,3620.0,1178.41,sabre,20180815
27866,AF8218-AF8223-AF0256-AF3929,22_7,DPSPAR,4625.0,1178.41,sabre,20180815
27867,AF8218-AF8227-AF0256-AF3929,22_7,DPSPAR,4670.0,1178.41,sabre,20180815
27868,KL0836-KL2007-AF0256-AF3929,22_7,DPSPAR,3425.0,1180.41,sabre,20180815
27869,KL0836-KL1233-AF0256-AF3929,22_7,DPSPAR,3530.0,1180.41,sabre,20180815
27870,KL0836-KL2013-AF0256-AF3929,22_7,DPSPAR,3665.0,1180.41,sabre,20180815
27871,KL0836-KL1245-AF0256-AF3929,22_7,DPSPAR,3855.0,1180.41,sabre,20180815
27872,AF8218-AF1341-AF0256-AF3929,22_7,DPSPAR,3425.0,1185.41,sabre,20180815
27873,AF8218-AF8233-AF0256-AF3929,22_7,DPSPAR,3530.0,1185.41,sabre,20180815
27874,AF8218-AF1741-AF0256-AF3929,22_7,DPSPAR,3665.0,1185.41,sabre,20180815
27875,AF8218-AF1341-AF8234-AF8220,22_7,DPSPAR,2650.0,1189.44,sabre,20180815
27876,AF8218-AF8233-AF8234-AF8220,22_7,DPSPAR,2755.0,1189.44,sabre,20180815
27877,AF8218-AF1741-AF8234-AF8220,22_7,DPSPAR,2890.0,1189.44,sabre,20180815
27878,AF8218-AF8241-AF8234-AF8220,22_7,DPSPAR,3080.0,1189.44,sabre,20180815
27879,KL0836-AF8227-AF0256-AF3929,22_7,DPSPAR,4670.0,1190.92,sabre,20180815
27880,MU5030-MU8663-MU0570-MU5029,22_7,DPSPAR,2530.0,1195.0,sabre,20180815
27881,MU5030-MU8663-MU0554-MU5029,22_7,DPSPAR,3005.0,1195.0,sabre,20180815
27882,MU5030-MU8663-MU8668-MU0781,22_7,DPSPAR,2995.0,1204.0,sabre,20180815
27883,AF8218-AF8239-AF8234-AF8220,22_7,DPSPAR,3000.0,1212.44,sabre,20180815
27884,AF8218-AF1141-AF8234-AF8220,22_7,DPSPAR,3135.0,1212.44,sabre,20180815
27885,QR0965-QR0037-QR0042-QR0964,22_7,DPSPAR,2105.0,1224.51,sabre,20180815
27886,QR0963-QR0041-QR0042-QR0964,22_7,DPSPAR,2125.0,1224.51,sabre,20180815
27887,QR0965-QR0037-QR0038-QR0960,22_7,DPSPAR,2180.0,1224.51,sabre,20180815
27888,QR0963-QR0041-QR0038-QR0960,22_7,DPSPAR,2200.0,1224.51,sabre,20180815
27889,QR0965-QR0037-QR0040-QR0960,22_7,DPSPAR,2580.0,1224.51,sabre,20180815
27890,QR0963-QR0041-QR0040-QR0960,22_7,DPSPAR,2600.0,1224.51,sabre,20180815
27891,QR0965-QR0037-QR0042-QR0962,22_7,DPSPAR,2665.0,1224.51,sabre,20180815
27892,QR0965-QR0041-QR0042-QR0964,22_7,DPSPAR,2685.0,1224.51,sabre,20180815
27893,QR0963-QR0041-QR0042-QR0962,22_7,DPSPAR,2685.0,1224.51,sabre,20180815
27894,QR0965-QR0037-QR0038-QR0964,22_7,DPSPAR,2720.0,1224.51,sabre,20180815
27895,QR0963-QR0041-QR0038-QR0964,22_7,DPSPAR,2740.0,1224.51,sabre,20180815
27896,QR0965-QR0041-QR0038-QR0960,22_7,DPSPAR,2760.0,1224.51,sabre,20180815
27897,QR0965-QR0041-QR0040-QR0960,22_7,DPSPAR,3160.0,1224.51,sabre,20180815
27898,QR0965-QR0041-QR0042-QR0962,22_7,DPSPAR,3245.0,1224.51,sabre,20180815
27899,QR0965-QR0041-QR0038-QR0964,22_7,DPSPAR,3300.0,1224.51,sabre,20180815
27900,TK9361-TK0057-TK1823-TK1828-TK0056-TK9368,22_7,DPSPAR,3540.0,1225.87,sabre,20180815
27901,TK9361-TK0057-TK1823-TK1834-TK0056-TK9362,22_7,DPSPAR,3565.0,1225.87,sabre,20180815
27902,TK9371-TK0057-TK1823-TK1828-TK0056-TK9368,22_7,DPSPAR,3570.0,1225.87,sabre,20180815
27903,TK9371-TK0057-TK1823-TK1834-TK0056-TK9362,22_7,DPSPAR,3595.0,1225.87,sabre,20180815
27904,TK9361-TK0057-TK1823-TK1826-TK0056-TK9362,22_7,DPSPAR,3645.0,1225.87,sabre,20180815
27905,TK9361-TK0057-TK1823-TK1834-TK0056-TK9368,22_7,DPSPAR,3655.0,1225.87,sabre,20180815
27906,TK9371-TK0057-TK1823-TK1826-TK0056-TK9362,22_7,DPSPAR,3675.0,1225.87,sabre,20180815
27907,TK9371-TK0057-TK1823-TK1834-TK0056-TK9368,22_7,DPSPAR,3685.0,1225.87,sabre,20180815
27908,TK9369-TK0057-TK1823-TK1834-TK0056-TK9362,22_7,DPSPAR,3765.0,1225.87,sabre,20180815
