,itinerary,ap_los,ond,travel_time,fare,provider,search_date
31008,SU0521-SU6637-SU0260-SU0524,3_2,DXBPAR,2145.0,896.51,sabre,20180815
31010,SU0521-SU6637-SU2461-SU0520,3_2,DXBPAR,2240.0,896.51,sabre,20180815
31012,SU0521-SU6637-SU2463-SU0520,3_2,DXBPAR,2700.0,896.51,sabre,20180815
31014,SU0521-SU6637-SU2461-SU0524,3_2,DXBPAR,2875.0,896.51,sabre,20180815
31016,SU0521-SU6637-SU0260-SU0520,3_2,DXBPAR,2950.0,896.51,sabre,20180815
31018,SU0521-SU6637-SU2463-SU0524,3_2,DXBPAR,3335.0,896.51,sabre,20180815
31020,SU0521-SU6637-SU3007-SU0520,3_2,DXBPAR,2410.0,900.95,sabre,20180815
31022,SU0521-SU6637-SU3003-SU0520,3_2,DXBPAR,2480.0,900.95,sabre,20180815
31024,SU0521-SU6637-SU3007-SU0524,3_2,DXBPAR,3045.0,900.95,sabre,20180815
31026,SU0521-SU6637-SU3003-SU0524,3_2,DXBPAR,3115.0,900.95,sabre,20180815
31028,SU0521-SU2458-SU0260-SU0524,3_2,DXBPAR,2325.0,901.44,sabre,20180815
31030,SU0521-SU2458-SU2461-SU0520,3_2,DXBPAR,2420.0,901.44,sabre,20180815
31032,SU0521-SU2458-SU2463-SU0520,3_2,DXBPAR,2880.0,901.44,sabre,20180815
31034,SU0521-SU2458-SU2461-SU0524,3_2,DXBPAR,3055.0,901.44,sabre,20180815
31036,SU0521-SU2458-SU0260-SU0520,3_2,DXBPAR,3130.0,901.44,sabre,20180815
31038,SU0521-SU2458-SU2463-SU0524,3_2,DXBPAR,3515.0,901.44,sabre,20180815
31039,SU0521-SU2458-SU3007-SU0520,3_2,DXBPAR,2590.0,905.88,sabre,20180815
31041,SU0521-SU2458-SU3003-SU0520,3_2,DXBPAR,2660.0,905.88,sabre,20180815
31043,SU0521-SU2458-SU3007-SU0524,3_2,DXBPAR,3225.0,905.88,sabre,20180815
31045,SU0521-SU2458-SU3003-SU0524,3_2,DXBPAR,3295.0,905.88,sabre,20180815
31047,GF0513-GF0019-GF0018-GF0512,3_2,DXBPAR,1160.0,975.96,sabre,20180815
31049,GF0511-GF0019-GF0018-GF0512,3_2,DXBPAR,1315.0,975.96,sabre,20180815
31051,GF0515-GF0019-GF0018-GF0512,3_2,DXBPAR,1355.0,975.96,sabre,20180815
