,itinerary,ap_los,ond,travel_time,fare,provider,search_date
12246,SE1449-SE1448,15_7,FDFPAR,1055.0,726.7,sabre,20180815
12247,SE1449-SS0924,15_7,FDFPAR,1040.0,761.56,sabre,20180815
12248,TX5925-TX0510,15_7,FDFPAR,1005.0,780.56,sabre,20180815
12249,TX5925-TX0514,15_7,FDFPAR,1010.0,780.56,sabre,20180815
12250,TX0515-TX0510,15_7,FDFPAR,1025.0,780.56,sabre,20180815
12251,TX0515-TX0514,15_7,FDFPAR,1030.0,780.56,sabre,20180815
12252,SS0925-SE1448,15_7,FDFPAR,1025.0,790.7,sabre,20180815
12253,TX0310-TX0545-TX0510,15_7,FDFPAR,1210.0,795.62,sabre,20180815
12254,TX0310-TX0545-TX0514,15_7,FDFPAR,1215.0,795.62,sabre,20180815
12255,TX0306-TX0545-TX0510,15_7,FDFPAR,1350.0,795.62,sabre,20180815
12256,TX0306-TX0545-TX0514,15_7,FDFPAR,1355.0,795.62,sabre,20180815
12257,TX0421-TX0545-TX0510,15_7,FDFPAR,1465.0,799.91,sabre,20180815
12258,TX0421-TX0545-TX0514,15_7,FDFPAR,1470.0,799.91,sabre,20180815
12259,TX0302-TX0545-TX0510,15_7,FDFPAR,1630.0,799.91,sabre,20180815
12260,TX0302-TX0545-TX0514,15_7,FDFPAR,1635.0,799.91,sabre,20180815
12261,TX0300-TX0545-TX0510,15_7,FDFPAR,1705.0,799.91,sabre,20180815
12262,TX0300-TX0545-TX0514,15_7,FDFPAR,1710.0,799.91,sabre,20180815
12263,AF0847-AF0842,15_7,FDFPAR,1000.0,802.56,sabre,20180815
12264,AF0847-AF0792-AF4587,15_7,FDFPAR,1155.0,818.76,sabre,20180815
12265,AF0847-AF0792-AF4561,15_7,FDFPAR,1260.0,818.76,sabre,20180815
12266,AF0847-AF0792-AF4563,15_7,FDFPAR,1320.0,818.76,sabre,20180815
12267,SS0925-SS0924,15_7,FDFPAR,1010.0,819.56,sabre,20180815
