,itinerary,ap_los,ond,travel_time,fare,provider,search_date
53545,AF1443-AF1342,22_14,GVAPAR,140.0,134.5,sabre,20180815
53546,AF1443-AF1242,22_14,GVAPAR,140.0,134.5,sabre,20180815
53547,AF1443-AF1142,22_14,GVAPAR,140.0,134.5,sabre,20180815
53548,KL1934-KL1223-AF1242,22_14,GVAPAR,835.0,140.19,sabre,20180815
53549,KL1934-KL1223-AF1142,22_14,GVAPAR,835.0,140.19,sabre,20180815
53550,KL1934-KL1223-AF1342,22_14,GVAPAR,835.0,140.19,sabre,20180815
53551,KL1934-KL1227-AF1142,22_14,GVAPAR,875.0,140.19,sabre,20180815
53552,KL1934-KL1227-AF1342,22_14,GVAPAR,875.0,140.19,sabre,20180815
53553,KL1934-KL1227-AF1242,22_14,GVAPAR,875.0,140.19,sabre,20180815
53554,KL1930-KL1223-AF1342,22_14,GVAPAR,1140.0,140.19,sabre,20180815
53555,KL1930-KL1223-AF1142,22_14,GVAPAR,1140.0,140.19,sabre,20180815
53556,KL1930-KL1223-AF1242,22_14,GVAPAR,1140.0,140.19,sabre,20180815
53557,KL1930-KL1227-AF1342,22_14,GVAPAR,1180.0,140.19,sabre,20180815
53558,KL1930-KL1227-AF1142,22_14,GVAPAR,1180.0,140.19,sabre,20180815
53559,KL1930-KL1227-AF1242,22_14,GVAPAR,1180.0,140.19,sabre,20180815
53560,AF1443-AF1042,22_14,GVAPAR,140.0,145.5,sabre,20180815
53561,LX2813-LX0644-LX0633-LX2806,22_14,GVAPAR,510.0,145.65,sabre,20180815
53562,LX2811-LX0644-LX0633-LX2806,22_14,GVAPAR,570.0,145.65,sabre,20180815
53563,LX2813-LX0644-LX0633-LX2808,22_14,GVAPAR,700.0,145.65,sabre,20180815
53564,LX2811-LX0644-LX0633-LX2808,22_14,GVAPAR,760.0,145.65,sabre,20180815
53565,LX2813-LX0644-LX0633-LX2810,22_14,GVAPAR,785.0,145.65,sabre,20180815
53566,LX2811-LX0644-LX0633-LX2810,22_14,GVAPAR,845.0,145.65,sabre,20180815
53567,LX2807-LX0644-LX0633-LX2806,22_14,GVAPAR,855.0,145.65,sabre,20180815
53568,LX2813-LX0644-LX0645-LX2802,22_14,GVAPAR,960.0,145.65,sabre,20180815
53569,LX2813-LX0644-LX0633-LX2816,22_14,GVAPAR,965.0,145.65,sabre,20180815
53570,LX2811-LX0644-LX0645-LX2802,22_14,GVAPAR,1020.0,145.65,sabre,20180815
53571,LX2811-LX0644-LX0633-LX2816,22_14,GVAPAR,1025.0,145.65,sabre,20180815
53572,LX2807-LX0644-LX0633-LX2808,22_14,GVAPAR,1045.0,145.65,sabre,20180815
53573,LX2813-LX0644-LX0633-LX2818,22_14,GVAPAR,1075.0,145.65,sabre,20180815
53574,LX2813-LX0644-LX0645-LX2804,22_14,GVAPAR,1075.0,145.65,sabre,20180815
53575,LX2807-LX0644-LX0633-LX2810,22_14,GVAPAR,1130.0,145.65,sabre,20180815
53576,LX2811-LX0644-LX0633-LX2818,22_14,GVAPAR,1135.0,145.65,sabre,20180815
53577,LX2811-LX0644-LX0645-LX2804,22_14,GVAPAR,1135.0,145.65,sabre,20180815
53578,LX2807-LX0644-LX0645-LX2802,22_14,GVAPAR,1305.0,145.65,sabre,20180815
53579,LX2807-LX0644-LX0633-LX2816,22_14,GVAPAR,1310.0,145.65,sabre,20180815
53580,LX2807-LX0644-LX0633-LX2818,22_14,GVAPAR,1420.0,145.65,sabre,20180815
53581,LX2807-LX0644-LX0645-LX2804,22_14,GVAPAR,1420.0,145.65,sabre,20180815
53582,AF1443-AF1742,22_14,GVAPAR,140.0,150.5,sabre,20180815
53583,AF1143-AF1242,22_14,GVAPAR,140.0,155.5,sabre,20180815
53584,AF1143-AF1342,22_14,GVAPAR,140.0,155.5,sabre,20180815
53585,AF1143-AF1142,22_14,GVAPAR,140.0,155.5,sabre,20180815
53586,AF1043-AF1342,22_14,GVAPAR,140.0,155.5,sabre,20180815
53587,AF1043-AF1142,22_14,GVAPAR,140.0,155.5,sabre,20180815
53588,AF1043-AF1242,22_14,GVAPAR,140.0,155.5,sabre,20180815
