,itinerary,ap_los,ond,travel_time,fare,provider,search_date
58951,UX0052-UX1025-UX1028-UX0051,22_14,HAVPAR,1845.0,673.55,sabre,20180815
58952,UX0052-UX1025-UX1020-UX0051,22_14,HAVPAR,2035.0,673.55,sabre,20180815
58953,UX0052-UX1025-UX1222-UX0051,22_14,HAVPAR,2890.0,683.53,sabre,20180815
58954,AM0454-AM0003-AM0004-AM0451,22_14,HAVPAR,3055.0,717.83,sabre,20180815
58955,AM0454-AM0003-AM0004-AM0453,22_14,HAVPAR,3560.0,717.83,sabre,20180815
58956,AM0454-AM0003-AM0006-AM0451,22_14,HAVPAR,3585.0,717.83,sabre,20180815
58957,AM0454-AM0003-AM0006-AM0453,22_14,HAVPAR,4090.0,717.83,sabre,20180815
58958,UX0052-UX1029-UX1028-UX0051,22_14,HAVPAR,1650.0,809.55,sabre,20180815
58959,UX0052-UX1029-UX1020-UX0051,22_14,HAVPAR,1840.0,809.55,sabre,20180815
58960,IB6620-IB3742-IB3435-IB6621,22_14,HAVPAR,1950.0,813.55,sabre,20180815
58961,IB6620-IB3742-IB3403-IB6621,22_14,HAVPAR,2100.0,813.55,sabre,20180815
58962,IB6620-IB3742-IB3417-IB6621,22_14,HAVPAR,2245.0,813.55,sabre,20180815
58963,IB6620-IB3742-IB3743-IB6621,22_14,HAVPAR,2200.0,814.69,sabre,20180815
58964,UX0052-UX1029-UX1222-UX0051,22_14,HAVPAR,2695.0,819.53,sabre,20180815
58965,IB6620-IB3742-IB3443-IB6621,22_14,HAVPAR,3110.0,823.53,sabre,20180815
58966,IB6620-IB3742-IB3741-IB6621,22_14,HAVPAR,2915.0,824.67,sabre,20180815
58967,IB6620-IB3742-IB3445-IB6621,22_14,HAVPAR,3015.0,859.53,sabre,20180815
58968,UX0052-UX1027-UX1028-UX0051,22_14,HAVPAR,2695.0,870.08,sabre,20180815
58969,UX0052-UX1027-UX1020-UX0051,22_14,HAVPAR,2885.0,870.08,sabre,20180815
58970,AF0943-AF1240-AF6710,22_14,HAVPAR,1350.0,870.96,sabre,20180815
58971,KL0724-KL1223-AF1240-AF6710,22_14,HAVPAR,2795.0,875.65,sabre,20180815
58972,AF0943-AF0946,22_14,HAVPAR,1145.0,875.93,sabre,20180815
