,itinerary,ap_los,ond,travel_time,fare,provider,search_date
22454,EY0431-EY0031-EY0032-EY0430,22_14,HKTPAR,2595.0,590.86,sabre,20180815
22455,EY0431-EY0031-EY0038-EY0430,22_14,HKTPAR,1915.0,622.66,sabre,20180815
22456,EY0431-EY0037-EY0032-EY0430,22_14,HKTPAR,2995.0,623.86,sabre,20180815
22457,EY0431-EY0037-EY0038-EY0430,22_14,HKTPAR,2315.0,654.66,sabre,20180815
22458,QR0841-QR0037-QR0038-QR0840,22_14,HKTPAR,2710.0,689.75,sabre,20180815
22459,QR0841-QR0037-QR0038-QR0842,22_14,HKTPAR,3410.0,692.91,sabre,20180815
22460,QR0841-QR0037-QR0042-QR0840,22_14,HKTPAR,3535.0,692.91,sabre,20180815
22461,QR0841-QR0037-QR0042-QR0842,22_14,HKTPAR,2795.0,705.75,sabre,20180815
22462,EY0431-EY0031-9W0123-9W0062-TG0203,22_14,HKTPAR,2015.0,713.56,sabre,20180815
22463,EY0431-EY0031-9W0123-9W0062-PG0283,22_14,HKTPAR,2035.0,713.56,sabre,20180815
22464,EY0431-EY0031-EY0032-EY0406-EY7709,22_14,HKTPAR,2310.0,714.66,sabre,20180815
22465,EY0431-EY0031-EY0032-EY0406-EY7634,22_14,HKTPAR,2580.0,714.66,sabre,20180815
22466,EY0431-EY0031-EY0032-EY0406-EY7628,22_14,HKTPAR,2750.0,714.66,sabre,20180815
22467,EY0431-EY0031-EY0032-EY0406-EY7626,22_14,HKTPAR,2880.0,717.3,sabre,20180815
22468,EY0431-EY0037-9W0123-9W0062-TG0203,22_14,HKTPAR,2415.0,746.56,sabre,20180815
22469,EY0431-EY0037-9W0123-9W0062-PG0283,22_14,HKTPAR,2435.0,746.56,sabre,20180815
22470,EY0431-EY0037-EY0032-EY0406-EY7709,22_14,HKTPAR,2710.0,747.66,sabre,20180815
22471,EY0431-EY0037-EY0032-EY0406-EY7634,22_14,HKTPAR,2980.0,747.66,sabre,20180815
22472,EY0431-EY0037-EY0032-EY0406-EY7628,22_14,HKTPAR,3150.0,747.66,sabre,20180815
22473,QR4370-QR0837-QR0037-QR0042-QR0824,22_14,HKTPAR,2835.0,748.2,sabre,20180815
22474,QR4370-QR0831-QR0037-QR0042-QR0824,22_14,HKTPAR,2835.0,748.2,sabre,20180815
22475,QR4370-QR0827-QR0037-QR0042-QR0824,22_14,HKTPAR,2835.0,748.2,sabre,20180815
22476,QR4372-QR0837-QR0037-QR0042-QR0824,22_14,HKTPAR,3150.0,748.2,sabre,20180815
22477,EY0431-EY0037-EY0032-EY0406-EY7626,22_14,HKTPAR,3280.0,750.3,sabre,20180815
22478,QR4372-QR0833-QR0037-QR0042-QR0824,22_14,HKTPAR,3150.0,751.36,sabre,20180815
22479,QR4372-QR0835-QR0037-QR0042-QR0824,22_14,HKTPAR,3150.0,751.36,sabre,20180815
22480,QR4372-QR0981-QR0037-QR0042-QR0824,22_14,HKTPAR,3150.0,751.36,sabre,20180815
22481,QR4366-QR0833-QR0037-QR0042-QR0824,22_14,HKTPAR,3345.0,751.36,sabre,20180815
22482,QR4366-QR0835-QR0037-QR0042-QR0824,22_14,HKTPAR,3345.0,751.36,sabre,20180815
22483,QR4370-QR0831-QR0041-QR0042-QR0824,22_14,HKTPAR,3415.0,751.36,sabre,20180815
22484,QR4370-QR0837-QR0041-QR0042-QR0824,22_14,HKTPAR,3415.0,751.36,sabre,20180815
22485,QR4370-QR0827-QR0041-QR0042-QR0824,22_14,HKTPAR,3415.0,751.36,sabre,20180815
22486,QR4372-QR0837-QR0041-QR0042-QR0824,22_14,HKTPAR,3730.0,751.36,sabre,20180815
22487,QR4384-QR0837-QR0037-QR0038-QR0840,22_14,HKTPAR,2620.0,756.1,sabre,20180815
22488,QR4384-QR0831-QR0037-QR0038-QR0840,22_14,HKTPAR,2620.0,756.1,sabre,20180815
22489,QR4384-QR0827-QR0037-QR0038-QR0840,22_14,HKTPAR,2620.0,756.1,sabre,20180815
22490,QR4382-QR0827-QR0037-QR0038-QR0840,22_14,HKTPAR,2800.0,756.1,sabre,20180815
22491,QR4382-QR0837-QR0037-QR0038-QR0840,22_14,HKTPAR,2800.0,756.1,sabre,20180815
22492,QR4372-QR0827-QR0037-QR0042-QR0824,22_14,HKTPAR,3150.0,757.42,sabre,20180815
22493,QR4372-QR0831-QR0037-QR0042-QR0824,22_14,HKTPAR,3150.0,757.42,sabre,20180815
22494,QR4366-QR0827-QR0037-QR0042-QR0824,22_14,HKTPAR,3345.0,757.42,sabre,20180815
22495,QR4366-QR0831-QR0037-QR0042-QR0824,22_14,HKTPAR,3345.0,757.42,sabre,20180815
22496,QR4370-QR0833-QR0041-QR0042-QR0824,22_14,HKTPAR,3415.0,757.42,sabre,20180815
22497,QR4370-QR0981-QR0041-QR0042-QR0824,22_14,HKTPAR,3415.0,757.42,sabre,20180815
22498,QR4370-QR0835-QR0041-QR0042-QR0824,22_14,HKTPAR,3415.0,757.42,sabre,20180815
22499,QR4382-QR0831-QR0037-QR0038-QR0840,22_14,HKTPAR,2800.0,758.74,sabre,20180815
22500,QR4384-QR0827-QR0037-QR0038-QR0842,22_14,HKTPAR,3320.0,759.26,sabre,20180815
22501,QR4384-QR0831-QR0037-QR0038-QR0842,22_14,HKTPAR,3320.0,759.26,sabre,20180815
22502,QR4384-QR0837-QR0037-QR0038-QR0842,22_14,HKTPAR,3320.0,759.26,sabre,20180815
22503,QR4384-QR0831-QR0037-QR0042-QR0840,22_14,HKTPAR,3445.0,759.26,sabre,20180815
22504,QR4384-QR0837-QR0037-QR0042-QR0840,22_14,HKTPAR,3445.0,759.26,sabre,20180815
22505,QR4382-QR0827-QR0037-QR0042-QR0840,22_14,HKTPAR,3625.0,759.26,sabre,20180815
