,itinerary,ap_los,ond,travel_time,fare,provider,search_date
66047,A30991-A30614-A30615-A30992,3_2,ISTPAR,1670.0,451.69,sabre,20180815
66048,A30991-A30610-A30615-A30992,3_2,ISTPAR,2585.0,451.69,sabre,20180815
66049,A30991-A30614-A30619-A30992,3_2,ISTPAR,1010.0,473.69,sabre,20180815
66050,A30991-A30614-A30611-A30994,3_2,ISTPAR,1055.0,473.69,sabre,20180815
66051,A30991-A30614-A30619-A30994,3_2,ISTPAR,1325.0,473.69,sabre,20180815
66052,A30991-A30614-A30615-A30990,3_2,ISTPAR,1340.0,473.69,sabre,20180815
66053,A30991-A30614-A30613-A30990,3_2,ISTPAR,1585.0,473.69,sabre,20180815
66054,A30991-A30614-A30611-A30990,3_2,ISTPAR,1850.0,473.69,sabre,20180815
66055,A30991-A30614-A30613-A30992,3_2,ISTPAR,1915.0,473.69,sabre,20180815
66056,A30991-A30610-A30619-A30992,3_2,ISTPAR,1925.0,473.69,sabre,20180815
66057,A30991-A30610-A30611-A30994,3_2,ISTPAR,1970.0,473.69,sabre,20180815
66058,A30991-A30614-A30619-A30990,3_2,ISTPAR,2120.0,473.69,sabre,20180815
66059,A30991-A30614-A30611-A30992,3_2,ISTPAR,2180.0,473.69,sabre,20180815
66060,A30991-A30610-A30619-A30994,3_2,ISTPAR,2240.0,473.69,sabre,20180815
66061,A30991-A30610-A30615-A30990,3_2,ISTPAR,2255.0,473.69,sabre,20180815
66062,A30991-A30610-A30613-A30990,3_2,ISTPAR,2500.0,473.69,sabre,20180815
66063,A30991-A30610-A30611-A30990,3_2,ISTPAR,2765.0,473.69,sabre,20180815
66064,A30991-A30610-A30613-A30992,3_2,ISTPAR,2830.0,473.69,sabre,20180815
66065,A30991-A30610-A30619-A30990,3_2,ISTPAR,3035.0,473.69,sabre,20180815
66066,A30991-A30610-A30611-A30992,3_2,ISTPAR,3095.0,473.69,sabre,20180815
66067,LH1299-LH1026-LH1031-LH1304,3_2,ISTPAR,1965.0,515.2,sabre,20180815
66068,LH1299-LH1028-LH1031-LH1304,3_2,ISTPAR,2030.0,515.2,sabre,20180815
66069,LH1299-LH1030-LH1031-LH1304,3_2,ISTPAR,2085.0,515.2,sabre,20180815
66070,LH1299-LH1034-LH1031-LH1304,3_2,ISTPAR,2275.0,515.2,sabre,20180815
66071,LH1299-LH1026-LH1053-LH1304,3_2,ISTPAR,2280.0,522.66,sabre,20180815
66072,LH1299-LH1028-LH1053-LH1304,3_2,ISTPAR,2345.0,522.66,sabre,20180815
66073,LH1299-LH1030-LH1053-LH1304,3_2,ISTPAR,2400.0,522.66,sabre,20180815
66074,LH1299-LH1034-LH1053-LH1304,3_2,ISTPAR,2590.0,522.66,sabre,20180815
66075,LH1299-LH1026-LH1031-LH1298,3_2,ISTPAR,2650.0,523.57,sabre,20180815
66076,LH1299-LH1028-LH1031-LH1298,3_2,ISTPAR,2715.0,523.57,sabre,20180815
66077,LH1299-LH1030-LH1031-LH1298,3_2,ISTPAR,2770.0,523.57,sabre,20180815
66078,LH1299-LH1034-LH1031-LH1298,3_2,ISTPAR,2960.0,523.57,sabre,20180815
66079,A30995-A30610-A30615-A30992,3_2,ISTPAR,1940.0,535.69,sabre,20180815
66080,LH1299-LH1026-LH1029-LH1304,3_2,ISTPAR,2020.0,543.2,sabre,20180815
66081,LH1299-LH1028-LH1029-LH1304,3_2,ISTPAR,2085.0,543.2,sabre,20180815
66082,LH1299-LH1026-LH1027-LH1304,3_2,ISTPAR,2090.0,543.2,sabre,20180815
66083,LH1299-LH1030-LH1029-LH1304,3_2,ISTPAR,2140.0,543.2,sabre,20180815
66084,LH1299-LH1028-LH1027-LH1304,3_2,ISTPAR,2155.0,543.2,sabre,20180815
66085,LH1299-LH1030-LH1027-LH1304,3_2,ISTPAR,2210.0,543.2,sabre,20180815
66086,LH1299-LH1034-LH1029-LH1304,3_2,ISTPAR,2330.0,543.2,sabre,20180815
66087,LH1299-LH1034-LH1027-LH1304,3_2,ISTPAR,2400.0,543.2,sabre,20180815
66088,A30995-A30610-A30619-A30992,3_2,ISTPAR,1280.0,556.69,sabre,20180815
66089,A30995-A30610-A30611-A30994,3_2,ISTPAR,1325.0,556.69,sabre,20180815
66090,A30995-A30610-A30619-A30994,3_2,ISTPAR,1595.0,556.69,sabre,20180815
66091,A30995-A30610-A30615-A30990,3_2,ISTPAR,1610.0,556.69,sabre,20180815
66092,A30995-A30610-A30613-A30990,3_2,ISTPAR,1855.0,556.69,sabre,20180815
66093,A30995-A30610-A30611-A30990,3_2,ISTPAR,2120.0,556.69,sabre,20180815
66094,A30995-A30610-A30613-A30992,3_2,ISTPAR,2185.0,556.69,sabre,20180815
66095,A30995-A30610-A30619-A30990,3_2,ISTPAR,2390.0,556.69,sabre,20180815
66096,A30995-A30610-A30611-A30992,3_2,ISTPAR,2450.0,556.69,sabre,20180815
66097,AF5089-AF1390,3_2,ISTPAR,445.0,559.49,sabre,20180815
66098,LH1299-LH1026-LH1027-LH1298,3_2,ISTPAR,2775.0,560.57,sabre,20180815
66099,LH1299-LH1028-LH1027-LH1298,3_2,ISTPAR,2840.0,560.57,sabre,20180815
66100,LH1299-LH1030-LH1027-LH1298,3_2,ISTPAR,2895.0,560.57,sabre,20180815
66101,LH1299-LH1026-LH1051-LH1304,3_2,ISTPAR,2185.0,568.66,sabre,20180815
66102,LH1299-LH1026-LH1047-LH1304,3_2,ISTPAR,1480.0,579.2,sabre,20180815
66103,LH1299-LH1026-LH1029-LH1300,3_2,ISTPAR,1495.0,579.2,sabre,20180815
66104,LH1299-LH1026-LH1053-LH1298,3_2,ISTPAR,1525.0,579.2,sabre,20180815
66105,LH1299-LH1026-LH1041-LH1304,3_2,ISTPAR,1540.0,579.2,sabre,20180815
66106,LH1299-LH1028-LH1047-LH1304,3_2,ISTPAR,1545.0,579.2,sabre,20180815
66107,LH1299-LH1028-LH1029-LH1300,3_2,ISTPAR,1560.0,579.2,sabre,20180815
