,itinerary,ap_los,ond,travel_time,fare,provider,search_date
56124,DY7098-DY7097,3_2,LAXPAR,1310.0,1066.1,sabre,20180815
56125,DY7088-DY4313-DY7097,3_2,LAXPAR,1745.0,1490.5,sabre,20180815
56126,SK0940-SK0571-SK0580-SK0939,3_2,LAXPAR,2675.0,1573.56,sabre,20180815
56127,SK0940-SK0579-SK0580-SK0939,3_2,LAXPAR,2800.0,1573.56,sabre,20180815
56128,LO0022-LO0335-LO0332-LO0023,3_2,LAXPAR,2145.0,1957.6,sabre,20180815
56129,LO0022-LO0335-LO0334-LO0023,3_2,LAXPAR,2365.0,1957.6,sabre,20180815
56130,WW0174-WW0406-WW0405-WW0173,3_2,LAXPAR,1630.0,2188.33,sabre,20180815
56131,WW0174-WW0410-WW0405-WW0173,3_2,LAXPAR,1635.0,2188.33,sabre,20180815
56132,AM0647-AM0003-AM0004-AM0646,3_2,LAXPAR,2350.0,2457.48,sabre,20180815
56133,AM0647-AM0003-AM0004-AM0019,3_2,LAXPAR,2490.0,2457.48,sabre,20180815
56134,AM0647-AM0003-AM0004-AM0642,3_2,LAXPAR,2740.0,2457.48,sabre,20180815
56135,AM0647-AM0003-AM6104-AM0646,3_2,LAXPAR,3060.0,2467.48,sabre,20180815
56136,AM0645-AM0003-AM0004-AM0646,3_2,LAXPAR,2460.0,2561.48,sabre,20180815
56137,AM0645-AM0003-AM0004-AM0019,3_2,LAXPAR,2600.0,2561.48,sabre,20180815
56138,AM0018-AM0003-AM0004-AM0646,3_2,LAXPAR,2724.0,2561.48,sabre,20180815
56139,AM0645-AM0003-AM0004-AM0642,3_2,LAXPAR,2850.0,2561.48,sabre,20180815
56140,AM0018-AM0003-AM0004-AM0019,3_2,LAXPAR,2864.0,2561.48,sabre,20180815
56141,AM0018-AM0003-AM0004-AM0642,3_2,LAXPAR,3114.0,2561.48,sabre,20180815
56142,AM0645-AM6103-AM0004-AM0646,3_2,LAXPAR,2210.0,2595.48,sabre,20180815
56143,AM0645-AM6103-AM0004-AM0019,3_2,LAXPAR,2350.0,2595.48,sabre,20180815
56144,AM0018-AM6103-AM0004-AM0646,3_2,LAXPAR,2474.0,2595.48,sabre,20180815
56145,AM0645-AM6103-AM0004-AM0642,3_2,LAXPAR,2600.0,2595.48,sabre,20180815
56146,AM0018-AM6103-AM0004-AM0019,3_2,LAXPAR,2614.0,2595.48,sabre,20180815
56147,AM0018-AM6103-AM0004-AM0642,3_2,LAXPAR,2864.0,2595.48,sabre,20180815
56148,AM0645-AM6103-AM6104-AM0646,3_2,LAXPAR,2920.0,2605.48,sabre,20180815
56149,AM0645-AM0003-AM6104-AM0646,3_2,LAXPAR,3170.0,2605.48,sabre,20180815
56150,AM0018-AM6103-AM6104-AM0646,3_2,LAXPAR,3184.0,2605.48,sabre,20180815
56151,AM0018-AM0003-AM6104-AM0646,3_2,LAXPAR,3434.0,2605.48,sabre,20180815
56152,TN0008-TN0007,3_2,LAXPAR,1370.0,2804.92,sabre,20180815
56153,BR0005-BR0087-BR0088-BR0012,3_2,LAXPAR,4330.0,3264.18,sabre,20180815
56154,BR0005-BR0087-BR0088-BR0006,3_2,LAXPAR,3780.0,3306.18,sabre,20180815
56155,UA5655-UA0990-UA9069-UA0059-UA2361,3_2,LAXPAR,2039.0,3340.44,sabre,20180815
56156,UA5655-UA0990-UA9516-UA8829-UA5931,3_2,LAXPAR,2100.0,3340.44,sabre,20180815
56157,UA5655-UA0990-UA9069-UA8878-UA1161,3_2,LAXPAR,2117.0,3340.44,sabre,20180815
56158,OZ0203-OZ0501-OZ0502-OZ0202,3_2,LAXPAR,3440.0,3378.9,sabre,20180815
56159,AM0647-AM0003-AM6104-AM0648,3_2,LAXPAR,2345.0,3418.48,sabre,20180815
56160,AM0647-AM0003-AM6104-AM0630,3_2,LAXPAR,2464.0,3418.48,sabre,20180815
56161,AM0647-AM0003-AM0004-AM4321,3_2,LAXPAR,2879.0,3418.48,sabre,20180815
56162,AM4320-AM6103-AM0004-AM0646,3_2,LAXPAR,2318.0,3546.48,sabre,20180815
56163,AM4320-AM6103-AM0004-AM0019,3_2,LAXPAR,2458.0,3546.48,sabre,20180815
56164,AM4320-AM0003-AM0004-AM0646,3_2,LAXPAR,2568.0,3546.48,sabre,20180815
56165,AM4320-AM0003-AM0004-AM0019,3_2,LAXPAR,2708.0,3546.48,sabre,20180815
56166,AM4320-AM6103-AM0004-AM0642,3_2,LAXPAR,2708.0,3546.48,sabre,20180815
56167,AM4320-AM0003-AM0004-AM0642,3_2,LAXPAR,2958.0,3546.48,sabre,20180815
56168,OZ0203-OZ0501-OZ0502-OZ0204,3_2,LAXPAR,3810.0,3553.9,sabre,20180815
56169,AM0645-AM6103-AM6104-AM0648,3_2,LAXPAR,2205.0,3555.48,sabre,20180815
56170,AM0645-AM6103-AM6104-AM0630,3_2,LAXPAR,2324.0,3555.48,sabre,20180815
56171,AM0645-AM0003-AM6104-AM0648,3_2,LAXPAR,2455.0,3555.48,sabre,20180815
56172,AM0018-AM6103-AM6104-AM0648,3_2,LAXPAR,2469.0,3555.48,sabre,20180815
56173,AM0645-AM0003-AM6104-AM0630,3_2,LAXPAR,2574.0,3555.48,sabre,20180815
56174,AM0018-AM6103-AM6104-AM0630,3_2,LAXPAR,2588.0,3555.48,sabre,20180815
56175,AM0018-AM0003-AM6104-AM0648,3_2,LAXPAR,2719.0,3555.48,sabre,20180815
56176,AM0645-AM6103-AM0004-AM4321,3_2,LAXPAR,2739.0,3555.48,sabre,20180815
56177,AM0018-AM0003-AM6104-AM0630,3_2,LAXPAR,2838.0,3555.48,sabre,20180815
56178,AM0645-AM0003-AM0004-AM4321,3_2,LAXPAR,2989.0,3555.48,sabre,20180815
56179,AM0018-AM6103-AM0004-AM4321,3_2,LAXPAR,3003.0,3555.48,sabre,20180815
56180,AM4320-AM6103-AM6104-AM0646,3_2,LAXPAR,3028.0,3555.48,sabre,20180815
56181,AM0018-AM0003-AM0004-AM4321,3_2,LAXPAR,3253.0,3555.48,sabre,20180815
56182,AM4320-AM0003-AM6104-AM0646,3_2,LAXPAR,3278.0,3555.48,sabre,20180815
56183,MU0578-MU8663-MU8662-MU0583,3_2,LAXPAR,3490.0,3720.76,sabre,20180815
56184,MU0578-MU8663-MU0554-MU0583,3_2,LAXPAR,3595.0,3720.76,sabre,20180815
56185,MU0586-MU8661-MU8662-MU0583,3_2,LAXPAR,3605.0,3720.76,sabre,20180815
56186,MU0586-MU0553-MU8662-MU0583,3_2,LAXPAR,3655.0,3720.76,sabre,20180815
56187,MU0586-MU8661-MU0554-MU0583,3_2,LAXPAR,3710.0,3720.76,sabre,20180815
56188,MU0586-MU0553-MU0554-MU0583,3_2,LAXPAR,3760.0,3720.76,sabre,20180815
56189,SU0107-SU0261-SU2461-SU0106,3_2,LAXPAR,2605.0,3827.66,sabre,20180815
56190,SU0107-SU0261-SU3007-SU0106,3_2,LAXPAR,2775.0,3832.1,sabre,20180815
56191,SU0107-SU0261-SU3003-SU0106,3_2,LAXPAR,2845.0,3832.1,sabre,20180815
56192,AC0788-AC0880-AC0881-AC0787,3_2,LAXPAR,2674.0,4063.04,sabre,20180815
56193,AC4493-AC0806-AC0881-AC0795,3_2,LAXPAR,3079.0,4089.01,sabre,20180815
56194,AC0788-AC0880-AC0881-AC0795,3_2,LAXPAR,2429.0,4102.04,sabre,20180815
56195,AC0788-AC0880-AC0881-AC0793,3_2,LAXPAR,2525.0,4102.04,sabre,20180815
56196,MU8882-MU8661-MU8662-MU0583,3_2,LAXPAR,3545.0,4120.76,sabre,20180815
