,itinerary,ap_los,ond,travel_time,fare,provider,search_date
13658,LH1793-LH2236-LH2239-LH1790,15_7,LISPAR,1210.0,254.89,sabre,20180815
13660,LH1793-LH2236-LH2227-LH1792,15_7,LISPAR,1555.0,254.89,sabre,20180815
13662,LH1793-LH2236-LH2239-LH1792,15_7,LISPAR,1700.0,254.89,sabre,20180815
13664,LH1793-LH2236-LH1053-LH1166,15_7,LISPAR,1095.0,257.57,sabre,20180815
13666,LH1793-LH2236-OS0412-OS8151,15_7,LISPAR,1145.0,265.41,sabre,20180815
13668,LH1793-LH2236-OS0414-OS8153,15_7,LISPAR,1300.0,265.41,sabre,20180815
13670,LH1793-LH2236-OS7112-OS8151,15_7,LISPAR,1315.0,265.41,sabre,20180815
13672,LH1793-LH2236-OS0412-OS8153,15_7,LISPAR,1530.0,265.41,sabre,20180815
13674,LH1793-LH2236-OS7112-OS8153,15_7,LISPAR,1700.0,265.41,sabre,20180815
13676,UX1156-UX1021-UX1020-UX1153,15_7,LISPAR,545.0,265.43,sabre,20180815
13678,UX1150-UX1025-UX1020-UX1153,15_7,LISPAR,675.0,265.43,sabre,20180815
13680,UX1152-UX1029-UX1020-UX1153,15_7,LISPAR,720.0,265.43,sabre,20180815
13682,UX1150-UX1021-UX1020-UX1153,15_7,LISPAR,805.0,265.43,sabre,20180815
13684,UX1156-UX1021-UX1020-UX1155,15_7,LISPAR,805.0,265.43,sabre,20180815
13686,UX1152-UX1025-UX1020-UX1153,15_7,LISPAR,915.0,265.43,sabre,20180815
13688,UX1150-UX1025-UX1020-UX1155,15_7,LISPAR,935.0,265.43,sabre,20180815
13690,UX1152-UX1029-UX1020-UX1155,15_7,LISPAR,980.0,265.43,sabre,20180815
13692,UX1152-UX1021-UX1020-UX1153,15_7,LISPAR,1045.0,265.43,sabre,20180815
13694,UX1150-UX1021-UX1020-UX1155,15_7,LISPAR,1065.0,265.43,sabre,20180815
13695,UX1152-UX1025-UX1020-UX1155,15_7,LISPAR,1175.0,265.43,sabre,20180815
13696,UX1152-UX1021-UX1020-UX1155,15_7,LISPAR,1305.0,265.43,sabre,20180815
13697,LH1791-LH2226-LH2239-LH1790,15_7,LISPAR,1485.0,265.55,sabre,20180815
13698,LH1791-LH2226-LH2227-LH1792,15_7,LISPAR,1830.0,265.55,sabre,20180815
13699,LH1793-LH2226-LH2239-LH1790,15_7,LISPAR,1970.0,265.55,sabre,20180815
13700,LH1791-LH2226-LH2239-LH1792,15_7,LISPAR,1975.0,265.55,sabre,20180815
13701,LH1793-LH2226-LH2227-LH1792,15_7,LISPAR,2315.0,265.55,sabre,20180815
