,itinerary,ap_los,ond,travel_time,fare,provider,search_date
47090,9F9074-9F9057,3_2,LONPAR,293.0,279.0,sabre,20180815
47092,9F9074-9F9057,3_2,LONPAR,313.0,279.0,sabre,20180815
47094,9F9074-9F9057,3_2,LONPAR,313.0,279.0,sabre,20180815
47096,9F9074-9F9057,3_2,LONPAR,333.0,279.0,sabre,20180815
47098,BA8053-BA8052,3_2,LONPAR,145.0,298.99,sabre,20180815
47100,BA8053-BA0329,3_2,LONPAR,155.0,306.99,sabre,20180815
47102,IB5331-IB5330,3_2,LONPAR,145.0,308.99,sabre,20180815
47104,9F9018-9F9009,3_2,LONPAR,268.0,317.52,sabre,20180815
47106,9F9024-9F9009,3_2,LONPAR,268.0,317.52,sabre,20180815
47108,9F9022-9F9009,3_2,LONPAR,279.0,317.52,sabre,20180815
47110,9F9028-9F9009,3_2,LONPAR,279.0,317.52,sabre,20180815
47112,9F9036-9F9009,3_2,LONPAR,279.0,317.52,sabre,20180815
47114,9F9040-9F9009,3_2,LONPAR,279.0,317.52,sabre,20180815
47116,9F9006-9F9009,3_2,LONPAR,291.0,317.52,sabre,20180815
47118,9F9018-9F9009,3_2,LONPAR,286.0,317.52,sabre,20180815
47120,9F9024-9F9009,3_2,LONPAR,286.0,317.52,sabre,20180815
47122,9F9014-9F9009,3_2,LONPAR,288.0,317.52,sabre,20180815
47124,9F9032-9F9009,3_2,LONPAR,288.0,317.52,sabre,20180815
47126,BA8053-BA8752,3_2,LONPAR,145.0,323.85,sabre,20180815
47128,BA8053-BA8758,3_2,LONPAR,150.0,323.85,sabre,20180815
47131,BA8053-BA8754,3_2,LONPAR,155.0,323.85,sabre,20180815
47133,9F9044-9F9009,3_2,LONPAR,279.0,328.52,sabre,20180815
47135,VY8773-VY8772,3_2,LONPAR,145.0,334.99,sabre,20180815
47137,IB5331-IB3405-IB3170,3_2,LONPAR,1200.0,342.34,sabre,20180815
47139,IB5331-IB3435-IB3170,3_2,LONPAR,1320.0,342.34,sabre,20180815
47141,IB5331-BA0329,3_2,LONPAR,155.0,344.13,sabre,20180815
47143,LH2481-LH2228-OS0412-OS0451,3_2,LONPAR,2210.0,348.79,sabre,20180815
47145,OS0456-OS0411-OS0414-OS0451,3_2,LONPAR,1935.0,352.86,sabre,20180815
