,itinerary,ap_los,ond,travel_time,fare,provider,search_date
38491,AF5311-AF5312,8_2,LYSNTE,145.0,295.4,sabre,20180815
38492,AF5311-AF5309,8_2,LYSNTE,145.0,295.4,sabre,20180815
38493,AF5313-AF5309,8_2,LYSNTE,145.0,295.4,sabre,20180815
38494,AF5313-AF5312,8_2,LYSNTE,145.0,295.4,sabre,20180815
38495,AF5453-AF5309,8_2,LYSNTE,145.0,295.4,sabre,20180815
38496,AF5453-AF5312,8_2,LYSNTE,145.0,295.4,sabre,20180815
38497,AF5315-AF5309,8_2,LYSNTE,145.0,295.4,sabre,20180815
38498,AF5315-AF5312,8_2,LYSNTE,145.0,295.4,sabre,20180815
38499,AF5311-AF7721-AF7640,8_2,LYSNTE,285.0,314.64,sabre,20180815
38500,AF5313-AF7721-AF7640,8_2,LYSNTE,285.0,314.64,sabre,20180815
38501,AF5453-AF7721-AF7640,8_2,LYSNTE,285.0,314.64,sabre,20180815
38502,AF5315-AF7721-AF7640,8_2,LYSNTE,285.0,314.64,sabre,20180815
38503,AF7401-AF7382-AF5312,8_2,LYSNTE,245.0,337.94,sabre,20180815
38504,AF7401-AF7382-AF5309,8_2,LYSNTE,245.0,337.94,sabre,20180815
38505,AF7417-AF7386-AF5309,8_2,LYSNTE,275.0,337.94,sabre,20180815
38506,AF7417-AF7386-AF5312,8_2,LYSNTE,275.0,337.94,sabre,20180815
38507,AF7643-AF7388-AF5312,8_2,LYSNTE,480.0,337.94,sabre,20180815
38508,AF7643-AF7388-AF5309,8_2,LYSNTE,480.0,337.94,sabre,20180815
38509,AF7401-AF7386-AF5312,8_2,LYSNTE,515.0,337.94,sabre,20180815
38510,AF7401-AF7386-AF5309,8_2,LYSNTE,515.0,337.94,sabre,20180815
38511,AF7651-AF7386-AF5309,8_2,LYSNTE,575.0,337.94,sabre,20180815
38512,AF7651-AF7386-AF5312,8_2,LYSNTE,575.0,337.94,sabre,20180815
38513,AF7417-AF7388-AF5309,8_2,LYSNTE,665.0,337.94,sabre,20180815
38514,AF7417-AF7388-AF5312,8_2,LYSNTE,665.0,337.94,sabre,20180815
38515,AF7401-AF7388-AF5312,8_2,LYSNTE,905.0,337.94,sabre,20180815
38516,AF7401-AF7388-AF5309,8_2,LYSNTE,905.0,337.94,sabre,20180815
38517,AF7649-AF7382-AF5312,8_2,LYSNTE,930.0,337.94,sabre,20180815
38518,AF7649-AF7382-AF5309,8_2,LYSNTE,930.0,337.94,sabre,20180815
38519,AF7649-AF7728-AF5312,8_2,LYSNTE,260.0,342.64,sabre,20180815
38520,AF7649-AF7728-AF5309,8_2,LYSNTE,260.0,342.64,sabre,20180815
38521,AF7643-AF7730-AF5312,8_2,LYSNTE,285.0,342.64,sabre,20180815
38522,AF7643-AF7730-AF5309,8_2,LYSNTE,285.0,342.64,sabre,20180815
38523,AF7417-AF7730-AF5312,8_2,LYSNTE,470.0,342.64,sabre,20180815
