,itinerary,ap_los,ond,travel_time,fare,provider,search_date
54762,AF5399-AF7037,22_7,LYSTLS,120.0,123.49,sabre,20180815
54763,AF7038-AF7037,22_7,LYSTLS,120.0,123.49,sabre,20180815
54764,AF4288-AF7037,22_7,LYSTLS,120.0,123.49,sabre,20180815
54765,AF5399-AF4287,22_7,LYSTLS,120.0,152.49,sabre,20180815
54766,AF7038-AF4287,22_7,LYSTLS,120.0,152.49,sabre,20180815
54767,AF5394-AF7037,22_7,LYSTLS,120.0,152.49,sabre,20180815
54768,AF4288-AF4287,22_7,LYSTLS,120.0,152.49,sabre,20180815
54769,AF5392-AF5583-AF7037,22_7,LYSTLS,1555.0,161.22,sabre,20180815
54770,AF5487-AF7034-AF7037,22_7,LYSTLS,765.0,162.78,sabre,20180815
54771,AF7401-AF6110-AF7037,22_7,LYSTLS,260.0,163.03,sabre,20180815
54772,AF7401-AF6114-AF7037,22_7,LYSTLS,335.0,163.03,sabre,20180815
54773,AF7401-AF6116-AF7037,22_7,LYSTLS,380.0,163.03,sabre,20180815
54774,AF7401-AF6118-AF7037,22_7,LYSTLS,470.0,163.03,sabre,20180815
54775,AF5415-AF4390-AF7037,22_7,LYSTLS,800.0,164.61,sabre,20180815
54776,AF5399-AF5604-AF5312,22_7,LYSTLS,475.0,165.0,sabre,20180815
54777,AF7038-AF5604-AF5312,22_7,LYSTLS,475.0,165.0,sabre,20180815
54778,AF4288-AF5604-AF5312,22_7,LYSTLS,475.0,165.0,sabre,20180815
54779,AF5311-AF5605-AF7037,22_7,LYSTLS,525.0,165.0,sabre,20180815
54780,AF5399-AF5608-AF5309,22_7,LYSTLS,705.0,165.0,sabre,20180815
54781,AF7038-AF5608-AF5309,22_7,LYSTLS,705.0,165.0,sabre,20180815
54782,AF4288-AF5608-AF5309,22_7,LYSTLS,705.0,165.0,sabre,20180815
54783,AF7038-AF5604-AF5454,22_7,LYSTLS,895.0,165.0,sabre,20180815
54784,AF4288-AF5604-AF5454,22_7,LYSTLS,895.0,165.0,sabre,20180815
54785,AF5392-AF5585-AF7037,22_7,LYSTLS,610.0,166.22,sabre,20180815
54786,AF5392-AF5587-AF7037,22_7,LYSTLS,850.0,166.22,sabre,20180815
54787,AF5399-AF4283,22_7,LYSTLS,120.0,167.49,sabre,20180815
54788,AF7038-AF4283,22_7,LYSTLS,120.0,167.49,sabre,20180815
54789,AF4288-AF4283,22_7,LYSTLS,120.0,167.49,sabre,20180815
54790,AF5399-AF7517-AF7652,22_7,LYSTLS,305.0,167.73,sabre,20180815
54791,AF7038-AF7517-AF7652,22_7,LYSTLS,305.0,167.73,sabre,20180815
54792,AF4288-AF7517-AF7652,22_7,LYSTLS,305.0,167.73,sabre,20180815
54793,AF5399-AF7521-AF7644,22_7,LYSTLS,340.0,167.73,sabre,20180815
54794,AF7038-AF7521-AF7644,22_7,LYSTLS,340.0,167.73,sabre,20180815
54795,AF4288-AF7521-AF7644,22_7,LYSTLS,340.0,167.73,sabre,20180815
54796,AF5399-AF7517-AF7644,22_7,LYSTLS,405.0,167.73,sabre,20180815
54797,AF5399-AF6125-AF7646,22_7,LYSTLS,405.0,167.73,sabre,20180815
54798,AF7038-AF7517-AF7644,22_7,LYSTLS,405.0,167.73,sabre,20180815
54799,AF7038-AF6125-AF7646,22_7,LYSTLS,405.0,167.73,sabre,20180815
54800,AF4288-AF7517-AF7644,22_7,LYSTLS,405.0,167.73,sabre,20180815
54801,AF4288-AF6125-AF7646,22_7,LYSTLS,405.0,167.73,sabre,20180815
54802,AF5399-AF6131-AF7648,22_7,LYSTLS,420.0,167.73,sabre,20180815
54803,AF7038-AF6131-AF7648,22_7,LYSTLS,420.0,167.73,sabre,20180815
54804,AF4288-AF6131-AF7648,22_7,LYSTLS,420.0,167.73,sabre,20180815
54805,AF5399-AF6113-AF7644,22_7,LYSTLS,435.0,167.73,sabre,20180815
54806,AF7038-AF6113-AF7644,22_7,LYSTLS,435.0,167.73,sabre,20180815
54807,AF4288-AF6113-AF7644,22_7,LYSTLS,435.0,167.73,sabre,20180815
54808,AF5399-AF6111-AF7644,22_7,LYSTLS,465.0,167.73,sabre,20180815
54809,AF5399-AF7523-AF7646,22_7,LYSTLS,465.0,167.73,sabre,20180815
54810,AF7038-AF6111-AF7644,22_7,LYSTLS,465.0,167.73,sabre,20180815
54811,AF7038-AF7523-AF7646,22_7,LYSTLS,465.0,167.73,sabre,20180815
54812,AF4288-AF6111-AF7644,22_7,LYSTLS,465.0,167.73,sabre,20180815
54813,AF4288-AF7523-AF7646,22_7,LYSTLS,465.0,167.73,sabre,20180815
54814,AF5399-AF6123-AF7646,22_7,LYSTLS,485.0,167.73,sabre,20180815
54815,AF7038-AF6123-AF7646,22_7,LYSTLS,485.0,167.73,sabre,20180815
54816,AF4288-AF6123-AF7646,22_7,LYSTLS,485.0,167.73,sabre,20180815
54817,AF7401-AF7528-AF7037,22_7,LYSTLS,490.0,167.73,sabre,20180815
54818,AF5399-AF6121-AF7646,22_7,LYSTLS,515.0,167.73,sabre,20180815
54819,AF7038-AF6121-AF7646,22_7,LYSTLS,515.0,167.73,sabre,20180815
54820,AF4288-AF6121-AF7646,22_7,LYSTLS,515.0,167.73,sabre,20180815
54821,AF5399-AF7521-AF7646,22_7,LYSTLS,570.0,167.73,sabre,20180815
54822,AF7038-AF7521-AF7646,22_7,LYSTLS,570.0,167.73,sabre,20180815
54823,AF4288-AF7521-AF7646,22_7,LYSTLS,570.0,167.73,sabre,20180815
54824,AF5399-AF6117-AF7646,22_7,LYSTLS,580.0,167.73,sabre,20180815
54825,AF7038-AF6117-AF7646,22_7,LYSTLS,580.0,167.73,sabre,20180815
54826,AF4288-AF6117-AF7646,22_7,LYSTLS,580.0,167.73,sabre,20180815
54827,AF5399-AF6125-AF7648,22_7,LYSTLS,590.0,167.73,sabre,20180815
54828,AF7038-AF6125-AF7648,22_7,LYSTLS,590.0,167.73,sabre,20180815
54829,AF4288-AF6125-AF7648,22_7,LYSTLS,590.0,167.73,sabre,20180815
54830,AF5399-AF6115-AF7646,22_7,LYSTLS,600.0,167.73,sabre,20180815
54831,AF7401-AF7522-AF7037,22_7,LYSTLS,600.0,167.73,sabre,20180815
54832,AF7038-AF6115-AF7646,22_7,LYSTLS,600.0,167.73,sabre,20180815
54833,AF4288-AF6115-AF7646,22_7,LYSTLS,600.0,167.73,sabre,20180815
54834,AF5399-AF7517-AF7646,22_7,LYSTLS,635.0,167.73,sabre,20180815
54835,AF7038-AF7517-AF7646,22_7,LYSTLS,635.0,167.73,sabre,20180815
54836,AF4288-AF7517-AF7646,22_7,LYSTLS,635.0,167.73,sabre,20180815
54837,AF5399-AF7523-AF7648,22_7,LYSTLS,650.0,167.73,sabre,20180815
54838,AF7038-AF7523-AF7648,22_7,LYSTLS,650.0,167.73,sabre,20180815
54839,AF4288-AF7523-AF7648,22_7,LYSTLS,650.0,167.73,sabre,20180815
54840,AF7038-AF6123-AF7648,22_7,LYSTLS,670.0,167.73,sabre,20180815
54841,AF4288-AF6123-AF7648,22_7,LYSTLS,670.0,167.73,sabre,20180815
54842,AF4288-AF6121-AF7648,22_7,LYSTLS,700.0,167.73,sabre,20180815
54843,AF5399-AF7517-AF7648,22_7,LYSTLS,820.0,167.73,sabre,20180815
54844,AF5399-AF7033-AF5484,22_7,LYSTLS,460.0,167.78,sabre,20180815
54845,AF7038-AF7033-AF5484,22_7,LYSTLS,460.0,167.78,sabre,20180815
54846,AF4288-AF7033-AF5484,22_7,LYSTLS,460.0,167.78,sabre,20180815
54847,AF5399-AF7035-AF5482,22_7,LYSTLS,740.0,167.78,sabre,20180815
54848,AF7038-AF7035-AF5482,22_7,LYSTLS,740.0,167.78,sabre,20180815
54849,AF4288-AF7035-AF5482,22_7,LYSTLS,740.0,167.78,sabre,20180815
54850,AF7645-AF6100-AF7037,22_7,LYSTLS,990.0,167.79,sabre,20180815
54851,AF7645-AF6102-AF7037,22_7,LYSTLS,1035.0,167.79,sabre,20180815
54852,AF7643-AF6100-AF7037,22_7,LYSTLS,1090.0,167.79,sabre,20180815
54853,AF7643-AF6102-AF7037,22_7,LYSTLS,1135.0,167.79,sabre,20180815
54854,AF5399-AF6125-AF7416,22_7,LYSTLS,555.0,168.03,sabre,20180815
54855,AF7038-AF6125-AF7416,22_7,LYSTLS,555.0,168.03,sabre,20180815
54856,AF4288-AF6125-AF7416,22_7,LYSTLS,555.0,168.03,sabre,20180815
54857,AF5399-AF6123-AF7416,22_7,LYSTLS,635.0,168.03,sabre,20180815
54858,AF7038-AF6123-AF7416,22_7,LYSTLS,635.0,168.03,sabre,20180815
54859,AF4288-AF6123-AF7416,22_7,LYSTLS,635.0,168.03,sabre,20180815
54860,AF5399-AF6121-AF7416,22_7,LYSTLS,665.0,168.03,sabre,20180815
54861,AF7038-AF6121-AF7416,22_7,LYSTLS,665.0,168.03,sabre,20180815
54862,AF4288-AF6121-AF7416,22_7,LYSTLS,665.0,168.03,sabre,20180815
54863,AF5399-AF6117-AF7416,22_7,LYSTLS,730.0,168.03,sabre,20180815
