,itinerary,ap_los,ond,travel_time,fare,provider,search_date
17447,LX2033-LX0632-LX0645-LX2020,15_3,MADPAR,1550.0,224.54,sabre,20180815
17448,LX2027-LX0632-LX0645-LX2020,15_3,MADPAR,1800.0,224.54,sabre,20180815
17449,LX2033-LX0632-LX0639-LX2020,15_3,MADPAR,1915.0,224.54,sabre,20180815
17450,LX2021-LX0632-LX0645-LX2020,15_3,MADPAR,2135.0,224.54,sabre,20180815
17451,LX2027-LX0632-LX0639-LX2020,15_3,MADPAR,2165.0,224.54,sabre,20180815
17452,LX2033-LX0632-LX0633-LX2020,15_3,MADPAR,2205.0,224.54,sabre,20180815
17453,LX2027-LX0632-LX0633-LX2020,15_3,MADPAR,2455.0,224.54,sabre,20180815
17454,LX2021-LX0632-LX0639-LX2020,15_3,MADPAR,2500.0,224.54,sabre,20180815
17455,LX2021-LX0632-LX0633-LX2020,15_3,MADPAR,2790.0,224.54,sabre,20180815
17456,AF1401-AF1000,15_3,MADPAR,250.0,231.28,sabre,20180815
17457,LX2033-LX0632-LX0647-LX2020,15_3,MADPAR,2350.0,234.54,sabre,20180815
17458,LX2027-LX0632-LX0647-LX2020,15_3,MADPAR,2600.0,234.54,sabre,20180815
17459,LX2021-LX0632-LX0647-LX2020,15_3,MADPAR,2935.0,234.54,sabre,20180815
17460,LH1807-LH2236-LX0645-LX2020,15_3,MADPAR,1475.0,239.98,sabre,20180815
17461,LH1807-LH2236-LX0639-LX2020,15_3,MADPAR,1840.0,239.98,sabre,20180815
17462,LH1807-LH2236-LX0633-LX2020,15_3,MADPAR,2130.0,239.98,sabre,20180815
17463,LH1805-LH2226-LX0645-LX2020,15_3,MADPAR,1545.0,243.18,sabre,20180815
17464,LH1805-LH2226-LX0639-LX2020,15_3,MADPAR,1910.0,243.18,sabre,20180815
17465,LH1805-LH2226-LX0633-LX2020,15_3,MADPAR,2200.0,243.18,sabre,20180815
17466,LH1807-LH2236-LX0647-LX2020,15_3,MADPAR,2275.0,249.98,sabre,20180815
17467,LH1803-LH2226-LX0645-LX2020,15_3,MADPAR,1755.0,250.64,sabre,20180815
17468,LH1801-LH2226-LX0645-LX2020,15_3,MADPAR,1970.0,250.64,sabre,20180815
17469,LH1803-LH2226-LX0639-LX2020,15_3,MADPAR,2120.0,250.64,sabre,20180815
17470,LH1807-LH2226-LX0645-LX2020,15_3,MADPAR,2235.0,250.64,sabre,20180815
17471,LH1801-LH2226-LX0639-LX2020,15_3,MADPAR,2335.0,250.64,sabre,20180815
17472,LH1803-LH2226-LX0633-LX2020,15_3,MADPAR,2410.0,250.64,sabre,20180815
17473,LH1807-LH2226-LX0639-LX2020,15_3,MADPAR,2600.0,250.64,sabre,20180815
17474,LH1801-LH2226-LX0633-LX2020,15_3,MADPAR,2625.0,250.64,sabre,20180815
17475,LH1807-LH2226-LX0633-LX2020,15_3,MADPAR,2890.0,250.64,sabre,20180815
17476,LH1805-LH2226-LX0647-LX2020,15_3,MADPAR,2345.0,253.18,sabre,20180815
17477,LH1803-LH2226-LX0647-LX2020,15_3,MADPAR,2555.0,260.64,sabre,20180815
17478,LH1801-LH2226-LX0647-LX2020,15_3,MADPAR,2770.0,260.64,sabre,20180815
17479,LH1807-LH2226-LX0647-LX2020,15_3,MADPAR,3035.0,260.64,sabre,20180815
17480,AF1501-AF1000,15_3,MADPAR,250.0,263.28,sabre,20180815
17481,KL3390-KL2007-AF1000,15_3,MADPAR,410.0,271.97,sabre,20180815
17482,LH1115-LH1026-LX0645-LX2020,15_3,MADPAR,1680.0,272.89,sabre,20180815
17483,LH1115-LH1026-LX0639-LX2020,15_3,MADPAR,2045.0,272.89,sabre,20180815
17484,LH1115-LH1026-LX0633-LX2020,15_3,MADPAR,2335.0,272.89,sabre,20180815
17485,IB3442-IB3743,15_3,MADPAR,250.0,273.28,sabre,20180815
17486,AF1401-AF1300,15_3,MADPAR,250.0,280.28,sabre,20180815
17487,AF1401-AF1100,15_3,MADPAR,250.0,280.28,sabre,20180815
17488,AF1401-AF1400,15_3,MADPAR,255.0,280.28,sabre,20180815
17489,LH1113-LH1026-LX0645-LX2020,15_3,MADPAR,1925.0,280.35,sabre,20180815
17490,LH1117-LH1026-LX0645-LX2020,15_3,MADPAR,2070.0,280.35,sabre,20180815
17491,LH1123-LH1026-LX0645-LX2020,15_3,MADPAR,2190.0,280.35,sabre,20180815
17492,LH1113-LH1026-LX0639-LX2020,15_3,MADPAR,2290.0,280.35,sabre,20180815
17493,LH1117-LH1026-LX0639-LX2020,15_3,MADPAR,2435.0,280.35,sabre,20180815
17494,LH1123-LH1026-LX0639-LX2020,15_3,MADPAR,2555.0,280.35,sabre,20180815
17495,LH1113-LH1026-LX0633-LX2020,15_3,MADPAR,2580.0,280.35,sabre,20180815
17496,LH1117-LH1026-LX0633-LX2020,15_3,MADPAR,2725.0,280.35,sabre,20180815
17497,LH1123-LH1026-LX0633-LX2020,15_3,MADPAR,2845.0,280.35,sabre,20180815
17498,AF1401-AF1800,15_3,MADPAR,250.0,290.28,sabre,20180815
17499,AF1401-AF1500,15_3,MADPAR,255.0,290.28,sabre,20180815
17500,LX2033-LX0632-LH2237-LH1800,15_3,MADPAR,1690.0,293.18,sabre,20180815
17501,LX2027-LX0632-LH2237-LH1800,15_3,MADPAR,1940.0,293.18,sabre,20180815
17502,LX2033-LX0632-LX0633-LX2026,15_3,MADPAR,1100.0,294.54,sabre,20180815
17503,LX2027-LX0632-LX0633-LX2026,15_3,MADPAR,1350.0,294.54,sabre,20180815
17504,LX2033-LX0632-LX0657-LX2020,15_3,MADPAR,1670.0,294.54,sabre,20180815
17505,LX2021-LX0632-LX0633-LX2026,15_3,MADPAR,1685.0,294.54,sabre,20180815
17506,LX2027-LX0632-LX0657-LX2020,15_3,MADPAR,1920.0,294.54,sabre,20180815
17507,LX2021-LX0632-LX0657-LX2020,15_3,MADPAR,2255.0,294.54,sabre,20180815
17508,UX1029-UX1026,15_3,MADPAR,235.0,296.14,sabre,20180815
17509,UX1029-UX1028,15_3,MADPAR,235.0,296.14,sabre,20180815
17510,AF1601-AF1000,15_3,MADPAR,250.0,298.28,sabre,20180815
17511,AF1001-AF1000,15_3,MADPAR,255.0,298.28,sabre,20180815
17512,LX2021-LX0632-LH2235-LH1800,15_3,MADPAR,2415.0,300.64,sabre,20180815
17513,LX2033-LX0632-LH1047-LH1112,15_3,MADPAR,1790.0,305.35,sabre,20180815
17514,LX2027-LX0632-LH1047-LH1112,15_3,MADPAR,2040.0,305.35,sabre,20180815
17515,TP1009-TP0452-TP0453-TP1006,15_3,MADPAR,1355.0,305.54,sabre,20180815
17516,TP1009-TP0452-TP0457-TP1008,15_3,MADPAR,1455.0,305.54,sabre,20180815
17517,TP1009-TP0452-TP0459-TP1006,15_3,MADPAR,1555.0,305.54,sabre,20180815
17518,TP1009-TP0452-TP0447-TP1016,15_3,MADPAR,925.0,306.49,sabre,20180815
17519,TP1021-TP0436-TP0453-TP1006,15_3,MADPAR,1435.0,306.49,sabre,20180815
17520,TP1009-TP0452-TP0449-TP1016,15_3,MADPAR,1500.0,306.49,sabre,20180815
17521,TP1021-TP0436-TP0457-TP1008,15_3,MADPAR,1535.0,306.49,sabre,20180815
17522,TP1029-TP0436-TP0453-TP1006,15_3,MADPAR,1600.0,306.49,sabre,20180815
17523,TP1009-TP0452-TP0431-TP1016,15_3,MADPAR,1615.0,306.49,sabre,20180815
17524,TP1021-TP0436-TP0459-TP1006,15_3,MADPAR,1635.0,306.49,sabre,20180815
17525,TP1021-TP0440-TP0453-TP1006,15_3,MADPAR,1640.0,306.49,sabre,20180815
17526,TP1029-TP0436-TP0457-TP1008,15_3,MADPAR,1700.0,306.49,sabre,20180815
17527,TP1021-TP0440-TP0457-TP1008,15_3,MADPAR,1740.0,306.49,sabre,20180815
17528,TP1009-TP0452-TP0441-TP1016,15_3,MADPAR,1755.0,306.49,sabre,20180815
17529,TP1027-TP0436-TP0453-TP1006,15_3,MADPAR,1770.0,306.49,sabre,20180815
17530,TP1029-TP0436-TP0459-TP1006,15_3,MADPAR,1800.0,306.49,sabre,20180815
17531,TP1021-TP0440-TP0459-TP1006,15_3,MADPAR,1840.0,306.49,sabre,20180815
17532,TP1027-TP0436-TP0457-TP1008,15_3,MADPAR,1870.0,306.49,sabre,20180815
17533,TP1009-TP0452-TP0439-TP1016,15_3,MADPAR,1905.0,306.49,sabre,20180815
17534,TP1027-TP0436-TP0459-TP1006,15_3,MADPAR,1970.0,306.49,sabre,20180815
17535,TP1009-TP0452-TP0453-TP1008,15_3,MADPAR,2030.0,307.4,sabre,20180815
17536,TP1021-TP0436-TP0447-TP1016,15_3,MADPAR,1005.0,307.44,sabre,20180815
17537,TP1029-TP0436-TP0447-TP1016,15_3,MADPAR,1170.0,307.44,sabre,20180815
17538,TP1021-TP0440-TP0447-TP1016,15_3,MADPAR,1210.0,307.44,sabre,20180815
17539,TP1027-TP0436-TP0447-TP1016,15_3,MADPAR,1340.0,307.44,sabre,20180815
17540,TP1021-TP0436-TP0449-TP1016,15_3,MADPAR,1580.0,307.44,sabre,20180815
17541,TP1019-TP0436-TP0447-TP1016,15_3,MADPAR,1600.0,307.44,sabre,20180815
17542,TP1021-TP0436-TP0431-TP1016,15_3,MADPAR,1695.0,307.44,sabre,20180815
17543,TP1029-TP0436-TP0449-TP1016,15_3,MADPAR,1745.0,307.44,sabre,20180815
17544,TP1021-TP0440-TP0449-TP1016,15_3,MADPAR,1785.0,307.44,sabre,20180815
17545,TP1021-TP0436-TP0441-TP1016,15_3,MADPAR,1835.0,307.44,sabre,20180815
17546,TP1029-TP0436-TP0431-TP1016,15_3,MADPAR,1860.0,307.44,sabre,20180815
17547,TP1021-TP0440-TP0431-TP1016,15_3,MADPAR,1900.0,307.44,sabre,20180815
17548,TP1027-TP0436-TP0449-TP1016,15_3,MADPAR,1915.0,307.44,sabre,20180815
17549,TP1021-TP0436-TP0439-TP1016,15_3,MADPAR,1985.0,307.44,sabre,20180815
