,itinerary,ap_los,ond,travel_time,fare,provider,search_date
28737,AF5301-AF5148-AF5163-AF5306,15_3,MILPAR,979.0,176.87,sabre,20180815
28739,AF5301-AF5148-AF5161-AF5306,15_3,MILPAR,1100.0,176.87,sabre,20180815
28741,AF5301-AF6068-AF5163-AF5306,15_3,MILPAR,1159.0,176.87,sabre,20180815
28743,AF5301-AF5148-AF5159-AF5306,15_3,MILPAR,1219.0,176.87,sabre,20180815
28745,AF5301-AF5150-AF5163-AF5306,15_3,MILPAR,1279.0,176.87,sabre,20180815
28747,AF5301-AF6068-AF5161-AF5306,15_3,MILPAR,1280.0,176.87,sabre,20180815
28749,AF5301-AF6068-AF5159-AF5306,15_3,MILPAR,1399.0,176.87,sabre,20180815
28751,AF5301-AF5150-AF5161-AF5306,15_3,MILPAR,1400.0,176.87,sabre,20180815
28753,AF5301-AF5150-AF5159-AF5306,15_3,MILPAR,1519.0,176.87,sabre,20180815
28755,AF5301-AF5148-AF1212,15_3,MILPAR,642.0,183.12,sabre,20180815
28757,AF5301-AF6068-AF1212,15_3,MILPAR,822.0,183.12,sabre,20180815
28759,AF5301-AF5150-AF1212,15_3,MILPAR,942.0,183.12,sabre,20180815
28761,AF5303-AF5150-AF1212,15_3,MILPAR,512.0,190.12,sabre,20180815
28763,AF5301-AF7643-AF5163-AF5306,15_3,MILPAR,947.0,191.85,sabre,20180815
28765,AF5301-AF7643-AF5161-AF5306,15_3,MILPAR,1068.0,191.85,sabre,20180815
28767,AF5301-AF7643-AF5159-AF5306,15_3,MILPAR,1187.0,191.85,sabre,20180815
28768,AF5301-AF5148-AF7646-AF5306,15_3,MILPAR,742.0,193.65,sabre,20180815
28770,AF5301-AF6068-AF7646-AF5306,15_3,MILPAR,922.0,193.65,sabre,20180815
28772,AF5301-AF5148-AF7644-AF5306,15_3,MILPAR,972.0,193.65,sabre,20180815
28774,AF5301-AF5150-AF7646-AF5306,15_3,MILPAR,1042.0,193.65,sabre,20180815
28776,AF5301-AF6068-AF7644-AF5306,15_3,MILPAR,1152.0,193.65,sabre,20180815
28778,AF5301-AF5150-AF7644-AF5306,15_3,MILPAR,1272.0,193.65,sabre,20180815
28780,LX1623-LX0632-LX0645-LX1612,15_3,MILPAR,1535.0,195.38,sabre,20180815
28782,LX1623-LX0632-LX0645-LX1616,15_3,MILPAR,1660.0,195.38,sabre,20180815
28784,LX1629-LX0632-LX0645-LX1612,15_3,MILPAR,1770.0,195.38,sabre,20180815
28786,LX1629-LX0632-LX0645-LX1616,15_3,MILPAR,1895.0,195.38,sabre,20180815
28788,LX1623-LX0632-LX0639-LX1612,15_3,MILPAR,1900.0,195.38,sabre,20180815
28790,LX1617-LX0632-LX0645-LX1612,15_3,MILPAR,2010.0,195.38,sabre,20180815
28792,LX1613-LX0632-LX0645-LX1612,15_3,MILPAR,2075.0,195.38,sabre,20180815
28794,LX1617-LX0632-LX0645-LX1616,15_3,MILPAR,2135.0,195.38,sabre,20180815
28796,LX1629-LX0632-LX0639-LX1612,15_3,MILPAR,2135.0,195.38,sabre,20180815
28798,LX1623-LX0632-LX0633-LX1612,15_3,MILPAR,2190.0,195.38,sabre,20180815
28800,LX1613-LX0632-LX0645-LX1616,15_3,MILPAR,2200.0,195.38,sabre,20180815
28802,LX1639-LX0632-LX0645-LX1612,15_3,MILPAR,2250.0,195.38,sabre,20180815
28804,LX1639-LX0632-LX0645-LX1616,15_3,MILPAR,2375.0,195.38,sabre,20180815
28806,LX1617-LX0632-LX0639-LX1612,15_3,MILPAR,2375.0,195.38,sabre,20180815
28808,LX1629-LX0632-LX0633-LX1612,15_3,MILPAR,2425.0,195.38,sabre,20180815
28810,LX1613-LX0632-LX0639-LX1612,15_3,MILPAR,2440.0,195.38,sabre,20180815
28812,LX1639-LX0632-LX0639-LX1612,15_3,MILPAR,2615.0,195.38,sabre,20180815
28814,LX1617-LX0632-LX0633-LX1612,15_3,MILPAR,2665.0,195.38,sabre,20180815
28816,LX1613-LX0632-LX0633-LX1612,15_3,MILPAR,2730.0,195.38,sabre,20180815
28818,LX1639-LX0632-LX0633-LX1612,15_3,MILPAR,2905.0,195.38,sabre,20180815
28820,AF5301-AF7643-AF1212,15_3,MILPAR,610.0,198.1,sabre,20180815
28822,AF5301-AF5148-AF7640-AF5306,15_3,MILPAR,1312.0,198.1,sabre,20180815
28824,AF5301-AF6068-AF7640-AF5306,15_3,MILPAR,1492.0,198.1,sabre,20180815
28826,AF5301-AF5150-AF7640-AF5306,15_3,MILPAR,1612.0,198.1,sabre,20180815
28828,LX1623-LX0632-LH1053-LH0270,15_3,MILPAR,1050.0,198.5,sabre,20180815
28830,LX1623-LX0632-LH1053-LH0248,15_3,MILPAR,1085.0,198.5,sabre,20180815
28832,LX1629-LX0632-LH1053-LH0270,15_3,MILPAR,1285.0,198.5,sabre,20180815
28834,LX1629-LX0632-LH1053-LH0248,15_3,MILPAR,1320.0,198.5,sabre,20180815
28836,LX1617-LX0632-LH1053-LH0270,15_3,MILPAR,1525.0,198.5,sabre,20180815
28838,LX1617-LX0632-LH1053-LH0248,15_3,MILPAR,1560.0,198.5,sabre,20180815
28840,LX1613-LX0632-LH1053-LH0270,15_3,MILPAR,1590.0,198.5,sabre,20180815
28842,LX1613-LX0632-LH1053-LH0248,15_3,MILPAR,1625.0,198.5,sabre,20180815
28844,LX1639-LX0632-LH1053-LH0270,15_3,MILPAR,1765.0,198.5,sabre,20180815
28846,LX1639-LX0632-LH1053-LH0248,15_3,MILPAR,1800.0,198.5,sabre,20180815
28848,LX1623-LX0632-LX0647-LX1616,15_3,MILPAR,1020.0,205.38,sabre,20180815
